round,method,accuracy,loss,train_loss,selected_count,active_physical_devices,active_virtual_clients,total_examples
0,vi,0.1022,2.342842985534668,0.0,0,0,0,0
1,vi,0.1527,2.309402318572998,405.4541281842789,30,30,17,8078
2,vi,0.1668,2.2919481735229494,283.11910885449504,30,30,17,4369
3,vi,0.186,2.265771036148071,385.12976195673303,30,30,15,8468
4,vi,0.2146,2.2118323822021484,437.48991665833324,30,30,18,8800
5,vi,0.2455,2.1829010681152345,314.4339373587649,30,30,16,5929
6,vi,0.221,2.1565906978607177,426.40183780785844,30,30,17,6594
7,vi,0.2333,2.1395396717071535,346.1123436121958,30,30,18,5740
8,vi,0.3434,2.109319637680054,348.5737206242002,30,30,17,3999
9,vi,0.389,2.0677596607208253,396.3003267152559,30,30,20,6177
10,vi,0.4043,2.0373759044647217,423.88366958735804,30,30,19,6874
11,vi,0.4537,2.0088466339111326,387.4455930476238,30,30,16,7876
12,vi,0.4556,1.9763186573028564,398.00627591117063,30,30,20,8780
13,vi,0.4233,1.9623513347625732,405.60179915715366,30,30,18,8564
14,vi,0.431,1.9324927129745484,298.05012812340436,30,30,18,5558
15,vi,0.396,1.9225400993347168,409.00158088351407,30,30,18,8034
16,vi,0.4706,1.8762494197845458,357.36519569770184,30,30,17,7286
17,vi,0.4228,1.8709366584777831,350.7384799450089,30,30,18,4986
18,vi,0.468,1.8427879638671876,304.5920933901269,30,30,18,6036
19,vi,0.5735,1.809896327972412,234.45919095610523,30,30,16,4154
20,vi,0.6255,1.7910464742660523,288.41974197247873,30,30,20,4528
