entity,num_examples,class_counts_0_to_9
client_80,148,"[0, 0, 0, 49, 0, 0, 49, 0, 0, 50]"
client_81,141,"[0, 47, 0, 47, 47, 0, 0, 0, 0, 0]"
client_82,164,"[0, 55, 0, 0, 55, 0, 54, 0, 0, 0]"
client_83,136,"[0, 45, 45, 0, 0, 0, 0, 0, 0, 46]"
client_84,183,"[0, 0, 0, 0, 0, 0, 61, 61, 61, 0]"
client_85,164,"[0, 0, 54, 0, 0, 55, 0, 55, 0, 0]"
client_86,161,"[0, 0, 0, 54, 0, 53, 0, 0, 0, 54]"
client_87,164,"[0, 0, 54, 0, 55, 0, 0, 0, 55, 0]"
client_88,172,"[57, 0, 0, 0, 57, 0, 0, 0, 58, 0]"
client_89,169,"[0, 57, 0, 0, 56, 0, 0, 56, 0, 0]"
client_90,160,"[0, 0, 0, 53, 0, 0, 0, 54, 0, 53]"
client_91,153,"[0, 0, 51, 51, 0, 51, 0, 0, 0, 0]"
client_92,165,"[0, 0, 55, 0, 55, 0, 0, 0, 55, 0]"
client_93,156,"[0, 52, 0, 0, 0, 0, 0, 52, 0, 52]"
client_94,173,"[0, 57, 0, 0, 58, 0, 0, 58, 0, 0]"
client_95,152,"[0, 51, 0, 0, 0, 50, 0, 0, 51, 0]"
client_96,181,"[0, 0, 0, 0, 60, 0, 61, 60, 0, 0]"
client_97,161,"[0, 53, 54, 0, 0, 54, 0, 0, 0, 0]"
client_98,195,"[0, 65, 0, 0, 0, 0, 0, 0, 65, 65]"
client_99,163,"[0, 54, 0, 54, 55, 0, 0, 0, 0, 0]"
client_100,172,"[57, 0, 58, 0, 0, 0, 0, 0, 57, 0]"
client_101,142,"[47, 0, 0, 0, 47, 0, 0, 0, 0, 48]"
client_102,152,"[51, 0, 0, 0, 0, 51, 0, 0, 50, 0]"
client_103,145,"[0, 0, 48, 48, 0, 49, 0, 0, 0, 0]"
client_104,176,"[59, 0, 0, 0, 58, 0, 0, 0, 0, 59]"
client_105,155,"[51, 0, 0, 0, 52, 52, 0, 0, 0, 0]"
client_106,185,"[0, 0, 61, 0, 0, 0, 62, 62, 0, 0]"
client_107,167,"[56, 56, 0, 0, 0, 55, 0, 0, 0, 0]"
client_108,162,"[0, 54, 0, 0, 54, 0, 0, 0, 54, 0]"
client_109,161,"[54, 0, 0, 0, 0, 54, 0, 53, 0, 0]"
client_110,158,"[0, 0, 0, 53, 0, 0, 53, 0, 0, 52]"
client_111,129,"[0, 0, 43, 43, 0, 43, 0, 0, 0, 0]"
client_112,158,"[0, 0, 53, 0, 53, 0, 0, 0, 52, 0]"
client_113,141,"[47, 0, 0, 0, 0, 47, 0, 0, 47, 0]"
client_114,170,"[57, 0, 0, 0, 57, 56, 0, 0, 0, 0]"
client_115,161,"[0, 54, 0, 0, 53, 0, 0, 0, 0, 54]"
client_116,153,"[0, 51, 0, 0, 0, 51, 0, 0, 0, 51]"
client_117,186,"[0, 0, 62, 0, 0, 0, 0, 62, 62, 0]"
client_118,168,"[0, 0, 0, 0, 56, 0, 56, 56, 0, 0]"
client_119,160,"[0, 0, 0, 54, 53, 0, 0, 53, 0, 0]"
client_120,182,"[0, 60, 0, 0, 0, 61, 0, 0, 0, 61]"
client_121,142,"[0, 0, 0, 0, 0, 48, 47, 47, 0, 0]"
client_122,171,"[0, 0, 57, 0, 0, 57, 57, 0, 0, 0]"
client_123,158,"[0, 0, 0, 52, 0, 53, 0, 53, 0, 0]"
client_124,168,"[0, 0, 56, 0, 0, 0, 0, 0, 56, 56]"
client_125,141,"[47, 0, 0, 0, 47, 0, 47, 0, 0, 0]"
client_126,165,"[0, 0, 55, 0, 0, 0, 55, 0, 0, 55]"
client_127,201,"[0, 0, 0, 0, 67, 67, 0, 67, 0, 0]"
client_128,151,"[50, 0, 0, 0, 0, 50, 0, 0, 0, 51]"
client_129,150,"[0, 50, 0, 0, 0, 0, 50, 0, 0, 50]"
client_130,183,"[0, 0, 61, 0, 0, 61, 0, 0, 0, 61]"
client_131,153,"[0, 0, 0, 51, 0, 0, 0, 51, 51, 0]"
client_132,168,"[56, 56, 0, 56, 0, 0, 0, 0, 0, 0]"
client_133,153,"[51, 0, 0, 0, 51, 0, 0, 0, 51, 0]"
client_134,159,"[0, 0, 0, 53, 0, 53, 0, 0, 53, 0]"
client_135,138,"[46, 0, 0, 46, 0, 0, 0, 0, 0, 46]"
client_136,156,"[0, 0, 0, 0, 0, 52, 52, 0, 0, 52]"
client_137,168,"[0, 0, 56, 0, 0, 56, 0, 56, 0, 0]"
client_138,162,"[54, 54, 0, 0, 0, 0, 0, 0, 54, 0]"
client_139,174,"[0, 58, 0, 0, 0, 58, 0, 0, 58, 0]"
client_140,177,"[0, 59, 0, 59, 59, 0, 0, 0, 0, 0]"
client_141,146,"[0, 49, 49, 0, 48, 0, 0, 0, 0, 0]"
client_142,166,"[0, 0, 56, 55, 0, 0, 55, 0, 0, 0]"
client_143,148,"[0, 0, 50, 0, 0, 49, 49, 0, 0, 0]"
client_144,177,"[0, 0, 59, 0, 0, 0, 59, 0, 59, 0]"
client_145,152,"[0, 0, 51, 0, 0, 50, 0, 0, 51, 0]"
client_146,146,"[0, 0, 49, 0, 0, 0, 0, 49, 0, 48]"
client_147,164,"[0, 55, 0, 0, 0, 0, 55, 0, 54, 0]"
client_148,157,"[52, 0, 0, 0, 53, 0, 52, 0, 0, 0]"
client_149,162,"[0, 54, 54, 0, 0, 0, 0, 0, 0, 54]"
client_150,138,"[0, 46, 0, 46, 0, 46, 0, 0, 0, 0]"
client_151,164,"[0, 0, 55, 54, 0, 0, 0, 0, 55, 0]"
client_152,163,"[54, 0, 0, 0, 55, 0, 0, 54, 0, 0]"
client_153,164,"[54, 0, 0, 0, 0, 55, 0, 0, 0, 55]"
client_154,164,"[0, 0, 0, 55, 0, 0, 55, 0, 54, 0]"
client_155,148,"[50, 0, 49, 0, 0, 0, 0, 0, 49, 0]"
client_156,143,"[0, 0, 0, 0, 47, 48, 0, 0, 0, 48]"
client_157,162,"[54, 0, 0, 0, 0, 0, 54, 0, 0, 54]"
client_158,174,"[0, 0, 0, 58, 58, 0, 58, 0, 0, 0]"
client_159,156,"[52, 0, 0, 0, 0, 52, 52, 0, 0, 0]"
client_160,150,"[0, 0, 0, 50, 0, 0, 50, 50, 0, 0]"
client_161,158,"[0, 0, 0, 0, 0, 53, 0, 0, 52, 53]"
client_162,146,"[0, 0, 0, 0, 0, 48, 0, 49, 49, 0]"
client_163,197,"[65, 0, 0, 66, 0, 0, 66, 0, 0, 0]"
client_164,178,"[0, 0, 0, 59, 60, 0, 0, 0, 59, 0]"
client_165,167,"[0, 0, 56, 0, 0, 0, 56, 0, 0, 55]"
client_166,150,"[0, 0, 0, 50, 0, 0, 0, 0, 50, 50]"
client_167,157,"[0, 0, 0, 0, 0, 52, 0, 52, 53, 0]"
client_168,189,"[0, 0, 0, 0, 0, 63, 0, 0, 63, 63]"
client_169,161,"[0, 0, 54, 54, 0, 0, 0, 0, 53, 0]"
client_170,154,"[51, 0, 0, 51, 0, 0, 0, 0, 52, 0]"
client_171,173,"[0, 0, 0, 58, 0, 58, 0, 0, 0, 57]"
client_172,176,"[0, 0, 59, 0, 58, 59, 0, 0, 0, 0]"
client_173,165,"[55, 0, 0, 0, 0, 0, 55, 0, 0, 55]"
client_174,188,"[0, 0, 0, 0, 63, 0, 0, 0, 62, 63]"
client_175,149,"[0, 50, 50, 0, 49, 0, 0, 0, 0, 0]"
client_176,169,"[0, 0, 56, 0, 0, 0, 56, 57, 0, 0]"
client_177,166,"[0, 56, 0, 55, 0, 55, 0, 0, 0, 0]"
client_178,158,"[0, 0, 53, 53, 0, 0, 52, 0, 0, 0]"
client_179,155,"[52, 0, 0, 0, 0, 0, 51, 0, 52, 0]"
client_180,154,"[0, 0, 51, 0, 0, 51, 52, 0, 0, 0]"
client_181,147,"[49, 0, 0, 49, 49, 0, 0, 0, 0, 0]"
client_182,161,"[0, 0, 0, 0, 0, 0, 54, 54, 53, 0]"
client_183,160,"[54, 53, 0, 0, 0, 0, 53, 0, 0, 0]"
client_184,184,"[0, 0, 0, 0, 0, 61, 62, 61, 0, 0]"
client_185,151,"[50, 0, 50, 0, 0, 0, 0, 0, 51, 0]"
client_186,159,"[53, 0, 0, 0, 53, 0, 0, 53, 0, 0]"
client_187,164,"[0, 0, 0, 0, 0, 0, 0, 55, 55, 54]"
client_188,164,"[0, 55, 0, 0, 0, 54, 0, 0, 55, 0]"
client_189,163,"[54, 0, 0, 0, 0, 55, 0, 0, 54, 0]"
client_190,153,"[0, 0, 0, 51, 0, 0, 51, 0, 51, 0]"
client_191,161,"[54, 0, 0, 54, 0, 0, 0, 53, 0, 0]"
client_192,143,"[48, 47, 0, 0, 48, 0, 0, 0, 0, 0]"
client_193,160,"[54, 0, 0, 0, 0, 0, 53, 53, 0, 0]"
client_194,147,"[49, 0, 0, 0, 0, 0, 49, 49, 0, 0]"
client_195,158,"[53, 53, 0, 0, 0, 0, 52, 0, 0, 0]"
client_196,166,"[56, 55, 0, 0, 0, 0, 0, 0, 0, 55]"
client_197,139,"[47, 0, 0, 0, 0, 46, 0, 46, 0, 0]"
client_198,161,"[53, 0, 0, 0, 54, 54, 0, 0, 0, 0]"
client_199,176,"[0, 58, 59, 0, 0, 0, 0, 0, 59, 0]"
client_200,153,"[0, 0, 0, 51, 0, 0, 0, 0, 51, 51]"
client_201,160,"[0, 0, 53, 0, 53, 0, 0, 0, 0, 54]"
client_202,176,"[58, 0, 59, 59, 0, 0, 0, 0, 0, 0]"
client_203,162,"[54, 0, 54, 0, 54, 0, 0, 0, 0, 0]"
client_204,174,"[58, 0, 0, 58, 0, 0, 0, 0, 58, 0]"
client_205,146,"[49, 0, 0, 0, 0, 48, 0, 0, 0, 49]"
client_206,184,"[0, 61, 0, 0, 0, 62, 0, 0, 0, 61]"
client_207,175,"[58, 0, 0, 0, 0, 58, 59, 0, 0, 0]"
client_208,160,"[53, 54, 0, 0, 0, 0, 0, 0, 0, 53]"
client_209,167,"[55, 0, 0, 56, 0, 0, 0, 0, 0, 56]"
client_210,150,"[0, 0, 0, 50, 0, 0, 0, 0, 50, 50]"
client_211,173,"[57, 58, 0, 0, 0, 58, 0, 0, 0, 0]"
client_212,159,"[53, 0, 0, 53, 0, 53, 0, 0, 0, 0]"
client_213,166,"[0, 0, 0, 0, 0, 55, 0, 55, 0, 56]"
client_214,190,"[63, 0, 0, 0, 0, 64, 0, 0, 0, 63]"
client_215,168,"[56, 0, 56, 0, 0, 0, 0, 0, 56, 0]"
client_216,158,"[53, 0, 0, 0, 0, 0, 0, 52, 0, 53]"
client_217,123,"[0, 41, 0, 0, 0, 0, 0, 41, 41, 0]"
client_218,144,"[0, 0, 0, 0, 0, 0, 0, 48, 48, 48]"
client_219,151,"[0, 50, 50, 51, 0, 0, 0, 0, 0, 0]"
client_220,150,"[50, 0, 0, 50, 0, 0, 50, 0, 0, 0]"
client_221,167,"[56, 0, 0, 0, 0, 56, 55, 0, 0, 0]"
client_222,148,"[49, 0, 49, 0, 0, 0, 0, 0, 50, 0]"
client_223,180,"[0, 60, 60, 0, 0, 0, 0, 0, 60, 0]"
client_224,168,"[56, 0, 0, 0, 56, 0, 56, 0, 0, 0]"
client_225,153,"[0, 0, 0, 0, 51, 51, 51, 0, 0, 0]"
client_226,162,"[0, 54, 0, 0, 54, 0, 54, 0, 0, 0]"
client_227,171,"[57, 57, 0, 0, 0, 0, 57, 0, 0, 0]"
client_228,162,"[0, 54, 0, 0, 0, 54, 54, 0, 0, 0]"
client_229,152,"[0, 0, 51, 0, 0, 0, 50, 0, 51, 0]"
client_230,162,"[0, 0, 0, 0, 54, 54, 0, 0, 0, 54]"
client_231,151,"[0, 0, 50, 0, 0, 0, 0, 50, 0, 51]"
client_232,173,"[58, 0, 0, 0, 57, 58, 0, 0, 0, 0]"
client_233,178,"[60, 0, 59, 0, 59, 0, 0, 0, 0, 0]"
client_234,177,"[59, 59, 0, 0, 0, 0, 0, 59, 0, 0]"
client_235,146,"[0, 0, 0, 0, 48, 0, 49, 49, 0, 0]"
client_236,160,"[0, 0, 0, 53, 53, 0, 0, 54, 0, 0]"
client_237,155,"[0, 0, 0, 52, 0, 0, 52, 51, 0, 0]"
client_238,160,"[0, 54, 53, 0, 53, 0, 0, 0, 0, 0]"
client_239,147,"[49, 0, 0, 0, 49, 0, 0, 0, 49, 0]"
client_240,182,"[60, 0, 0, 0, 61, 61, 0, 0, 0, 0]"
client_241,159,"[0, 0, 53, 0, 0, 0, 53, 53, 0, 0]"
client_242,148,"[0, 0, 0, 0, 0, 49, 0, 0, 50, 49]"
client_243,146,"[0, 0, 49, 0, 0, 0, 49, 48, 0, 0]"
