round,Nt,accuracy,loss,distortion,rho_ref,m0
0.0,0.0,0.1036,2.4686138236999513,nan,0.0,1600.0
5.0,1505.0,0.2813,1.9375135070800782,0.007663674666801776,2.3953965195623383e-05,1600.0
10.0,3010.0,0.3301,1.8145920211791993,0.006867212056240435,1.9303743053923128e-05,1600.0
15.0,4515.0,0.351,1.738541202354431,0.00637567069823458,1.7400178608712153e-05,1600.0
20.0,6020.0,0.3776,1.731034351158142,0.006199172235597556,1.6956690405908406e-05,1600.0
25.0,7525.0,0.3959,1.6396006858825685,0.005886817104400661,1.6147944927114334e-05,1600.0
30.0,9030.0,0.3939,1.6308306285858154,0.0059314365785597765,1.5764339108196964e-05,1600.0
35.0,10535.0,0.4001,1.6167772186279297,0.005786101938925819,1.4455369692559383e-05,1600.0
40.0,12040.0,0.4112,1.5958608619689942,0.005518481499092525,1.3509291297264222e-05,1600.0
45.0,13545.0,0.415,1.5939412435531617,0.0053097986483421735,1.2814287881966354e-05,1600.0
50.0,15050.0,0.4318,1.5681485059738158,0.005419192921710826,1.2940056748951212e-05,1600.0
55.0,16555.0,0.433,1.5554921482086181,0.005622060752722361,1.2358017132494609e-05,1600.0
60.0,18060.0,0.4274,1.573744324874878,0.00518080656036005,1.2008163387191547e-05,1600.0
65.0,19565.0,0.4358,1.5378722087860108,0.005173423598141414,1.1773774696434062e-05,1600.0
70.0,21070.0,0.4382,1.530645679473877,0.0053507609298435125,1.1654504369735095e-05,1600.0
75.0,22575.0,0.4443,1.5176528270721437,0.005237577971591348,1.1333478895824289e-05,1600.0
80.0,24080.0,0.4449,1.5108210334777832,0.005035606090769054,1.147874317084873e-05,1600.0
85.0,25585.0,0.4415,1.5090131633758546,0.0049954340815611155,1.0841706633190353e-05,1600.0
90.0,27090.0,0.4499,1.5050595649719238,0.004771098092202411,1.1025316180179867e-05,1600.0
95.0,28595.0,0.4553,1.4769433250427246,0.004942161240832559,1.1166033710323166e-05,1600.0
100.0,30100.0,0.4712,1.448798829650879,0.004827390710776708,1.0361935470890038e-05,1600.0
105.0,31605.0,0.4654,1.4468591690063477,0.004874579314978033,1.0189802531739599e-05,1600.0
110.0,33110.0,0.4562,1.4754307790756225,0.004823567092317811,1.0188150095453542e-05,1600.0
115.0,34615.0,0.4755,1.4411024744033814,0.00488386690576508,1.0024145746396455e-05,1600.0
120.0,36120.0,0.4784,1.4262731845855714,0.004680653511940763,9.624605478459426e-06,1600.0
125.0,37625.0,0.4727,1.4489859075546265,0.005165110010167137,9.284841141820556e-06,1600.0
130.0,39130.0,0.4771,1.4378980123519898,0.0048949772871678485,9.611863622703153e-06,1600.0
135.0,40635.0,0.4768,1.423297764968872,0.004802197694992237,9.414521669715933e-06,1600.0
140.0,42140.0,0.477,1.440578943824768,0.004973320849498168,9.328518176785054e-06,1600.0
145.0,43645.0,0.4819,1.410191153717041,0.0048553343007735,9.435758685177376e-06,1600.0
150.0,45150.0,0.4886,1.404352250099182,0.004622720623957953,9.080284887972375e-06,1600.0
155.0,46655.0,0.4927,1.390514862060547,0.004997048737686098,9.063559891069648e-06,1600.0
160.0,48160.0,0.4841,1.410663286972046,0.00497961180889724,8.588999415658055e-06,1600.0
165.0,49665.0,0.4903,1.3997242811203003,0.004359247819190823,8.988376305064259e-06,1600.0
170.0,51170.0,0.4922,1.4008450868606568,0.0048949743519047205,9.569964956421164e-06,1600.0
175.0,52675.0,0.4941,1.3868050045013427,0.004682587056576079,8.589474669991181e-06,1600.0
180.0,54180.0,0.4947,1.3985807628631592,0.004666410676179119,8.784901888366848e-06,1600.0
185.0,55685.0,0.489,1.4112791679382324,0.005070723962808268,8.651340267744152e-06,1600.0
190.0,57190.0,0.4992,1.3870197647094726,0.004872920569218814,8.306684642834433e-06,1600.0
195.0,58695.0,0.5,1.3908210081100465,0.004711196684363336,8.511241947972925e-06,1600.0
200.0,60200.0,0.495,1.392665777015686,0.004905521956572047,8.392984265750396e-06,1600.0
