round,accuracy,nll,brier,ece,mce,mean_confidence,predictive_entropy,expected_entropy,mutual_information,fola_mean_accuracy,fola_mean_nll,fola_mean_brier,fola_mean_ece,fola_mean_mce,fola_mean_mean_confidence,fola_mean_predictive_entropy,fola_mean_expected_entropy,fola_mean_mutual_information
0.0,0.1,3.451162364458949,1.1295735605302333,0.397390195542574,0.49893193654884577,0.4973901955425739,1.4500216708113471,1.4500216708113471,0.0,0.1,3.451162364458949,1.1295735605302333,0.397390195542574,0.49893193654884577,0.4973901955425739,1.4500216708113471,1.4500216708113471,0.0
1.0,0.1359,3.24224678506368,0.9794503633229331,0.17392131931185725,0.26785124121350723,0.30982131931185725,1.7764738415943415,1.7764738415943415,0.0,0.1359,3.24224678506368,0.9794503633229331,0.17392131931185725,0.26785124121350723,0.30982131931185725,1.7764738415943415,1.7764738415943415,0.0
2.0,0.1918,2.327094629026878,0.8896140569100007,0.04739294151365757,0.05527697654173008,0.22715121837556362,2.0958719929790357,2.0958719929790357,0.0,0.1918,2.327094629026878,0.8896140569100007,0.04739294151365757,0.05527697654173008,0.22715121837556362,2.0958719929790357,2.0958719929790357,0.0
3.0,0.2539,2.1989500347050708,0.8671093534372433,0.024700585639476764,0.13314202427864075,0.2522795877099037,2.051172406146587,2.051172406146587,0.0,0.2539,2.1989500347050708,0.8671093534372433,0.024700585639476764,0.13314202427864075,0.2522795877099037,2.051172406146587,2.051172406146587,0.0
4.0,0.2601,2.151857414300215,0.8609821344942243,0.011627772124856705,0.43894249200820923,0.2693807847999036,2.0145077113883016,2.0145077113883016,0.0,0.2601,2.151857414300215,0.8609821344942243,0.011627772124856705,0.43894249200820923,0.2693807847999036,2.0145077113883016,2.0145077113883016,0.0
5.0,0.2687,2.073940283002652,0.8464920977922878,0.01319572891667486,0.03939627144979019,0.2685966240622103,2.0281796691342615,2.0281796691342615,0.0,0.2687,2.073940283002652,0.8464920977922878,0.01319572891667486,0.03939627144979019,0.2685966240622103,2.0281796691342615,2.0281796691342615,0.0
6.0,0.2738,2.0702079946532836,0.846262035391291,0.011310964392125611,0.03637934169348549,0.2654722475990653,2.01987138766888,2.01987138766888,0.0,0.2738,2.0702079946532836,0.846262035391291,0.011310964392125611,0.03637934169348549,0.2654722475990653,2.01987138766888,2.01987138766888,0.0
7.0,0.2674,2.1075122223390594,0.8564464068897524,0.04800421242639424,0.142053737660846,0.3154042124263942,1.9246939678447663,1.9246939678447663,0.0,0.2674,2.1075122223390594,0.8564464068897524,0.04800421242639424,0.142053737660846,0.3154042124263942,1.9246939678447663,1.9246939678447663,0.0
8.0,0.2767,2.0357167518680996,0.8397080209520525,0.009603509844094516,0.24661941453814507,0.28263781503364444,1.9695326606257262,1.9695326606257262,0.0,0.2767,2.0357167518680996,0.8397080209520525,0.009603509844094516,0.24661941453814507,0.28263781503364444,1.9695326606257262,1.9695326606257262,0.0
9.0,0.2789,2.0317656808032947,0.8406375764772324,0.021826015067100524,0.2133788892201015,0.2932238391369581,1.9493597340788182,1.9493597340788182,0.0,0.2789,2.0317656808032947,0.8406375764772324,0.021826015067100524,0.2133788892201015,0.2932238391369581,1.9493597340788182,1.9493597340788182,0.0
10.0,0.2856,2.029366215874266,0.8353769391579297,0.024920505197346215,0.4205643932024638,0.30987453318685293,1.918938179784373,1.918938179784373,0.0,0.2856,2.029366215874266,0.8353769391579297,0.024920505197346215,0.4205643932024638,0.30987453318685293,1.918938179784373,1.918938179784373,0.0
