round,num_examples,train_loss,task_loss,prior_loss,train_accuracy,effective_prior_lambda,variance_floor_fraction,lr,local_steps,update_l2,update_rms,update_max_abs,posterior_mean_abs_mean,posterior_precision_mean,posterior_precision_min,posterior_precision_max,posterior_sigma_mean,client_id,server_round
1,863.0,0.155666745049669,0.155666745049669,0.0,0.9677867902665122,1.0,0.0,0.005,70.0,1.7507500259234163,0.0018678580391214782,0.23548287153244019,0.02677967947581957,3.962684468446386e-05,0.0,0.5465005040168762,47570.76938426132,4.0,1.0
1,8499.0,0.6621133965272765,0.6621133965272765,0.0,0.6251088363336863,1.0,0.0,0.005,670.0,1.8687972581881016,0.001993801473944696,0.36711016297340393,0.026790138430679428,9.102360683850837e-05,0.0,1.0019363164901733,28907.32524385958,1.0,1.0
1,8706.0,0.6660395159779979,0.6660395159779979,0.0,0.6162186997473007,1.0,0.0,0.005,690.0,2.1033112205603257,0.0022440021213341777,0.23523040115833282,0.026803135756514974,7.021908691586728e-05,0.0,0.41554373502731323,15486.988179648597,10.0,1.0
1,1.0,0.8866650562189534,0.8866650562189534,0.0,0.8,1.0,0.0,0.005,10.0,1.0603394946161149,0.0011312658117323664,0.11546877026557922,0.026755045114461952,0.0005532899528352262,0.0,3.1182751655578613,332636.89252154896,3.0,1.0
1,2538.0,0.041350946902130835,0.041350946902130835,0.0,0.9911741528762805,1.0,0.0,0.005,200.0,1.6356147683975246,0.0017450213615994377,0.19352766871452332,0.026775733872267414,1.2662449609961361e-05,0.0,0.14909209311008453,85436.63090444781,15.0,1.0
1,107.0,1.0459731467941311,1.0459731467941311,0.0,0.7850467289719626,1.0,0.0,0.005,10.0,0.9333920956566517,0.000995826876315571,0.12891222536563873,0.026752185264382312,0.0002667928152461044,0.0,3.662419557571411,35993.163151515066,19.0,1.0
1,323.0,0.3323895667151203,0.3323895667151203,0.0,0.969969040247678,1.0,0.0,0.005,30.0,1.3141075227825847,0.0014020084331598536,0.16375435888767242,0.026768318238433408,8.377655054076183e-05,0.0,0.9014609456062317,50206.054855808005,5.0,1.0
1,4993.0,0.032346584939141915,0.032346584939141915,0.0,0.9958341678349689,1.0,0.0,0.005,400.0,1.3239730497250273,0.0014125338671377233,0.18146908283233643,0.026758630516007464,6.99187444675496e-06,0.0,0.07230737060308456,87482.21325561065,0.0,1.0
1,94.0,0.741605658269691,0.741605658269691,0.0,0.8882978723404256,1.0,0.0,0.005,10.0,0.8830812706743677,0.0009421507503658212,0.10440889745950699,0.02675405047841663,0.00023623419605485599,0.0,2.7124476432800293,66607.55216724142,16.0,1.0
1,6.0,1.2167125523090363,1.2167125523090363,0.0,0.7833333333333333,1.0,0.0,0.005,10.0,0.6545194002460162,0.0006983003315197255,0.07152442634105682,0.026746302557330553,0.00038304083929470743,0.0,1.7155349254608154,156056.01851798492,8.0,1.0
1,2407.0,0.037472291926667275,0.037472291926667275,0.0,0.9964686331533029,1.0,0.0,0.005,190.0,1.5563781737020281,0.0016604846155174088,0.17467893660068512,0.026776134204760677,1.2034221738847471e-05,0.0,0.1365075260400772,82961.63562150038,17.0,1.0
1,4999.0,0.018359966861132015,0.018359966861132015,0.0,0.9967193438687737,1.0,0.0,0.005,400.0,1.6034802317111565,0.0017107373394407526,0.17270563542842865,0.026775074067574647,6.670499548164212e-06,0.0,0.06632766127586365,84308.39433376462,12.0,1.0
1,4083.0,0.02347475331223523,0.02347475331223523,0.0,0.9965221650746999,1.0,0.0,0.005,320.0,1.5793997453824207,0.0016850461046504744,0.18198741972446442,0.026777348832774474,7.343102101949385e-06,0.0,0.08579092472791672,92770.7284357976,13.0,1.0
1,2252.0,0.6690567333628399,0.6690567333628399,0.0,0.6509325044404973,1.0,0.0,0.005,180.0,1.382068012797899,0.001474514813704264,0.14048026502132416,0.026767418775607826,0.00017370069923004487,0.0,1.595445156097412,36483.3842818209,7.0,1.0
1,2586.0,0.035180443546338896,0.035180443546338896,0.0,0.9969450889404485,1.0,0.0,0.005,210.0,1.5591708226543972,0.0016634640653068644,0.17633354663848877,0.02677632621383314,1.1190175604364291e-05,0.0,0.12856893241405487,77081.9280799582,18.0,1.0
1,1.0,0.8615822722946177,0.8615822722946177,0.0,0.8,1.0,0.0,0.005,10.0,1.0739455489656295,0.0011457819777304567,0.11002664268016815,0.02675428213726097,0.0006003694347411245,0.0,3.039680242538452,366586.6477069281,6.0,1.0
1,28.0,0.8577290543918934,0.8577290543918934,0.0,0.8321428571428572,1.0,0.0,0.005,10.0,0.9199243411964849,0.0009814582611135986,0.11351904273033142,0.026752516290759785,0.0002656223649017062,0.0,3.060425043106079,72601.17977853604,2.0,1.0
1,4976.0,0.04340719239467183,0.04340719239467183,0.0,0.9937700964630225,1.0,0.0,0.005,390.0,1.3305161672040806,0.0014195146550304552,0.19117522239685059,0.02675733517358217,7.67430583702733e-06,0.0,0.07713097333908081,72548.08136264769,9.0,1.0
1,65.0,0.7723422567789384,0.7723422567789384,0.0,0.8661538461538462,1.0,0.0,0.005,10.0,0.8882505467596946,0.0009476658003440862,0.10727546364068985,0.02675359612502658,0.00024161602088398288,0.0,2.8158674240112305,77281.85309158804,11.0,1.0
1,2461.0,0.041993870017920897,0.041993870017920897,0.0,0.9916700528240553,1.0,0.0,0.005,200.0,1.641168237897862,0.0017509463037657246,0.19095492362976074,0.026775786939288324,1.3363496640004248e-05,0.0,0.15173295140266418,78149.78993265438,14.0,1.0
2,4993.0,0.03492940661271531,0.03250740910066856,0.0024219974835580278,0.9970158221510114,1.0,0.0,0.004999924056991284,400.0,3.2652849373252137,0.003483700488302587,0.21135079860687256,0.00986719733322966,0.00014900565145829227,1.7958099370332356e-17,0.28260567784309387,3655.151516607208,0.0,2.0
2,8499.0,0.6400008261014412,0.6357763197923046,0.00422450599673691,0.6494058124485234,1.0,0.0,0.004999924056991284,670.0,3.146252980616602,0.003356706460623923,0.1459130048751831,0.009895104363012502,0.00015785271279733284,6.556193727028318e-19,0.6593494415283203,3498.2908546387634,1.0,2.0
2,65.0,0.6151014070084784,0.6138514395137662,0.0012499675249273423,0.9,1.0,0.0,0.004999924056991284,10.0,2.1427709397746644,0.0022861013089192834,0.10750909335911274,0.009738816251900914,0.004920152719820806,1.7322922267203912e-17,10.656413078308105,2479.3542743681664,11.0,2.0
2,2461.0,0.02154940910520443,0.019219832282657136,0.0023295768220919916,0.9947988622511175,1.0,0.0,0.004999924056991284,200.0,2.9831419337730365,0.0031826848838111053,0.1563524916273309,0.009839081993682988,0.00025609735658218104,1.8935962511990494e-17,0.5163248181343079,3599.144871872509,14.0,2.0
2,1.0,0.01850561286591983,0.018445087125473235,6.0525746880557564e-05,1.0,1.0,0.0,0.004999924056991284,10.0,0.436783604435776,0.0004660001455499096,0.0244312584400177,0.009633435920353404,0.00024395851864008965,0.0,0.5930789709091187,4146.15396900216,3.0,2.0
2,2538.0,0.021030763056040416,0.018558282925314466,0.002472480130556184,0.994956658786446,1.0,0.0,0.004999924056991284,200.0,3.04471552177554,0.0032483771412122548,0.1603120281797601,0.009848088535797307,0.0002583133424576001,1.5585275534942343e-17,0.5264009237289429,3588.3511860421117,15.0,2.0
2,2252.0,0.6512584225640203,0.6462980769455539,0.004960347104860639,0.6675399644760213,1.0,0.0,0.004999924056991284,180.0,3.01346201376597,0.0032150330799116515,0.14862527884542942,0.009856926461304623,0.0004232195414898743,4.943601503941011e-18,1.1444417238235474,2940.298874274158,7.0,2.0
2,4999.0,0.026469910797341848,0.023921327639310215,0.002548583146378623,0.9974394878975795,1.0,0.0,0.004999924056991284,400.0,3.3304928559846982,0.0035532701774523877,0.17774198949337006,0.009849417214775674,0.0001656026818040466,2.988136816493456e-18,0.2640143930912018,3842.848846752138,12.0,2.0
2,323.0,0.14283270647276436,0.1408160287874327,0.0020166777549414238,0.9643962848297214,1.0,0.0,0.004999924056991284,30.0,1.9376068594945177,0.002067213763001292,0.10832145623862743,0.00971135016001879,0.0008205103980110212,1.4835128598475154e-17,2.1702523231506348,3224.756523433534,5.0,2.0
2,2586.0,0.025769821919316437,0.02361941593444637,0.0021504059832072073,0.9950502706883217,1.0,0.0,0.004999924056991284,210.0,2.888918550095013,0.0030821588794871036,0.15235748887062073,0.009821622928140074,0.0002318151620981959,4.368534788746183e-18,0.46121615171432495,3681.3022943410283,18.0,2.0
