label,path,prune_fraction,keep_ratio,final_round,final_global_accuracy,best_global_accuracy,best_accuracy_round,final_global_loss,final_global_ece,best_global_ece,best_ece_round,final_global_nll,final_global_brier,final_local_accuracy_weighted,communication_saving_ratio_final,communication_saving_ratio_mean,communication_compression_ratio_final,communication_compression_ratio_mean,communication_sent_params_mean_final,communication_sent_params_mean_mean,communication_sparse_bytes_mean,communication_dense_bytes_mean,posterior_sigma_mean_final,posterior_snr_raw_p50_final,ola_prior_loss_mean_final,ola_task_loss_mean_final,ola_fisher_mean_final,ola_precision_mean_final,ola_sigma_mean_final
drop000_keep100,outputs/sparse_comm_mnist_noniid_unbalanced/ola_prune000_dense_baseline_seed42,0.0,1.0,200.0,0.89,0.9114,188.0,0.37354011363983153,0.041449152930080856,0.011356214816868309,129.0,0.37354011363983153,0.16982249588519335,0.9632988437284177,0.0,0.0,1.0,1.0,nan,nan,nan,nan,30.82485821202355,0.0005885121958803417,2.078599940208278e-10,0.27160616853479325,0.0001741370726092363,0.0010852414015046217,30.82065701128836
drop050_keep050,outputs/sparse_comm_mnist_noniid_unbalanced/ola_precision_update_prune050_keep050_seed42,0.5,0.5,200.0,0.886,0.9132,188.0,0.38119172295331955,0.03721269332617518,0.011688018237054315,122.0,0.38119172295331955,0.17460306520015,0.9683610046879001,-0.25,-0.25,0.5,0.5,50885.0,50885.0,15265500.0,12212400.0,30.629472015390604,0.0005950469608256783,2.415542072934423e-10,0.253525888818035,0.00022078559083376053,0.0011045856426227106,30.626220060967114
drop075_keep025,outputs/sparse_comm_mnist_noniid_unbalanced/ola_precision_update_prune075_keep025_seed42,0.75,0.25,200.0,0.8806,0.9118,188.0,0.3929572125673294,0.030976457983255337,0.007271860225498679,111.0,0.3929572125673294,0.18148276882618666,0.9683757248093248,0.3749877174019849,0.3749877174019853,0.2500049130392061,0.25000491303920575,25443.0,25443.0,7632900.0,12212400.0,30.223140009960375,0.000620288526672044,4.240642747074977e-10,0.23443490706842063,0.0003543592834754633,0.0011530995059832916,30.222221369367105
drop090_keep010,outputs/sparse_comm_mnist_noniid_unbalanced/ola_precision_update_prune090_keep010_seed42,0.9,0.1,200.0,0.8824,0.9128,188.0,0.38753630286455154,0.02716965589374303,0.0051440244033932655,143.0,0.38753630286455154,0.17846911138296126,0.9700789456022989,0.75,0.75,0.1,0.09999999999999992,10177.0,10177.0,3053100.0,12212400.0,29.469103784803394,0.0006465275249494661,6.352202649196118e-10,0.22548372827113866,0.00034424426146867213,0.0012248955187910608,29.471884063897527
drop095_keep005,outputs/sparse_comm_mnist_noniid_unbalanced/ola_precision_update_prune095_keep005_seed42,0.95,0.05,200.0,0.8752,0.9078,188.0,0.4094226582288742,0.020331518620252637,0.005681825068593038,192.0,0.4094226582288742,0.18694361876845358,0.96841209105488,0.8749877174019849,0.8749877174019816,0.05000491303920605,0.05000491303920621,5089.0,5089.0,1526700.0,12212400.0,28.93562617094142,0.0006561520452251082,5.818688552974425e-10,0.23870300451612814,0.00034343638862401103,0.0013001849497988128,28.940265160414544
drop098_keep002,outputs/sparse_comm_mnist_noniid_unbalanced/ola_precision_update_prune098_keep002_seed42,0.98,0.02,200.0,0.8527,0.8922,151.0,0.47645413668155673,0.017581493620574484,0.00583027647286655,133.0,0.47645413668155673,0.21883978654146194,0.9617218004258207,0.9499852608823819,0.9499852608823838,0.020005895647047262,0.020005895647047345,2036.0,2036.0,610800.0,12212400.0,29.070145454589003,0.0006395979074797803,1.163679760792999e-09,0.2644822096060738,0.000460974888077011,0.001357584366821769,29.07491249160392
