round,method,accuracy,loss,train_loss,selected_count,active_physical_devices,active_virtual_clients,total_examples
0,ola,0.0997,2.335304959106445,0.0,0,0,0,0
1,ola,0.1882,2.1954702560424804,1.9791127145409537,30,30,17,5002
2,ola,0.235,2.1136610488891603,1.8858592460841113,30,30,17,4997
3,ola,0.2581,2.053432597732544,1.7443697125977027,30,30,15,5001
4,ola,0.2759,2.022102967834473,1.699946352022348,30,30,18,5004
5,ola,0.3088,1.9763075054168702,1.6984272312226116,30,30,16,4999
6,ola,0.3159,1.9510993606567384,1.6895349217657325,30,30,17,5003
7,ola,0.3177,1.9291435749053956,1.6185811023171641,30,30,18,5002
8,ola,0.3274,1.9121674961090087,1.6955494885442735,30,30,17,5002
9,ola,0.3403,1.8842826097488403,1.4958718745541029,30,30,20,4998
10,ola,0.3434,1.8767432695388795,1.5353900328856245,30,30,19,5004
11,ola,0.3468,1.854790517425537,1.4940039096260471,30,30,16,5001
12,ola,0.3491,1.8528488199234008,1.5270352724718346,30,30,20,5001
13,ola,0.3327,1.856416767501831,1.424981633574665,30,30,18,4998
14,ola,0.3438,1.8437235202789306,1.518651085393708,30,30,18,5002
15,ola,0.3665,1.8188423095703126,1.4525346120103162,30,30,18,4998
16,ola,0.3598,1.8169371532440186,1.472601207058453,30,30,17,5003
17,ola,0.3735,1.7953981285095215,1.4478332588240503,30,30,18,5000
18,ola,0.3758,1.78532612991333,1.4581573757826627,30,30,18,5001
19,ola,0.3783,1.7800286071777345,1.4637670255527169,30,30,16,5002
20,ola,0.387,1.7763922313690186,1.4496856230299553,30,30,20,5002
21,ola,0.3776,1.7754435079574584,1.452785649625713,30,30,17,5001
22,ola,0.3836,1.7667045389175415,1.4067460696061294,30,30,17,5005
23,ola,0.3796,1.7600795040130615,1.2991987284743134,30,30,16,4999
24,ola,0.3879,1.7467881240844727,1.428079592580245,30,30,20,5001
25,ola,0.3926,1.741449013519287,1.3132052517652513,30,30,16,5000
26,ola,0.3905,1.7380182865142821,1.3662991795907826,30,30,20,5002
27,ola,0.3872,1.7503405082702637,1.327087548259404,30,30,17,4996
28,ola,0.3864,1.7397154579162597,1.376327861813281,30,30,17,4996
29,ola,0.3772,1.7467678215026856,1.3282267216861248,30,30,17,5000
30,ola,0.3846,1.7445384941101074,1.307230271842987,30,30,20,5001
31,ola,0.3725,1.7515954931259154,1.3552403369326127,30,30,19,5003
32,ola,0.3999,1.7133289440155028,1.3721371141702408,30,30,19,5001
33,ola,0.3986,1.7149882377624512,1.3414437538208401,30,30,19,5001
34,ola,0.3988,1.7122249534606933,1.3863524233036293,30,30,20,5001
35,ola,0.3953,1.709321541595459,1.3922440040304622,30,30,18,5001
36,ola,0.3962,1.7085604963302612,1.3893716600649975,30,30,18,4999
37,ola,0.4073,1.7044329872131347,1.3222414090106565,30,30,17,5003
38,ola,0.4113,1.7024374593734741,1.336088336957982,30,30,19,4999
39,ola,0.4061,1.6976060890197755,1.3416932901469578,30,30,16,5002
40,ola,0.4096,1.6864427417755128,1.2910434174523364,30,30,19,5004
41,ola,0.3992,1.7011349357604981,1.3134831118807837,30,30,18,4999
42,ola,0.4123,1.6823639972686768,1.3210975010561565,30,30,19,4997
43,ola,0.4161,1.6796549945831298,1.3357200403360785,30,30,19,5002
44,ola,0.4078,1.6876161773681642,1.2950011892160385,30,30,19,4999
45,ola,0.4119,1.6828981937408447,1.2880039486343275,30,30,19,4999
46,ola,0.413,1.6781778783798218,1.2584933474136457,30,30,16,5003
47,ola,0.4195,1.666281840133667,1.2811268711959447,30,30,17,5005
48,ola,0.416,1.6687342964172363,1.3042097847219087,30,30,19,5002
49,ola,0.4146,1.6751680740356445,1.295211294188991,30,30,15,4995
50,ola,0.407,1.6835575584411622,1.2142960975605972,30,30,16,5003
