round,num_examples,train_loss,task_loss,prior_loss,train_accuracy,effective_prior_lambda,variance_floor_fraction,lr,local_steps,update_l2,update_rms,update_max_abs,posterior_mean_abs_mean,posterior_precision_mean,posterior_precision_min,posterior_precision_max,posterior_sigma_mean,client_id,server_round
1,1.0,0.7894600875675678,0.7890897341072559,0.037034877901896836,0.9,0.01,0.0,0.01,10.0,0.4085459550134777,0.0005529936836681453,0.06102734059095383,0.019170621938319865,1.0004239385783813,1.0,5.310505390167236,0.999813144970349,49.0,1.0
1,1.0,0.7894600875675678,0.7890897341072559,0.037034877901896836,0.9,0.01,0.0,0.01,10.0,0.4085459550134777,0.0005529936836681453,0.06102734059095383,0.019170621938319865,1.0004239385783813,1.0,5.310505390167236,0.999813144970349,39.0,1.0
1,1.0,0.7894600875675678,0.7890897341072559,0.037034877901896836,0.9,0.01,0.0,0.01,10.0,0.4085459550134777,0.0005529936836681453,0.06102734059095383,0.019170621938319865,1.0004239385783813,1.0,5.310505390167236,0.999813144970349,11.0,1.0
1,1.0,0.7894600875675678,0.7890897341072559,0.037034877901896836,0.9,0.01,0.0,0.01,10.0,0.4085459550134777,0.0005529936836681453,0.06102734059095383,0.019170621938319865,1.0004239385783813,1.0,5.310505390167236,0.999813144970349,68.0,1.0
1,14.0,1.3862780153751373,1.3860382676124572,0.023975089605664836,0.9857142857142858,0.01,0.0,0.01,10.0,0.40715305188505246,0.0005511082981380025,0.07115860562771559,0.019170909317415677,1.000321429919503,1.0,6.293849945068359,0.9998592363247958,77.0,1.0
1,3.0,1.225647297501564,1.2253403425216676,0.030693566799163817,0.9,0.01,0.0,0.01,10.0,0.43130463726572255,0.0005837990493305871,0.06420320644974709,0.019171711910853022,1.0003812530192708,1.0,5.560386657714844,0.9998288873714576,70.0,1.0
1,1.0,1.3844785243272781,1.3842057824134826,0.02727238544030115,0.9,0.01,0.0,0.01,10.0,0.4279163466388257,0.0005792127762513589,0.07008550688624382,0.019170895643856455,1.00037459750857,1.0,6.222550392150879,0.999832828809275,88.0,1.0
1,1.0,0.7894600875675678,0.7890897341072559,0.037034877901896836,0.9,0.01,0.0,0.01,10.0,0.4085459550134777,0.0005529936836681453,0.06102734059095383,0.019170621938319865,1.0004239385783813,1.0,5.310505390167236,0.999813144970349,82.0,1.0
1,1.0,0.7894600875675678,0.7890897341072559,0.037034877901896836,0.9,0.01,0.0,0.01,10.0,0.4085459550134777,0.0005529936836681453,0.06102734059095383,0.019170621938319865,1.0004239385783813,1.0,5.310505390167236,0.999813144970349,58.0,1.0
1,1.0,1.0109222933650017,1.010568106174469,0.03541992716491223,0.9,0.01,0.0,0.01,10.0,0.4306031119816583,0.0005828494889536934,0.05487975850701332,0.019170535742747834,1.0004236629129328,1.0,4.687731742858887,0.9998149734668637,12.0,1.0
1,1.0,0.635502565652132,0.635135180875659,0.0367385235382244,0.9,0.01,0.0,0.01,10.0,0.38401165076392213,0.0005197848974429844,0.04047536477446556,0.01916942971783105,1.0004432363276086,1.0,3.2206358909606934,0.9997973205787823,99.0,1.0
1,50.0,0.8891802641749382,0.8883888735771179,0.07913961489009672,0.93,0.01,0.0,0.01,20.0,0.5963860504737564,0.0008072475443525053,0.10503102093935013,0.019177300651084337,1.0002169566617853,1.0,4.265326976776123,0.99990280779064,42.0,1.0
1,16.0,1.7534201979637145,1.753248429298401,0.017177945206640288,0.85625,0.01,0.0,0.01,10.0,0.3582592449432626,0.00048492733103380607,0.08107979968190193,0.019166964979879835,1.0002491477150353,1.0,7.637194633483887,0.9998907423354085,57.0,1.0
1,9.0,1.4492498695850373,1.4489985644817351,0.025130866101244466,0.8888888888888888,0.01,0.0,0.01,10.0,0.4125409994862036,0.0005584012377811651,0.07242851331830025,0.01917057508314483,1.0003350357113778,1.0,6.469513893127441,0.9998506777167283,93.0,1.0
1,1.0,0.8163785830140113,0.815998374670744,0.03802117863669992,1.0,0.01,0.0,0.01,10.0,0.4168813247841246,0.0005642761520848356,0.045677077025175095,0.019170642160581862,1.0004271527323962,1.0,3.9142072200775146,0.9998117935144212,83.0,1.0
1,24.0,1.184744343161583,1.184429121017456,0.03152208180399611,0.9083333333333333,0.01,0.0,0.01,10.0,0.43340213036848413,0.0005866381434964477,0.06236237846314907,0.019170953384296273,1.0003763459133763,1.0,5.371563911437988,0.9998367829380244,35.0,1.0
1,2.0,1.119621428847313,1.1192743360996247,0.034707901591900736,0.9,0.01,0.0,0.01,10.0,0.4374907580728243,0.000592172368637157,0.05923265404999256,0.019170976521901185,1.000422331020767,1.0,5.104352951049805,0.9998125859683106,94.0,1.0
1,1.0,1.3344006091356277,1.3340941369533539,0.030645981454290448,0.9,0.01,0.0,0.01,10.0,0.43693673283416884,0.0005914224592235168,0.0677938349545002,0.0191696963832571,1.00041500694538,1.0,5.978945255279541,0.9998160773251842,87.0,1.0
1,1.0,0.7894600875675678,0.7890897341072559,0.037034877901896836,0.9,0.01,0.0,0.01,10.0,0.4085459550134777,0.0005529936836681453,0.06102734059095383,0.019170621938319865,1.0004239385783813,1.0,5.310505390167236,0.999813144970349,65.0,1.0
1,1.0,0.7894600875675678,0.7890897341072559,0.037034877901896836,0.9,0.01,0.0,0.01,10.0,0.4085459550134777,0.0005529936836681453,0.06102734059095383,0.019170621938319865,1.0004239385783813,1.0,5.310505390167236,0.999813144970349,9.0,1.0
1,1.0,0.7894600875675678,0.7890897341072559,0.037034877901896836,0.9,0.01,0.0,0.01,10.0,0.4085459550134777,0.0005529936836681453,0.06102734059095383,0.019170621938319865,1.0004239385783813,1.0,5.310505390167236,0.999813144970349,92.0,1.0
1,1.0,0.7894600875675678,0.7890897341072559,0.037034877901896836,0.9,0.01,0.0,0.01,10.0,0.4085459550134777,0.0005529936836681453,0.06102734059095383,0.019170621938319865,1.0004239385783813,1.0,5.310505390167236,0.999813144970349,29.0,1.0
