label,final_round,final_global_accuracy,best_global_accuracy,best_accuracy_round,accuracy_drop_best_to_final,final_global_loss,final_global_ece,best_global_ece,best_ece_round
fedavg,200,0.9057,0.9211,183,0.01540000000000008,0.32011946373581884,0.03299371585249905,0.005622001644968987,129
vi,200,0.7653,0.8877,106,0.12240000000000006,0.7864486145019531,0.0781734862565994,0.013543434122204816,42
ola,200,0.89,0.9114,188,0.021399999999999975,0.37354011363983153,0.041449152930080856,0.011356214816868309,129
