keep_ratio,label,prune_fraction,round,sparse_compression_ratio_mean,sparse_dropped_update_l2_mean,sparse_num_params_sent_mean,sparse_num_params_total_mean,sparse_score_mean_mean,sparse_score_p50_mean,sparse_score_p90_mean,sparse_sent_update_fraction_l2_mean,sparse_sent_update_l2_mean,sparse_threshold_mean
0.5,drop050_keep050,0.5,21,0.5,0.013718804546315196,50885.0,101770.0,4.107596205262973e-07,1.2512690790395175e-07,4.809553648233673e-07,0.9933306025087278,0.11685081040030725,1.251279865730526e-07
0.5,drop050_keep050,0.5,22,0.5,0.010007608447319067,50885.0,101770.0,3.058822323405879e-07,9.068860364160473e-08,3.6395043351458057e-07,0.993547371799223,0.08647632894988447,9.06901213930584e-08
0.5,drop050_keep050,0.5,23,0.5,0.01125933396649677,50885.0,101770.0,3.2133424088668484e-07,1.0112529912392893e-07,3.852181783841317e-07,0.9933959202223833,0.09415840250211388,1.0112632507471367e-07
0.5,drop050_keep050,0.5,24,0.5,0.01547218760699874,50885.0,101770.0,5.089760797679836e-07,1.3996559627625152e-07,5.347763535385335e-07,0.9926676719197356,0.12267266457364051,1.3996903969907525e-07
0.5,drop050_keep050,0.5,25,0.5,0.014559471727245027,50885.0,101770.0,4.0030468051694896e-07,1.31536225844058e-07,4.951261583552398e-07,0.9934088956143244,0.12303893800014375,1.3153735476220666e-07
0.5,drop050_keep050,0.5,26,0.5,0.011469282425787332,50885.0,101770.0,3.427801728275509e-07,1.0447544766382909e-07,3.954291991118722e-07,0.9935082729285164,0.09776657649398855,1.0447619938272248e-07
0.5,drop050_keep050,0.5,27,0.5,0.012603430327937985,50885.0,101770.0,3.3194348283321236e-07,1.1287508165318289e-07,4.1970668623049443e-07,0.9932505575287184,0.10156382608313326,1.1287753883734607e-07
0.5,drop050_keep050,0.5,28,0.5,0.012881281713268695,50885.0,101770.0,3.956963179609164e-07,1.1462767752926182e-07,4.1061570243187783e-07,0.9926986007826503,0.10573510438868697,1.1462947560988429e-07
0.5,drop050_keep050,0.5,29,0.5,0.014259574613013009,50885.0,101770.0,3.939183975867045e-07,1.2963139636444213e-07,4.883941693190107e-07,0.993204102478363,0.1218425182155631,1.29633650500762e-07
0.5,drop050_keep050,0.5,30,0.5,0.012422766145708695,50885.0,101770.0,3.171103685338817e-07,1.1191843845407083e-07,3.982606703420374e-07,0.9928667146798336,0.09958419919864238,1.119199529354935e-07
0.5,drop050_keep050,0.5,31,0.5,0.015390162218863952,50885.0,101770.0,4.1145795779387163e-07,1.3945401427446938e-07,5.048141617314871e-07,0.992873318484141,0.12844092776339003,1.3945596326208192e-07
0.5,drop050_keep050,0.5,32,0.5,0.015045087850192585,50885.0,101770.0,4.119768218044961e-07,1.369676278798128e-07,5.210430003295382e-07,0.993866835123552,0.1354002207073008,1.3697095742098167e-07
0.5,drop050_keep050,0.5,33,0.5,0.016212415227281982,50885.0,101770.0,4.223725183063001e-07,1.4206828136750416e-07,5.161329916571277e-07,0.992753224804024,0.1314463393938865,1.420691458429699e-07
0.5,drop050_keep050,0.5,34,0.5,0.017934785566072343,50885.0,101770.0,4.6311383955368196e-07,1.610206117224753e-07,5.856919546321858e-07,0.9927408377169592,0.1471964963399681,1.610232432069511e-07
0.5,drop050_keep050,0.5,35,0.5,0.010734577037505667,50885.0,101770.0,3.532505635396689e-07,9.468465635685824e-08,3.9229450011932655e-07,0.9938243262946986,0.09610911985755423,9.468515692115275e-08
0.5,drop050_keep050,0.5,36,0.5,0.012079999127354258,50885.0,101770.0,3.5892218098635076e-07,1.0900259367735964e-07,4.1508012485804073e-07,0.9943527148358975,0.1102780946925079,1.0900427440575613e-07
0.5,drop050_keep050,0.5,37,0.5,0.016475558868507077,50885.0,101770.0,4.055831344820064e-07,1.4738335463880224e-07,5.059406576950115e-07,0.9928151786836944,0.13136587048569753,1.4738474215345737e-07
0.5,drop050_keep050,0.5,38,0.5,0.015096203382233603,50885.0,101770.0,3.7736614086971217e-07,1.3218410621253145e-07,4.665496019570483e-07,0.9925594842397133,0.11795834509634964,1.3218572831867326e-07
0.5,drop050_keep050,0.5,39,0.5,0.016493866912500064,50885.0,101770.0,4.351079624262381e-07,1.4764019428410912e-07,5.306995901698582e-07,0.9931306901982278,0.14133556644940404,1.4764191709471044e-07
0.5,drop050_keep050,0.5,40,0.5,0.012443643313082672,50885.0,101770.0,3.1089116780394115e-07,1.0903687772870417e-07,3.949423623011899e-07,0.993061648509902,0.10492389882830737,1.0903858457959562e-07
0.5,drop050_keep050,0.5,41,0.5,0.013412807389434503,50885.0,101770.0,3.3756269348713356e-07,1.200421813964149e-07,4.1355253623693225e-07,0.9928760890743071,0.11097869395675022,1.2004342423580478e-07
0.5,drop050_keep050,0.5,42,0.5,0.010952265417050874,50885.0,101770.0,2.7970786314158234e-07,9.711246505168069e-08,3.63067162154053e-07,0.9936953287505557,0.09645700295218623,9.711340589655901e-08
0.5,drop050_keep050,0.5,43,0.5,0.01705676926848079,50885.0,101770.0,4.3932204063752563e-07,1.5058222462090745e-07,5.163616156306309e-07,0.9932686201853168,0.1421588932857064,1.5058385971283321e-07
0.5,drop050_keep050,0.5,44,0.5,0.01095102277522698,50885.0,101770.0,2.8218766618139255e-07,9.851204918657123e-08,3.5469065481811127e-07,0.9937496254777382,0.09627514674386989,9.851401066187668e-08
0.5,drop050_keep050,0.5,45,0.5,0.01105596872584547,50885.0,101770.0,2.809841398213885e-07,9.797265955502504e-08,3.4548089256503874e-07,0.993772035163489,0.09583138237168996,9.797489642683493e-08
0.5,drop050_keep050,0.5,46,0.5,0.009793479321713709,50885.0,101770.0,2.2766154229658517e-07,8.678681596826459e-08,2.953921600793659e-07,0.99240347585671,0.08054920164622612,8.678963928717039e-08
0.5,drop050_keep050,0.5,47,0.5,0.012665882877020092,50885.0,101770.0,3.8458181695916893e-07,1.155706136714145e-07,4.3672204690760503e-07,0.9950034331036264,0.12498068138295863,1.1557154803424512e-07
0.5,drop050_keep050,0.5,48,0.5,0.014038970017292774,50885.0,101770.0,3.653503425997557e-07,1.276889492506196e-07,4.537566957264691e-07,0.9938153103560847,0.12210752277737226,1.2769162311665993e-07
0.5,drop050_keep050,0.5,49,0.5,0.013491188848441747,50885.0,101770.0,3.296997331419918e-07,1.2029931435095943e-07,4.16541378154492e-07,0.9928559380609239,0.11141395881876852,1.2030027652657585e-07
0.5,drop050_keep050,0.5,50,0.5,0.010653800365248416,50885.0,101770.0,2.5941673679112406e-07,9.380505787698012e-08,3.248874577381793e-07,0.9930708449250409,0.08907110198856528,9.380540816719175e-08
0.5,drop050_keep050,0.5,51,0.5,0.011341772820553656,50885.0,101770.0,3.048552037649327e-07,1.0214441005175404e-07,3.6854413425653706e-07,0.9941842185111844,0.10319006234824554,1.0214515808839383e-07
0.5,drop050_keep050,0.5,52,0.5,0.012563179774414363,50885.0,101770.0,3.1472072297718255e-07,1.139825320363293e-07,3.9007207863982795e-07,0.9939394061649651,0.11059166199797893,1.1398394894650031e-07
0.5,drop050_keep050,0.5,53,0.5,0.011245199919326964,50885.0,101770.0,3.789544752627851e-07,1.0020972012177206e-07,3.9867513543097174e-07,0.994172921130494,0.10367545800218751,1.0021152819147396e-07
0.5,drop050_keep050,0.5,54,0.5,0.013510617146657787,50885.0,101770.0,4.2299087851380533e-07,1.1867159427305545e-07,4.6246988496548663e-07,0.9934431252240568,0.11693931692366458,1.1867259936014341e-07
