target_removed_percent,snr_threshold,name,total,pruned,pruned_percent
50,1.0796079635620117,layer0.weight,940800,465459,49.47480867346939
50,1.0796079635620117,layer1.weight,1440000,728882,50.61680555555556
50,1.0796079635620117,layer2.weight,12000,2059,17.158333333333335
75,1.8868101835250854,layer0.weight,940800,699722,74.37521258503402
75,1.8868101835250854,layer1.weight,1440000,1091539,75.80131944444445
75,1.8868101835250854,layer2.weight,12000,3339,27.825
95,3.3446712493896484,layer0.weight,940800,889992,94.59948979591837
95,3.3446712493896484,layer1.weight,1440000,1377954,95.69125
95,3.3446712493896484,layer2.weight,12000,5214,43.45
98,4.098715782165527,layer0.weight,940800,919915,97.78008078231292
98,4.098715782165527,layer1.weight,1440000,1419043,98.54465277777778
98,4.098715782165527,layer2.weight,12000,5986,49.88333333333333
