target_removed_percent,actual_removed_percent,weights_left,test_error_percent,snr_threshold,include_bias,prune_rho,rho_prune_value,samples
0,0.0,2392800,2.639999999999998,-inf,False,True,-20.0,1
50,50.0,1196400,2.629999999999999,1.0796079635620117,False,True,-20.0,1
75,75.0,598200,3.0000000000000027,1.8868101835250854,False,True,-20.0,1
95,95.0,119640,16.080000000000005,3.3446712493896484,False,True,-20.0,1
98,98.0,47856,39.849999999999994,4.098715782165527,False,True,-20.0,1
