round,accuracy,nll,brier,ece,mce,mean_confidence,predictive_entropy,expected_entropy,mutual_information,fola_mean_accuracy,fola_mean_nll,fola_mean_brier,fola_mean_ece,fola_mean_mce,fola_mean_mean_confidence,fola_mean_predictive_entropy,fola_mean_expected_entropy,fola_mean_mutual_information
0.0,0.1191,2.3090767691948133,0.9012682132533999,0.004111658821254971,0.048416803476580395,0.11940395365580916,2.2944285180585013,2.2944285180585013,0.0,0.1191,2.3090767691948133,0.9012682132533999,0.004111658821254971,0.048416803476580395,0.11940395365580916,2.2944285180585013,2.2944285180585013,0.0
1.0,0.1676,2.8416209176124987,0.9752047342142383,0.14808232180029154,0.6030657887458801,0.31568232180029154,1.8289456381739306,1.8289456381739306,0.0,0.1676,2.8416209176124987,0.9752047342142383,0.14808232180029154,0.6030657887458801,0.31568232180029154,1.8289456381739306,1.8289456381739306,0.0
2.0,0.2323,2.2174457096440463,0.8737985193420286,0.01921240553706884,0.42416903376579285,0.2144434678927064,2.1979669692421133,2.1979669692421133,0.0,0.2323,2.2174457096440463,0.8737985193420286,0.01921240553706884,0.42416903376579285,0.2144434678927064,2.1979669692421133,2.1979669692421133,0.0
3.0,0.2546,2.2351261576065253,0.8680205564888261,0.03442695391923188,0.4140624801317851,0.27962246979624034,2.0732732396769498,2.0732732396769498,0.0,0.2546,2.2351261576065253,0.8680205564888261,0.03442695391923188,0.4140624801317851,0.27962246979624034,2.0732732396769498,2.0732732396769498,0.0
4.0,0.2541,2.1838056316687964,0.8621853320240253,0.06622998325824737,0.10287657380104065,0.3191390839576721,2.0156099609838094,2.0156099609838094,0.0,0.2541,2.1838056316687964,0.8621853320240253,0.06622998325824737,0.10287657380104065,0.3191390839576721,2.0156099609838094,2.0156099609838094,0.0
5.0,0.2688,2.1379334314877014,0.8484724436935803,0.04532337664812802,0.45693482671465196,0.3126280792877078,2.009551482149301,2.009551482149301,0.0,0.2688,2.1379334314877014,0.8484724436935803,0.04532337664812802,0.45693482671465196,0.3126280792877078,2.009551482149301,2.009551482149301,0.0
6.0,0.2718,2.10333068717551,0.8420847413072307,0.06285636932700876,0.13021591678261757,0.333607311950624,1.977631994590079,1.977631994590079,0.0,0.2718,2.10333068717551,0.8420847413072307,0.06285636932700876,0.13021591678261757,0.333607311950624,1.977631994590079,1.977631994590079,0.0
7.0,0.2888,2.075645853055659,0.8321643840763092,0.04389291879087686,0.07365276022204037,0.3281180204287171,1.9768746868554121,1.9768746868554121,0.0,0.2888,2.075645853055659,0.8321643840763092,0.04389291879087686,0.07365276022204037,0.3281180204287171,1.9768746868554121,1.9768746868554121,0.0
8.0,0.3011,2.028761895444948,0.8208838850684653,0.024619995918124922,0.10094430936234344,0.32265877325758335,1.981780100022438,1.981780100022438,0.0,0.3011,2.028761895444948,0.8208838850684653,0.024619995918124922,0.10094430936234344,0.32265877325758335,1.981780100022438,1.981780100022438,0.0
9.0,0.303,2.008971539140506,0.8167058942752715,0.0164294417217374,0.4387025833129883,0.3131513792261481,1.9906917310113437,1.9906917310113437,0.0,0.303,2.008971539140506,0.8167058942752715,0.0164294417217374,0.4387025833129883,0.3131513792261481,1.9906917310113437,1.9906917310113437,0.0
