schema_version,run_id,round,method,aggregation_mode,num_results_received,num_failures,total_selected_examples,aggregation_weight_entropy,aggregation_weight_min,aggregation_weight_max,global_before_l2,global_after_l2,aggregation_delta_l2,aggregation_delta_linf,aggregation_delta_cosine,client_update_l2_mean,client_update_l2_std,client_update_l2_min,client_update_l2_max,client_update_cosine_mean,client_update_cosine_std,pairwise_update_cosine_mean,pairwise_update_cosine_std,update_conflict_fraction,fedavg_equivalent_delta_l2,bayes_product_delta_l2,bayes_vs_fedavg_delta_l2,aggregation_energy_before,aggregation_energy_after,aggregation_error_proxy
bayesfl_observability_v1,vi_lr0p002_b32_e1,1,vi,product,24,0,2363,1.7112095259625277,0.00042319085907744394,0.3381294964028777,6.786648565740691,6.8455473412480705,0.9127039493071704,0.011786777526140213,0.9910720043138231,1.3190225868806853,0.7140731352470632,0.6380282174639461,2.4822084982596966,0.9770781904028497,0.0204742924401447,,,,,0.9127039493071704,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,2,vi,product,24,0,2180,1.7045020586286281,0.0009174311926605505,0.4389908256880734,6.8455473412480705,6.9297789716427625,1.1034459967683559,0.014164818450808525,0.9872412961909679,1.2593321385422378,0.5958678441889396,0.6380282152288975,2.4979227529522583,0.9803446538929774,0.016877001915227948,,,,,1.1034459967683559,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,3,vi,product,24,0,2209,1.9545763137175334,0.0009053870529651426,0.35083748302399276,6.9297789716427625,6.972010402591484,0.7365175388228763,0.009333668276667595,0.9944046332769837,1.4156037987544068,0.5756860938245063,0.6380282172194492,2.307902610608335,0.9769778315010458,0.016485700766182596,,,,,0.7365175388228763,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,4,vi,product,24,0,2335,1.6919175055918885,0.0021413276231263384,0.44839400428265525,6.972010402591484,7.072662901920236,1.1917451486672164,0.016019468661397696,0.9857016208961292,1.2569524142447686,0.5946819360468939,0.6380250841353218,2.4738770194734805,0.9811186898553259,0.016496452306883014,,,,,1.1917451486672164,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,5,vi,product,24,0,1743,2.124958864752726,0.0005737234652897303,0.24440619621342513,7.072662901920236,7.1160304280977495,0.7882369411716369,0.011012606788426638,0.9938461599417968,1.2273680244260652,0.6137934361034655,0.6380282160097308,2.3413303729091743,0.9820724753541331,0.01574272897355146,,,,,0.7882369411716369,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,6,vi,product,24,0,2411,1.8490103545040277,0.0008295313148071339,0.334301119867275,7.1160304280977495,7.183843457864801,0.9855813888082988,0.013024544343352318,0.9905441746625981,1.378424124288882,0.5857467845133583,0.6380282190330007,2.5334329618659104,0.979003483852733,0.016836815639331443,,,,,0.9855813888082988,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,7,vi,product,24,0,2366,1.4109014015181776,0.00042265426880811494,0.41335587489433645,7.183843457864801,7.275552805124262,1.1472898587419462,0.015668359119445086,0.9874884954357316,1.2141464527207662,0.7406885871738212,0.638028215872005,2.5221936405393133,0.9815944778410863,0.020122551015439645,,,,,1.1472898587419462,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,8,vi,product,24,0,2075,1.7810933348363378,0.0019277108433734939,0.4130120481927711,7.275552805124262,7.359798714661346,1.1426131324252002,0.01619243621826172,0.9878753525371563,1.246797810693195,0.6319157316901672,0.6380282189316097,2.5298305814804074,0.9824421156432077,0.016372383774282434,,,,,1.1426131324252002,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,9,vi,product,24,0,1581,1.8773831910452836,0.0018975332068311196,0.2567994939911448,7.359798714661346,7.4136335759542495,0.8696507165645122,0.011031344532966614,0.9930960885968091,1.1630002812067675,0.6273670483412115,0.6380282190658662,2.3124631378376117,0.9846255437239895,0.015119693943439396,,,,,0.8696507165645122,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,10,vi,product,24,0,2556,2.1466275087525,0.000782472613458529,0.18896713615023475,7.4136335759542495,7.450934168356948,0.7632494901235224,0.010179061442613602,0.9947395521694008,1.4724536799836938,0.6355766961634349,0.6380282198985968,2.405337263414652,0.9777904688111331,0.016231648598733054,,,,,0.7632494901235224,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,11,vi,product,24,0,3421,1.9726654132494303,0.00029231218941829873,0.38146740719087985,7.450934168356948,7.531239303101787,1.0794717876788555,0.018155978992581367,0.9896746394773246,1.4484419971995888,0.6612980989166164,0.6380282144392895,2.5103013252314947,0.9783604237786502,0.01662308319071475,,,,,1.0794717876788555,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,12,vi,product,24,0,1928,1.9709510218510513,0.0005186721991701245,0.22095435684647302,7.531239303101787,7.579429503568228,0.8392967410919031,0.010735998541349545,0.993850157609547,1.3137529219377322,0.5807403277336485,0.6380282188200055,2.320838712437588,0.9826169809136193,0.014247282839271784,,,,,0.8392967410919031,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,13,vi,product,24,0,1779,2.3512864796870225,0.002810567734682406,0.16245081506464307,7.579429503568228,7.606065856204057,0.6041549851906797,0.008003704249858856,0.9968404507719066,1.3630323336268513,0.4816195386899982,0.6380282196628686,2.132851566002362,0.9824896064454925,0.01100648552500434,,,,,0.6041549851906797,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,14,vi,product,24,0,1333,1.838203206378032,0.0015003750937734434,0.2768192048012003,7.606065856204057,7.646927265200297,0.8020858219309696,0.010095769539475441,0.99448385009535,1.148703914673543,0.5552237444476052,0.6380282184259031,2.263729240950541,0.9864389142368359,0.011952913270925939,,,,,0.8020858219309696,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,15,vi,product,24,0,1656,2.099276434064476,0.0036231884057971015,0.21195652173913043,7.646927265200297,7.688322304108175,0.7846570786810924,0.009710537269711494,0.9947784328735121,1.2296763296292468,0.5922301634240532,0.6380281974368482,2.2133267059074915,0.9847138823455758,0.013163898835350138,,,,,0.7846570786810924,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,16,vi,product,24,0,1990,1.5657012987415717,0.004020100502512563,0.5894472361809046,7.688322304108175,7.829183241860732,1.4749321771310537,0.020431198179721832,0.9820944881634078,1.1095356595208847,0.5205127361225375,0.6380282197869399,2.50322207004923,0.987766750445385,0.01207889485749015,,,,,1.4749321771310537,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,17,vi,product,24,0,1767,2.0111408536898496,0.0005659309564233164,0.2212790039615167,7.829183241860732,7.8699636524887735,0.8387028822196315,0.010444581508636475,0.9943053228199421,1.2414717173120389,0.595057270218458,0.6380282140113879,2.328810749360155,0.9851522380633649,0.013359872985743378,,,,,0.8387028822196315,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,18,vi,product,24,0,1559,1.9605950644733052,0.0006414368184733803,0.24438742783835793,7.8699636524887735,7.918629964290016,0.8780904459138762,0.011431776452809572,0.9938327769141219,1.2059021505270493,0.579726922264554,0.6380282190768263,2.2725211847093973,0.9861068972103069,0.012768810386819833,,,,,0.8780904459138762,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,19,vi,product,24,0,2448,1.753947149568368,0.0012254901960784314,0.3443627450980392,7.918629964290016,7.977996972248598,1.0279843483164386,0.01765664666891098,0.9916641819148625,1.3523536616663072,0.6430206695875716,0.6380281980273576,2.57526229625462,0.982896444701742,0.014634857953652639,,,,,1.0279843483164386,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,20,vi,product,24,0,2683,2.0234359713023133,0.005963473723443906,0.28512858740216174,7.977996972248598,8.049824007315648,0.9992225828113128,0.013652823865413666,0.992266709069841,1.3875250734696551,0.6556564867430154,0.6380282150523291,2.5703945321357664,0.9823807008456061,0.015022887415308966,,,,,0.9992225828113128,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,21,vi,product,24,0,2756,1.5509112410852548,0.000362844702467344,0.4735123367198839,8.049824007315648,8.155360035083854,1.3031366024084308,0.01973935216665268,0.9871512004918256,1.210636490194593,0.7489206276775704,0.6380281988020217,2.500571110099949,0.9851259640976139,0.01594171307628324,,,,,1.3031366024084308,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,22,vi,product,24,0,1157,1.8572532208005497,0.006050129645635264,0.29732065687121867,8.155360035083854,8.199466584105961,0.8534657312616036,0.009616471827030182,0.9945680971317531,1.0137522567624262,0.5437072638242572,0.6380282163132427,2.2094688355981575,0.9903628472455408,0.010371637324434045,,,,,0.8534657312616036,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,23,vi,product,24,0,1286,1.6937416418403903,0.0007776049766718507,0.2884914463452566,8.199466584105961,8.248793351586011,0.8755306924171592,0.010989653179422021,0.9943512020881454,1.1080560185873491,0.562240580405522,0.6380282177324486,2.228996357908317,0.9889080443717703,0.011078625858048093,,,,,0.8755306924171592,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,24,vi,product,24,0,3578,1.6648335652761794,0.00027948574622694243,0.39351593068753493,8.248793351586011,8.340395586792937,1.207164389754878,0.021491188555955887,0.9894702557520904,1.3312588731593757,0.764340245938588,0.6380282095524377,2.592445333865803,0.9835395078259238,0.016175474024113245,,,,,1.207164389754878,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,25,vi,product,24,0,2133,2.0410196291702882,0.00046882325363338024,0.27660571964369435,8.340395586792937,8.399244352171252,0.932996824968218,0.013237789273262024,0.9938116879779827,1.3257310859650422,0.6653180917267825,0.6380250795182046,2.5437920509979843,0.9848512493820089,0.013433565425174909,,,,,0.932996824968218,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,26,vi,product,24,0,1529,1.92260868415081,0.002616088947024199,0.2589928057553957,8.399244352171252,8.442340002338494,0.881120076036342,0.011416268534958363,0.9945386880909954,1.1967431248162668,0.586602306445613,0.6380282143575539,2.3361635600111974,0.9878293152012675,0.011157451309213206,,,,,0.881120076036342,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,27,vi,product,24,0,2319,1.606001937302282,0.0008624407072013799,0.33635187580853815,8.442340002338494,8.524780942015445,1.1306618551608916,0.018472347408533096,0.9911656548639663,1.2208587907180752,0.7731324177454719,0.6380282133729646,2.59539625190172,0.9860581167366403,0.015420444120547926,,,,,1.1306618551608916,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,28,vi,product,24,0,1737,1.033655111222508,0.0011514104778353484,0.7426597582037997,8.524780942015445,8.63000956339675,1.3853579779376504,0.01877192361280322,0.9870315948761589,1.0847414119581196,0.6353454392756616,0.638028211771913,2.607736063398749,0.9895532847513118,0.013014892151035297,,,,,1.3853579779376504,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,29,vi,product,24,0,2968,1.5461922590424162,0.0006738544474393531,0.4444070080862534,8.63000956339675,8.717198561045976,1.220487640448754,0.019262246321886778,0.9901502201775375,1.346250042501235,0.6648626571421145,0.6380282132628949,2.5279071276370186,0.9854721948777674,0.013101675146103667,,,,,1.220487640448754,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,30,vi,product,24,0,2279,2.0129124065767754,0.008336989907854322,0.36989907854322074,8.717198561045976,8.789545691897825,1.0801612782575258,0.01451103575527668,0.9924203144116018,1.2986644790266184,0.6253617724360867,0.6380282125074944,2.6212001410365233,0.9868319852533782,0.011716559365952653,,,,,1.0801612782575258,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,31,vi,product,24,0,2899,1.7310017906290969,0.0006898930665746809,0.45463953087271475,8.789545691897825,8.846356395884705,0.9472193353740233,0.012392103672027588,0.9942512263119718,1.5332832425276146,0.6066986052258847,0.6380282091884487,2.624550648517113,0.9830927898013535,0.012057147445365178,,,,,0.9472193353740233,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,32,vi,product,24,0,3540,1.925607338890695,0.000847457627118644,0.2635593220338983,8.846356395884705,8.919651057172848,1.072059050930558,0.018154755234718323,0.9927512956822895,1.4875601363946804,0.7851214767295288,0.6380282095593613,2.6278000037214913,0.9827774817524756,0.01519124580099739,,,,,1.072059050930558,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,33,vi,product,24,0,4000,2.0487814315002844,0.0165,0.31375,8.919651057172848,8.981422857411317,1.0496500786216525,0.01769704930484295,0.9931473370175095,1.6235039943551146,0.6125621436544818,0.6380282052181403,2.6321304648519166,0.9818228580743903,0.011971465005828855,,,,,1.0496500786216525,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,34,vi,product,24,0,5847,2.063906659986758,0.0003420557550880794,0.22319138019497178,8.981422857411317,9.039889590162707,1.0098927423385406,0.01478115122881718,0.9937402907748889,1.6983384973940412,0.7441392118561053,0.6380282077146082,2.641343806711767,0.9796732429904053,0.014407704690308495,,,,,1.0098927423385406,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,35,vi,product,24,0,1905,1.5514084632505918,0.0005249343832020997,0.5039370078740157,9.039889590162707,9.145979651033995,1.3381723929896825,0.017074482515454292,0.9892387555113323,1.1295912222815012,0.6404878795643869,0.6380282046819797,2.6347162479324107,0.9900601955023057,0.011549476562888416,,,,,1.3381723929896825,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,36,vi,product,24,0,1527,1.9026579105083408,0.0006548788474132286,0.2632612966601179,9.145979651033995,9.186864170429997,0.8247668454143009,0.010264797951549554,0.9959619994944071,1.193151084279265,0.6013597761684252,0.6380282051908246,2.362012675647694,0.9896408426374551,0.00944603460742638,,,,,0.8247668454143009,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,37,vi,product,24,0,5135,1.9113160388441834,0.00019474196689386563,0.30496592015579355,9.186864170429997,9.243198770787691,0.9339160207733291,0.012815095484256744,0.9948830289470203,1.7590502142502822,0.792983444562422,0.6380282039859073,2.647182831994699,0.9789843087141181,0.014205365824016018,,,,,0.9339160207733291,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,38,vi,product,24,0,3690,1.9617904841805285,0.004607046070460705,0.2669376693766938,9.243198770787691,9.30151855809081,1.0221422237444675,0.015029167756438255,0.9939437974939666,1.5823769358622903,0.7040029308039912,0.638028203704888,2.659008123229295,0.9831574959941328,0.012932971224184554,,,,,1.0221422237444675,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,39,vi,product,24,0,4371,1.9998131225625657,0.001601464195836193,0.32212308396247996,9.30151855809081,9.368641324150595,1.0495119277227856,0.015845168381929398,0.993705891652118,1.6085177085094975,0.7520381052398766,0.6380282028217519,2.6354626200366287,0.982551881682671,0.013205166508272716,,,,,1.0495119277227856,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,40,vi,product,24,0,2913,1.663528712837728,0.0006865774116031583,0.27154136628904907,9.368641324150595,9.426574462026764,0.9975897511687286,0.012674957513809204,0.9943846566080902,1.3891275500449445,0.8285854520537863,0.6380281964073026,2.6679947588183883,0.9857204196307126,0.013623189791198516,,,,,0.9975897511687286,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,41,vi,product,24,0,2399,2.0842048134231064,0.007503126302626094,0.25302209253855773,9.426574462026764,9.471883963271777,0.8649675485725503,0.011926860082894564,0.9958218307037865,1.4133838550493796,0.6411527469945272,0.6380282017255169,2.5813837568466633,0.9869004815301455,0.010526073826446459,,,,,0.8649675485725503,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,42,vi,product,24,0,2168,1.4721212901650527,0.00046125461254612545,0.3980627306273063,9.471883963271777,9.561608760385576,1.3110259210676194,0.01742181833833456,0.9905553411256727,1.2008829652827713,0.6614217216187235,0.6380281986407973,2.675422393287078,0.9898909406020926,0.011424056449358597,,,,,1.3110259210676194,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,43,vi,product,24,0,4163,1.8383620847508206,0.0031227480182560653,0.27456161422051406,9.561608760385576,9.630786213104757,1.12030762110439,0.018973875790834427,0.99321120350507,1.526058312802742,0.7748597376918981,0.6380281964178817,2.66565474783217,0.9846397723990007,0.01333020882135185,,,,,1.12030762110439,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,44,vi,product,24,0,2178,1.83209971316117,0.002295684113865932,0.38705234159779617,9.630786213104757,9.711480456719512,1.184251230866636,0.017110388725996017,0.9925374132629481,1.244966527646192,0.664029641224388,0.6380281869497351,2.688486876345221,0.9896365841158808,0.010773771331547827,,,,,1.184251230866636,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,45,vi,product,24,0,2462,1.7519404563975303,0.0012185215272136475,0.5097481722177092,9.711480456719512,9.811429301816638,1.3619402196992525,0.02107670996338129,0.9903189360458226,1.279137769080756,0.5502803293633196,0.6380281933383174,2.6246067703170235,0.9899906798358028,0.008414776776953608,,,,,1.3619402196992525,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,46,vi,product,24,0,2551,1.5184316075433084,0.0015680125441003528,0.45981967855742845,9.811429301816638,9.914069703778736,1.3813750018382913,0.026831403374671936,0.9902455096636977,1.207439880198421,0.7110843148033875,0.6380281767828485,2.6591887015466225,0.9901418811689665,0.010942912252645218,,,,,1.3813750018382913,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,47,vi,product,24,0,2767,1.6003481752655362,0.0007228044813877846,0.3809179616913625,9.914069703778736,9.97951573808654,1.084328030181391,0.013907520100474358,0.9940796829500848,1.4065737489362733,0.7482885155962823,0.6380281903626553,2.6964013143034973,0.9875583944238987,0.01181297913058694,,,,,1.084328030181391,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,48,vi,product,24,0,4252,1.822415922559669,0.00047036688617121356,0.34689557855127,9.97951573808654,10.034847505953886,1.0116960331949851,0.013414499815553427,0.9949049454861046,1.5692353107776167,0.8961001973196101,0.6380281874061162,2.68231011782255,0.9842870815398105,0.01352427050258401,,,,,1.0116960331949851,,,,
bayesfl_observability_v1,vi_lr0p002_b32_e1,49,vi,product,24,0,4023,2.1370345974446137,0.0004971414367387521,0.2421078796917723,10.034847505953886,10.086360131893185,0.9679068719021883,0.01293306052684784,0.9953851238946512,1.655366882295838,0.7385514159968494,0.6380281858853238,2.6997076551928454,0.9843001240874604,0.011825351435960186,,,,,0.9679068719021883,,,,
