round,num_examples,train_loss,train_accuracy,lr,local_steps,update_l2,update_rms,update_max_abs,client_id,server_round
1,2926.0,0.6282480991017061,0.757758031442242,0.02,920.0,1.812628423293819,0.0019338754946490303,0.10355682671070099,14.0,1.0
1,1469.0,0.8990119164983297,0.6720217835262083,0.02,460.0,1.3889838555959335,0.0014818932585857919,0.12843790650367737,19.0,1.0
1,3511.0,0.7303522367986374,0.7141270293363714,0.02,1100.0,1.9311198688267333,0.002060292856253262,0.21250051259994507,10.0,1.0
1,4106.0,0.11231022849189062,0.9821724305893814,0.02,1290.0,0.7700459204441082,0.0008215544433509798,0.10848816484212875,8.0,1.0
1,1029.0,1.1274457318876645,0.5862001943634597,0.02,330.0,1.3323849842376922,0.0014215084776026054,0.10764017701148987,18.0,1.0
1,473.0,0.4367231900136264,0.9029598308668076,0.02,150.0,0.6229215568231078,0.0006645889021423354,0.05890355631709099,3.0,1.0
1,459.0,1.0172023828252987,0.5797385620915033,0.02,150.0,0.9294557590505144,0.00099162723738049,0.08750510960817337,9.0,1.0
1,2909.0,0.49944203446291696,0.8497765555173599,0.02,910.0,1.4424153600348175,0.001538898806854103,0.16725359857082367,16.0,1.0
1,5482.0,1.196910872844526,0.5253921926304268,0.02,1720.0,2.760351122013856,0.0029449915508823823,0.20704057812690735,12.0,1.0
1,3768.0,0.8580033189425297,0.6899946921443737,0.02,1180.0,2.1279183921155753,0.0022702552714292472,0.16951346397399902,13.0,1.0
1,103.0,0.8644838202636219,0.7815533980582524,0.02,40.0,0.5633720732112766,0.0006010561418722195,0.06285879015922546,11.0,1.0
1,2383.0,0.7803808670645744,0.7775493075954679,0.02,750.0,1.3229109792788665,0.0014114007545907574,0.10341618955135345,15.0,1.0
1,1021.0,0.8479553796372848,0.7428991185112634,0.02,320.0,1.093227230304584,0.0011663534145223817,0.08589062839746475,5.0,1.0
1,1781.0,0.7641849946316409,0.7964065131948344,0.02,560.0,1.111264060012738,0.00118559673131335,0.1313243806362152,4.0,1.0
1,5362.0,0.8868439664372931,0.6517530772099963,0.02,1680.0,2.116201376554577,0.002257754502395371,0.35501453280448914,7.0,1.0
1,1988.0,1.1049583047928224,0.47756539235412476,0.02,630.0,1.5744129717987927,0.001679725764802103,0.14512090384960175,2.0,1.0
1,877.0,0.7218363009350738,0.8107183580387686,0.02,280.0,0.843028754120097,0.0008994191131102505,0.06796032935380936,0.0,1.0
1,6619.0,0.8102845514544657,0.6528780782595558,0.02,2070.0,3.273322595222253,0.0034922757867154913,0.16267141699790955,1.0,1.0
1,3337.0,0.005234468641889805,0.9990410548396763,0.02,1050.0,0.7095621892146403,0.0007570249434565349,0.06195225194096565,17.0,1.0
1,337.0,1.0680948178916727,0.4824925816023739,0.02,110.0,0.6790795759782354,0.000724503342231929,0.056978706270456314,6.0,1.0
2,1021.0,0.8012355355248512,0.7495592556317336,0.02,320.0,1.0657543850228073,0.0011370429052222082,0.10906071495264769,5.0,2.0
2,3768.0,0.7856752754649792,0.7133492569002123,0.02,1180.0,2.0852655856247564,0.002224749410332402,0.11524023860692978,13.0,2.0
2,2926.0,0.5711765073143042,0.7871838687628161,0.02,920.0,1.6796117505720054,0.0017919613105555105,0.0841630483046174,14.0,2.0
2,1781.0,0.7286529995898462,0.8026951151038743,0.02,560.0,1.1260016079727668,0.0012013200767518625,0.09660375118255615,4.0,2.0
2,4106.0,0.11019350063914041,0.9821724305893814,0.02,1290.0,0.7405521492498879,0.0007900878280070347,0.08959957119077444,8.0,2.0
2,1469.0,0.8388988332552841,0.7046970728386658,0.02,460.0,1.3524959016457643,0.0014429646182272284,0.07739565160591155,19.0,2.0
2,103.0,0.748267260512102,0.7592233009708738,0.02,40.0,0.5660625687719006,0.0006039266052094863,0.04570124112069607,11.0,2.0
2,877.0,0.6713196695241717,0.8153933865450399,0.02,280.0,0.9098734747840637,0.0009707350902721902,0.059266988188028336,0.0,2.0
2,2383.0,0.7331151473024439,0.7854385228703316,0.02,750.0,1.3885704229190818,0.0014814521713159595,0.11027356423437595,15.0,2.0
2,459.0,0.9334650270170116,0.6217864923747277,0.02,150.0,0.870860832140688,0.0009291128842977148,0.07243695110082626,9.0,2.0
2,473.0,0.3990451464929616,0.904016913319239,0.02,150.0,0.6522536644951009,0.0006958830402592899,0.04630950465798378,3.0,2.0
2,3337.0,0.004083411113348681,0.9990710218759364,0.02,1050.0,0.6418121162717789,0.0006847430548238937,0.048939491622149944,17.0,2.0
2,1029.0,0.9989522660844412,0.6312925170068027,0.02,330.0,1.2590139514889138,0.001343229642058298,0.08758700639009476,18.0,2.0
2,2909.0,0.459451273704782,0.8583018219319354,0.02,910.0,1.3703373137396833,0.0014619994458813527,0.13770304061472416,16.0,2.0
2,6619.0,0.7359279542531036,0.6945006798610062,0.02,2070.0,3.206634723231914,0.0034211271498657734,0.16216592490673065,1.0,2.0
2,1988.0,1.0088591903628,0.5387826961770624,0.02,630.0,1.6391852896412038,0.0017488307157105952,0.1296582967042923,2.0,2.0
2,5482.0,1.1195922059022958,0.5587376869755564,0.02,1720.0,2.7486944030356986,0.002932555111681619,0.13947699218988419,12.0,2.0
2,3511.0,0.6678853201215948,0.743520364568499,0.02,1100.0,2.0019777567696475,0.002135890442241892,0.12258267786819488,10.0,2.0
2,5362.0,0.8383374059180277,0.6747668780305855,0.02,1680.0,2.225505573031075,0.002374370078048814,0.251046746969223,7.0,2.0
2,337.0,1.0331229191151854,0.5142433234421365,0.02,110.0,0.7066103622168538,0.0007538756681709309,0.052049243822693825,6.0,2.0
3,473.0,0.3685116492196067,0.904862579281184,0.02,150.0,0.6531220009328403,0.000696809459891949,0.04111984372138977,3.0,3.0
3,1021.0,0.7527385186670342,0.7614103819784525,0.02,320.0,1.0194074872623649,0.0010875958543649486,0.0935884453356266,5.0,3.0
3,459.0,0.8901565376709749,0.6326797385620915,0.02,150.0,0.8657218252894433,0.0009236301282685467,0.06140739470720291,9.0,3.0
3,3511.0,0.6063882145064062,0.7712047849615494,0.02,1100.0,1.9623523276715271,0.0020936144604063217,0.1013333776500076,10.0,3.0
3,1988.0,0.9571264197708855,0.5740945674044265,0.02,630.0,1.5410647471207346,0.0016441468708235144,0.09102333337068558,2.0,3.0
3,2926.0,0.5275900914185436,0.8049213943950786,0.02,920.0,1.5454905536141257,0.001648868720382772,0.08869374543428421,14.0,3.0
3,2383.0,0.6950077394974792,0.7918590012589173,0.02,750.0,1.3650416257179103,0.001456349528247377,0.10593726672232151,15.0,3.0
3,1469.0,0.8061671629720516,0.7190605854322668,0.02,460.0,1.2455545305230447,0.001328869917779694,0.06611444987356663,19.0,3.0
3,877.0,0.6126335046956042,0.8273660205245154,0.02,280.0,0.8866188187495783,0.000945924925726793,0.053632091730833054,0.0,3.0
3,3768.0,0.7343907996790677,0.733651804670913,0.02,1180.0,1.9368726256337716,0.0020664304160933483,0.1132865808904171,13.0,3.0
3,5482.0,1.064303657478853,0.5813206858810653,0.02,1720.0,2.6368779800223305,0.0028132592661646856,0.12612076848745346,12.0,3.0
3,2909.0,0.427831235664249,0.8658989343416982,0.02,910.0,1.2651694805392215,0.0013497969156561372,0.09517543949186802,16.0,3.0
3,337.0,0.9892602441749516,0.5445103857566765,0.02,110.0,0.7414324392258415,0.0007910270007524276,0.03972353786230087,6.0,3.0
3,3337.0,0.0034570011701762805,0.9991609229847168,0.02,1050.0,0.604992833757748,0.0006454609232687371,0.04150553606450558,17.0,3.0
3,4106.0,0.10861290784328595,0.9821967851924014,0.02,1290.0,0.7285682867684494,0.0007773023626097832,0.0812199842184782,8.0,3.0
3,6619.0,0.6827048260327426,0.7206073424988669,0.02,2070.0,2.9899552302971233,0.003189953923078274,0.13551168888807297,1.0,3.0
3,1029.0,0.9147660372990561,0.6699708454810496,0.02,330.0,1.1785607560966438,0.0012573949166198666,0.0743375550955534,18.0,3.0
3,103.0,0.6779991267664919,0.7757281553398059,0.02,40.0,0.5128829630608057,0.0005471898052243558,0.034255703911185265,11.0,3.0
3,5362.0,0.801629753847124,0.6934166355837375,0.02,1680.0,2.180074514027398,0.0023259001265826915,0.20053405314683914,7.0,3.0
3,1781.0,0.6944998255979473,0.8041549691184727,0.02,560.0,1.138029998736993,0.0012141530489374857,0.08567639230750501,4.0,3.0
4,337.0,0.9565863863296962,0.5899109792284867,0.02,110.0,0.7319178000732672,0.000780875925517628,0.03453306667506695,6.0,4.0
4,1988.0,0.9204291582947046,0.5941146881287727,0.02,630.0,1.446339768760201,0.0015430857200501428,0.0857582688331604,2.0,4.0
4,2383.0,0.6631025334541106,0.8020562316407889,0.02,750.0,1.2844688211758197,0.0013703871929795946,0.0947412233799696,15.0,4.0
4,877.0,0.5834482171550444,0.831927023945268,0.02,280.0,0.8590809396760316,0.0009165450325117412,0.055456263944506645,0.0,4.0
4,1469.0,0.7703357381509063,0.733219877467665,0.02,460.0,1.2310696943889063,0.0013134161881107557,0.056751818396151066,19.0,4.0
4,103.0,0.6115132672260108,0.7970873786407767,0.02,40.0,0.5006908165970615,0.0005341821236883012,0.030146239325404167,11.0,4.0
4,3768.0,0.6948032795180688,0.7438694267515924,0.02,1180.0,1.8556981469897038,0.001979826160624698,0.08658444881439209,13.0,4.0
4,6619.0,0.6429215493515046,0.7413355491766128,0.02,2070.0,2.8011168365655545,0.0029884840920895487,0.1247357726097107,1.0,4.0
4,1021.0,0.7160758406420062,0.7690499510284036,0.02,320.0,1.0117953372485777,0.0010794745261412054,0.08730045519769192,5.0,4.0
4,2909.0,0.4037595858762214,0.873496046751461,0.02,910.0,1.209866698605523,0.0012907949197737396,0.08121682144701481,16.0,4.0
4,1781.0,0.6587959778620112,0.8101066816395284,0.02,560.0,1.1838296603307839,0.0012630162588933925,0.07080474216490984,4.0,4.0
4,3511.0,0.5790439028192096,0.7837368271147821,0.02,1100.0,1.8986755272644127,0.0020256783063096057,0.08810018468648195,10.0,4.0
4,2926.0,0.5015759565766267,0.8156527682843472,0.02,920.0,1.431502742753681,0.0015272562424590655,0.08121364563703537,14.0,4.0
4,1029.0,0.8657021728589537,0.6896987366375121,0.02,330.0,1.1373852299806047,0.0012134651514723069,0.07265134155750275,18.0,4.0
4,4106.0,0.1061906880847892,0.9821480759863614,0.02,1290.0,0.719544804701686,0.0007676752980547604,0.06968836300075054,8.0,4.0
4,5482.0,1.0311439184823292,0.5920649398029916,0.02,1720.0,2.558374597681263,0.002729504777155525,0.11613558232784271,12.0,4.0
4,5362.0,0.7763885799293774,0.7060611712047743,0.02,1680.0,2.1116690572149786,0.0022529190153246967,0.17415539920330048,7.0,4.0
4,473.0,0.3446697241030082,0.9067653276955603,0.02,150.0,0.6312643740519384,0.0006734897720546881,0.03561255056411028,3.0,4.0
4,3337.0,0.0033308892948148033,0.9990710218759364,0.02,1050.0,0.5819025587701325,0.0006208261352507302,0.037426067516207695,17.0,4.0
4,459.0,0.8642411636630953,0.6398692810457516,0.02,150.0,0.8883472663296241,0.0009477689895050505,0.052591919898986816,9.0,4.0
5,3511.0,0.5405721884656923,0.7992879521503845,0.02,1100.0,1.822906444257029,0.0019448410144537582,0.0781901627779007,10.0,5.0
5,5482.0,0.9912669948703483,0.6089018606348048,0.02,1720.0,2.536707994454118,0.002706388890581751,0.11036261916160583,12.0,5.0
5,6619.0,0.6124451654773948,0.7544946366520623,0.02,2070.0,2.6679075384472304,0.0028463643978489015,0.1111045628786087,1.0,5.0
5,1021.0,0.6968520366392453,0.7713026444662096,0.02,320.0,1.0052558461556123,0.0010724976072042393,0.07759319990873337,5.0,5.0
5,3768.0,0.6719217829390443,0.7516454352441614,0.02,1180.0,1.7896113058463008,0.001909318757693351,0.07935190945863724,13.0,5.0
5,1781.0,0.6368098672121713,0.8184727681078046,0.02,560.0,1.2068278749594428,0.0012875528286169452,0.07074036868289113,4.0,5.0
5,2383.0,0.6439610846925322,0.804616030214016,0.02,750.0,1.2587491366794228,0.0013429471137341728,0.07888999208807945,15.0,5.0
5,473.0,0.32406442810330405,0.9093023255813953,0.02,150.0,0.643806541238828,0.0006868708872688267,0.03502435423433781,3.0,5.0
5,1029.0,0.8168561570672183,0.7025267249757046,0.02,330.0,1.1098872895227534,0.001184127868374801,0.06341181322932243,18.0,5.0
5,877.0,0.5564558674274448,0.8372862029646522,0.02,280.0,0.8524387015214416,0.0009094584937420122,0.05272638238966465,0.0,5.0
5,5362.0,0.7608572463620648,0.7113763521074226,0.02,1680.0,2.034856059079497,0.002170967980652738,0.16722499579191208,7.0,5.0
5,4106.0,0.10459224991237266,0.9821724305893814,0.02,1290.0,0.6955466099615596,0.0007420718593536213,0.061208637431263924,8.0,5.0
5,2926.0,0.47127700491018354,0.8251196172248804,0.02,920.0,1.4039677812237625,0.0014978794619427084,0.06954388320446014,14.0,5.0
5,103.0,0.5583091202725484,0.8058252427184466,0.02,40.0,0.5374260913984347,0.0005733746282383956,0.02799813449382782,11.0,5.0
5,3337.0,0.0028475298674038503,0.9992807911297573,0.02,1050.0,0.5467842900369603,0.0005833587986224265,0.03355362266302109,17.0,5.0
5,459.0,0.8300895374454964,0.6553376906318082,0.02,150.0,0.8994423486581956,0.0009596062240703941,0.04957771301269531,9.0,5.0
5,1988.0,0.8850702148208196,0.6141348088531187,0.02,630.0,1.4412746173915307,0.0015376817597112888,0.07434254884719849,2.0,5.0
5,337.0,0.9237458148236091,0.6,0.02,110.0,0.7420675374793334,0.0007917045808528712,0.03667444735765457,6.0,5.0
5,1469.0,0.747975383034525,0.7419332879509871,0.02,460.0,1.2234784446388887,0.0013053171581735314,0.052482602186501026,19.0,5.0
5,2909.0,0.38662323076143507,0.8768992781024407,0.02,910.0,1.1705481781983234,0.0012488463758117232,0.06492475047707558,16.0,5.0
6,5482.0,0.9709011908866593,0.6151222181685516,0.02,1720.0,2.509155604094933,0.0026769935154183134,0.12361125648021698,12.0,6.0
6,2926.0,0.45115818428467663,0.8376965140123035,0.02,920.0,1.365335428547485,0.0014566629836059446,0.07053083181381226,14.0,6.0
6,473.0,0.3230290156220092,0.9101479915433404,0.02,150.0,0.6549286702646886,0.0006987369776903549,0.04027776885777712,3.0,6.0
6,1469.0,0.7308102330965116,0.7484683458134785,0.02,460.0,1.2293319237846085,0.001311562177689322,0.0630249623209238,19.0,6.0
6,1781.0,0.6231962979576148,0.8200449185850646,0.02,560.0,1.208199054716529,0.0012890157268573743,0.06426515337079763,4.0,6.0
6,877.0,0.5430621459859263,0.8384264538198404,0.02,280.0,0.8578616589773335,0.0009152441938875591,0.05107306223362684,0.0,6.0
6,3511.0,0.5145298823243157,0.8082312731415551,0.02,1100.0,1.7878620935872662,0.0019074525402826476,0.07402093708515167,10.0,6.0
6,2383.0,0.6256857772206514,0.8065463701216954,0.02,750.0,1.2445072478164165,0.0013277525821270635,0.0787561759352684,15.0,6.0
6,337.0,0.8977598566329797,0.6201780415430267,0.02,110.0,0.7404075069240461,0.0007899335105276,0.042151279747486115,6.0,6.0
6,6619.0,0.5879016172005198,0.7642997431636199,0.02,2070.0,2.5791527890191683,0.002751672825794245,0.1265181601047516,1.0,6.0
6,2909.0,0.3778160804477333,0.8815744242007563,0.02,910.0,1.1471889987657091,0.001223924696277561,0.06170326005667448,16.0,6.0
6,1021.0,0.6675031592954501,0.7783545543584721,0.02,320.0,0.9887125716331217,0.0010548477497987372,0.07053396105766296,5.0,6.0
6,4106.0,0.10203485672087242,0.9822211397954214,0.02,1290.0,0.715178370589852,0.0007630167923073271,0.05927896872162819,8.0,6.0
6,1988.0,0.856322305609043,0.6288229376257545,0.02,630.0,1.4105831793008348,0.0015049373652968611,0.0660320520401001,2.0,6.0
6,3337.0,0.0027319128336009395,0.9992208570572371,0.02,1050.0,0.5404297965685937,0.0005765792518375146,0.03694293415173888,17.0,6.0
6,3768.0,0.6494712029293085,0.7628715498938429,0.02,1180.0,1.7342606048663356,0.0018502656374502673,0.08441544510424137,13.0,6.0
6,459.0,0.8157153259630037,0.6555555555555556,0.02,150.0,0.9107023630473554,0.0009716194230342624,0.049607053399086,9.0,6.0
6,103.0,0.5641345019624071,0.8174757281553398,0.02,40.0,0.5470888506915076,0.0005836837313989925,0.030670038424432278,11.0,6.0
6,1029.0,0.7935639188924498,0.7121477162293489,0.02,330.0,1.118446851442508,0.0011932599810730367,0.05851977318525314,18.0,6.0
6,5362.0,0.7446979344324672,0.7179597165236852,0.02,1680.0,1.9999208106911353,0.0021336959066360667,0.15825776755809784,7.0,6.0
7,473.0,0.303618260751819,0.9103594080338266,0.02,150.0,0.6663817223300991,0.0007109561266585637,0.034711264073848724,3.0,7.0
7,337.0,0.8815058009560809,0.6308605341246291,0.02,110.0,0.7652401262341292,0.0008164271886221167,0.03373277559876442,6.0,7.0
7,1781.0,0.607710276252095,0.8238068500842224,0.02,560.0,1.205310194810131,0.0012859336305442726,0.06764495372772217,4.0,7.0
7,2909.0,0.36233738179047437,0.883808869027157,0.02,910.0,1.1360886830853323,0.0012120818783004817,0.05914505245164037,16.0,7.0
7,2383.0,0.6135126715622127,0.811875786823332,0.02,750.0,1.2175434467805466,0.0012989851671424157,0.07182317972183228,15.0,7.0
7,4106.0,0.10146412219506536,0.9822211397954214,0.02,1290.0,0.7362675010023759,0.0007855165787964561,0.06522715091705322,8.0,7.0
7,1029.0,0.7610398599485151,0.7272108843537415,0.02,330.0,1.1039628131002317,0.0011778071025604147,0.051278356462717056,18.0,7.0
7,5362.0,0.7219492707566867,0.7265013054830287,0.02,1680.0,2.006304668393553,0.0021405067818344144,0.15226514637470245,7.0,7.0
7,103.0,0.5334137620133104,0.8135922330097087,0.02,40.0,0.5285404284167381,0.0005638946015141167,0.027650907635688782,11.0,7.0
7,3337.0,0.0028666008267218238,0.9991908900209769,0.02,1050.0,0.5402178411292203,0.0005763531186571594,0.034924669191241264,17.0,7.0
7,2926.0,0.4419944565221209,0.8384825700615174,0.02,920.0,1.3498365106305883,0.0014401273400245656,0.05855497717857361,14.0,7.0
7,1021.0,0.6626182773700541,0.7783545543584721,0.02,320.0,1.001174009206266,0.0010681427353794062,0.07300766184926033,5.0,7.0
7,1988.0,0.8455575213046141,0.6334004024144869,0.02,630.0,1.3671413580434122,0.0014585897120806593,0.0654820129275322,2.0,7.0
7,5482.0,0.9417971964714867,0.629551258664721,0.02,1720.0,2.440824234005193,0.0026040914465584332,0.1178101897239685,12.0,7.0
7,877.0,0.5283093612016675,0.843557582668187,0.02,280.0,0.8726474932521574,0.0009310190555219497,0.054147301241755486,0.0,7.0
7,3511.0,0.49972666814367306,0.8160068356593563,0.02,1100.0,1.7066827277502385,0.0018208430707157405,0.06911540776491165,10.0,7.0
7,459.0,0.7787684041690203,0.6725490196078432,0.02,150.0,0.9109692508214761,0.0009719041629840286,0.052053384482860565,9.0,7.0
7,3768.0,0.631423886066536,0.7674363057324841,0.02,1180.0,1.7036095563922626,0.001817564334321854,0.08936133608222008,13.0,7.0
7,1469.0,0.7101207510012197,0.7573179033356024,0.02,460.0,1.213088095766533,0.0012942317968237466,0.050543494522571564,19.0,7.0
7,6619.0,0.5671281346274856,0.7743767940776553,0.02,2070.0,2.459321155765436,0.0026238256310492478,0.12451750412583351,1.0,7.0
8,1469.0,0.6938033176328634,0.7635806671204901,0.02,460.0,1.1893395613104583,0.0012688947182321094,0.051361823454499245,19.0,8.0
8,2926.0,0.4316246397696532,0.8413533834586466,0.02,920.0,1.3248849954187727,0.0014135068130580904,0.05280947685241699,14.0,8.0
8,2383.0,0.6045920437423061,0.8140998741082669,0.02,750.0,1.208910703042461,0.0012897749774796433,0.0661536455154419,15.0,8.0
8,877.0,0.5125618197830945,0.8481185860889395,0.02,280.0,0.8839222209334272,0.0009430479519529279,0.05322887911461294,0.0,8.0
8,5482.0,0.9237858529618864,0.6358080992338563,0.02,1720.0,2.411482232515761,0.0025727867528246478,0.10978397727012634,12.0,8.0
8,1781.0,0.5942713395907329,0.8255474452554744,0.02,560.0,1.1993645874979166,0.0012795903203908306,0.06436162814497948,4.0,8.0
8,3511.0,0.483485331306538,0.8219595556821419,0.02,1100.0,1.6726022330204835,0.001784482924997831,0.060392141342163086,10.0,8.0
8,473.0,0.2939514877365205,0.9167019027484143,0.02,150.0,0.6636718050970127,0.0007080649425293479,0.03661040752194822,3.0,8.0
8,6619.0,0.5442729071158624,0.7827013143979453,0.02,2070.0,2.3649649439506795,0.0025231579136883505,0.09326912462711334,1.0,8.0
8,459.0,0.7595466858810849,0.6908496732026144,0.02,150.0,0.9127396850347864,0.0009737930218896986,0.04336385242640972,9.0,8.0
8,3337.0,0.0026923278535154276,0.9991908900209769,0.02,1050.0,0.525930070182501,0.0005611096359047431,0.035054292529821396,17.0,8.0
8,1029.0,0.7532225383020235,0.7303206997084548,0.02,330.0,1.0968659831633947,0.001170235564274812,0.04568152129650116,18.0,8.0
8,1021.0,0.6505949679306041,0.7818805093046033,0.02,320.0,1.013268788149332,0.0010810465364621954,0.07653984986245632,5.0,8.0
8,2909.0,0.35611017843514386,0.8865245788930904,0.02,910.0,1.1183920150442175,0.0011932014766572907,0.052226434112526476,16.0,8.0
8,103.0,0.49005180084444944,0.8281553398058252,0.02,40.0,0.5218895205134219,0.0005567988130744659,0.02430155873298645,11.0,8.0
8,1988.0,0.8193574609171217,0.6460764587525151,0.02,630.0,1.3964134484994035,0.0014898198184182423,0.07682228088378906,2.0,8.0
8,4106.0,0.0994443590234497,0.9823185582075012,0.02,1290.0,0.7059445077102364,0.0007531652745255475,0.05043076444417238,8.0,8.0
8,5362.0,0.7074501695827689,0.7348563968668407,0.02,1680.0,1.9729129856133532,0.0021048815228326937,0.16416573524475098,7.0,8.0
8,3768.0,0.6116559795956197,0.774203821656051,0.02,1180.0,1.6772308557600466,0.0017894211572218133,0.0778549276292324,13.0,8.0
8,337.0,0.8783566277883174,0.6341246290801187,0.02,110.0,0.7718158342003989,0.0008234427469861578,0.03816001117229462,6.0,8.0
9,1469.0,0.691462833387175,0.7634445200816882,0.02,460.0,1.1861887657162045,0.0012655331653015295,0.05286385118961334,19.0,9.0
9,4106.0,0.09854886260501046,0.9822211397954214,0.02,1290.0,0.7091079616214221,0.0007565403324903657,0.05083854775875807,8.0,9.0
9,103.0,0.5135048943490369,0.8174757281553398,0.02,40.0,0.5129052238405164,0.0005472135550319949,0.026543645188212395,11.0,9.0
9,473.0,0.28630449579552164,0.9152219873150106,0.02,150.0,0.6784538949280564,0.0007238358092533781,0.03602055343799293,3.0,9.0
9,5482.0,0.9047633265957524,0.6446917183509668,0.02,1720.0,2.3656275833168836,0.0025238648771319467,0.11503669619560242,12.0,9.0
9,337.0,0.853978605369432,0.642433234421365,0.02,110.0,0.7337729247445505,0.0007828551398426436,0.0410204753279686,6.0,9.0
9,3337.0,0.0028228739379032256,0.9992508240934972,0.02,1050.0,0.5324264461260908,0.0005680405557115211,0.036180347204208374,17.0,9.0
9,3511.0,0.46857312552246805,0.8272002278553119,0.02,1100.0,1.6633967012021236,0.0017746616333475602,0.06407992169260979,10.0,9.0
9,877.0,0.5077463435338324,0.8545039908779931,0.02,280.0,0.9034804346942753,0.0009639144184747765,0.05681893113069236,0.0,9.0
9,2383.0,0.5863560319497112,0.8171212757028955,0.02,750.0,1.2097897533829833,0.0012907128276701471,0.07190820574760437,15.0,9.0
9,459.0,0.7509900367857324,0.6956427015250545,0.02,150.0,0.9243692476437593,0.0009862004882264072,0.04409851133823395,9.0,9.0
9,6619.0,0.5262200497521935,0.7914337513219519,0.02,2070.0,2.3041392136648953,0.002458263538353521,0.09257417917251587,1.0,9.0
9,2926.0,0.41514512813476284,0.8492481203007519,0.02,920.0,1.322741724405296,0.0014112201782254408,0.053683772683143616,14.0,9.0
9,3768.0,0.5958917919712462,0.7809713375796178,0.02,1180.0,1.6618222245505843,0.0017729818396434675,0.0773997362703085,13.0,9.0
9,1021.0,0.6528024771275412,0.7862879529872674,0.02,320.0,1.0014878714175537,0.0010684775918956707,0.07214330323040485,5.0,9.0
