schema_version,run_id,round,physical_client_id,virtual_client_id,selected,selected_count,selection_policy,selection_score,selection_probability,selection_reason,num_examples,label_entropy,dominant_label,kl_to_global_label_distribution,distance_m,angle_rad,channel_gain,channel_snr_db,pathloss_db,rate_mbps,delay_ms,energy_j,outage
bayesfl_observability_v1,vi_sparse_random_keep10,1,24,1,1,15,random,,0.05,random_uniform,30,1.3110298871791874,0,1.0210991742953581,413.5419178369083,3.5761099207991176,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,1,30,2,1,15,random,,0.05,random_uniform,2,0.6931471805599453,2,1.6262933525338354,247.4723068152236,0.33109398170456106,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,1,50,4,1,15,random,,0.05,random_uniform,14,0.8953326659680909,1,1.3255516450199865,512.4147341853131,4.810290372805616,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,1,117,9,1,15,random,,0.05,random_uniform,8,0.5623351446188083,2,1.7518051301834499,451.05544720842494,0.03391461562941973,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,1,151,12,1,15,random,,0.05,random_uniform,233,0.14950144571405588,5,2.251522034186354,59.71953091395691,5.256481255585119,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,1,163,13,1,15,random,,0.05,random_uniform,167,0.7494436652757661,1,1.488660305959026,176.2690904351675,4.414354249060658,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,1,171,13,1,15,random,,0.05,random_uniform,720,0.8947993234419066,8,1.3755222828587679,505.35595564335915,1.2725412185698093,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,1,180,14,1,15,random,,0.05,random_uniform,9,-0.0,2,2.3096097079310103,513.8569424337791,6.226351452948496,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,1,183,14,1,15,random,,0.05,random_uniform,20,1.3727655308924485,6,0.9483462981176023,145.57423040736145,1.8419185953761883,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,1,189,15,1,15,random,,0.05,random_uniform,1,-0.0,4,2.3292713582565514,475.29194595271167,0.44670535021845836,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,1,233,18,1,15,random,,0.05,random_uniform,389,-0.0,8,2.3277319754160017,439.21626364831354,5.778760420837365,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,1,237,19,1,15,random,,0.05,random_uniform,39,1.3898628753106193,6,0.9179151593699346,469.67455714719193,4.854893099297161,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,1,252,20,1,15,random,,0.05,random_uniform,409,1.0683684981935357,1,1.1688247118610566,459.27232267836285,1.874998350090816,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,1,263,21,1,15,random,,0.05,random_uniform,237,0.7768433258123565,3,1.5365177254738465,406.0448992293342,2.4314697304812256,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,1,267,21,1,15,random,,0.05,random_uniform,340,0.49629795412582844,5,1.8891532045272958,150.43278096868144,5.4986340060965535,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,2,11,0,1,15,random,,0.05,random_uniform,2,0.6931471805599453,2,1.5913406603425941,184.56611946256038,0.8994710010681625,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,2,30,2,1,15,random,,0.05,random_uniform,2,0.6931471805599453,2,1.6262933525338354,247.4723068152236,0.33109398170456106,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,2,41,3,1,15,random,,0.05,random_uniform,4,0.5623351446188083,0,1.756608808640784,462.8203939719845,5.9117206090117875,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,2,73,5,1,15,random,,0.05,random_uniform,181,0.5806591790624623,3,1.7081390410628632,433.18462453670395,0.9332705617839532,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,2,83,6,1,15,random,,0.05,random_uniform,183,0.7163703465940834,1,1.5113752911057265,530.5836903660695,2.0093833430662467,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,2,128,10,1,15,random,,0.05,random_uniform,69,0.9152182792868668,7,1.361330606993555,91.86636830857358,1.3107000224737446,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,2,143,11,1,15,random,,0.05,random_uniform,65,0.5821360471219024,8,1.7374773776084904,132.2078149831968,1.157911912606807,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,2,158,12,1,15,random,,0.05,random_uniform,111,0.9581847713458628,8,1.3628065184402316,386.08390679380824,1.4119042331237421,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,2,173,13,1,15,random,,0.05,random_uniform,132,0.7679964346078391,4,1.5533998077393687,323.5469306973342,5.863675063656309,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,2,195,15,1,15,random,,0.05,random_uniform,27,1.3119690925702856,2,0.9861324927876863,533.2327766715206,1.3882606107027624,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,2,238,19,1,15,random,,0.05,random_uniform,20,0.9404479886553264,6,1.3716040057455146,461.53317502431446,3.939706840466583,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,2,264,21,1,15,random,,0.05,random_uniform,218,0.6375936626726958,2,1.698074512420698,84.75662840573435,2.8667719852171194,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,2,267,21,1,15,random,,0.05,random_uniform,340,0.49629795412582844,5,1.8891532045272958,150.43278096868144,5.4986340060965535,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,2,277,22,1,15,random,,0.05,random_uniform,995,1.0079628307563315,5,1.347582353346925,499.13702723040376,0.1704494029325066,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,2,278,22,1,15,random,,0.05,random_uniform,67,0.3945326819623348,5,1.9802377464173406,259.0496696070433,5.205400833556147,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,3,6,0,1,15,random,,0.05,random_uniform,255,1.0431642721063052,3,1.257328427832494,382.07816949014125,1.4575165068128029,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,3,16,1,1,15,random,,0.05,random_uniform,409,0.1490487639578261,8,2.177886214364074,457.77769010845736,0.4702079771507635,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,3,18,1,1,15,random,,0.05,random_uniform,451,0.93387416116756,4,1.3882321409892098,192.73869487670333,4.079410567499369,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,3,34,2,1,15,random,,0.05,random_uniform,98,0.9392429968990706,4,1.3654484544000312,518.7689813630911,0.8945761526500957,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,3,87,7,1,15,random,,0.05,random_uniform,43,0.4377023180952629,4,1.8840029267722176,374.83550460292463,2.295494594932251,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,3,100,8,1,15,random,,0.05,random_uniform,11,0.6001660731596457,2,1.7117035045711888,300.18614970373824,3.7006468336014144,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,3,149,11,1,15,random,,0.05,random_uniform,370,0.21239478849365837,7,2.0487084209067463,427.0949856881615,0.7390916384227064,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,3,204,16,1,15,random,,0.05,random_uniform,2,0.6931471805599453,1,1.5580197962672118,240.54352884875206,0.3042386112416968,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,3,215,17,1,15,random,,0.05,random_uniform,46,1.521719365805568,4,0.7932357448939426,535.4635076978701,0.46195059571228464,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,3,217,17,1,15,random,,0.05,random_uniform,210,0.3250829733914482,8,1.9958124018703602,452.7588570783861,0.5928028650980628,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,3,236,18,1,15,random,,0.05,random_uniform,45,1.0353574001541463,0,1.2518665823368382,432.8639651776865,0.5610407148912296,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,3,239,19,1,15,random,,0.05,random_uniform,51,0.9560443809671457,6,1.3493424985245688,523.5911267759934,3.30686170828379,,,,,,,
bayesfl_observability_v1,vi_sparse_random_keep10,3,249,19,1,15,random,,0.05,random_uniform,164,0.8084292285499561,0,1.5072994420910157,442.00811601762734,3.1223736420174864,,,,,,,
