schema_version,run_id,round,method,selection_policy,selected_count,available_count,selected_fraction,selected_examples,selected_examples_fraction,selected_label_entropy_mean,selected_label_entropy_std,selected_kl_to_global_label_mean,selected_distance_m_mean,selected_distance_m_std,selected_channel_snr_db_mean,selected_channel_snr_db_std,selection_score_mean,selection_score_std
bayesfl_observability_v1,ola_lr0p01_b32_e2,1,ola,random,15,300,0.05,2363,0.043654165896914836,0.6906484998061699,0.47288182571049386,1.6178549377326719,361.6795283669392,152.57826110243548,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,2,ola,random,15,300,0.05,2180,0.04027341585072972,0.750533251633368,0.229870570758918,1.565437051980861,318.6982809228768,158.7910538510587,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,3,ola,random,15,300,0.05,2209,0.04080916312580824,0.6839854692134526,0.395868036552136,1.605505805068147,391.6630413447579,109.0222572424693,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,4,ola,random,15,300,0.05,2335,0.043136892665804547,0.55435486216155,0.4521560044710707,1.7471083496153843,336.1465964809759,143.0094450022774,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,5,ola,random,15,300,0.05,1743,0.032200258636615554,0.6905845621812401,0.34026558851380595,1.6135431151187307,379.2373113530293,140.5303630310132,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,6,ola,random,15,300,0.05,2411,0.044540920007389614,0.8148359957643894,0.31612282078522436,1.495664966169466,397.437447231851,111.7054498241561,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,7,ola,random,15,300,0.05,2366,0.04370958802881951,0.5249106133263843,0.4413433088283173,1.7986790529036993,347.8301169786681,129.19494726698667,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,8,ola,random,15,300,0.05,2075,0.038333641234066136,0.8392664668747916,0.4811242030441931,1.4505809226778346,401.66157661869215,156.31443195290095,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,9,ola,random,15,300,0.05,1581,0.029207463513763163,0.6522591627650056,0.3878453786575586,1.6377439128665328,374.7170903430047,114.38260577424721,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,10,ola,random,15,300,0.05,2556,0.047219656382782194,0.6522753084944662,0.4362957414032505,1.6686681009921112,314.51628635475873,144.1118476771205,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,11,ola,random,15,300,0.05,3421,0.06319970441529651,0.5090469835805914,0.42718808183153506,1.7714806975517152,312.01242870548106,151.9075279761277,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,12,ola,random,15,300,0.05,1928,0.03561795677073711,0.8539134779979317,0.4303879395894643,1.4490114860125611,393.6294371778715,105.82535247141463,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,13,ola,random,15,300,0.05,1779,0.032865324219471644,0.7766686654435714,0.3131197875263915,1.530826327005275,363.0921187829417,152.72996235354054,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,14,ola,random,15,300,0.05,1333,0.02462590060964345,0.620721874227543,0.3417049991757876,1.6933414609470716,372.49772258731076,121.02277956093924,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,15,ola,random,15,300,0.05,1656,0.030593016811380012,0.5759026269732463,0.36656473002318635,1.7068019144175017,388.8660075254041,141.07854043050466,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,16,ola,random,15,300,0.05,1990,0.03676334749676704,0.4991354947070385,0.38078724090534294,1.7927689756734346,418.42551430355667,101.91306475936221,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,17,ola,random,15,300,0.05,1767,0.03264363569185295,0.6736476657532381,0.42351987868612556,1.6181014097781126,414.00531278151743,82.28009650849984,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,18,ola,random,15,300,0.05,1559,0.02880103454646222,0.5650005989736827,0.4567395603537465,1.7455182950218204,367.10395185263513,130.4866831243702,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,19,ola,random,15,300,0.05,2448,0.045224459634213926,0.8927264305618269,0.4141339853358798,1.4285595553394224,335.4208694281287,151.1665695556819,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,20,ola,random,15,300,0.05,2683,0.04956585996674672,0.8186218224006906,0.4929274882102199,1.4651908191060026,379.2628573230571,141.31633093883912,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,21,ola,random,15,300,0.05,2756,0.05091446517642712,0.5205207247467507,0.4907320080717394,1.7589458353957181,421.7817522988948,133.2208455858231,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,22,ola,random,15,300,0.05,1157,0.021374468871235914,0.6897340582166888,0.3748846260993083,1.5974917610405486,418.1386904648119,78.70462597710733,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,23,ola,random,15,300,0.05,1286,0.023757620543136893,0.47649324032179446,0.3170402414389467,1.8180946342096556,303.3165195937969,121.30773215216918,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,24,ola,random,15,300,0.05,3578,0.06610012931830778,0.5079080051599842,0.3784013347243403,1.788356277114434,406.9604195919832,127.98008435200119,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,25,ola,random,15,300,0.05,2133,0.039405135784223166,0.5770691873003845,0.43370495780223106,1.7228882366401232,282.49332017706735,127.50549089767323,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,26,ola,random,15,300,0.05,1529,0.02824681322741548,0.7968083202428977,0.48573264212641387,1.4924265974972484,374.015972034088,102.12340101257074,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,27,ola,random,15,300,0.05,2319,0.042841307962312954,0.768171124858513,0.3095120995624228,1.5371670667386181,423.03345383661275,104.60841213414069,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,28,ola,random,15,300,0.05,1737,0.032089414372806206,0.48785113326394947,0.45261824416006224,1.8236658061896949,332.5150405289239,145.11204342092876,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,29,ola,random,15,300,0.05,2968,0.05483096249769075,0.6237308009944379,0.44544546546639274,1.6634756354767644,372.5417634676671,134.352269823126,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,30,ola,random,15,300,0.05,2279,0.04210234620358397,0.5309393297421863,0.4184924551729275,1.7624019981653223,364.89391494798645,123.86476957187341,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,31,ola,random,15,300,0.05,2899,0.05355625346388324,0.6286437245559015,0.3175727427003014,1.681709414305316,387.88744281021144,125.4385221494489,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,32,ola,random,15,300,0.05,3540,0.06539811564751524,0.6095504402779264,0.49397049738127646,1.6895445067209423,357.18802128210336,132.5918202482154,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,33,ola,random,15,300,0.05,4000,0.07389617587289858,0.8300186825157885,0.34181155257993445,1.474522694256811,404.7210931810839,98.33865147261993,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,34,ola,random,15,300,0.05,5847,0.10801773508220949,0.8639964243735894,0.3896295533885058,1.442461285667065,388.08386227177454,123.94034513454656,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,35,ola,random,15,300,0.05,1905,0.03519305375946795,0.5405216804037178,0.4950737882318212,1.7502909117125816,438.57441635956303,68.09859019655562,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,36,ola,random,15,300,0.05,1527,0.028209865139479033,0.7202072632654765,0.4816585764607703,1.5844854901055654,332.25264551719647,148.08684474397288,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,37,ola,random,15,300,0.05,5135,0.09486421577683354,0.5337783778462808,0.41228793995116736,1.768087546493781,352.2735984184349,104.31111659934786,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,38,ola,random,15,300,0.05,3690,0.06816922224274893,0.8865157449951204,0.3986216848550807,1.4297286539836371,420.09329592238686,75.44787901287401,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,39,ola,random,15,300,0.05,4371,0.08075004618510992,0.6750037364384422,0.3335959710859507,1.6397994389246575,374.43903851765657,166.23061557336362,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,40,ola,random,15,300,0.05,2913,0.05381489007943839,0.7919162451374093,0.39571056895963647,1.5105031379815743,354.0431818110593,157.68622065899032,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,41,ola,random,15,300,0.05,2399,0.044319231479770925,0.6332025989439212,0.3990465901253843,1.6794479130997464,377.51054919027126,128.777839873416,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,42,ola,random,15,300,0.05,2168,0.040051727323111026,0.65753915489318,0.40203883923152556,1.6444355462307376,373.1595138827034,126.74578818678268,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,43,ola,random,15,300,0.05,4163,0.07690744503971919,0.5576228628194926,0.3692247727667284,1.733970975419362,379.5624426490688,139.76640366283073,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,44,ola,random,15,300,0.05,2178,0.04023646776279328,0.6433767882167385,0.4184721289870074,1.6629125873565278,373.0022468738544,116.1889964795787,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,45,ola,random,15,300,0.05,2462,0.045483096249769074,0.5221062244017088,0.4115385073420595,1.758826511470437,423.2307592696316,88.42968981340076,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,46,ola,random,15,300,0.05,2551,0.04712728616294107,0.5600019432499843,0.47797713955636917,1.7073225715877884,340.07591859788687,139.6287868335713,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,47,ola,random,15,300,0.05,2767,0.05111767966007759,0.5907456132262071,0.39221954261329905,1.7205449229336043,352.2648221358071,123.58002440056349,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,48,ola,random,15,300,0.05,4252,0.07855163495289119,0.8335281000837399,0.44304272117622523,1.4634823314852805,377.66942257785274,89.31017751923977,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,49,ola,random,15,300,0.05,4023,0.07432107888416774,0.7357273762459275,0.3478602386938569,1.5701565940845907,376.71377270527296,138.27380720520608,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,50,ola,random,15,300,0.05,2690,0.04969517827452429,0.6945094566210029,0.3968691088969848,1.6149518938594118,326.67450893134435,121.0610295557133,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,51,ola,random,15,300,0.05,2306,0.04260114539072603,0.6322757266267026,0.26290541934581624,1.6640338517667872,358.05520240509816,142.39803276367886,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,52,ola,random,15,300,0.05,3153,0.058248660631812305,0.6315412814225544,0.4910242952740149,1.6791129206801636,380.09740454569976,127.84386567852916,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,53,ola,random,15,300,0.05,2085,0.03851838167374838,0.5437469555123535,0.3773796237715511,1.7670133549254439,345.84573099629836,137.926830555267,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,54,ola,random,15,300,0.05,3683,0.06803990393497136,0.5972033946229425,0.41650581605184367,1.701727673909565,395.7168459523393,107.6762390544836,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,55,ola,random,15,300,0.05,3937,0.07273231110290042,0.8285361371324931,0.49119765118999004,1.477885319699684,401.4363700891847,111.34743308635902,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,56,ola,random,15,300,0.05,2156,0.03983003879549233,0.6052506604899299,0.3597616798795637,1.68405779271724,374.9138768594731,140.01133697407374,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,57,ola,random,15,300,0.05,2966,0.054794014409754295,0.5502345424237507,0.49462078847112706,1.7583137011624819,385.9680850901661,123.1392075697905,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,58,ola,random,15,300,0.05,2597,0.0479770921854794,0.7376883422718744,0.4125435771698616,1.5666078016296237,364.72299577528435,137.1590214622818,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,59,ola,random,15,300,0.05,4793,0.08854609273970072,0.5800288459256712,0.4759212318174885,1.7375405301766764,375.789262635588,152.23867765843968,,,,
bayesfl_observability_v1,ola_lr0p01_b32_e2,60,ola,random,15,300,0.05,2092,0.03864769998152596,0.6789580241072266,0.4570553692218597,1.6077883172490057,372.0785706715449,88.92396462449048,,,,
