schema_version,run_id,round,method,physical_client_id,virtual_client_id,num_examples,num_batches,local_epochs,batch_size,train_loss,task_loss,prior_loss,regularization_loss,accuracy_local_train_estimate,loss_local_train_estimate,update_l2_norm,update_linf_norm,update_cosine_to_global,drift_from_global_before_l2,drift_from_global_after_l2,label_entropy,kl_to_global_label_distribution,vi_elbo_loss,vi_kl_loss,vi_kl_loss_per_example,vi_kl_per_param,vi_likelihood_loss,vi_complexity_cost,vi_effective_lr,vi_loc_l2,vi_scale_mean,vi_scale_p50,vi_scale_p90,vi_scale_max,vi_snr_raw_mean,vi_snr_raw_p50,vi_snr_raw_p90,ola_task_loss,ola_prior_loss,ola_prior_loss_raw,ola_regularization_loss_raw,ola_fisher_mean,ola_fisher_p50,ola_fisher_p90,ola_fisher_max,ola_precision_mean,ola_precision_p50,ola_precision_p90,ola_sigma_mean,ola_sigma_p50,ola_sigma_p90,ola_snr_raw_mean,ola_snr_raw_p50,ola_snr_raw_p90,sparse_comm_enabled,sparse_metric,sparse_selection_method,sparse_ratio,sparse_warmup_rounds,sparse_num_params_total,sparse_num_params_sent,sparse_compression_ratio,sparse_threshold,sparse_score_mean,sparse_score_p50,sparse_score_p90,sparse_selection_score_mean,sparse_selection_score_p50,sparse_selection_score_p90,sparse_selected_score_mean,sparse_selected_score_p50,sparse_selected_score_p90,sparse_dropped_score_mean,sparse_dropped_score_p50,sparse_dropped_score_p90,sparse_selected_selection_score_mean,sparse_selected_selection_score_p50,sparse_selected_selection_score_p90,sparse_dropped_selection_score_mean,sparse_dropped_selection_score_p50,sparse_dropped_selection_score_p90,sparse_sent_update_l2,sparse_dropped_update_l2,sparse_sent_update_fraction_l2,sparse_dropped_update_fraction_l2,sparse_update_energy_retention,sparse_dense_bytes,sparse_sent_bytes,sparse_index_bytes,sparse_value_bytes,sparse_byte_saving_ratio,channel_snr_db,pathloss_db,rate_mbps,delay_ms,energy_j,ota_contribution_norm,digital_payload_bytes,communication_success,prior_loss_raw,regularization_loss_raw,num_examples_seen,ola_fisher_std,ola_precision_std,ola_precision_min,ola_precision_p10,ola_precision_p25,ola_precision_p75,ola_precision_p95,ola_precision_max,ola_sigma_std,ola_sigma_min,ola_sigma_p10,ola_sigma_p25,ola_sigma_p75,ola_sigma_p95,ola_sigma_max,ola_snr_raw_std,ola_snr_raw_min,ola_snr_raw_p10,ola_snr_raw_p25,ola_snr_raw_p75,ola_snr_raw_p95,ola_snr_raw_max,num_examples_train
bayesfl_observability_v1,ola_sparse_bayesian_fisher_update_keep005_seed42,1,ola,166,13,12,2,2,32,2.356134295463562,2.356134295463562,3.76399258983362e-12,1.8819962949168103e-13,0.0,2.356134295463562,0.07554894644255275,0.009438510984182358,0.9999380390131335,0.07554894644255275,,-0.0,2.311121424016332,,,,,,,,,,,,,,,,2.356134295463562,3.76399258983362e-12,3.830615469269105e-07,1.9153077346345526e-08,0.0005654684797337505,5.1235247156000696e-05,0.000851893681101501,0.8940958976745605,0.001565468528272193,0.001051235303748399,0.0018518937285989523,28.976184562794806,30.84253215789795,31.61857795715332,0.0006706579313868701,0.0006206340450991602,0.001116040228993,1,fisher_update,bayesian,0.05,0,101770,5089,0.05000491303920605,7.616029043967104e-07,9.264201247505594e-07,3.6203889872458116e-09,2.4668172664515757e-07,9.264201247505594e-07,3.6203889872458116e-09,2.4668172664515757e-07,1.7779677414928416e-05,2.413631200015587e-06,1.7454293061824187e-05,3.931483674448656e-08,3.0899890998474196e-09,9.925577817548187e-08,1.7779677414928416e-05,2.413631200015587e-06,1.7454293061824187e-05,3.931483674448656e-08,3.0899890998474196e-09,9.925577817548187e-08,0.06431298212273448,0.03964194292741642,0.8512756980884959,0.5247186730467521,0.8512756980884959,814160,101780,40712,61068,0.8749877174019849,,,,,,,,,3.830615469269105e-07,1.9153077346345526e-08,24.0,0.0064517417955281455,0.006451741695089894,0.0010000000474974513,0.0010002655908465385,0.001006560167297721,0.0012023114832118154,0.002797878347337246,0.8950958847999573,4.438737282271623,1.0569761991500854,23.23763656616211,28.839750289916992,31.519559860229492,31.62277603149414,31.62277603149414,0.0007472024638885251,9.558955557331169e-09,0.0001252934388750117,0.00031195566346167253,0.0009303189451237039,0.0012745662759966656,0.06635076725735539,12
bayesfl_observability_v1,ola_sparse_bayesian_fisher_update_keep005_seed42,1,ola,174,13,7,2,2,32,2.254781126976013,2.254781126976013,2.5266165028237086e-12,1.2633082514118543e-13,0.14285714285714285,2.254781126976013,0.06279436512794596,0.008944451808929443,0.9999571970824273,0.06279436512794596,,-0.0,2.259365973874069,,,,,,,,,,,,,,,,2.254781126976013,2.5266165028237086e-12,2.571337631707138e-07,1.285668815853569e-08,0.00039034701464071543,5.384512405726127e-05,0.0006157948868349201,0.8001421689987183,0.0013903470606327795,0.0010538451606407762,0.0016157949343323713,29.271282321501072,30.804317474365234,31.605037689208984,0.0006487733390991074,0.0006143174868112639,0.0011059381219083444,1,fisher_update,bayesian,0.05,0,101770,5089,0.05000491303920605,3.827116310851659e-07,5.868217591807598e-07,3.9510962781232e-09,1.5225316083971745e-07,5.868217591807598e-07,3.9510962781232e-09,1.5225316083971745e-07,1.1233527485167649e-05,1.1890399477911331e-06,6.584317406117811e-06,2.6410867283207323e-08,3.3647928160849216e-09,7.641603318338502e-08,1.1233527485167649e-05,1.1890399477911331e-06,6.584317406117811e-06,2.6410867283207323e-08,3.3647928160849216e-09,7.641603318338502e-08,0.05141729843812856,0.03604710408820962,0.8188202609161477,0.5740499806752125,0.8188202609161477,814160,101780,40712,61068,0.8749877174019849,,,,,,,,,2.571337631707138e-07,1.285668815853569e-08,14.0,0.005243549885849087,0.005243549812642176,0.0010000000474974513,0.001001122873276472,0.0010118950449395925,0.001202871440909803,0.002138634910807008,0.801142156124115,3.740261857607993,1.1172367334365845,24.87750873565674,28.833038330078125,31.436360836029053,31.622699737548828,31.62277603149414,0.0005752961015795889,8.07218998599613e-09,0.00012407355465133378,0.00030866238030368803,0.0009211972499962458,0.0012099262929499335,0.0468455384535539,7
bayesfl_observability_v1,ola_sparse_bayesian_fisher_update_keep005_seed42,1,ola,154,12,211,14,2,32,1.3039864060155588,1.3039864060155588,1.9364937043324576e-10,9.682468521662289e-12,0.8957345971563981,1.3039864060155588,0.34075931420601796,0.05802663415670395,0.9987445934291987,0.34075931420601796,,-0.0,2.4040642619438994,,,,,,,,,,,,,,,,1.3039864060155588,1.9364937043324576e-10,1.9707697044279518e-05,9.85384852213976e-07,0.00026713436056560296,3.554207614797633e-05,0.00043320487893652244,0.6980205178260803,0.0012671344074429965,0.0010355421109125018,0.0014332048711366958,29.865980243578612,31.075356483459473,31.602859687805175,0.0006349103321798934,0.0006008507052191397,0.0010844176076902899,1,fisher_update,bayesian,0.05,0,101770,5089,0.05000491303920605,1.6065869801133845e-06,2.6378659816510595e-06,1.1637877470858937e-08,5.696938553363214e-07,2.6378659816510595e-06,1.1637877470858937e-08,5.696938553363214e-07,5.0946893797347234e-05,3.850144924782365e-06,2.2107758325566343e-05,9.5022583733394e-08,9.74518545745962e-09,2.5211626716295423e-07,5.0946893797347234e-05,3.850144924782365e-06,2.2107758325566343e-05,9.5022583733394e-08,9.74518545745962e-09,2.5211626716295423e-07,0.2863328259666645,0.1847442096307747,0.8402787951191614,0.5421545411348055,0.8402787951191614,814160,101780,40712,61068,0.8749877174019849,,,,,,,,,1.9707697044279518e-05,9.85384852213976e-07,422.0,0.004098154020669862,0.004098153960871401,0.0010000073816627264,0.0010012608137913049,0.0010060451459139585,0.0011228445218876004,0.0018643109535332702,0.699020504951477,3.1509068875090964,1.1960657835006714,26.41471176147461,29.84284210205078,31.527626037597656,31.618050003051756,31.62265968322754,0.0008515299470090662,3.0848384414693913e-08,0.00012081873815235868,0.0003025701638425045,0.0009045779508138496,0.001155609293221227,0.11751389892894093,211
bayesfl_observability_v1,ola_sparse_bayesian_fisher_update_keep005_seed42,1,ola,186,14,15,2,2,32,1.980940818786621,1.980940818786621,6.0324319324511766e-12,3.0162159662255885e-13,0.5,1.980940818786621,0.09352702328459185,0.011801526881754398,0.9999050698886687,0.09352702328459185,,-0.0,2.3155014849272724,,,,,,,,,,,,,,,,1.980940818786621,6.0324319324511766e-12,6.139206334410119e-07,3.06960316720506e-08,0.0008710001638439015,4.0013597754295915e-05,0.001186061941552909,1.4029171466827393,0.0018710002170384613,0.0010400136234238744,0.0021860620006918926,28.371044389623737,31.008480072021484,31.61749839782715,0.0007065865081063825,0.0006328331048392588,0.0011463489412524334,1,fisher_update,bayesian,0.05,0,101770,5089,0.05000491303920605,2.2679997293751546e-06,1.7410397964612542e-06,2.467138071678035e-09,4.0508373210975775e-07,1.7410397964612542e-06,2.467138071678035e-09,4.0508373210975775e-07,3.321473584927902e-05,6.4273825174238075e-06,2.4333352877047013e-05,8.435814016074352e-08,1.9857203454785e-09,1.906805611585449e-07,3.321473584927902e-05,6.4273825174238075e-06,2.4333352877047013e-05,8.435814016074352e-08,1.9857203454785e-09,1.906805611585449e-07,0.07974225356472675,0.04887204805300689,0.852611905781288,0.522544675716824,0.852611905781288,814160,101780,40712,61068,0.8749877174019849,,,,,,,,,6.139206334410119e-07,3.06960316720506e-08,30.0,0.00987532915029951,0.009875329148801737,0.0010000000474974513,0.001000333926640451,0.00100379076320678,0.0013147450517863035,0.004733368521556256,1.4039171934127808,5.390569511268022,0.8439743518829346,21.387931442260744,27.57904624938965,31.56300926208496,31.622732162475586,31.62277603149414,0.0008939948826497564,7.561968495554215e-09,0.0001281493935051663,0.00031845690490322803,0.0009500634060380293,0.00145272365014605,0.08884630610658806,15
bayesfl_observability_v1,ola_sparse_bayesian_fisher_update_keep005_seed42,1,ola,119,9,5,2,2,32,2.1762579679489136,2.1762579679489136,2.142789201284301e-12,1.0713946006421505e-13,0.3,2.1762579679489136,0.05763272891826136,0.008855283260345459,0.9999639480162348,0.05763272891826136,,-0.0,2.185987945410232,,,,,,,,,,,,,,,,2.1762579679489136,2.142789201284301e-12,2.1807166206144757e-07,1.090358310307238e-08,0.0003295754208694563,3.3729171263985336e-05,0.0005965568707324564,0.7842514514923096,0.0013295754678649418,0.001033729175105691,0.0015965569764375687,29.621985963281837,31.10259437561035,31.62277603149414,0.0006392952128004898,0.0006057182505069872,0.0010937772829229713,1,fisher_update,bayesian,0.05,0,101770,5089,0.05000491303920605,2.69739755693341e-07,4.7446608748307086e-07,1.8663522474579803e-09,1.4570265947802617e-07,4.7446608748307086e-07,1.8663522474579803e-09,1.4570265947802617e-07,9.076833257902577e-06,5.364519829332681e-07,7.638472748944245e-06,2.1663090717782247e-08,1.5854778340664152e-09,8.479415927709847e-08,9.076833257902577e-06,5.364519829332681e-07,7.638472748944245e-06,2.1663090717782247e-08,1.5854778340664152e-09,8.479415927709847e-08,0.047406455829705776,0.032774370905205095,0.8225613591357235,0.5686763670637205,0.8225613591357235,814160,101780,40712,61068,0.8749877174019849,,,,,,,,,2.1807166206144757e-07,1.090358310307238e-08,10.0,0.004586413017158242,0.0045864129673929225,0.0010000000474974513,0.0010000000474974513,0.0010034407023340464,0.0011382682714611292,0.001899446826428175,0.7852514386177063,3.4853885853537827,1.1284846067428589,25.02694320678711,29.639965057373047,31.568513870239258,31.62277603149414,31.62277603149414,0.0006319223816814132,1.4005988435263008e-09,0.00012221366410820463,0.000305143259300922,0.0009121318562488878,0.0011869230045499488,0.07174851576569397,5
bayesfl_observability_v1,ola_sparse_bayesian_fisher_update_keep005_seed42,1,ola,24,1,143,10,2,32,1.324751419829322,1.324751419829322,1.4582751112426692e-10,7.291375556213347e-12,0.8111888111888111,1.324751419829322,0.3004791970795036,0.05458581820130348,0.9990228532594972,0.3004791970795036,,0.03835078340871136,2.278067287918738,,,,,,,,,,,,,,,,1.324751419829322,1.4582751112426692e-10,1.4840866557418709e-05,7.420433278709355e-07,0.0004020121408745569,3.898419163306244e-05,0.00055886126938276,1.2102856636047363,0.0014020121898568915,0.0010389842209406197,0.0015588613692671062,29.332528104382202,31.023837089538574,31.612741470336914,0.000655255462931335,0.0006120897700682725,0.0011043900452969773,1,fisher_update,bayesian,0.05,0,101770,5089,0.05000491303920605,2.4193493458791885e-06,3.3560006399935235e-06,1.0117924596040489e-08,6.164642454621096e-07,3.3560006399935235e-06,1.0117924596040489e-08,6.164642454621096e-07,6.479976573389349e-05,6.86422949104274e-06,2.906890124791668e-05,1.217837766712892e-07,8.59938209562313e-09,3.3195893604837285e-07,6.479976573389349e-05,6.86422949104274e-06,2.906890124791668e-05,1.217837766712892e-07,8.59938209562313e-09,3.3195893604837285e-07,0.25349982563216195,0.16132447514870987,0.8436518337909715,0.5368906623709632,0.8436518337909715,814160,101780,40712,61068,0.8749877174019849,,,,,,,,,1.4840866557418709e-05,7.420433278709355e-07,286.0,0.006124708468367764,0.006124708501822157,0.001000000280328095,0.0010006349766626954,0.0010060587665066123,0.0012064739130437374,0.0024267170811071892,1.2112857103347778,3.8758820962119573,0.9086083173751831,25.32772922515869,28.789957523345947,31.52741241455078,31.620769500732422,31.622772216796875,0.0008844507630723875,8.089309203721308e-09,0.00012376638019040618,0.000308143800137767,0.000920404914546739,0.0012164875679979805,0.12700015015810695,143
bayesfl_observability_v1,ola_sparse_bayesian_fisher_update_keep005_seed42,1,ola,272,21,5,2,2,32,2.2038832902908325,2.2038832902908325,1.9188929958890988e-12,9.594464979445495e-14,0.5,2.2038832902908325,0.05497290612942567,0.0088762566447258,0.9999671976318253,0.05497290612942567,,-0.0,2.28098669344155,,,,,,,,,,,,,,,,2.2038832902908325,1.9188929958890988e-12,1.9528575023741723e-07,9.764287511870862e-09,0.0002985457039266288,3.47420009347843e-05,0.00048750932910479605,0.7879511117935181,0.0012985457531328876,0.0010347420466132462,0.001487509347498417,29.635996676140266,31.08736801147461,31.622610092163086,0.0006358825813228674,0.0006055199194258505,0.0010930862360983523,1,fisher_update,bayesian,0.05,0,101770,5089,0.05000491303920605,2.4774346332637025e-07,3.8597638107001285e-07,1.9937184352940637e-09,1.0738201316801058e-07,3.8597638107001285e-07,1.9937184352940637e-09,1.0738201316801058e-07,7.35724913500626e-06,6.722236300625573e-07,4.645329175327614e-06,1.902933827172187e-08,1.5306411972684515e-09,6.40357537910188e-08,7.35724913500626e-06,6.722236300625573e-07,4.645329175327614e-06,1.902933827172187e-08,1.5306411972684515e-09,6.40357537910188e-08,0.04458112599008073,0.03216432206298144,0.8109654214954726,0.5850940822967454,0.8109654214954726,814160,101780,40712,61068,0.8749877174019849,,,,,,,,,1.9528575023741723e-07,9.764287511870862e-09,10.0,0.003981874848609005,0.0039818748043750195,0.0010000000474974513,0.0010000105248764157,0.0010040577035397291,0.001176364254206419,0.0018514982773922312,0.7889510989189148,3.345075069696455,1.1258355379104614,25.928068161010742,29.156076431274414,31.558813095092773,31.62277603149414,31.62277603149414,0.0005636412376342829,2.2221057561547308e-08,0.00012187223081401001,0.00030502173876019944,0.000911157116080257,0.0011778273364972227,0.03886022578487335,5
bayesfl_observability_v1,ola_sparse_bayesian_fisher_update_keep005_seed42,1,ola,256,20,1944,122,2,32,0.19939084962171352,0.19939084962171352,1.520643935645029e-09,7.603219678225145e-11,0.9835390946502057,0.19939084962171352,0.6706426657491247,0.11019794642925262,0.9951797973860482,0.6706426657491247,,-0.0,2.259365973874069,,,,,,,,,,,,,,,,0.19939084962171352,1.520643935645029e-09,0.0001547559400634142,7.737797003170711e-06,4.0151334527529615e-05,4.5795170535711804e-06,5.9823942137882113e-05,0.09433767944574356,0.001040151381633251,0.0010045795934274793,0.0010598240187391639,31.230383030176046,31.550615310668945,31.617168426513672,0.0005915509228763248,0.0005766308245258784,0.0010379841142036362,1,fisher_update,bayesian,0.05,0,101770,5089,0.05000491303920605,3.294868334830531e-07,8.4574629356998e-07,2.4002118728527277e-09,1.497783609254194e-07,8.4574629356998e-07,2.4002118728527277e-09,1.497783609254194e-07,1.6449696967803476e-05,9.933411892724953e-07,8.332840368306541e-06,2.4400786374416924e-08,1.8999930345786492e-09,7.707665883689089e-08,1.6449696967803476e-05,9.933411892724953e-07,8.332840368306541e-06,2.4400786374416924e-08,1.8999930345786492e-09,7.707665883689089e-08,0.5700318546271292,0.3533061984079093,0.8499785112693201,0.5268173596042497,0.8499785112693201,814160,101780,40712,61068,0.8749877174019849,,,,,,,,,0.0001547559400634142,7.737797003170711e-06,3888.0,0.0006394468647010778,0.0006394468613629706,0.001000000862404704,0.001000354764983058,0.0010012201382778585,0.0010180885437875986,0.0011014177813194691,0.09533768147230148,1.1817106803513489,3.238677501678467,30.71730613708496,31.34059429168701,31.603503227233887,31.620522594451906,31.62276268005371,0.0005000679942861797,1.7084220283535127e-08,0.0001168643212781199,0.00028919039177093865,0.0008653254254895788,0.0010969545392662987,0.048625793930461125,1944
bayesfl_observability_v1,ola_sparse_bayesian_fisher_update_keep005_seed42,1,ola,241,19,263,18,2,32,0.9010634164223199,0.9010634164223199,3.2082794062944706e-10,1.6041397031472354e-11,0.908745247148289,0.9010634164223199,0.39318500465710887,0.05344250053167343,0.9983307663627622,0.39318500465710887,,-0.0,2.28098669344155,,,,,,,,,,,,,,,,0.9010634164223199,3.2082794062944706e-10,3.2650660686929686e-05,1.6325330343464843e-06,0.00024172260668837037,2.425512866466306e-05,0.00034499958564993,0.4347130358219147,0.0012417226545035896,0.0010242551798000932,0.0013449996826238931,30.074004288299314,31.24610710144043,31.611278533935547,0.0006292061627419114,0.0005977219687053684,0.0010768154702118535,1,fisher_update,bayesian,0.05,0,101770,5089,0.05000491303920605,1.6022795793128351e-06,2.681351856521503e-06,7.537111622569192e-09,5.041824294884745e-07,2.681351856521503e-06,7.537111622569192e-09,5.041824294884745e-07,5.2018743477504166e-05,4.881013874880624e-06,2.9539488478466474e-05,8.437844955239062e-08,5.591753236450563e-09,2.3063684040648918e-07,5.2018743477504166e-05,4.881013874880624e-06,2.9539488478466474e-05,8.437844955239062e-08,5.591753236450563e-09,2.3063684040648918e-07,0.3390217431913739,0.19914493599058278,0.8622448444772964,0.5064916861828296,0.8622448444772964,814160,101780,40712,61068,0.8749877174019849,,,,,,,,,3.2650660686929686e-05,1.6325330343464843e-06,526.0,0.003544455144884305,0.0035444550559746435,0.0010000021429732442,0.0010007276432588696,0.0010039276676252484,0.0011006356216967106,0.0017155089881271124,0.4357130229473114,3.1063933328070923,1.514954924583435,27.26709690093994,30.142427444458008,31.56085777282715,31.61960325241089,31.622743606567383,0.000755626458474046,1.429845167762322e-08,0.00012006710148172793,0.0003005633316988435,0.0008979575943384446,0.0011413871265239224,0.08383801138439932,263
bayesfl_observability_v1,ola_sparse_bayesian_fisher_update_keep005_seed42,1,ola,30,2,189,12,2,32,1.2141348929316909,1.2141348929316909,1.7725544448605135e-10,8.862772224302568e-12,0.8756613756613757,1.2141348929316909,0.3176189234696029,0.04520241171121597,0.9989090083816355,0.3176189234696029,,0.11251593411963928,2.1691882529070243,,,,,,,,,,,,,,,,1.2141348929316909,1.7725544448605135e-10,1.80392871842496e-05,9.019643592124801e-07,0.0003132674259391367,3.1945231967256404e-05,0.000479204914881848,0.62128084897995,0.0013132674735822087,0.001031945226714015,0.0014792049652896824,29.75346192723702,31.12946605682373,31.601503753662108,0.0006400302930710773,0.0006037513652809804,0.0010889682109710046,1,fisher_update,bayesian,0.05,0,101770,5089,0.05000491303920605,1.6122608427126747e-06,2.7218581910002645e-06,7.943514093285901e-09,5.659230781182993e-07,2.7218581910002645e-06,7.943514093285901e-09,5.659230781182993e-07,5.269145722692128e-05,5.539884847622842e-06,3.110515347778154e-05,9.160726792538834e-08,6.701178776837751e-09,2.3501601172787323e-07,5.269145722692128e-05,5.539884847622842e-06,3.110515347778154e-05,9.160726792538834e-08,6.701178776837751e-09,2.3501601172787323e-07,0.271821343874419,0.16430136201594453,0.8558096630550197,0.5172908472239334,0.8558096630550197,814160,101780,40712,61068,0.8749877174019849,,,,,,,,,1.80392871842496e-05,9.019643592124801e-07,378.0,0.004540838319266378,0.004540838224162618,0.001000016462057829,0.0010013468214310705,0.0010054860031232238,0.0011426679557189345,0.0019596318481489975,0.6222808361053467,3.489384491356012,1.2676717042922974,26.0007474899292,29.582847118377686,31.53639030456543,31.612942123413085,31.622516632080078,0.0007708067101953641,4.096290533440687e-09,0.00012162741943146118,0.0003039181080396835,0.0009077576030753896,0.0011673856840907564,0.0834681009362129,189
