entity,num_examples,class_counts_0_to_9
BS_max,1600,"[160, 160, 160, 160, 160, 160, 160, 160, 160, 160]"
client_0,149,"[0, 50, 0, 0, 50, 0, 0, 0, 0, 49]"
client_1,157,"[0, 52, 53, 0, 0, 0, 52, 0, 0, 0]"
client_2,147,"[0, 0, 0, 49, 0, 0, 0, 49, 49, 0]"
client_3,154,"[0, 0, 0, 0, 0, 51, 0, 52, 0, 51]"
client_4,166,"[0, 0, 0, 56, 0, 55, 0, 55, 0, 0]"
client_5,147,"[49, 0, 49, 0, 0, 0, 0, 0, 49, 0]"
client_6,146,"[0, 0, 0, 48, 0, 49, 0, 0, 0, 49]"
client_7,145,"[0, 0, 0, 49, 48, 48, 0, 0, 0, 0]"
client_8,170,"[0, 0, 0, 0, 56, 0, 57, 57, 0, 0]"
client_9,171,"[0, 0, 0, 0, 57, 0, 57, 0, 0, 57]"
client_10,154,"[52, 0, 0, 0, 0, 0, 0, 51, 0, 51]"
client_11,149,"[0, 0, 0, 0, 50, 50, 49, 0, 0, 0]"
client_12,161,"[54, 0, 0, 0, 0, 0, 0, 0, 53, 54]"
client_13,158,"[0, 0, 0, 53, 52, 0, 0, 0, 53, 0]"
client_14,160,"[53, 0, 0, 0, 0, 0, 53, 54, 0, 0]"
client_15,172,"[0, 0, 0, 57, 0, 0, 0, 0, 57, 58]"
client_16,153,"[0, 51, 51, 51, 0, 0, 0, 0, 0, 0]"
client_17,150,"[0, 0, 0, 0, 0, 0, 50, 50, 0, 50]"
client_18,150,"[0, 50, 50, 0, 0, 0, 0, 50, 0, 0]"
client_19,186,"[62, 0, 0, 0, 62, 0, 0, 62, 0, 0]"
client_20,158,"[0, 0, 0, 53, 0, 53, 0, 0, 0, 52]"
client_21,153,"[0, 0, 0, 51, 51, 0, 0, 51, 0, 0]"
client_22,169,"[56, 0, 0, 0, 56, 0, 57, 0, 0, 0]"
client_23,137,"[0, 0, 0, 0, 0, 46, 0, 0, 45, 46]"
