run_id,experiment,condition,method,realization,seed,round,logical_round,physical_round,phase,num_clients,labels_per_client,mean_samples_per_client,power_dbm,noise_dbm,num_subchannels,path_loss_exponent,path_loss_reference_m,gamma_db,power_control_mode,deterministic_payload_mode,deterministic_reference_power_mode,accuracy,nll,ece,posterior_predictive_accuracy,posterior_predictive_nll,posterior_predictive_ece,posterior_mean_accuracy,posterior_mean_nll,posterior_mean_ece,train_loss,phase1_train_loss,phase2_train_loss,posterior_variance,posterior_precision_mean,posterior_precision_min,posterior_precision_max,posterior_precision_std,posterior_precision_offset_l2,posterior_precision_offset_max_abs,global_mean_update_l2,global_mean_update_max_abs,global_model_update_l2,ideal_model_update_l2,received_model_update_l2,global_precision_update_l2,global_precision_update_max_abs,channel_uses_round,channel_uses_cumulative,ofdm_symbols_round,ofdm_symbols_cumulative,aircomp_nmse,aircomp_distortion_nmse,aircomp_clipped_fraction,aircomp_average_symbol_power_watts,aircomp_maximum_symbol_power_watts,aircomp_noise_l2,aircomp_ideal_l2,aircomp_received_l2,aircomp_delta_bar,aircomp_retained_magnitude_ratio,aircomp_distorted_to_ideal_norm_ratio,precision_aircomp_nmse,precision_aircomp_distortion_nmse,precision_aircomp_clipped_fraction,precision_aircomp_average_symbol_power_watts,precision_aircomp_maximum_symbol_power_watts,precision_aircomp_noise_l2,precision_aircomp_ideal_l2,precision_aircomp_received_l2,precision_aircomp_delta_bar,precision_aircomp_retained_magnitude_ratio,precision_aircomp_distorted_to_ideal_norm_ratio,mean_aircomp_nmse,mean_aircomp_distortion_nmse,mean_aircomp_clipped_fraction,mean_aircomp_average_symbol_power_watts,mean_aircomp_maximum_symbol_power_watts,mean_aircomp_noise_l2,mean_aircomp_ideal_l2,mean_aircomp_received_l2,mean_aircomp_delta_bar,mean_aircomp_retained_magnitude_ratio,mean_aircomp_distorted_to_ideal_norm_ratio,wall_time_sec
fig3_labels_1_proposed_rep00_seed2025,fig3,labels_1,proposed,0,2025,0,0,0,model,40,1,10,23,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,0.0901,3.1194953781336365,0.26356961130186213,0.0901,3.1194953781336365,0.26356961130186213,0.0956,2.3535951171558636,0.09272159685268998,nan,0.0,0.0,0.0025000000000000014,399.99999999999994,399.99999999999994,399.99999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.902574099833146
fig3_labels_1_proposed_rep00_seed2025,fig3,labels_1,proposed,0,2025,1,1,2,natural_mean,40,1,10,23,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,0.1074,3.0938842263353754,0.36135887448908904,0.1074,3.0938842263353754,0.36135887448908904,0.101,2.3461287584786885,0.10538035873323677,5.414652934046522,4.229645822092456,1.1850071119540666,0.002499999996932404,400.0000004908154,399.99997273599115,400.0000277296506,2.6519222918158876e-06,0.00067340874935362,2.7729650639685133e-05,0.25729195063336613,0.008318878710269928,0.0,0.0,0.0,0.00067340874935362,2.7729650639685133e-05,124692,124692,122,122,0.009710911025699716,0.009710908940526905,0.01322182063184167,0.011381312482624903,0.19952623149688797,1.4053348045951228e-06,0.2696239378395342,0.2572928316339452,7.980714791134114e-06,0.9912558126674624,0.9715793074803245,0.005639705942284145,0.005639704474003955,0.00939675360087255,0.010916033749318163,0.1995262314968846,5.15154440850312e-09,0.0006809720925935673,0.0006734087493414916,2.1358033207980482e-10,0.9964413124717346,0.9888932866348189,0.013782116109115285,0.013782113407049856,0.01704688766281079,0.011846591215931642,0.19952623149688797,1.4053253625394437e-06,0.2696230778941337,0.2572919503810214,1.5961216001936147e-05,0.9860703128631902,0.95426532832583,147.55552589986473
fig3_labels_1_proposed_rep00_seed2025,fig3,labels_1,proposed,0,2025,2,2,4,natural_mean,40,1,10,23,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,0.1361,2.547462565176953,0.10562969470690664,0.1361,2.547462565176953,0.10562969470690664,0.16,2.2809563498510514,0.03719946104735136,4.544628262158616,3.584481476049682,0.9601467861089338,0.002499999994439198,400.0000008897283,399.9999697256937,400.000041836136,3.474731525021036e-06,0.0008956029933841199,4.183613606301151e-05,0.16150407101826025,0.007203860208392143,0.0,0.0,0.0,0.0005453077351896016,2.528233085286047e-05,124692,249384,122,244,0.015614630741749139,0.015614621021234494,0.01652220232832009,0.012920441348092239,0.19952623149688797,1.415421691138206e-06,0.15428588355702952,0.16150499214043285,8.066907866397435e-06,0.9930598019498766,1.0207997862649316,0.001906275658452508,0.0019062743239821487,0.013786776131097477,0.012415702835751724,0.1995262314968847,4.144884837204396e-09,0.0005481534476517653,0.0005453077352036754,1.3799824987554173e-10,0.9978432768935036,0.9948085540380264,0.02932298582504577,0.029322967718486838,0.019257628525542702,0.013425179860432753,0.19952623149688797,1.4154156222375906e-06,0.15428490980251794,0.16150407154544186,1.6133677734544995e-05,0.9882763270062496,1.046791018491837,282.77212119987234
fig3_labels_1_proposed_rep00_seed2025,fig3,labels_1,proposed,0,2025,3,3,6,natural_mean,40,1,10,23,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,0.0771,2.6341522529763077,0.17964238589537326,0.0771,2.6341522529763077,0.17964238589537326,0.1255,2.271814653770804,0.001893380214273932,3.9382406304386843,3.1025815221295754,0.8356591083091088,0.0024999999922910477,400.0000012334324,399.99995942694727,400.0000414019371,4.05289491001703e-06,0.0010578010986052322,4.1401937153295876e-05,0.15588843102658498,0.006221582181751728,0.0,0.0,0.0,0.00047273084194076806,2.512432070034265e-05,124692,374076,122,366,0.018322393633907103,0.018322404781338616,0.013611701159818784,0.011006758866093369,0.19952623149688797,1.417899326114238e-06,0.16424818645307085,0.1558891475793621,8.101752652778341e-06,0.9925143647651755,0.9702431854343094,0.004138854121467409,0.00413885677130472,0.012997631362730312,0.011263393163365075,0.19952623149688617,3.6485020259190185e-09,0.0004768414841592614,0.00047273084196553514,1.0552672273328968e-10,0.9969976641651094,0.9913794385620287,0.0325059331463468,0.032505952791372514,0.014225770956907254,0.010750124568821661,0.19952623149688797,1.4178946319907475e-06,0.16424749427410365,0.1558884308041209,1.620339977883395e-05,0.9880310653652418,0.9491069323065903,360.14088249998167
fig3_labels_1_proposed_rep00_seed2025,fig3,labels_1,proposed,0,2025,4,4,8,natural_mean,40,1,10,23,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,0.1175,2.6403824225511583,0.19489032316217664,0.1175,2.6403824225511583,0.19489032316217664,0.2029,2.2775279713916476,0.09074862880706787,3.6556753940485307,2.86605783003184,0.789617564016691,0.002499999990474717,400.0000015240453,399.99996268818063,400.00005453453883,4.468320805506064e-06,0.001178815240393466,5.4534538890038675e-05,0.13530585209845203,0.005468741059303284,0.0,0.0,0.0,0.0004172692644198735,2.1703709194298426e-05,124692,498768,122,488,0.01642907703189635,0.016429078676899477,0.01142429084953969,0.010513683191784782,0.19952623149688797,1.4502602598544456e-06,0.13414821991419557,0.13530649430541133,8.410126771438376e-06,0.9944332759096117,1.001214577269001,0.0026442021976118162,0.0026442017655678328,0.00898614185352709,0.009960795850585211,0.1995262314968871,3.208684914545638e-09,0.00041987464743205224,0.00041726926441431694,8.338179984147237e-11,0.9979552154995948,0.9937948036883396,0.030213951866180887,0.03021395558823112,0.01386243984555229,0.01106657053298435,0.19952623149688797,1.4502567102600158e-06,0.13414756282328733,0.13530585089929145,1.682017016107691e-05,0.9909113363196286,1.0086343508496625,443.3482554999646
fig3_labels_1_proposed_rep00_seed2025,fig3,labels_1,proposed,0,2025,5,5,10,natural_mean,40,1,10,23,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,0.1029,2.5495661874315134,0.23109158722676337,0.1029,2.5495661874315134,0.23109158722676337,0.2205,2.2599016828581098,0.10567747057452798,3.3965154482021576,2.687123211646481,0.7093922365556765,0.0024999999889734367,400.00000176425016,399.9999671322845,400.0000542590804,4.796696601858458e-06,0.0012761395711302058,5.4259080457086384e-05,0.12989048014269522,0.005657010478898883,0.0,0.0,0.0,0.0003624852399040463,1.6651940313749947e-05,124692,623460,122,610,0.01898257550599662,0.018982567836936626,0.013575378235811154,0.011892130002083168,0.19952623149688797,1.4966389226143538e-06,0.13316445107484953,0.12989098652419778,9.03224925751844e-06,0.9939835687293459,0.984001030233228,0.002971825622138067,0.002971821921014932,0.010675905430981939,0.01180902214081201,0.19952623149687615,2.8233135022934725e-09,0.000365193404556535,0.00036248523991350064,6.401389668411748e-11,0.9975648729075878,0.9925843349246839,0.034993325389855175,0.03499331375285832,0.01647485104064037,0.011975237863354323,0.19952623149688797,1.4966362596119077e-06,0.13316395031630468,0.129890480731577,1.8064434501140195e-05,0.990402264551104,0.9754177255417721,526.4084808998741
fig3_labels_1_proposed_rep00_seed2025,fig3,labels_1,proposed,0,2025,6,6,12,natural_mean,40,1,10,23,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,0.1014,2.750414718960029,0.26632300108684576,0.1014,2.750414718960029,0.26632300108684576,0.2992,2.2501416348530663,0.18496062431782487,3.302171273437802,2.5936747830120686,0.7084964904257336,0.002499999987572308,400.0000019884308,399.999968220834,400.00005824607206,5.112444626943302e-06,0.0013696898212472875,5.824607211479815e-05,0.12012182284922425,0.004665262997150421,0.0,0.0,0.0,0.0003592189656115083,1.5589110546443408e-05,124692,748152,122,732,0.021692389682831586,0.02169240204469943,0.01454919124874006,0.013346442393623268,0.19952623149688797,1.4764327329648598e-06,0.12083505445501817,0.1201223588214239,8.750005347917326e-06,0.9942206476606297,0.9940161229687718,0.002047406414846975,0.0020474110766780934,0.010178684349711429,0.012515821605882577,0.1995262314968826,2.7290590302417197e-09,0.00036141263374459486,0.000359218965620212,6.048898053965952e-11,0.9977423624182828,0.993930276116658,0.041337372950816194,0.04133739301272077,0.01891969814776869,0.014177063181363959,0.19952623149688797,1.476430210747157e-06,0.12083451396871416,0.12012182170845419,1.749995020685411e-05,0.9906989329029766,0.9941019698208856,610.0126803999301
fig3_labels_1_proposed_rep00_seed2025,fig3,labels_1,proposed,0,2025,7,7,14,natural_mean,40,1,10,23,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,0.1349,2.5387382810029915,0.15309492283113765,0.1349,2.5387382810029915,0.15309492283113765,0.2967,2.230050816011835,0.1761473394945264,3.2084612655658136,2.5311943640021703,0.6772669015636434,0.0024999999861334164,400.00000221865355,399.9999643170651,400.00006285009954,5.404912838615482e-06,0.0014588393673369878,6.285009959583476e-05,0.12692963383020128,0.005445618648082018,0.0,0.0,0.0,0.0003418902467833201,1.3896538064273045e-05,124692,872844,122,854,0.018808529796692692,0.01880850743897742,0.008929193962355118,0.009120174601652287,0.19952623149688797,1.485290717719666e-06,0.12945362094286,0.1269300941215209,8.93650358748037e-06,0.9946612337014207,0.9873075391255195,0.002043220728196039,0.0020432243009877948,0.006569816936125131,0.008021690529416379,0.19952623149687573,2.622902523187697e-09,0.0003439162999782183,0.00034189024676794356,5.508945281273285e-11,0.9979567019935038,0.9941088957933405,0.03557383886518935,0.035573790576967045,0.011288570988585106,0.010218658673888196,0.19952623149688797,1.4852884018016684e-06,0.1294531641050009,0.12692963367455734,1.7872952085507927e-05,0.9913657654093375,0.9805061824576986,692.8142366998363
fig3_labels_1_proposed_rep00_seed2025,fig3,labels_1,proposed,0,2025,8,8,16,natural_mean,40,1,10,23,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,0.1691,2.5101607931077017,0.136736030012432,0.1691,2.5101607931077017,0.136736030012432,0.4299,2.216736511078375,0.3095227351523936,3.0852824585640692,2.4088902434029484,0.6763922151611209,0.002499999984921015,400.0000024126376,399.9999629776942,400.00006370042746,5.664826965313537e-06,0.0015374018722833466,6.370042751768779e-05,0.12068607908968945,0.006401118356734514,0.0,0.0,0.0,0.0003284448782135637,1.743512495977484e-05,124692,997536,122,976,0.02587857230576357,0.025878556439832383,0.012267524290784326,0.010936630082925463,0.19952623149688797,1.4799915941610064e-06,0.12026949962347935,0.12068652755888908,8.872871430814028e-06,0.9939079332621621,0.9993406707697372,0.0018896790277393876,0.0018896792172137043,0.008622490653922666,0.010061734234035493,0.1995262314968595,2.5370452599995372e-09,0.0003300244240581637,0.0003284448781804184,5.161721248728521e-11,0.9982035135401827,0.9952138225782059,0.049867465583787754,0.04986743366245106,0.015912557927645985,0.011811525931815432,0.19952623149688797,1.479989419620487e-06,0.12026904682237083,0.12068608063146508,1.774569124441557e-05,0.9896123529841414,1.0034675189612685,774.4295319998637
fig3_labels_1_proposed_rep00_seed2025,fig3,labels_1,proposed,0,2025,9,9,18,natural_mean,40,1,10,23,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,0.1039,2.3434271949703436,0.19463446457454933,0.1039,2.3434271949703436,0.19463446457454933,0.3691,2.191705560761439,0.24005815636962652,3.1038485426874822,2.4470951835841435,0.6567533591033389,0.0024999999836455788,400.00000261670743,399.99996501746244,400.00006903043567,5.9440971160707845e-06,0.001621641113596664,6.903043572492606e-05,0.12807008715346824,0.005594540387392044,0.0,0.0,0.0,0.0003268607591192637,1.8578321999029868e-05,124692,1122228,122,1098,0.02324829745446071,0.023248296887812728,0.011170772305502428,0.011155176052803431,0.19952623149688797,1.4990341655780988e-06,0.1310212188238569,0.12807050499432576,9.011876275294802e-06,0.9937729678915038,0.9844646675948079,0.0031791298602947674,0.0031791282782377803,0.008622846694254643,0.010631119764644198,0.19952623149687704,2.514141730546452e-09,0.0003296794307328293,0.0003268607591198839,5.099181473787673e-11,0.9976808882766206,0.9914503015524487,0.04331746504862665,0.04331746549738767,0.013718697916750214,0.011679232340962666,0.19952623149688797,1.4990320572495394e-06,0.13102080404867747,0.12807008788763194,1.8023701558774866e-05,0.989865047506387,0.9774790336371669,858.08396920003
