schema_version,run_id,round,method,physical_client_id,virtual_client_id,num_examples,sparse_comm_enabled,sparse_metric,sparse_ratio,sparse_warmup_rounds,sparse_num_params_total,sparse_num_params_sent,sparse_compression_ratio,sparse_threshold,sparse_score_mean,sparse_score_p50,sparse_score_p90,sparse_sent_update_l2,sparse_dropped_update_l2,sparse_sent_update_fraction_l2,update_l2_norm,label_entropy,kl_to_global_label_distribution,local_epochs,batch_size,train_loss,task_loss,prior_loss,regularization_loss,accuracy_local_train_estimate,loss_local_train_estimate,num_batches,num_examples_seen,ola_fisher_mean,ola_fisher_std,ola_fisher_p50,ola_fisher_p90,ola_fisher_max,update_linf_norm,update_cosine_to_global,drift_from_global_before_l2,ola_task_loss,ola_prior_loss,ola_precision_mean,ola_precision_std,ola_precision_min,ola_precision_p10,ola_precision_p25,ola_precision_p50,ola_precision_p75,ola_precision_p90,ola_precision_p95,ola_precision_max,ola_sigma_mean,ola_sigma_std,ola_sigma_min,ola_sigma_p10,ola_sigma_p25,ola_sigma_p50,ola_sigma_p75,ola_sigma_p90,ola_sigma_p95,ola_sigma_max,ola_snr_raw_mean,ola_snr_raw_std,ola_snr_raw_min,ola_snr_raw_p10,ola_snr_raw_p25,ola_snr_raw_p50,ola_snr_raw_p75,ola_snr_raw_p90,ola_snr_raw_p95,ola_snr_raw_max,num_examples_train
bayesfl_observability_v1,ola_precision_update_prune095_keep005_seed42,21,ola,63,5,8,1,precision_update,0.05,20,101770,5089,0.05000491303920605,5.413306460796963e-07,3.290563782933169e-07,8.533488617644414e-08,3.0343412183182747e-07,0.0721616993533592,0.040517374522944724,0.8719551916509267,0.08275849498267335,-0.0,2.3292713582565514,2,32,0.6970255225896835,0.6970255225896835,3.84363339767102e-11,1.9218166988355103e-12,0.9375,0.6970255225896835,2,16.0,0.0006991141183365266,0.011717248285363762,6.729150481987745e-05,0.0007115448825061321,1.197668433189392,0.010761559009552002,0.9999329995443956,0.08275849498267335,0.6970255225896835,3.84363339767102e-11,0.0011919619591036017,0.0012022742953119517,0.0010005808435380459,0.001010558835696429,0.0010257355752401054,0.0010541611118242145,0.0011111745843663812,0.0013498655287548901,0.0015516870887950054,0.08003931492567062,29.97653145199032,2.5094998267096678,3.534665584564209,27.21790943145752,29.999143600463867,30.799701690673828,31.22355031967163,31.457137298583984,31.551715850830078,31.613595962524414,0.000661853816940498,0.0009513485025986249,1.4812652223847956e-08,0.000121509666509065,0.00030198310204021734,0.0005989105794642633,0.0009007008441341358,0.0010886335910307702,0.001193145067967421,0.061115224463078814,8
bayesfl_observability_v1,ola_precision_update_prune095_keep005_seed42,21,ola,67,5,16,1,precision_update,0.05,20,101770,5089,0.05000491303920605,7.41435370554995e-07,5.176211959368905e-07,1.1058191337707385e-07,3.798024761700781e-07,0.09112620710137537,0.04792105013335069,0.8850787382304802,0.10295830547637165,-0.0,2.311121424016332,2,32,0.8828993439674377,0.8828993439674377,8.954437191732723e-11,4.477218595866362e-12,0.75,0.8828993439674377,2,32.0,0.0011412013702271247,0.021047092132355342,0.00011368242849130183,0.0010693374089896684,2.2509045600891113,0.014383524656295776,0.9998962584602308,0.10295830547637165,0.8828993439674377,8.954437191732723e-11,0.0012130137334424548,0.0015874890142886103,0.0010005771182477474,0.0010099277133122087,0.0010279951675329357,0.0010572040337137878,0.001115025661420077,0.0013758948538452388,0.001599025598261504,0.1470004767179489,29.90175231471094,2.613545616813382,2.608198404312134,26.959223556518555,29.947293281555176,30.75534439086914,31.189216136932373,31.466964721679688,31.5393105506897,31.61365509033203,0.0006664129325301546,0.0010148460219337738,1.813283388936338e-08,0.00012182923914538084,0.00030253270061983764,0.0005996622025928697,0.0009021753336868618,0.0010916693044535088,0.001198789288967811,0.07543248701477978,16
bayesfl_observability_v1,ola_precision_update_prune095_keep005_seed42,21,ola,279,22,12,1,precision_update,0.05,20,101770,5089,0.05000491303920605,1.802916901103268e-07,8.392936417325277e-08,3.0559982699355365e-08,1.1536969427685187e-07,0.023032530484408554,0.014699878968197196,0.8429510266109124,0.027323687565825653,0.6172417697303416,1.6358465807671725,2,32,0.2552061900496483,0.2552061900496483,3.2392224753180487e-12,1.6196112376590246e-13,1.0,0.2552061900496483,2,24.0,7.385571743509866e-05,0.0009500378120112288,8.113079275062773e-06,9.756074941833507e-05,0.1473492830991745,0.003825858235359192,0.9999927175853308,0.027323687565825653,0.2552061900496483,3.2392224753180487e-12,0.001162187750036944,0.000914505636228704,0.0010005866643041372,0.0010097060585394502,0.0010234285437036306,0.0010466203093528748,0.0010957499325741082,0.0013095725676976146,0.0014835301903076456,0.04940418899059296,30.14741911768644,2.326896560615378,4.499022006988525,27.633457565307616,30.209551334381104,30.910456657409668,31.258723735809326,31.47041893005371,31.54554033279419,31.61350440979004,0.0006535441436471584,0.0008782698924456845,2.0444885535983244e-09,0.00012076010546144783,0.00030035813155713246,0.0005960261640395289,0.000895896551965328,0.0010820720608883756,0.0011821307300140386,0.04548094340587511,12
bayesfl_observability_v1,ola_precision_update_prune095_keep005_seed42,21,ola,286,22,12,1,precision_update,0.05,20,101770,5089,0.05000491303920605,2.0285690433084064e-07,9.916247057236226e-08,4.084089673574024e-08,1.3715101751499668e-07,0.03099503709407565,0.01754218400078722,0.8702830532181446,0.0356148921657865,-0.0,2.185987945410232,2,32,0.22230146825313568,0.22230146825313568,5.2642894383947425e-12,2.632144719197371e-13,1.0,0.22230146825313568,2,24.0,0.0001271914105487719,0.0024211829714515347,1.4774716873944271e-05,0.00013249113835627228,0.3804891109466553,0.006114259362220764,0.9999876023011417,0.0356148921657865,0.22230146825313568,5.2642894383947425e-12,0.0011647275440019493,0.0009277695182014431,0.001000589458271861,0.0010096050100401044,0.0010232458589598536,0.001047179801389575,0.0010966645495500416,0.0013124391320161522,0.0014898834400810296,0.04882076010107994,30.1326998601649,2.3484487876998443,4.525824546813965,27.60326156616211,30.196951389312744,30.902198791503906,31.261512756347656,31.471994400024414,31.54637231826782,31.613460540771484,0.000654463150454331,0.000886835062455409,3.987874004800713e-09,0.00012067633412356128,0.00030068716505230597,0.0005962401819337661,0.0008962785502440316,0.0010826458710923887,0.0011825610498049594,0.04862201953657384,12
bayesfl_observability_v1,ola_precision_update_prune095_keep005_seed42,21,ola,38,3,257,1,precision_update,0.05,20,101770,5089,0.05000491303920605,1.2413701848141417e-06,6.033463245903476e-07,1.5532300371860807e-07,7.384559564433738e-07,0.15492179601657738,0.088863911657843,0.8674287403568341,0.1785988736698385,1.3397067534967495,0.9396094349232524,2,32,0.47737320521230364,0.47737320521230364,6.929948001090604e-10,3.464974000545302e-11,0.8754863813229572,0.47737320521230364,18,514.0,0.0001278168478130856,0.0013670506949712983,2.3625477297173347e-05,0.00017712136468617256,0.12383367121219635,0.019844122231006622,0.9996895065210758,0.1785988736698385,0.47737320521230364,6.929948001090604e-10,0.0011647573269854608,0.000933065083085922,0.0010006068041548133,0.0010099072242155671,0.0010228061582893133,0.0010475617600604892,0.0010980212537106127,0.0013139926944859327,0.0014936772058717904,0.05464218556880951,30.13264010250305,2.345946051798458,4.277952671051025,27.586940002441406,30.17828941345215,30.89656352996826,31.268232345581055,31.467283248901367,31.550090789794922,31.61318588256836,0.0006549581652105065,0.0008815839444325229,1.9315005553892648e-08,0.00012069125388554142,0.00030066363574053753,0.0005968292270644921,0.0008965275366892757,0.0010833031993873494,0.0011848956494213672,0.04349254171401407,257
bayesfl_observability_v1,ola_precision_update_prune095_keep005_seed42,21,ola,125,10,4,1,precision_update,0.05,20,101770,5089,0.05000491303920605,2.997386318370548e-07,1.286208860879396e-07,3.997023589582052e-08,1.7873258592319073e-07,0.033776889132916335,0.020962151455650845,0.8496718846591499,0.03975286194913476,0.5623351446188083,1.818115478821869,2,32,0.2886378690600395,0.2886378690600395,9.621142424420803e-12,4.810571212210401e-13,1.0,0.2886378690600395,2,8.0,0.00015951721728579195,0.0021936698776197847,1.4933657439542003e-05,0.00021290632430464085,0.2695058584213257,0.005109667778015137,0.9999845629373056,0.03975286194913476,0.2886378690600395,9.621142424420803e-12,0.0011662668671196868,0.0009492980662500418,0.0010005866643041372,0.0010099284118041396,0.0010234684741590172,0.0010475647286511958,0.0011005339911207557,0.001317745528649539,0.001494254067074507,0.05506660416722298,30.117017507192323,2.3483018419037904,4.261434555053711,27.54762878417969,30.143817901611328,30.896520614624023,31.258113861083984,31.46695327758789,31.552024173736573,31.61350440979004,0.0006547106516177647,0.0008889362813426157,2.4510939079837745e-09,0.00012093098395704785,0.00030035208160930724,0.0005962544449956976,0.0008968774409360304,0.0010835258042963614,0.0011842416687566587,0.04843582925396955,4
bayesfl_observability_v1,ola_precision_update_prune095_keep005_seed42,21,ola,127,10,1,1,precision_update,0.05,20,101770,5089,0.05000491303920605,7.453238813600119e-07,2.9032074753295115e-07,5.7192039480918715e-08,3.020530464274353e-07,0.06758545175594942,0.03450397838674686,0.8906465821641223,0.07588358065859083,-0.0,2.3277319754160017,2,32,0.27578939497470856,0.27578939497470856,7.000527935119294e-11,3.500263967559647e-12,1.0,0.27578939497470856,2,2.0,0.0008529964990117574,0.011130214017491306,4.5189714001026005e-05,0.0007760578882880509,0.9719957709312439,0.008109673857688904,0.9999436512595562,0.07588358065859083,0.27578939497470856,7.000527935119294e-11,0.0011992896926580892,0.001230860818172645,0.0010005567455664277,0.0010102422558702529,0.0010246644960716367,0.0010503802332095802,0.001111996389226988,0.001391707954462618,0.001617284642998129,0.09240468591451645,29.931939623130262,2.615977559582409,3.289674997329712,26.805624771118165,29.98805522918701,30.85508441925049,31.239866256713867,31.462064933776855,31.55209732055664,31.613977432250977,0.0006629286349277725,0.0009349517497866748,4.913012224433044e-09,0.00012205936761670946,0.0003026015969037996,0.0005998849636173319,0.0009018924896044927,0.0010911312964885262,0.001197243856907439,0.04537111712581778,1
bayesfl_observability_v1,ola_precision_update_prune095_keep005_seed42,21,ola,288,23,1,1,precision_update,0.05,20,101770,5089,0.05000491303920605,1.0224653957475929e-06,4.641904861396837e-07,1.0138458888004435e-07,3.362828305132192e-07,0.09275864100133863,0.04614947778191974,0.8953128133312837,0.10360472855984479,-0.0,2.185987945410232,2,32,0.5136319436132908,0.5136319436132908,7.252951017555631e-11,3.6264755087778156e-12,1.0,0.5136319436132908,2,2.0,0.0015971158159862897,0.021475926479276715,0.0001389938115607947,0.001255829865112902,2.790741443634033,0.013775795698165894,0.9998949726134944,0.10360472855984479,0.5136319436132908,7.252951017555631e-11,0.0012347239467582684,0.001489903536151387,0.0010005567455664277,0.001011433347593993,0.001027816440910101,0.0010573840118013322,0.0011174387182109058,0.0014175435295328501,0.0017469060025177875,0.16074366867542267,29.750736419765914,2.936239531500322,2.4942102432250977,26.56022834777832,29.914939880371094,30.752726554870605,31.19192886352539,31.443535804748535,31.543721008300782,31.613977432250977,0.000671942746348673,0.0010232449001264597,2.8116124740089846e-09,0.00012243292604932832,0.00030407352004123563,0.0006034881371230864,0.0009071240125746809,0.0010973365412887473,0.001212580856261398,0.09399266413263346,1
bayesfl_observability_v1,ola_precision_update_prune095_keep005_seed42,21,ola,142,11,1305,1,precision_update,0.05,20,101770,5089,0.05000491303920605,2.5575956524892833e-06,1.135492189034652e-06,4.104474265063311e-07,1.5686661032892485e-06,0.294603942056959,0.19339626595794554,0.8359666432608232,0.35241112122346013,1.0393456977703441,1.2528709717652187,2,32,0.41241138828097634,0.41241138828097634,1.6935223803126265e-09,8.467611901563134e-11,0.8908045977011494,0.41241138828097634,82,2610.0,5.596313951016626e-05,0.0005678053434313171,1.2002566109003965e-05,9.561034676153217e-05,0.05992402881383896,0.033800020813941956,0.9988054398276771,0.35241112122346013,0.41241138828097634,1.6935223803126265e-09,0.0011613357229998092,0.0009084739962961844,0.0010005629155784845,0.0010098481667228042,0.001022643526084721,0.0010463115177117288,0.001095589977921918,0.001310449477750808,0.0014825150952674443,0.048755891621112823,30.153375726019316,2.3218463196896515,4.528834342956543,27.62421073913574,30.211756229400635,30.915017127990723,31.270719528198242,31.46820487976074,31.550952911376953,31.613880157470703,0.0006555029000533918,0.0008868682017374516,2.4320805281530693e-09,0.00012073980268319747,0.00029957960397778273,0.0005954905389193091,0.0008962668071252245,0.0010848552784671161,0.00119226129632954,0.04341705107455528,1305
bayesfl_observability_v1,ola_precision_update_prune095_keep005_seed42,21,ola,52,4,24,1,precision_update,0.05,20,101770,5089,0.05000491303920605,3.6994721909575784e-07,1.9647206890952058e-07,5.9104485879559075e-08,2.1718395699058176e-07,0.04550855977487019,0.026692782663863025,0.8625709998665452,0.05275920449668626,1.0880102622771117,1.1812023456676566,2,32,0.8033210933208466,0.8033210933208466,1.675059743688756e-11,8.375298718443781e-13,0.8333333333333334,0.8033210933208466,2,48.0,0.00027628565086398416,0.003629917421478523,3.055891829717439e-05,0.0003179709310643375,0.4783557653427124,0.006878450512886047,0.9999727627661774,0.05275920449668626,0.8033210933208466,1.675059743688756e-11,0.0011718272709774916,0.0010024303951814296,0.001000557211227715,0.0010098834754899144,0.0010242885036859661,0.001049111655447632,0.0010980190709233284,0.0013256495818495752,0.0015042347833514214,0.06259339302778244,30.09665487101683,2.3861113545500854,3.9970147609710693,27.46538143157959,30.178319931030273,30.873733520507812,31.245599269866943,31.467653274536133,31.546541213989258,31.613969802856445,0.0006564777619272492,0.0009057149197527403,3.265989596179193e-08,0.00012093536546024818,0.000300488479112376,0.0005968858675421344,0.0008972961983910112,0.00108411704044909,0.0011854308228918626,0.0473447884080087,24
