round,accuracy,nll,brier,ece,mce,mean_confidence,predictive_entropy,expected_entropy,mutual_information
0.0,0.1178,2.3032463520124953,0.9000500097861773,0.003755266416072842,0.45451532030592157,0.11404473358392715,2.2989346771682775,2.2989346771682775,0.0
1.0,0.2204,2.2447783575368216,0.8878412092038221,0.09779388841614128,0.396901894571445,0.12260611158385873,2.293723982773898,2.293723982773898,0.0
2.0,0.2853,2.1785240846236498,0.873019524890828,0.15042206396162508,0.7928417792750729,0.1348779360383749,2.283246336191085,2.283246336191085,0.0
3.0,0.3513,2.1099264846458383,0.8563322184989401,0.2038391694962978,0.7473248276928691,0.14746083050370215,2.2698007931760906,2.2698007931760906,0.0
4.0,0.402,2.0440319435622194,0.8390154520876167,0.24123183337152004,0.711412989712776,0.16076816662847995,2.255108631762239,2.255108631762239,0.0
5.0,0.4485,1.9780394565264068,0.820199958290687,0.27537232403159145,0.6966832505611631,0.17312767596840858,2.2394907229615355,2.2394907229615355,0.0
6.0,0.4711,1.9166253512644738,0.8021901017873965,0.28450346061140297,0.6753598253841531,0.18659653938859702,2.2218952518753445,2.2218952518753445,0.0
7.0,0.5007,1.8566332561104333,0.7835317254323867,0.3010037868186832,0.6261302092496087,0.19969621318131686,2.2033172580407774,2.2033172580407774,0.0
8.0,0.5426,1.7934100694009758,0.7622076309621545,0.33172735074982046,0.6152775626097406,0.21091137047931552,2.186109302814431,2.186109302814431,0.0
9.0,0.5607,1.7376406729014962,0.7429450215495146,0.33625172026529904,0.5921370837189104,0.2244482797347009,2.1638193847127,2.1638193847127,0.0
10.0,0.5769,1.6826212561005316,0.7230966797314275,0.3382782116815447,0.5735270803534811,0.23865462596565484,2.139650072221432,2.139650072221432,0.0
11.0,0.5844,1.63304103495443,0.7052795261712921,0.33171805943176147,0.5491101534077616,0.2526819405682385,2.1140207137142126,2.1140207137142126,0.0
12.0,0.6022,1.579657130939898,0.68503582458419,0.33680082453414806,0.5605353358072964,0.265399175465852,2.0901771289518676,2.0901771289518676,0.0
13.0,0.5967,1.5389635009337594,0.67002018841278,0.3160230223730207,0.5215359784565963,0.2809125889852643,2.059069353257453,2.059069353257453,0.0
14.0,0.6087,1.4938433654882723,0.6521756687714128,0.31446525442302226,0.5150901912561843,0.2942347455769777,2.0312427157880784,2.0312427157880784,0.0
15.0,0.6146,1.4540244883911138,0.636676288327348,0.3067814422063529,0.49934801427645265,0.30781855779364703,2.0014696959039733,2.0014696959039733,0.0
16.0,0.6237,1.4150252090371591,0.6213600566658273,0.30285764669030907,0.4851494910297813,0.32084235330969096,1.9719842965028045,1.9719842965028045,0.0
17.0,0.6317,1.378458205328025,0.6068837583465332,0.29846286142095924,0.4766921882213491,0.3333214066468179,1.9428598644964215,1.9428598644964215,0.0
18.0,0.6373,1.3447388604201878,0.5937202977829673,0.2920224291570485,0.4670605107758361,0.3452775708429515,1.9142332236772637,1.9142332236772637,0.0
19.0,0.6461,1.3120291367598673,0.5803792107273704,0.2882285588152706,0.4544111831314603,0.35787144118472936,1.8837892796318214,1.8837892796318214,0.0
20.0,0.6512,1.2837308845220046,0.5691175502533808,0.28128035001754753,0.43077254031542417,0.3699196499824524,1.8540812680321408,1.8540812680321408,0.0
21.0,0.6524,1.2559645748522843,0.557759120404777,0.269863069215417,0.416696523145232,0.3825369307845831,1.8231909746682429,1.8231909746682429,0.0
22.0,0.6553,1.230308464672089,0.5477878236691786,0.261857750749588,0.4137450122472011,0.393442249250412,1.7939602040447717,1.7939602040447717,0.0
23.0,0.6569,1.206104502576185,0.5382943279788892,0.25155796086639165,0.38140452783480194,0.40534203913360833,1.7632615874245945,1.7632615874245945,0.0
24.0,0.6787,1.1757192946805621,0.5250651214832069,0.2663430488198995,0.870024286210537,0.41235695118010046,1.7423570109533582,1.7423570109533582,0.0
25.0,0.6803,1.155102272744966,0.5168291518512541,0.2562978079214692,0.8674305826425552,0.4240021920785308,1.712509504855932,1.712509504855932,0.0
26.0,0.6845,1.1350385209780118,0.5089480871795283,0.2507918519720435,0.36356485094190705,0.4337081480279565,1.6857236325221474,1.6857236325221474,0.0
27.0,0.6967,1.1091332489131425,0.4973891471218126,0.2555423737540841,0.38148274013837513,0.4412096824362874,1.664230285921968,1.664230285921968,0.0
28.0,0.7025,1.0888728249797164,0.4886059578360084,0.2519727497309446,0.37219395504627395,0.45057920301258564,1.638750049218833,1.638750049218833,0.0
29.0,0.6998,1.0714219602331916,0.48202884911558197,0.2396930730655789,0.3488979519893569,0.46013268691152337,1.6132071146866562,1.6132071146866562,0.0
30.0,0.6975,1.057214271156325,0.47699812187878854,0.22828492619395258,0.3389819898475004,0.46924153571128846,1.587432797765087,1.587432797765087,0.0
31.0,0.7019,1.0399634456432527,0.47014043249998033,0.22516209665089845,0.32693219059245093,0.47676350213736296,1.5654671801230644,1.5654671801230644,0.0
