round,num_examples,train_loss,task_loss,prior_loss,train_accuracy,effective_prior_lambda,variance_floor_fraction,lr,local_steps,update_l2,update_rms,update_max_abs,posterior_mean_abs_mean,posterior_precision_mean,posterior_precision_min,posterior_precision_max,posterior_sigma_mean,client_id,server_round
1,1095.0,1.2933542508785039,1.2933542508785039,0.0,0.5224657534246575,0.1,0.0,0.02,350.0,1.007850330721047,0.0010895978516501084,0.11434664949774742,0.026315166010286165,0.00030360473564891024,1.308365122108324e-14,4.539036750793457,1099.8881770934447,17.0,1.0
1,228.0,1.8371974535155715,1.8371974535155715,0.0,0.2710526315789474,0.1,0.0,0.02,80.0,0.8781638974673227,0.0009493924513499185,0.09958535991609097,0.026313048915073196,0.0013570957998602189,0.0,23.552200317382812,871.6172675513876,5.0,1.0
1,418.0,1.407335701256848,1.407335701256848,0.0,0.3471291866028708,0.1,0.0,0.02,140.0,0.9437687982872668,0.001020318616487939,0.18526238203048706,0.026313447736453836,0.0007906680216282705,1.8121678677508572e-14,8.657416343688965,967.867361443219,10.0,1.0
1,376.0,1.503837758429507,1.503837758429507,0.0,0.4734042553191489,0.1,0.0,0.02,120.0,0.862822898858072,0.0009328071324614998,0.1513097621500492,0.0263121127043437,0.0007026170698317464,6.272572471334318e-15,8.059368133544922,1204.3872198012293,18.0,1.0
1,8.0,1.8009947180747985,1.8009947180747985,0.0,0.525,0.1,0.0,0.02,10.0,0.44357047757403667,0.00047954882256605075,0.0740253843832761,0.026306658417684117,0.006781525700972897,0.0,112.43712615966797,3689.045813296896,14.0,1.0
1,1410.0,1.2615258759386996,1.2615258759386996,0.0,0.3604964539007092,0.1,0.0,0.02,450.0,1.278420980166827,0.001382114696035899,0.1615147478878498,0.02631990740971938,0.00026898246270972825,2.1593200318081873e-12,4.796431064605713,998.8886600510027,12.0,1.0
1,1344.0,1.238390265476136,1.238390265476136,0.0,0.5880208333333333,0.1,0.0,0.02,420.0,0.9852480492194534,0.0010651622815899108,0.08955805748701096,0.02631706682877515,0.00026604920003044867,2.9843132359850394e-14,4.262922286987305,1117.614703315304,8.0,1.0
1,1025.0,0.7490101663572032,0.7490101663572032,0.0,0.7811707317073171,0.1,0.0,0.02,330.0,0.8983401345880572,0.0009712051986904959,0.13575240969657898,0.026312749514607922,0.00036894080989587985,1.050484226075034e-15,5.581816673278809,2200.623625084217,0.0,1.0
1,970.0,0.1356893049561678,0.1356893049561678,0.0,0.9774226804123711,0.1,0.0,0.02,310.0,0.4442815082249395,0.0004803175254637586,0.07335668802261353,0.026307538580347477,0.0001540780632123549,0.0,2.4933724403381348,6936.041784945954,19.0,1.0
1,521.0,0.6816485029722129,0.6816485029722129,0.0,0.8140115163147793,0.1,0.0,0.02,170.0,0.7926311520995201,0.0008569220787581687,0.14029634185135365,0.026309797454811375,0.00041918553347155413,5.540126734107642e-14,6.555168151855469,1206.3851795000705,7.0,1.0
