round,accuracy,nll,brier,ece,mce,mean_confidence,predictive_entropy,expected_entropy,mutual_information
0.0,0.1,3.451162364458949,1.1295735605302333,0.397390195542574,0.49893193654884577,0.4973901955425739,1.4500216708113471,1.4500216708113471,0.0
1.0,0.1001,2.433950876058891,0.9254845751681076,0.11572556107342245,0.1162459301080561,0.21582556107342243,2.164525610408671,2.164525610408671,0.0
2.0,0.1602,2.369997113542688,0.9086503478414234,0.059036654341220865,0.5616118709246318,0.18091779954731466,2.2001748056375736,2.2001748056375736,0.0
3.0,0.1554,2.3475212066129045,0.9023417405948123,0.06057739576250314,0.49761545865072143,0.19017829016894103,2.19281406043052,2.19281406043052,0.0
4.0,0.1825,2.3255121225466695,0.8961492807580689,0.036555523204803465,0.3731192499399185,0.20408427478671073,2.1844142392610997,2.1844142392610997,0.0
5.0,0.1989,2.3129726663872745,0.8922412224067321,0.029876454651355747,0.5949359635512035,0.21731013069748878,2.1628993144457223,2.1628993144457223,0.0
6.0,0.1907,2.3157532680649418,0.8923967000585508,0.050982007405161865,0.52369175106287,0.23382138569056987,2.135334422310139,2.135334422310139,0.0
7.0,0.2014,2.273179713001788,0.8834532695490727,0.05358191874176263,0.455435186624527,0.24480350552350283,2.126188904799616,2.126188904799616,0.0
8.0,0.211,2.2565593322527837,0.8792094124911535,0.045756536257266986,0.13781265313165225,0.25441742126345634,2.101016962166578,2.101016962166578,0.0
9.0,0.2241,2.2418893136846587,0.8775729207258454,0.049005365936458115,0.21332107981046045,0.2728135107561946,2.0706536084048395,2.0706536084048395,0.0
10.0,0.2168,2.2649118040660783,0.8836751331968306,0.08640007733255627,0.17472542325655616,0.3032000773325563,2.007945918153862,2.007945918153862,0.0
11.0,0.2373,2.2188931483672167,0.8725421170384341,0.060354551960527886,0.12931320071220398,0.2976545519605279,2.0109348662668496,2.0109348662668496,0.0
12.0,0.2358,2.206331927043739,0.8715526261570332,0.07911736777871846,0.15873019171642588,0.3149173677787185,1.9738100413620738,1.9738100413620738,0.0
13.0,0.2356,2.245716113236843,0.8804867343288814,0.09422070583403108,0.3686445876955986,0.3295889192521572,1.9268262069626154,1.9268262069626154,0.0
14.0,0.2378,2.229313580322869,0.8769424447227592,0.09689786084592343,0.19659234644198903,0.3346978608459234,1.9073638053542297,1.9073638053542297,0.0
15.0,0.2548,2.186555025310293,0.8663859437656835,0.07818653524369003,0.3715868517756462,0.3328019266560674,1.9130096663169829,1.9130096663169829,0.0
16.0,0.2469,2.1853461947814115,0.8690115362206124,0.09360712929442526,0.21773000955581667,0.3405071292944252,1.8942496974448833,1.8942496974448833,0.0
17.0,0.2602,2.1664873839201824,0.8603829772705854,0.07765473380386828,0.19148750291314232,0.3378217885643244,1.8836059643816951,1.8836059643816951,0.0
18.0,0.258,2.198422314335849,0.8684389113967238,0.095973141618073,0.2206190716652643,0.353973141618073,1.846546368665879,1.846546368665879,0.0
19.0,0.2644,2.1338602113652967,0.8552768103670676,0.08504281736537814,0.18471916510021175,0.34944281736537813,1.858152097270924,1.858152097270924,0.0
20.0,0.2614,2.1834578598575756,0.8669379275718344,0.10265034378319977,0.22576227769180762,0.3640503437831998,1.819140466021704,1.819140466021704,0.0
21.0,0.2654,2.1257669584687893,0.8549455576966924,0.083654129280895,0.20371649629975613,0.349054129280895,1.8520229026760928,1.8520229026760928,0.0
22.0,0.2613,2.13722198137658,0.8572766096688594,0.10453309467732906,0.1976768403129781,0.36583309467732905,1.8034361109770816,1.8034361109770816,0.0
23.0,0.2744,2.1419704669453057,0.8538573220675689,0.09249063798189162,0.19506263913034083,0.36683894480466844,1.7949182375945798,1.7949182375945798,0.0
24.0,0.277,2.1273210629558865,0.850925249808464,0.08774155381545425,0.15240590954289857,0.3647176250420511,1.7946250258580887,1.7946250258580887,0.0
25.0,0.2811,2.1341625256931973,0.8496000994015676,0.09263175063878298,0.15234013901481147,0.37371006105691196,1.7702921141544306,1.7702921141544306,0.0
26.0,0.2869,2.149180964266189,0.8511583599040183,0.09768906783536076,0.1973764620309958,0.3845890678353608,1.7399839417049385,1.7399839417049385,0.0
27.0,0.2993,2.0639986554970817,0.8317480628640711,0.06793728162273763,0.14769568760183793,0.36718629110082984,1.7801450638546663,1.7801450638546663,0.0
28.0,0.2893,2.070509817344759,0.8350671737570942,0.07934894948974254,0.17883029648714965,0.36855443032756446,1.7831244332878342,1.7831244332878342,0.0
29.0,0.2983,2.0621762229900633,0.8332479287654878,0.07470133620202542,0.11638730764389038,0.37295478127896786,1.7605185317438439,1.7605185317438439,0.0
30.0,0.3011,2.070921099139753,0.8334256050599214,0.07957910904288291,0.1381599209043715,0.38067910904288293,1.7421730938897515,1.7421730938897515,0.0
31.0,0.287,2.0859112559199415,0.844052564356221,0.10675771093219519,0.19287398633777453,0.39339593813866375,1.7186747747854518,1.7186747747854518,0.0
32.0,0.2857,2.125807614343791,0.8501194110366767,0.12046647877469657,0.22289066514651384,0.4061647988297045,1.6750025199493543,1.6750025199493543,0.0
33.0,0.2824,2.195804148423839,0.8669620580499267,0.15356238716244694,0.2655178531185611,0.4359250437915325,1.5959082466472911,1.5959082466472911,0.0
34.0,0.3022,2.0813333924846398,0.8349343868926886,0.10283610802739857,0.1634155390070558,0.404622886069119,1.669292767118312,1.669292767118312,0.0
35.0,0.311,2.096822331226869,0.8350165387748155,0.09720322652310133,0.15510569718661227,0.4082032265231013,1.650307566603252,1.650307566603252,0.0
36.0,0.2924,2.13523539181831,0.8474134626509083,0.14452417209073898,0.21622975827310653,0.43689918061420324,1.5932987298174295,1.5932987298174295,0.0
37.0,0.3192,2.054886791214764,0.8242148695755847,0.08793482929617165,0.13010316509507291,0.4066037779048085,1.6474067135075645,1.6474067135075645,0.0
38.0,0.2902,2.1061355094544227,0.844122749105257,0.13942002212181692,0.20934066759402015,0.429607051102072,1.6170171920489829,1.6170171920489829,0.0
39.0,0.3085,2.100074230501597,0.8328761398782605,0.11097794944122433,0.14472924394497833,0.41899907921627166,1.6186266665978628,1.6186266665978628,0.0
40.0,0.3245,2.055211818283881,0.8237383267498548,0.09645126916915177,0.2053776764207416,0.42058158935159445,1.6093732777312668,1.6093732777312668,0.0
41.0,0.3263,2.0840257544874,0.8222899508199504,0.09735712375342846,0.1448902355773108,0.4236515684813261,1.597569851746236,1.597569851746236,0.0
42.0,0.3038,2.1496256018778075,0.8474773439402826,0.14931584863811734,0.23286419461058716,0.4530703825011849,1.534047622499779,1.534047622499779,0.0
43.0,0.3141,2.1257975533541678,0.8379640292584365,0.12932438793480397,0.19445634482804686,0.44340163965523244,1.5534346956344824,1.5534346956344824,0.0
44.0,0.3396,1.9761173365154743,0.8037552961975709,0.0669624189220369,0.12379784695804119,0.40646338064447046,1.6483946041638806,1.6483946041638806,0.0
45.0,0.312,2.0177097153540062,0.8218945855281545,0.12542678984850644,0.17738136451249154,0.4373824364826083,1.58811334349721,1.58811334349721,0.0
46.0,0.3383,1.9552892992689612,0.800030145979022,0.0853974052987993,0.20641594876845676,0.42355272133126853,1.6131018287503998,1.6131018287503998,0.0
47.0,0.3324,2.0321741328194687,0.8147242755833891,0.11213331016153096,0.17837853638641987,0.44441500835269687,1.551016463085597,1.551016463085597,0.0
48.0,0.3249,2.053376245376787,0.8252023860130943,0.12178005325645211,0.37052614986896515,0.4463836323365569,1.5487096316927116,1.5487096316927116,0.0
