round,num_clients,num_examples,client_id,local_steps,lr,server_round,train_accuracy,train_loss,update_l2,update_max_abs,update_rms
1,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,1.0,0.8432492997198883,0.2816012308513174,0.8230758920908549,0.08093266997748345,0.0008781316002197995
2,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,2.0,0.8487074829931972,0.26872594266456157,0.7136436220874256,0.05755585996350612,0.0007613793841760465
3,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,3.0,0.8538015206082431,0.2636626314375886,0.6754326035596001,0.05058751894720495,0.0007206124231117027
4,20,2703.544537815126,8.773709483793517,849.7474989995999,0.009999999999999998,4.0,0.8580592236894757,0.259042844037954,0.6542060931811464,0.047493808361746014,0.0006979660672837319
5,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,5.0,0.8628211284513806,0.2542926083458389,0.6394871401319315,0.0439679993635171,0.0006822625605732716
6,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,6.0,0.8666066426570627,0.2511893378691891,0.6243347758707354,0.04152232803010783,0.0006660966516897092
7,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,7.0,0.8698159263705484,0.24669072450395527,0.6129396765327955,0.038003612273842656,0.0006539393319182972
8,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,8.0,0.8717967186874749,0.2445452076105113,0.6063788007798349,0.03656936085269767,0.0006469395978972276
9,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,9.0,0.8742897158863547,0.24142305954711138,0.596710625384649,0.034881273563764914,0.0006366247163503835
10,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,10.0,0.8764065626250501,0.23840819904728663,0.5854118180697474,0.03321058001405015,0.0006245701295943488
11,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,11.0,0.8789715886354542,0.23518427830460512,0.5792563047886296,0.03198837644488391,0.0006180028728205039
12,20,2703.544537815126,8.773709483793517,849.7474989995999,0.010000000000000002,12.0,0.8821368547418968,0.23239938225587203,0.5731549205331629,0.030844701423856462,0.0006114933657734702
13,20,2703.544537815126,8.773709483793517,849.7474989995999,0.009999999999999998,13.0,0.8824729891956783,0.23086570620874156,0.5671886286378419,0.03083276436465713,0.0006051279874410936
14,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,14.0,0.8849379751900761,0.22776871009151875,0.5584205837626888,0.02952820801512659,0.000595773446321613
15,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,15.0,0.8849979991996798,0.2271704116371757,0.5544234252171854,0.02953997217100106,0.0005915089170556922
16,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,16.0,0.8871548619447779,0.2248296221012205,0.5486819029157886,0.02910615860560194,0.0005853833431995373
17,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,17.0,0.8886914765906363,0.22243908970526122,0.544865824601408,0.03020522935826908,0.0005813120066569757
18,20,2703.544537815126,8.773709483793517,849.7474989995999,0.010000000000000002,18.0,0.8896518607442976,0.2213507126233318,0.5438337955444419,0.029065882888625934,0.0005802109449736297
19,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,19.0,0.890484193677471,0.21915066530460814,0.5391823001236861,0.02912153632517214,0.0005752483101103156
20,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,20.0,0.8921768707482994,0.21737246306245517,0.5361124180788448,0.028997071511766205,0.0005719730830523654
21,20,2703.544537815126,8.773709483793517,849.7474989995999,0.009999999999999998,21.0,0.892673069227691,0.21564738302050723,0.5311772998508981,0.02853800213592751,0.000566707853796565
22,20,2703.544537815126,8.773709483793517,849.7474989995999,0.010000000000000002,22.0,0.8936854741896757,0.21490031378306562,0.5313520379704227,0.02735695326741801,0.000566894280183235
23,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,23.0,0.8927731092436976,0.21513819095506623,0.5225790363173147,0.02954456312783143,0.000557534450725948
24,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,24.0,0.8948939575830333,0.21298545104474817,0.5208164455060801,0.02965200186832672,0.0005556539598690596
25,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,25.0,0.8967066826730691,0.21024698509724613,0.5200979949901428,0.028906578155813597,0.0005548874520569596
26,20,2703.544537815126,8.773709483793517,849.7474989995999,0.009999999999999998,26.0,0.8975110044017607,0.20973719402891183,0.5219543421574513,0.02871227092860567,0.000556867970651
27,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,27.0,0.8985394157663065,0.20775282260209604,0.5180988883721513,0.027046342784924213,0.0005527546248045329
28,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,28.0,0.8986394557823131,0.20712289452670157,0.5142774845045244,0.029948591412592526,0.0005486776064814217
29,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,29.0,0.8996518607442979,0.2063101012226477,0.5142008477362678,0.026292911206944887,0.0005485958434646801
30,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,30.0,0.9006842737094839,0.20460714466040844,0.5143857429860244,0.028022699599929837,0.0005487931063940186
31,20,2703.544537815126,8.773709483793517,849.7474989995999,0.01,31.0,0.9016806722689076,0.20321233437872133,0.5108007493849834,0.02753016070428104,0.0005449683118666723
32,20,2703.544537815126,8.773709483793517,849.7474989995999,0.009999999999999998,32.0,0.901796718687475,0.20216429225400487,0.5072956340993007,0.02802085871746739,0.0005412287387308918
