target_removed_percent,actual_removed_percent,weights_left,test_error_percent,snr_threshold,include_bias,prune_rho,rho_prune_value,samples
0,0.0,2392800,2.070000000000005,-inf,False,True,-20.0,1
50,50.0,1196400,2.0499999999999963,0.12453007698059082,False,True,-20.0,1
75,75.0,598200,2.080000000000004,0.21781344711780548,False,True,-20.0,1
95,95.0,119640,2.2199999999999998,0.5725834369659424,False,True,-20.0,1
98,98.0,47856,3.2499999999999973,4.965857982635498,False,True,-20.0,1
