target_removed_percent,snr_threshold,name,total,pruned,pruned_percent
50,0.12453007698059082,layer0.weight,940800,466196,49.5531462585034
50,0.12453007698059082,layer1.weight,1440000,727125,50.494791666666664
50,0.12453007698059082,layer2.weight,12000,3079,25.658333333333335
75,0.21781344711780548,layer0.weight,940800,700990,74.50999149659864
75,0.21781344711780548,layer1.weight,1440000,1088955,75.621875
75,0.21781344711780548,layer2.weight,12000,4655,38.791666666666664
95,0.5725834369659424,layer0.weight,940800,892286,94.84332482993197
95,0.5725834369659424,layer1.weight,1440000,1374937,95.4817361111111
95,0.5725834369659424,layer2.weight,12000,5937,49.475
98,4.965857982635498,layer0.weight,940800,920602,97.8531037414966
98,4.965857982635498,layer1.weight,1440000,1417874,98.46347222222222
98,4.965857982635498,layer2.weight,12000,6468,53.9
