name,percentile,snr,snr_db_20log10
global,0,1.4645320334238932e-07,-136.68602249279775
global,1,0.0022925842995755374,-52.79349372241141
global,5,0.0114514222368598,-38.822811434596645
global,10,0.022972223907709123,-32.77593918700547
global,25,0.05834283772855997,-24.680249022335417
global,50,0.12453007698059082,-18.094514868690503
global,75,0.21781344339251518,-13.23830638407482
global,90,0.3373655915260315,-9.437984277996803
global,95,0.5725834310054775,-4.8432244684852925
global,98,4.965858068466187,13.919886052403552
global,99,7.027893180847123,16.93650303787177
global,100,88.24886322021484,38.914182394428344
layer0.weight,0,3.032618280940369e-07,-130.36364502764204
layer0.weight,1,0.0023123538703657687,-52.71891406111316
layer0.weight,5,0.011580755887553099,-38.7252618573015
layer0.weight,10,0.02319841962307692,-32.69083200268987
layer0.weight,25,0.058834477327764034,-24.607362007348428
layer0.weight,50,0.12587124854326248,-18.001469198486255
layer0.weight,75,0.2203287109732628,-13.138578127366266
layer0.weight,90,0.343595552444458,-9.279049327626893
layer0.weight,95,0.6830613970756518,-3.310805158945171
layer0.weight,98,5.140895071029664,14.220774794553172
layer0.weight,99,7.248645153045655,17.205136800264444
layer0.weight,100,55.83054733276367,34.937437709232796
layer1.weight,0,1.4645320334238932e-07,-136.68602249279775
layer1.weight,1,0.002270647168625146,-52.87700689508436
layer1.weight,5,0.011323700658977032,-38.92023239382693
layer1.weight,10,0.02274133376777172,-32.86368135497431
layer1.weight,25,0.057761505246162415,-24.76722995434252
layer1.weight,50,0.12306069955229759,-18.19761240891529
layer1.weight,75,0.21472350880503654,-13.362408092610973
layer1.weight,90,0.3284090906381608,-9.671696595042022
layer1.weight,95,0.4780314981937409,-6.410869722947905
layer1.weight,98,4.5097500610351595,13.083049462170331
layer1.weight,99,5.826565194129945,15.308252203792598
layer1.weight,100,38.22572326660156,31.647114228435278
layer2.weight,0,5.11467587784864e-05,-85.82363765515332
layer2.weight,1,0.004602012126706541,-46.74104827151436
layer2.weight,5,0.02170421946793795,-33.269119632837196
layer2.weight,10,0.04417856149375439,-27.09576859999005
layer2.weight,25,0.12057674303650856,-18.37472903887259
layer2.weight,50,2.8565056324005127,9.11659421977317
layer2.weight,75,11.957725286483765,21.55297135389558
layer2.weight,90,21.27895450592041,26.55900571425252
layer2.weight,95,27.865872097015373,28.90145275653261
layer2.weight,98,36.321079864501975,31.203174849560618
layer2.weight,99,42.642735290527355,32.59690098823823
layer2.weight,100,88.24886322021484,38.914182394428344
