epoch,valid_mean_error,test_mean_error,valid_mc_error,test_mc_error,train_loss,train_kl_raw,train_nll,snr_q50_db,snr_q75_db
1,0.5617,0.5488,0.656,0.6623,2987.662295446369,10535137.36572889,293.0485083538552,0.02656596526503563,4.675615310668945
2,0.4888,0.47519999999999996,0.5759000000000001,0.5665,2983.2630827140333,10535295.260869566,289.2548519436966,0.030353080481290817,4.680107116699219
3,0.46209999999999996,0.4527,0.5391,0.5315,2977.7193056774877,10535770.58823529,283.19323469001006,0.037435226142406464,4.686769008636475
4,0.40449999999999997,0.391,0.4423,0.4224,2968.6869884988528,10536345.401534526,273.8139577021685,0.0461571104824543,4.695298194885254
5,0.34819999999999995,0.33709999999999996,0.3651,0.35619999999999996,2954.6288223461743,10537311.294117654,260.2314944059953,0.057670511305332184,4.705984592437744
6,0.31899999999999995,0.30689999999999995,0.32589999999999997,0.3166,2937.644788073762,10538710.381074162,242.50605375870424,0.06940852105617523,4.719372749328613
7,0.3043,0.29379999999999995,0.30589999999999995,0.2953,2916.8110159559324,10539773.554987215,221.61710523522405,0.08260824531316757,4.735150337219238
8,0.28790000000000004,0.27859999999999996,0.29479999999999995,0.27890000000000004,2894.725220272911,10541102.767263422,199.242768192535,0.09678278118371964,4.75152587890625
9,0.2712,0.25739999999999996,0.27359999999999995,0.26,2873.4147291451764,10542692.268542202,177.31253354201826,0.11148267239332199,4.7673258781433105
10,0.25449999999999995,0.23760000000000003,0.2581,0.23850000000000005,2854.285229753654,10544129.780051148,157.7609140732709,0.1264878511428833,4.782512664794922
11,0.24460000000000004,0.22870000000000001,0.24619999999999997,0.2289,2838.3519584284986,10545610.698209703,141.62418408406052,0.14036890864372253,4.795759201049805
12,0.23129999999999995,0.21440000000000003,0.23329999999999995,0.2146,2825.8314928020627,10546805.874680301,128.2416839794735,0.15224504470825195,4.8095831871032715
13,0.21999999999999997,0.20489999999999997,0.21830000000000005,0.20520000000000005,2814.984497792273,10547953.710997447,117.39928407010527,0.16391699016094208,4.822924613952637
