run_id,round,logical_round,physical_round,phase,client_id,num_examples,distance_m,train_loss,phase1_loss,phase2_loss,local_steps,learning_rate,local_precision_mean,local_precision_min,local_precision_max,local_precision_delta_l2,local_precision_delta_max_abs,local_precision_changed_fraction,local_precision_gradient_l2_mean,local_precision_gradient_max_abs,local_nu_l2,local_implied_mean_l2,sparse_enabled,sparse_selection,sparse_keep_ratio,sparse_kept_coordinates,sparse_total_coordinates,sparse_score_threshold,sparse_score_mean,sparse_selected_score_mean,sparse_dropped_score_mean
fig2_default_proposed_rep00_seed12025,1,1,1,precision,0,57,154.96644013227524,2.426147193239446,2.426147193239446,0.0,1,,10000.028693859356,9304.9765625,11232.7109375,5526.277823786657,1232.7109375,0.9827144358166116,4.621520145977992,0.9734238386154175,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,1,42,190.8422478688452,2.5055540175664994,2.5055540175664994,0.0,1,,10000.080209502075,9512.0283203125,10611.8671875,4645.067910107878,611.8671875,0.9784346890136081,3.8894166647696213,0.4973376393318176,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,2,44,186.7160387868168,2.694854736328125,2.694854736328125,0.0,1,,10000.00343931643,9462.4140625,10588.71875,5280.4227879968885,588.71875,0.9880961533533226,4.422382931490412,0.47905176877975464,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,3,48,48.8084696173102,2.172869841257731,2.172869841257731,0.0,1,,10000.000922692769,9536.19140625,10608.875,4560.197380035556,608.875,0.9839189154557803,3.8199842957344865,0.49497777223587036,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,4,55,158.4991524661853,2.634741765802557,2.634741765802557,0.0,1,,9999.91026944526,9253.73046875,10598.3603515625,5254.163888228264,746.26953125,0.9860459752440993,4.404970164611661,0.649620771408081,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,5,58,174.2546140238567,2.459626822636045,2.459626822636045,0.0,1,,10000.01061363843,9337.5849609375,10854.669921875,5652.518314173562,854.669921875,0.9881474078060531,4.727083269684164,0.686773419380188,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,6,55,161.9794984667968,2.453696511008523,2.453696511008523,0.0,1,,10000.051511413225,9258.68359375,10777.6474609375,6201.088556554797,777.6474609375,0.979446964455037,5.190513740338559,0.6451358795166016,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,7,55,15.946149824897818,2.4115866921164772,2.4115866921164772,0.0,1,,10000.108541727232,9393.6630859375,10786.7119140625,5792.005146990759,786.7119140625,0.9852387176135927,4.845633592758124,0.6341865658760071,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,8,47,120.98949031468518,2.0261524281603225,2.0261524281603225,0.0,1,,9999.959073469654,9412.37890625,10703.8232421875,4613.584805477597,703.8232421875,0.9835601342866661,3.8611230052953003,0.5695871114730835,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,9,47,146.23854371638723,2.391413100222324,2.391413100222324,0.0,1,,10000.052237722357,9275.0107421875,10563.7958984375,5067.425420076048,724.9892578125,0.9860075344045514,4.246529832348179,0.6303808689117432,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
