method,metric,round,mean,std,count
Proposed/Pyro,posterior_mean_accuracy,85,0.2105,0.011384638773364729,3
Proposed/Pyro,posterior_mean_accuracy,86,0.21056666666666665,0.011327106132341704,3
Proposed/Pyro,posterior_mean_accuracy,87,0.2107,0.011805083650698966,3
Proposed/Pyro,posterior_mean_accuracy,88,0.2106,0.01145294721894761,3
Proposed/Pyro,posterior_mean_accuracy,89,0.21056666666666665,0.011484917645909939,3
Proposed/Pyro,posterior_mean_accuracy,90,0.21056666666666665,0.011574685020912374,3
Proposed/Pyro,posterior_mean_accuracy,91,0.21073333333333333,0.011779784944273513,3
Proposed/Pyro,posterior_mean_accuracy,92,0.21066666666666667,0.01184497080339725,3
Proposed/Pyro,posterior_mean_accuracy,93,0.2107,0.0118122817440154,3
Proposed/Pyro,posterior_mean_accuracy,94,0.21066666666666667,0.011754715365900318,3
Proposed/Pyro,posterior_mean_accuracy,95,0.21073333333333333,0.01186984976035218,3
Proposed/Pyro,posterior_mean_accuracy,96,0.21073333333333333,0.01186984976035218,3
Proposed/Pyro,posterior_mean_accuracy,97,0.21073333333333333,0.01186984976035218,3
Proposed/Pyro,posterior_mean_accuracy,98,0.2107,0.0118122817440154,3
Proposed/Pyro,posterior_mean_accuracy,99,0.2107,0.0118122817440154,3
Proposed/Pyro,posterior_mean_accuracy,100,0.21076666666666666,0.011837370203441845,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,0,0.09843333333333333,0.001601041327803048,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,1,0.10293333333333334,0.002730079363925764,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,2,0.10916666666666668,0.01579060902350931,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,3,0.10953333333333333,0.016512217698823287,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,4,0.11273333333333334,0.022054780283043696,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,5,0.111,0.019052558883257648,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,6,0.11220000000000001,0.020785571919001884,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,7,0.11513333333333335,0.025094288858888456,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,8,0.11599999999999999,0.025746650267559075,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,9,0.11926666666666667,0.027691394571840056,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,10,0.12053333333333334,0.025231395786466774,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,11,0.1284,0.02619007445579337,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,12,0.12860000000000002,0.02535014792856246,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,13,0.13826666666666668,0.03318875311507397,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,14,0.1386,0.03495010729597263,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,15,0.14493333333333333,0.03984235602136669,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,16,0.1442,0.036834087473426015,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,17,0.14823333333333333,0.036748650768883104,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,18,0.14980000000000002,0.02957211524392531,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,19,0.1462,0.020708210931898483,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,20,0.14616666666666667,0.010214368964029701,3
