schema_version,run_id,round,method,scope,physical_client_id,virtual_client_id,layer_name,value_space,bin_id,bin_left,bin_right,bin_center,count,density,cdf,total_count
bayesfl_observability_v1,vi_lr0p002_b256_e10_prior0p02,0,vi,global,,,all,raw,0,1.5114035871294294e-05,0.055252152530492114,0.027633633283181705,3145,0.5594618655937168,0.030903016606072517,101770
bayesfl_observability_v1,vi_lr0p002_b256_e10_prior0p02,0,vi,global,,,all,raw,1,0.055252152530492114,0.11048919102511293,0.08287067177780252,3097,0.550923178932827,0.06133438144836396,101770
bayesfl_observability_v1,vi_lr0p002_b256_e10_prior0p02,0,vi,global,,,all,raw,2,0.11048919102511293,0.16572622951973376,0.13810771027242336,3075,0.5470096142132524,0.09154957256558907,101770
bayesfl_observability_v1,vi_lr0p002_b256_e10_prior0p02,0,vi,global,,,all,raw,3,0.16572622951973376,0.22096326801435456,0.19334474876704416,3069,0.5459422783806415,0.12170580721234156,101770
bayesfl_observability_v1,vi_lr0p002_b256_e10_prior0p02,0,vi,global,,,all,raw,4,0.22096326801435456,0.27620030650897537,0.24858178726166497,3062,0.5446970532425951,0.1517932593102093,101770
bayesfl_observability_v1,vi_lr0p002_b256_e10_prior0p02,0,vi,global,,,all,raw,5,0.27620030650897537,0.33143734500359623,0.3038188257562858,3129,0.5566156367067532,0.18253905866168812,101770
bayesfl_observability_v1,vi_lr0p002_b256_e10_prior0p02,0,vi,global,,,all,raw,6,0.33143734500359623,0.38667438349821703,0.35905586425090663,3094,0.5503895110165216,0.21294094526874324,101770
bayesfl_observability_v1,vi_lr0p002_b256_e10_prior0p02,0,vi,global,,,all,raw,7,0.38667438349821703,0.44191142199283784,0.41429290274552744,3111,0.55341362920892,0.24350987520880416,101770
bayesfl_observability_v1,vi_lr0p002_b256_e10_prior0p02,0,vi,global,,,all,raw,8,0.44191142199283784,0.49714846048745864,0.46952994124014824,3231,0.5747603458611446,0.27525793455831776,101770
bayesfl_observability_v1,vi_lr0p002_b256_e10_prior0p02,0,vi,global,,,all,raw,9,0.49714846048745864,0.5523854989820794,0.524766979734769,3116,0.554303075736096,0.3058759948904392,101770
bayesfl_observability_v1,vi_lr0p002_b256_e10_prior0p02,0,vi,global,,,all,raw,10,0.5523854989820794,0.6076225374767003,0.5800040182293899,3173,0.5644427661459027,0.3370541416920507,101770
