schema_version,run_id,round,method,physical_client_id,virtual_client_id,num_examples,sparse_comm_enabled,sparse_metric,sparse_selection_method,sparse_ratio,sparse_warmup_rounds,sparse_num_params_total,sparse_num_params_sent,sparse_compression_ratio,sparse_threshold,sparse_score_mean,sparse_score_p50,sparse_score_p90,sparse_selection_score_mean,sparse_selection_score_p50,sparse_selection_score_p90,sparse_selected_score_mean,sparse_selected_score_p50,sparse_selected_score_p90,sparse_dropped_score_mean,sparse_dropped_score_p50,sparse_dropped_score_p90,sparse_selected_selection_score_mean,sparse_selected_selection_score_p50,sparse_selected_selection_score_p90,sparse_dropped_selection_score_mean,sparse_dropped_selection_score_p50,sparse_dropped_selection_score_p90,sparse_sent_update_l2,sparse_dropped_update_l2,sparse_sent_update_fraction_l2,sparse_dropped_update_fraction_l2,sparse_update_energy_retention,sparse_dense_bytes,sparse_sent_bytes,sparse_index_bytes,sparse_value_bytes,sparse_byte_saving_ratio,update_l2_norm,label_entropy,kl_to_global_label_distribution,local_epochs,batch_size,train_loss,task_loss,prior_loss,regularization_loss,vi_effective_lr,num_batches,update_linf_norm,update_cosine_to_global,drift_from_global_before_l2,vi_elbo_loss,vi_kl_loss,vi_kl_loss_per_example,vi_kl_per_param,vi_likelihood_loss,vi_complexity_cost,vi_loc_l2,vi_scale_mean,vi_scale_std,vi_scale_p50,vi_scale_p90,vi_scale_max,vi_snr_raw_mean,vi_snr_raw_p50,vi_snr_raw_p90,num_examples_train
bayesfl_observability_v1,vi_sparse_bayesian_keep005_seed42,1,vi,24,1,143,1,update_snr,bayesian,0.05,0,101770,5089,0.05000491303920605,0.4115119673018375,0.19440417982285768,0.1807891781159438,0.37495531734091087,0.19440417982285768,0.1807891781159438,0.37495531734091087,0.44052866413408753,0.4370939770674455,0.47014780219315583,0.18144891973390692,0.17087143004323274,0.34779188638845415,0.44052866413408753,0.4370939770674455,0.47014780219315583,0.18144891973390692,0.17087143004323274,0.34779188638845415,1.5795302242856517,3.350672506102557,0.4264032123313181,0.9045331948101912,0.4264032123313181,814160,101780,40712,61068,0.8749877174019849,3.7043112683174306,0.03835078340871136,2.278067287918738,5,256,1271.549077987671,0.11808760849745957,19.34126846545625,19.34126846545625,0.005,,0.025047795847058296,0.8772769690056209,3.7043112683174306,1271.549077987671,2765.801390560244,19.34126846545625,0.027176981335956016,0.11808760849745957,19.34126846545625,7.717489902229926,0.05032958117645599,0.0006480260685905077,0.05038311332464218,0.05115840695798397,0.05123927444219589,0.397958354913787,0.3609686921375071,0.7744822528623753,143
bayesfl_observability_v1,vi_sparse_bayesian_keep005_seed42,1,vi,154,12,211,1,update_snr,bayesian,0.05,0,101770,5089,0.05000491303920605,0.41437148895438675,0.1956404034508667,0.18131266289301273,0.3775793050952004,0.1956404034508667,0.18131266289301273,0.3775793050952004,0.44193029558628183,0.4385648206826289,0.4711758500744129,0.1826764367865053,0.17146069027613392,0.3506093446340144,0.44193029558628183,0.4385648206826289,0.4711758500744129,0.1826764367865053,0.17146069027613392,0.3506093446340144,1.5852947221854286,3.3745423234893033,0.4251985282778778,0.9051001113414611,0.4251985282778778,814160,101780,40712,61068,0.8749877174019849,3.728363615476578,-0.0,2.4040642619438994,5,256,1378.6029071807861,0.08585388400543358,13.2778692135823,13.2778692135823,0.005,,0.02504298835992813,0.8761678556737486,3.728363615476578,1378.6029071807861,2801.630404065865,13.2778692135823,0.027529040032090647,0.08585388400543358,13.2778692135823,7.735071464106329,0.0503350170042413,0.0006466734668063836,0.05038882978260517,0.05115966498851776,0.05123920738697052,0.39896682435843683,0.36163134288667076,0.7767994301072675,211
bayesfl_observability_v1,vi_sparse_bayesian_keep005_seed42,1,vi,119,9,5,1,update_snr,bayesian,0.05,0,101770,5089,0.05000491303920605,0.4102995448342095,0.19194480847833362,0.1775003929993502,0.37257516127440166,0.19194480847833362,0.1775003929993502,0.37257516127440166,0.4390365760896346,0.4352213633756881,0.46924458461134816,0.17893863347627623,0.16767447407906064,0.34466117994135975,0.4390365760896346,0.4352213633756881,0.46924458461134816,0.17893863347627623,0.16767447407906064,0.34466117994135975,1.5740621338574043,3.3092552021199833,0.429538994377831,0.903048311171047,0.429538994377831,814160,101780,40712,61068,0.8749877174019849,3.6645383875737907,-0.0,2.185987945410232,5,256,1136.2417741775512,2.0594718933105467,541.4400752516203,541.4400752516203,0.005,,0.02505425736308098,0.8797980182424485,3.6645383875737907,1136.2417741775512,2707.2003762581016,541.4400752516203,0.02660116317439424,2.0594718933105467,541.4400752516203,7.709169439056831,0.050328246352011226,0.0006489897427095698,0.05037613585591316,0.05115972459316254,0.051239047199487686,0.39811331683507417,0.36198553708568526,0.7743480280550026,5
bayesfl_observability_v1,vi_sparse_bayesian_keep005_seed42,1,vi,256,20,1944,1,update_snr,bayesian,0.05,0,101770,5089,0.05000491303920605,0.4429211534355624,0.18041335504802847,0.15288092041796114,0.3709926055417726,0.18041335504802847,0.15288092041796114,0.3709926055417726,0.5327472397048602,0.5061294212765226,0.6431329442607047,0.1618675483329695,0.14412513252079429,0.3291640614207511,0.5327472397048602,0.5061294212765226,0.6431329442607047,0.1618675483329695,0.14412513252079429,0.3291640614207511,1.9590807751515176,3.1073029272881936,0.5333260395591143,0.8459097679588452,0.5333260395591143,814160,101780,40712,61068,0.8749877174019849,3.6733266891881646,-0.0,2.259365973874069,5,256,3105.4231497883798,0.07370968512546869,1.464116255424904,1.464116255424904,0.005,,0.06965464353561401,0.8798578912427467,3.6733266891881646,3105.4231497883798,2846.2420005460135,1.464116255424904,0.027967397077193805,0.07370968512546869,1.464116255424904,7.729407517283975,0.05080149841839952,0.0017458056653449534,0.05063190311193466,0.053158816695213315,0.05900657922029495,0.3956339775318623,0.363215958968907,0.7563783805974768,1944
bayesfl_observability_v1,vi_sparse_bayesian_keep005_seed42,1,vi,272,21,5,1,update_snr,bayesian,0.05,0,101770,5089,0.05000491303920605,0.4094770265470798,0.1918061133731418,0.17720678810729298,0.37202155583668073,0.1918061133731418,0.17720678810729298,0.37202155583668073,0.43856288494245504,0.4351124794539697,0.46909688021215307,0.17881757156537983,0.16737227890029666,0.34434255412497883,0.43856288494245504,0.4351124794539697,0.46909688021215307,0.17881757156537983,0.16737227890029666,0.34434255412497883,1.5726780697637046,3.3073991053442726,0.429427385544538,0.903101389958171,0.429427385544538,814160,101780,40712,61068,0.8749877174019849,3.6622677609846903,-0.0,2.28098669344155,5,256,1182.7352772712707,2.1890634536743163,540.7772296492291,540.7772296492291,0.005,,0.02506120875477791,0.8793026990751172,3.6622677609846903,1182.7352772712707,2703.8861482461452,540.7772296492291,0.026568597310073157,2.1890634536743163,540.7772296492291,7.6894017511957395,0.05033034284146962,0.0006481758194328541,0.0503820925951004,0.05115958750247955,0.05123918130993843,0.39677090932124626,0.3598958841937261,0.7713365841664866,5
bayesfl_observability_v1,vi_sparse_bayesian_keep005_seed42,1,vi,166,13,12,1,update_snr,bayesian,0.05,0,101770,5089,0.05000491303920605,0.41041704991376127,0.192360957281909,0.1775242484796536,0.37284155766006977,0.192360957281909,0.1775242484796536,0.37284155766006977,0.439406907343583,0.4357072531900104,0.4706412435542474,0.17935719397925537,0.16798258637954827,0.34515643852019806,0.439406907343583,0.4357072531900104,0.4706412435542474,0.17935719397925537,0.16798258637954827,0.34515643852019806,1.5756628989035943,3.316872389337418,0.4290898128114388,0.9032618294500453,0.4290898128114388,814160,101780,40712,61068,0.8749877174019849,3.6721051207897375,-0.0,2.311121424016332,5,256,1161.6843818664552,1.859400749206543,226.52539888529984,226.52539888529984,0.005,,0.025088511407375336,0.879011045729929,3.6721051207897375,1161.6843818664552,2718.304786623598,226.52539888529984,0.026710275981365803,1.859400749206543,226.52539888529984,7.701457671019262,0.050333314726195615,0.0006464516222121501,0.05038530007004738,0.0511598352342844,0.05123889446258545,0.39708810992990196,0.35949934084484164,0.7752257665182045,12
bayesfl_observability_v1,vi_sparse_bayesian_keep005_seed42,1,vi,174,13,7,1,update_snr,bayesian,0.05,0,101770,5089,0.05000491303920605,0.40965778895200655,0.19274463519826676,0.17886897669319868,0.3731021441622258,0.19274463519826676,0.17886897669319868,0.3731021441622258,0.43846765778788177,0.4348625621715014,0.46841593774294527,0.1798105068591044,0.16914021754232447,0.3454089028560025,0.43846765778788177,0.4348625621715014,0.46841593774294527,0.1798105068591044,0.16914021754232447,0.3454089028560025,1.572174493156568,3.322440754781209,0.4277278444187011,0.9039075677904957,0.4277278444187011,814160,101780,40712,61068,0.8749877174019849,3.6756421487902307,-0.0,2.259365973874069,5,256,1149.4290281295775,2.0726555415562222,389.07125728594,389.07125728594,0.005,,0.025062071159482002,0.8791157121896324,3.6756421487902307,1149.4290281295775,2723.49880100158,389.07125728594,0.02676131277391746,2.0726555415562222,389.07125728594,7.712066731290007,0.05033136266774656,0.0006473676019531049,0.05038418062031269,0.05115977302193642,0.05123929679393768,0.39767065760812964,0.36009972158979864,0.7753210480833114,7
bayesfl_observability_v1,vi_sparse_bayesian_keep005_seed42,1,vi,30,2,189,1,update_snr,bayesian,0.05,0,101770,5089,0.05000491303920605,0.4115785550561629,0.19472164734920971,0.18034098656466926,0.37570196407166073,0.19472164734920971,0.18034098656466926,0.37570196407166073,0.44003600929692827,0.43666422263418037,0.46955378971635564,0.18180902968956675,0.17014036866133755,0.34904225730113103,0.44003600929692827,0.43666422263418037,0.46955378971635564,0.18180902968956675,0.17014036866133755,0.34904225730113103,1.578046352831253,3.3597111767486942,0.425136514298218,0.9051292417165404,0.425136514298218,814160,101780,40712,61068,0.8749877174019849,3.711857955640832,0.11251593411963928,2.1691882529070243,5,256,1342.4460311889648,0.14128585088820683,14.69297100758093,14.69297100758093,0.005,,0.025088388472795486,0.8779732089210803,3.711857955640832,1342.4460311889648,2776.971520432796,14.69297100758093,0.027286739907957117,0.14128585088820683,14.69297100758093,7.753756259395334,0.05032927534055491,0.0006477362013835658,0.0503791868686676,0.051158513873815536,0.05123945325613022,0.40016707707118726,0.3629256209352451,0.7774047311525311,189
bayesfl_observability_v1,vi_sparse_bayesian_keep005_seed42,1,vi,186,14,15,1,update_snr,bayesian,0.05,0,101770,5089,0.05000491303920605,0.41017583882279607,0.19257841866929262,0.17818971964098063,0.3729276344217212,0.19257841866929262,0.17818971964098063,0.3729276344217212,0.43900380510928766,0.43520748776777696,0.46926809106652595,0.17960731998813362,0.16827863055918812,0.34513052532166044,0.43900380510928766,0.43520748776777696,0.46926809106652595,0.17960731998813362,0.16827863055918812,0.34513052532166044,1.5742270603319568,3.3189675745166483,0.42854976303926123,0.9035181794512999,0.42854976303926123,814160,101780,40712,61068,0.8749877174019849,3.673382174260438,-0.0,2.3155014849272724,5,256,1166.279499053955,1.197454579671224,181.34689446750343,181.34689446750343,0.005,,0.02508586086332798,0.8793209775594428,3.673382174260438,1166.279499053955,2720.2034170125517,181.34689446750343,0.02672893207244327,1.197454579671224,181.34689446750343,7.71346439720929,0.05033156813213021,0.0006477756783454578,0.050378963351249695,0.05116150677204132,0.05123922973871231,0.3981895816294762,0.36145424759489975,0.775240375560605,15
bayesfl_observability_v1,vi_sparse_bayesian_keep005_seed42,1,vi,241,19,263,1,update_snr,bayesian,0.05,0,101770,5089,0.05000491303920605,0.5252984457358999,0.22137501369275026,0.1925352999638232,0.44905567292120585,0.22137501369275026,0.1925352999638232,0.44905567292120585,0.6024727013359946,0.5862300636964584,0.6987941777714151,0.2013151660244755,0.1817207650995323,0.4029592915345393,0.6024727013359946,0.5862300636964584,0.6987941777714151,0.2013151660244755,0.1817207650995323,0.4029592915345393,2.173762896858376,3.8055416535315216,0.49599576359339687,0.8683249406169347,0.49599576359339687,814160,101780,40712,61068,0.8749877174019849,4.382623918216295,-0.0,2.28098669344155,5,256,2332.8588855981825,0.0382963940217921,14.79282598552393,14.79282598552393,0.005,,0.04499110206961632,0.8400624282913794,4.382623918216295,2332.8588855981825,3890.5132341927933,14.79282598552393,0.03822848810251345,0.0382963940217921,14.79282598552393,8.078722240379191,0.05050241057837426,0.0009810438535967495,0.05048632249236107,0.0518711443990469,0.05252070724964142,0.4125084360113333,0.3709065002144686,0.8096038058769943,263
