run_id,round,logical_round,physical_round,phase,client_id,num_examples,distance_m,train_loss,phase1_loss,phase2_loss,local_steps,local_precision_mean,local_precision_min,local_precision_max,local_precision_delta_l2,local_precision_delta_max_abs,local_precision_changed_fraction,local_precision_gradient_l2_mean,local_precision_gradient_max_abs,local_nu_l2,local_implied_mean_l2
fig2_default_proposed_rep00_seed12025,1,1,1,precision,0,5,163.02189734511924,4.236134618123372,4.236134618123372,0.0,3,400.0000001705377,399.99987517883955,400.0001086714419,0.001271057621040819,0.00012482116039791435,1.0,0.007431047441449571,0.000969535798001013,0.0,0.0
fig2_default_proposed_rep00_seed12025,1,1,1,precision,1,7,172.3407488467263,4.3636896042596724,4.3636896042596724,0.0,3,400.0000002308378,399.99985397488183,400.00014661175163,0.001837800355240031,0.0001466117516883969,1.0,0.010661837495003615,0.0012148490954331827,0.0,0.0
fig2_default_proposed_rep00_seed12025,1,1,1,precision,2,9,95.7242505183113,3.8309560281259043,3.8309560281259043,0.0,3,400.000000227414,399.9998274065387,400.00020919984775,0.0022824410576104907,0.00020919984780221057,1.0,0.013285237958603272,0.0019470529930195185,0.0,0.0
fig2_default_proposed_rep00_seed12025,1,1,1,precision,3,15,178.8682752816281,2.3201766141255695,2.3201766141255695,0.0,6,400.00000040859913,399.99964513971696,400.00029808229823,0.0036418808196917495,0.00035486028298237215,1.0,0.0149311742886805,0.0019889001504162463,0.0,0.0
fig2_default_proposed_rep00_seed12025,1,1,1,precision,4,8,153.8313352577223,6.010183413823445,6.010183413823445,0.0,3,400.00000039527873,399.99979929188856,400.0001617130526,0.002211577901757727,0.00020070811137884448,1.0,0.0127632376267385,0.0014466691331412628,0.0,0.0
fig2_default_proposed_rep00_seed12025,1,1,1,precision,5,11,163.8770220843919,3.454812041195956,3.454812041195956,0.0,6,400.0000005501146,399.99969432879385,400.0002731266802,0.0035423318826614506,0.00030567120609248377,1.0,0.01415598599913654,0.0016759216694119917,0.0,0.0
fig2_default_proposed_rep00_seed12025,1,1,1,precision,6,15,100.10240647065898,4.581796728769938,4.581796728769938,0.0,6,400.00000106353855,399.9995662584933,400.0003945865132,0.00509215892580365,0.00043374150664021727,1.0,0.020705773738528454,0.002550619200831319,0.0,0.0
fig2_default_proposed_rep00_seed12025,1,1,1,precision,7,7,186.54168237467007,3.42241332644508,3.42241332644508,0.0,3,400.0000001757462,399.99983883167374,400.0001194158978,0.0015249054652180503,0.00016116832620127752,1.0,0.008672255255321138,0.0010320882397157028,0.0,0.0
fig2_default_proposed_rep00_seed12025,1,1,1,precision,8,10,119.80044282682836,3.5731748898824054,3.5731748898824054,0.0,3,400.00000027706596,399.99976932154584,400.00021179113554,0.0025152203271494302,0.00023067845410196242,1.0,0.01453769708067419,0.0015093962129975704,0.0,0.0
fig2_default_proposed_rep00_seed12025,1,1,1,precision,9,10,125.02875054557244,5.287814381917318,5.287814381917318,0.0,3,400.00000041319583,399.99979545106095,400.00018298924874,0.0027197975839096293,0.0002045489389956856,1.0,0.015786786165360774,0.0016584109623269787,0.0,0.0
