schema_version,run_id,round,method,physical_client_id,virtual_client_id,num_examples,sparse_comm_enabled,sparse_metric,sparse_ratio,sparse_warmup_rounds,sparse_num_params_total,sparse_num_params_sent,sparse_compression_ratio,sparse_threshold,sparse_score_mean,sparse_score_p50,sparse_score_p90,sparse_sent_update_l2,sparse_dropped_update_l2,sparse_sent_update_fraction_l2,update_l2_norm,label_entropy,kl_to_global_label_distribution,local_epochs,batch_size,train_loss,task_loss,prior_loss,regularization_loss,num_batches,update_linf_norm,update_cosine_to_global,drift_from_global_before_l2,vi_elbo_loss,vi_kl_loss,vi_kl_per_param,vi_likelihood_loss,vi_complexity_cost,vi_loc_l2,vi_scale_mean,vi_scale_std,vi_scale_p50,vi_scale_p90,vi_scale_max,vi_snr_raw_mean,vi_snr_raw_p50,vi_snr_raw_p90,num_examples_train
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,21,vi,288,23,1,1,update_snr,0.25,20,101770,25443,0.2500049130392061,0.24849995820157494,0.16509425698703617,0.1533632127912033,0.31763227171558917,2.9815721585239814,2.26930411792182,0.7957365224958535,3.7469339086915143,-0.0,2.185987945410232,5,256,838.5726808816195,,1998.3268758207628,1998.3268758207628,,0.02502850815653801,0.9451450925629274,3.7469339086915143,838.5726808816195,1998.3268758207628,0.01963571657483308,,1998.3268758207628,11.470639601275394,0.06012842886477864,0.0026711966239432432,0.0600622184574604,0.06359976306557655,0.07318884134292603,0.4783078947443069,0.4053624205122951,0.9776843409832523,1
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,21,vi,279,22,12,1,update_snr,0.25,20,101770,25443,0.2500049130392061,0.24903939032315145,0.16549009950522614,0.15383427088058266,0.3184268114951734,2.9877698925853413,2.275671202000317,0.7955247561049696,3.7557220811254104,0.6172417697303416,1.6358465807671725,5,256,793.3772898197174,,2007.341250138847,2007.341250138847,,0.025075796991586685,0.9448782156290263,3.7557220811254104,793.3772898197174,2007.341250138847,0.01972429252371865,,2007.341250138847,11.470504567280893,0.060130249878262224,0.0026673435885860362,0.06006766855716705,0.06359962373971939,0.07339213043451309,0.4787167194409534,0.4079312899570914,0.9750962152214947,12
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,21,vi,286,22,12,1,update_snr,0.25,20,101770,25443,0.2500049130392061,0.24889756862014553,0.165678115427315,0.15437140160831486,0.31817926883055536,2.9852709227650243,2.2816477835444395,0.7945127436537266,3.7573606548293434,-0.0,2.185987945410232,5,256,796.2371000528335,,2008.618703311199,2008.618703311199,,0.02506238967180252,0.9447336849850869,3.7573606548293434,796.2371000528335,2008.618703311199,0.019736844878757973,,2008.618703311199,11.460996258761353,0.06013140997385345,0.002668523927567549,0.06006127595901489,0.06359908506274223,0.07254019379615784,0.47857998712175537,0.40574994826189015,0.9764969496963646,12
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,21,vi,125,10,4,1,update_snr,0.25,20,101770,25443,0.2500049130392061,0.2497716652478764,0.16580454790460003,0.15488662409872272,0.3184818426164265,2.9896495252375415,2.283535800143672,0.7946997624459204,3.7619861820972775,0.5623351446188083,1.818115478821869,5,256,824.2191893815994,,2012.8833842100198,2012.8833842100198,,0.025090064853429794,0.9445731078023591,3.7619861820972775,824.2191893815994,2012.8833842100198,0.019778749967672395,,2012.8833842100198,11.458949174815583,0.060129026156308676,0.0026689770185549674,0.06006692536175251,0.06358311548829079,0.07204889506101608,0.4781049168541899,0.4075540756247866,0.9712073810509402,4
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,21,vi,127,10,1,1,update_snr,0.25,20,101770,25443,0.2500049130392061,0.24752227648435435,0.16493220922735582,0.15313683330101163,0.31823835253103644,2.9840164035254966,2.263939337445556,0.7966652055051731,3.745634154604886,-0.0,2.3277319754160017,5,256,821.8169028282166,,1996.2795788543535,1996.2795788543535,,0.02506963722407818,0.945084080445418,3.745634154604886,821.8169028282166,1996.2795788543535,0.01961559967430828,,1996.2795788543535,11.460570838329849,0.060132784807520684,0.0026647893501275874,0.060061754658818245,0.06358809471130371,0.07256229221820831,0.47804978472363485,0.4066428420089816,0.9741376679446659,1
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,21,vi,206,16,6,1,update_snr,0.25,20,101770,25443,0.2500049130392061,0.24995574773449056,0.16609666273082704,0.1549568576425649,0.3181788395945846,2.9903918685433464,2.286750257877096,0.7943603958465064,3.764527894617215,0.6365141682948128,1.6395997169315697,5,256,792.2430427372456,,2016.5302098701281,2016.5302098701281,,0.025109106674790382,0.9445239974239621,3.764527894617215,792.2430427372456,2016.5302098701281,0.0198145839625639,,2016.5302098701281,11.46175800101557,0.06012695029651011,0.002670605228236026,0.06007278896868229,0.06360061392188072,0.07241060584783554,0.4783520641008276,0.40782069314690067,0.9740704313290747,6
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,21,vi,210,16,280,1,update_snr,0.25,20,101770,25443,0.2500049130392061,0.28555515644776747,0.19581402739626616,0.1707650866586804,0.3977793970914808,3.8469362958410644,2.5519071802415616,0.8333195306570756,4.616400017419177,0.29393881488658424,2.0344083103604644,5,256,1697.272301387787,,3047.1782975829005,3047.1782975829005,,0.046891190111637115,0.9200466477782338,4.616400017419177,1697.272301387787,3047.1782975829005,0.029941812887716426,,3047.1782975829005,11.782204665126448,0.060340065076556273,0.002815325966710871,0.060264794155955315,0.06400422379374504,0.07437139004468918,0.489667476510188,0.415789381130319,0.9998090866556465,280
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,21,vi,63,5,8,1,update_snr,0.25,20,101770,25443,0.2500049130392061,0.2496195778266075,0.1654681616781174,0.1542472505944338,0.3182281823965953,2.990489334411213,2.2758547451221305,0.7957668280762294,3.757996977130521,-0.0,2.3292713582565514,5,256,804.4351150512696,,2010.4805150013794,2010.4805150013794,,0.02507038414478302,0.9447898556081007,3.757996977130521,804.4351150512696,2010.4805150013794,0.01975513918641426,,2010.4805150013794,11.468554451583119,0.06012487697662229,0.0026701143198973,0.060065723955631256,0.06359561309218408,0.07237406075000763,0.4787416738039234,0.4076800849322002,0.9750724359275091,8
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,21,vi,67,5,16,1,update_snr,0.25,20,101770,25443,0.2500049130392061,0.24932491669146425,0.16501470095219337,0.15313684032748232,0.31780571779741856,2.9869136260088087,2.268418678987112,0.7963722372205891,3.7506501186347307,-0.0,2.311121424016332,5,256,855.1596354961396,,2001.152071379121,2001.152071379121,,0.025088390335440636,0.9450160576991097,3.7506501186347307,855.1596354961396,2001.152071379121,0.019663477167919042,,2001.152071379121,11.46895567270894,0.060127586123179484,0.0026668360274334298,0.060073986649513245,0.0635801151394844,0.07247541844844818,0.47864386562868644,0.4068154080301647,0.9750327118702627,16
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,21,vi,142,11,1305,1,update_snr,0.25,20,101770,25443,0.2500049130392061,0.24663620084489002,0.17113247949372973,0.14457306999165728,0.3530896549848203,3.53663323126172,2.181034173875239,0.8511590044764064,4.1550793831257105,1.0393456977703441,1.2528709717652187,5,256,2684.143257459005,,2547.189546318439,2547.189546318439,,0.06046818196773529,0.933877868777228,4.1550793831257105,2684.143257459005,2547.189546318439,0.025028884212621,,2547.189546318439,11.619360313806803,0.06063551650269743,0.003219191597478065,0.06048670969903469,0.0648461326956749,0.07665737718343735,0.4806085238949796,0.4078553515348441,0.9786913538816358,1305
