round,num_clients,num_examples,client_id,local_steps,lr,server_round,train_accuracy,train_loss,update_l2,update_max_abs,update_rms
1,20,3855.5824989987987,9.575570684821786,305.23127753303964,0.009999999999999998,1.0,0.7174469363235882,0.7638906279104732,2.4064364500987145,0.28301112908238907,0.0025674034570303973
2,20,3855.5824989987987,9.575570684821786,305.23127753303964,0.009999846564125248,2.0,0.7371946335602725,0.7257235076402795,2.3657998710167063,0.2968255648416593,0.002524048689189859
3,20,3855.5824989987987,9.575570684821786,305.23127753303964,0.009999386266013143,3.0,0.7541249499399281,0.68025823879769,2.3192315151091933,0.23347050434524944,0.002474365366806562
4,20,3855.5824989987987,9.575570684821786,305.23127753303964,0.009998619134199537,4.0,0.7663816579895875,0.6484711871269403,2.24892501146499,0.20139144215893473,0.0023993560473207125
5,20,3855.5824989987987,9.575570684821786,305.23127753303964,0.009997545216242224,5.0,0.7776111333600322,0.6176111504545271,2.19109003476032,0.17874141409174635,0.0023376524776616216
6,20,3855.5824989987987,9.575570684821786,305.23127753303964,0.009996164578717995,6.0,0.7831818181818182,0.6021634289421492,2.16652444920406,0.15657298466731617,0.0023114436952611844
7,20,3855.5824989987987,9.575570684821786,305.23127753303964,0.00999447730721849,7.0,0.7902382859431317,0.5826071995764994,2.10951134291935,0.1557556299331684,0.002250616971095915
8,20,3855.5824989987987,9.575570684821786,305.23127753303964,0.009992483506344916,8.0,0.795278334000801,0.5678174692497893,2.072345249966099,0.14178359775244892,0.0022109648308831207
9,20,3855.5824989987987,9.575570684821786,305.23127753303964,0.009990183299701546,9.0,0.7999058870644773,0.5550161228659696,2.049688295023095,0.1460650858054091,0.0021867923477726435
10,20,3855.5824989987987,9.575570684821786,305.23127753303964,0.009987576829888066,10.0,0.8035042050460552,0.5467989414202704,2.0317252836407125,0.13565918599256502,0.0021676277870297605
11,20,3855.5824989987987,9.575570684821786,305.23127753303964,0.00998466425849073,11.0,0.8070324389267123,0.5349239968620507,2.023385564822119,0.14126636709329404,0.0021587302227809146
12,20,3855.5824989987987,9.575570684821786,305.23127753303964,0.009981445766072336,12.0,0.8098718462154586,0.5287883823029585,1.9970837857387602,0.1361216120798966,0.0021306691125272457
13,20,3855.5824989987987,9.575570684821786,305.23127753303964,0.009977921552161052,13.0,0.8138806567881459,0.5185656931841992,2.0078737865815053,0.1373290172860498,0.002142180858646238
14,20,3855.5824989987987,9.575570684821786,305.23127753303964,0.009974091835238027,14.0,0.8169283139767719,0.5098500807526952,1.9799761114980774,0.12502818118872602,0.002112417102595517
15,20,3855.5824989987987,9.575570684821786,305.23127753303964,0.009969956852723848,15.0,0.8186663996796156,0.5039418213547783,2.0014976313798436,0.12828843372668453,0.0021353782011704356
16,20,3855.5824989987987,9.575570684821786,305.23127753303964,0.00996551686096384,16.0,0.8199239086904289,0.5031209252466572,2.0008453985583303,0.12531451868437138,0.002134682340367349
17,20,3855.5824989987987,9.575570684821786,305.23127753303964,0.009960772135212143,17.0,0.824633560272327,0.48975040637158473,1.9912567382630186,0.1311209122368355,0.0021244522927010316
18,20,3855.5824989987987,9.575570684821786,305.23127753303964,0.009955722969614682,18.0,0.8256868241890268,0.4866857263612795,1.966724602034581,0.11639279836123383,0.002098279197060527
