round,parameter,kind,numel,mean_abs,sigma_mean,precision_mean,precision_min,precision_max,zero_precision_fraction
0,fc1.weight,fola,392000,0.017851198092103004,1.0,1.0,1.0,1.0,0.0
0,fc1.bias,fola,500,0.017754947766661644,1.0,1.0,1.0,1.0,0.0
0,fc2.weight,fola,150000,0.02237907610833645,1.0,1.0,1.0,1.0,0.0
0,fc2.bias,fola,300,0.023450380191206932,1.0,1.0,1.0,1.0,0.0
0,fc3.weight,fola,3000,0.02884458377957344,1.0,1.0,1.0,1.0,0.0
0,fc3.bias,fola,10,0.03431641310453415,1.0,1.0,1.0,1.0,0.0
1,fc1.weight,fola,392000,0.017865227535367012,0.9999834299087524,1.000032901763916,1.0,1.0017257928848267,0.0
1,fc1.bias,fola,500,0.017803914844989777,0.9999675154685974,1.0000649690628052,1.000000238418579,1.0006093978881836,0.0
1,fc2.weight,fola,150000,0.022413967177271843,0.9999635219573975,1.0000730752944946,1.0,1.003503680229187,0.0
1,fc2.bias,fola,300,0.023585863411426544,0.9997224807739258,1.000555396080017,1.0000001192092896,1.0026977062225342,0.0
1,fc3.weight,fola,3000,0.030097926035523415,0.9980550408363342,1.0039420127868652,1.0,1.113881230354309,0.0
1,fc3.bias,fola,10,0.03743714839220047,0.9529568552970886,1.1015169620513916,1.0651684999465942,1.1380587816238403,0.0
2,fc1.weight,fola,392000,0.01787877455353737,0.999970018863678,1.0000596046447754,1.0,1.002795696258545,0.0
2,fc1.bias,fola,500,0.01785692386329174,0.9999418258666992,1.0001163482666016,1.0000003576278687,1.0009799003601074,0.0
2,fc2.weight,fola,150000,0.022445905953645706,0.9999241828918457,1.0001517534255981,1.0,1.0067206621170044,0.0
2,fc2.bias,fola,300,0.023686805739998817,0.999538779258728,1.000923752784729,1.0000001192092896,1.0042259693145752,0.0
2,fc3.weight,fola,3000,0.031150858849287033,0.9953374266624451,1.0095903873443604,1.0,1.2393206357955933,0.0
2,fc3.bias,fola,10,0.03890225663781166,0.9334206581115723,1.1484943628311157,1.0939323902130127,1.2009189128875732,0.0
3,fc1.weight,fola,392000,0.017890920862555504,0.9999591708183289,1.0000817775726318,1.0,1.0034395456314087,0.0
3,fc1.bias,fola,500,0.017912592738866806,0.9999213814735413,1.000157356262207,1.0000004768371582,1.0011838674545288,0.0
3,fc2.weight,fola,150000,0.02247418649494648,0.9998829960823059,1.0002342462539673,1.0,1.0106171369552612,0.0
3,fc2.bias,fola,300,0.02374134585261345,0.9994034767150879,1.001194715499878,1.0000001192092896,1.0052894353866577,0.0
3,fc3.weight,fola,3000,0.032038599252700806,0.9919321537017822,1.0168737173080444,1.0,1.388782024383545,0.0
3,fc3.bias,fola,10,0.03967013955116272,0.9221237301826477,1.1770920753479004,1.1113874912261963,1.2391724586486816,0.0
4,fc1.weight,fola,392000,0.017901847139000893,0.9999491572380066,1.000101923942566,1.0,1.0039284229278564,0.0
4,fc1.bias,fola,500,0.01795913279056549,0.9999027848243713,1.0001945495605469,1.0000005960464478,1.001323938369751,0.0
4,fc2.weight,fola,150000,0.02249961532652378,0.9998382329940796,1.0003238916397095,1.0,1.0147849321365356,0.0
4,fc2.bias,fola,300,0.023778507485985756,0.9992885589599609,1.0014253854751587,1.0000001192092896,1.0061569213867188,0.0
4,fc3.weight,fola,3000,0.032819535583257675,0.9878692030906677,1.025860071182251,1.0,1.556111454963684,0.0
4,fc3.bias,fola,10,0.04016750678420067,0.9139056205749512,1.198589563369751,1.1234110593795776,1.2685823440551758,0.0
5,fc1.weight,fola,392000,0.017911814153194427,0.9999394416809082,1.0001211166381836,1.0,1.0043010711669922,0.0
5,fc1.bias,fola,500,0.01799592189490795,0.9998854398727417,1.0002293586730957,1.0000007152557373,1.0014302730560303,0.0
5,fc2.weight,fola,150000,0.022522876039147377,0.999791145324707,1.0004181861877441,1.0,1.019461989402771,0.0
5,fc2.bias,fola,300,0.023807795718312263,0.9991872310638428,1.0016289949417114,1.0000001192092896,1.0069379806518555,0.0
5,fc3.weight,fola,3000,0.03352261707186699,0.9833899736404419,1.0361621379852295,1.0,1.75790274143219,0.0
5,fc3.bias,fola,10,0.04052979499101639,0.9073832631111145,1.2161104679107666,1.1325995922088623,1.293829083442688,0.0
6,fc1.weight,fola,392000,0.01792098581790924,0.9999303221702576,1.0001392364501953,1.0,1.0048195123672485,0.0
6,fc1.bias,fola,500,0.018026156350970268,0.9998683929443359,1.0002633333206177,1.0000007152557373,1.0015246868133545,0.0
6,fc2.weight,fola,150000,0.02254437655210495,0.9997425079345703,1.0005162954330444,1.0,1.025119662284851,0.0
6,fc2.bias,fola,300,0.023833585903048515,0.9990937113761902,1.0018166303634644,1.0000001192092896,1.0076569318771362,0.0
6,fc3.weight,fola,3000,0.03416462242603302,0.9786319732666016,1.0475611686706543,1.0,1.9791181087493896,0.0
6,fc3.bias,fola,10,0.04081634059548378,0.901872992515564,1.2312273979187012,1.1404083967208862,1.3151369094848633,0.0
7,fc1.weight,fola,392000,0.01792949251830578,0.9999217391014099,1.0001572370529175,1.0,1.0052999258041382,0.0
7,fc1.bias,fola,500,0.01805185154080391,0.9998522996902466,1.000295639038086,1.0000007152557373,1.0016013383865356,0.0
7,fc2.weight,fola,150000,0.0225642379373312,0.9996927380561829,1.0006158351898193,1.0,1.031111478805542,0.0
7,fc2.bias,fola,300,0.02385563962161541,0.9990090131759644,1.0019866228103638,1.0000001192092896,1.0083142518997192,0.0
7,fc3.weight,fola,3000,0.03475343808531761,0.9737787842750549,1.0596975088119507,1.0,2.211589813232422,0.0
7,fc3.bias,fola,10,0.041042767465114594,0.8972201347351074,1.244236946105957,1.1469643115997314,1.3340903520584106,0.0
8,fc1.weight,fola,392000,0.01793740689754486,0.9999130964279175,1.0001739263534546,1.0,1.0057512521743774,0.0
8,fc1.bias,fola,500,0.01807384565472603,0.9998364448547363,1.0003273487091064,1.0000007152557373,1.0016745328903198,0.0
8,fc2.weight,fola,150000,0.02258273959159851,0.9996432065963745,1.0007153749465942,1.0,1.0372194051742554,0.0
8,fc2.bias,fola,300,0.023875080049037933,0.9989299774169922,1.002145528793335,1.0000001192092896,1.0089267492294312,0.0
8,fc3.weight,fola,3000,0.03529537096619606,0.9689513444900513,1.0723013877868652,1.0,2.4554712772369385,0.0
8,fc3.bias,fola,10,0.04126607999205589,0.8931232690811157,1.2558807134628296,1.152907371520996,1.3507533073425293,0.0
9,fc1.weight,fola,392000,0.01794479601085186,0.9999046325683594,1.0001907348632812,1.0,1.0061603784561157,0.0
9,fc1.bias,fola,500,0.018093962222337723,0.9998210668563843,1.000357985496521,1.0000007152557373,1.00173819065094,0.0
9,fc2.weight,fola,150000,0.022599980235099792,0.9995920062065125,1.0008186101913452,1.0,1.0436204671859741,0.0
9,fc2.bias,fola,300,0.023892199620604515,0.9988564252853394,1.002293348312378,1.0000001192092896,1.009516954421997,0.0
9,fc3.weight,fola,3000,0.03579610586166382,0.9639961123466492,1.0858229398727417,1.0,2.7347123622894287,0.0
9,fc3.bias,fola,10,0.041435789316892624,0.8894782066345215,1.2664003372192383,1.1579627990722656,1.365605354309082,0.0
