run_id,round,logical_round,physical_round,phase,client_id,num_examples,distance_m,train_loss,phase1_loss,phase2_loss,local_steps,local_precision_mean,local_precision_min,local_precision_max,local_precision_delta_l2,local_precision_delta_max_abs,local_precision_changed_fraction,local_precision_gradient_l2_mean,local_precision_gradient_max_abs,local_nu_l2,local_implied_mean_l2,sparse_enabled,sparse_selection,sparse_keep_ratio,sparse_kept_coordinates,sparse_total_coordinates,sparse_score_threshold,sparse_score_mean,sparse_selected_score_mean,sparse_dropped_score_mean
fig2_default_proposed_rep00_seed12025,1,1,1,precision,0,13,199.1267461978683,2.9209249815879725,2.9209249815879725,0.0,6,400.00000047182687,399.99972477343925,400.00022770588293,0.003212430078496745,0.00027522656068867946,1.0,0.013070056125277667,0.0013300869747309096,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,1,9,147.8602172950435,4.0724569108751085,4.0724569108751085,0.0,3,400.00000027706017,399.9998980889904,400.00009606423055,0.0016898706018101993,0.00010191100955125876,1.0,0.009689621184138172,0.000839589947399956,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,2,9,80.22145196199898,3.338320004498517,3.338320004498517,0.0,3,400.00000015331483,399.99989327942427,400.0000935376882,0.001397323893120891,0.00010672057567262527,1.0,0.008061217567666088,0.0007760258503564715,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,3,7,154.96644013227524,2.4402882984706333,2.4402882984706333,0.0,3,400.0000000757863,399.9999152956028,400.0000696719174,0.0011599396111302508,8.470439712482403e-05,1.0,0.0066329919706705,0.0006364517371522362,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,4,10,146.94350765929232,2.5743189016977945,2.5743189016977945,0.0,3,400.0000001434071,399.99987219353443,400.00013393182616,0.0016660010167830208,0.00013393182621257438,1.0,0.00944483761109288,0.0009162233070419982,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,5,4,38.38001072858655,4.496781857808432,4.496781857808432,0.0,3,400.00000015296007,399.9999389496368,400.00008867104975,0.0010092017978805296,8.867104980936347e-05,1.0,0.005868232729228591,0.0005188835767573598,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,6,8,165.44306199848342,3.789230473836263,3.789230473836263,0.0,3,400.00000018562406,399.99991726297225,400.0000914027182,0.0014734033884952035,9.140271828300683e-05,1.0,0.008532519920368136,0.0007162427731532252,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,7,15,104.851163315962,4.134274414910211,4.134274414910211,0.0,6,400.00000089395957,399.9996916217159,400.00030081372176,0.004761105693754423,0.00030837828404628453,1.0,0.019444755312604426,0.0024769586268248754,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,8,10,187.13523385314198,3.0866560490926105,3.0866560490926105,0.0,3,400.00000016743127,399.99990054045395,400.0000994332806,0.0014454205043903877,9.945954599288598e-05,1.0,0.008310927236187572,0.0008275668708633624,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,9,18,186.7160387868168,3.826021459367541,3.826021459367541,0.0,6,400.00000089140156,399.99962525923695,400.000322782571,0.004401519138478538,0.00037474076299304215,1.0,0.01770183650004685,0.0016385416104594463,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,10,9,76.48746966673045,2.7781394958496093,2.7781394958496093,0.0,3,400.0000001252602,399.9999056533997,400.0001014011707,0.0014634570594277117,0.0001014011707525242,1.0,0.008531457177469273,0.0009621876069792878,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,11,11,126.25830709920183,3.3086020614161633,3.3086020614161633,0.0,6,400.0000004456685,399.9997515619902,400.00019664547995,0.0031916911720384104,0.0002484380097484973,1.0,0.012416329950510811,0.001433376939792396,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,12,16,78.58449000029097,2.8427562236785886,2.8427562236785886,0.0,6,400.000000612185,399.9996534925314,400.0003082450228,0.003952316405694224,0.00034650746852094017,1.0,0.01598040294533856,0.001831250079756218,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,13,5,48.8084696173102,2.7151978747049967,2.7151978747049967,0.0,3,400.00000006089357,399.9999541075807,400.00004954137955,0.0006629660603539767,4.954137961021843e-05,1.0,0.003839532176498736,0.0004230905961326235,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
