target_removed_percent,actual_removed_percent,weights_left,test_error_percent,snr_threshold,include_bias,prune_rho,rho_prune_value,samples
0,0.0,2392800,2.1399999999999975,-inf,False,True,-20.0,1
50,50.0,1196400,2.1700000000000053,0.1245923638343811,False,True,-20.0,1
75,75.0,598200,2.1700000000000053,0.21796287596225739,False,True,-20.0,1
95,95.0,119640,2.32,0.5740445256233215,False,True,-20.0,1
98,98.0,47856,3.2599999999999962,4.967661380767822,False,True,-20.0,1
