round,num_clients,num_examples,client_id,effective_prior_lambda,local_steps,lr,posterior_mean_abs_mean,posterior_precision_max,posterior_precision_mean,posterior_precision_min,posterior_sigma_mean,prior_loss,server_round,task_loss,train_accuracy,train_loss,update_l2,update_max_abs,update_rms,variance_floor_fraction
1,20,3855.5824989987987,9.575570684821786,0.10000000000000002,1209.295154185022,0.02,0.026799541740484625,0.24686322249677278,7.719255424949408e-05,0.0,28735.280151555093,0.0,1.0,0.7363249994794024,0.7221986383660393,0.7363249994794024,1.8519304600981956,0.16580257381159255,0.0019758064524167925,0.0
2,20,3855.5824989987987,9.575570684821786,0.10000000000000002,1209.295154185022,0.019999691578393177,0.014821435023106271,0.4641097764607294,0.00018786366513185893,9.890837998193253e-12,369.5191924074229,0.0011128709478735556,2.0,0.6518975620579892,0.7583059671605926,0.6520088489724909,1.7612517937868384,0.10949492605408101,0.0018790622723005317,0.0
3,20,3855.5824989987987,9.575570684821786,0.10000000000000002,1209.295154185022,0.01999876633269308,0.012892576057100013,0.8541962233414925,0.00030171311214346113,1.088852486532956e-11,256.79779946857593,0.0015399097955434333,3.0,0.6096932071558027,0.7744613536243492,0.6098471979593343,1.6386784413353228,0.09636704557958332,0.001748289964221955,0.0
4,20,3855.5824989987987,9.575570684821786,0.1,1209.295154185022,0.01999722432025967,0.011944659483759938,1.2935703492517896,0.0004201376033235887,1.0888524457075555e-11,226.81274200170503,0.00168032417236621,4.0,0.5828577641494269,0.7853424108930717,0.5830257966498525,1.57812691245765,0.08749936798682177,0.001683688131681297,0.0
5,20,3855.5824989987987,9.575570684821786,0.1,1209.295154185022,0.019995065636688916,0.011361392967301187,1.7168177701494052,0.0005426292832738191,1.0888524457075555e-11,209.8587500792327,0.0017003633758583758,5.0,0.5607651324141079,0.7932258710452544,0.5609351687308697,1.5387020423173023,0.08262561993908606,0.001641626124231588,0.0
6,20,3855.5824989987987,9.575570684821786,0.1,1209.295154185022,0.019992290415806885,0.010962601245425233,2.1054257390138194,0.0006681389108113846,1.0888524457075555e-11,198.49135826952437,0.001676449980877572,6.0,0.545073208599268,0.7988886663996798,0.5452408536225755,1.5089899754512959,0.07976444524731137,0.0016099266113754824,0.0
7,20,3855.5824989987987,9.575570684821786,0.1,1209.295154185022,0.019988898829661414,0.010675968083863395,2.4703987216873076,0.0007958901624853713,1.0888524457075555e-11,190.1550089832978,0.001632693297824972,7.0,0.5311525536021462,0.8047296756107327,0.5313158228364604,1.4880840894624243,0.07607140903483105,0.0015876223265655057,0.0
8,20,3855.5824989987987,9.575570684821786,0.10000000000000002,1209.295154185022,0.019984891088511494,0.010458810884063243,2.815090649706581,0.0009265462606935285,1.0888524457075555e-11,183.6142602993408,0.0015330216691746717,8.0,0.5199123212472949,0.8090949138966761,0.5200656232786358,1.4629973517972714,0.07225588470448255,0.0015608575320892229,0.0
9,20,3855.5824989987987,9.575570684821786,0.10000000000000003,1209.295154185022,0.019980267440814218,0.010294233241075106,3.13698811830403,0.0010572696863562978,1.0888524457075555e-11,178.35140086349062,0.0015480935166626607,9.0,0.5085384116181692,0.813512214657589,0.5086932208249094,1.4508784154932586,0.07091806963051442,0.0015479279577548673,0.0
10,20,3855.5824989987987,9.575570684821786,0.1,1209.295154185022,0.019975028173209345,0.010167315338379694,3.4379312921630225,0.001188627802485495,1.0888524457075555e-11,174.0050146597576,0.0015017487855193872,10.0,0.5001382407915783,0.8170384461353621,0.5002884157306917,1.449642549153202,0.06794299929741875,0.001546609424072518,0.0
