round,num_examples,train_loss,task_loss,prior_loss,train_accuracy,effective_prior_lambda,variance_floor_fraction,lr,local_steps,update_l2,update_rms,update_max_abs,posterior_mean_abs_mean,posterior_precision_mean,posterior_precision_min,posterior_precision_max,posterior_sigma_mean,client_id,server_round
1,473.0,0.43669078437016834,0.43669078437016834,0.0,0.9029598308668076,0.1,0.0,0.02,150.0,0.6229230298734988,0.0006645904737253564,0.05891928821802139,0.026747530909254195,4.616330948316701e-05,0.0,0.1796070784330368,60143.87992306378,3.0,1.0
1,5362.0,0.8870996712893525,0.8870996712893525,0.0,0.6513987318164863,0.1,0.0,0.02,1680.0,2.1184629009844653,0.0022601673006386884,0.35723555088043213,0.026805099577257255,6.679394572410407e-05,0.0,0.2607370615005493,11321.671057098873,7.0,1.0
1,877.0,0.7220694359769979,0.7220694359769979,0.0,0.8102622576966932,0.1,0.0,0.02,280.0,0.8380613036935135,0.0008941193889486943,0.06772425770759583,0.026752856988556083,5.841214465386352e-05,0.0,0.258353054523468,40910.42883750972,0.0,1.0
1,103.0,0.8648658479446346,0.8648658479446346,0.0,0.7815533980582524,0.1,0.0,0.02,40.0,0.5632964024209162,0.000600975409447825,0.06292151659727097,0.02674695456694841,0.00016235397203436246,0.0,0.7505620121955872,64684.87447182805,11.0,1.0
1,459.0,1.017391619768018,1.017391619768018,0.0,0.5790849673202615,0.1,0.0,0.02,150.0,0.9287661868052913,0.0009908915395123062,0.08706077188253403,0.026755404555819342,0.0001285005094796325,0.0,1.1577415466308594,49105.445910830196,9.0,1.0
1,3337.0,0.005234469197473382,0.005234469197473382,0.0,0.9990410548396763,0.1,0.0,0.02,1050.0,0.7095615913257013,0.0007570243055746873,0.06195225939154625,0.026751371532622362,1.5281453167570127e-06,0.0,0.015599003061652184,132039.21148102081,17.0,1.0
1,4106.0,0.11232325608902863,0.11232325608902863,0.0,0.9821724305893814,0.1,0.0,0.02,1290.0,0.7710715861977797,0.0008226487160884234,0.10843607038259506,0.02675051854017478,9.865249629793237e-06,0.0,0.039499618113040924,77943.41618803634,8.0,1.0
1,3511.0,0.7302538190318186,0.7302538190318186,0.0,0.7139561378524637,0.1,0.0,0.02,1100.0,1.9331583577702858,0.002062467700122744,0.21430280804634094,0.026799498131851476,8.268758469987042e-05,0.0,0.2804630398750305,15248.101116089176,10.0,1.0
1,1029.0,1.127344015730134,1.127344015730134,0.0,0.5857142857142857,0.1,0.0,0.02,330.0,1.3345436033671272,0.001423811487189705,0.11604815721511841,0.026770328115936777,0.00011954757673868949,0.0,0.38899338245391846,19636.98656959239,18.0,1.0
1,2909.0,0.49933080009964986,0.49933080009964986,0.0,0.8499484358886216,0.1,0.0,0.02,910.0,1.4435463153092067,0.0015401054119489911,0.1668521612882614,0.026774744880781184,5.0923272127120595e-05,0.0,0.1775909960269928,40708.91021270017,16.0,1.0
1,337.0,1.0677552031833977,1.0677552031833977,0.0,0.48397626112759645,0.1,0.0,0.02,110.0,0.68109715254019,0.0007266558748864994,0.056874435395002365,0.026746932706443145,0.0001136702914005841,0.0,0.5960891246795654,67758.48069445563,6.0,1.0
1,1021.0,0.8479154048131798,0.8479154048131798,0.0,0.7430950048971596,0.1,0.0,0.02,320.0,1.093590942822775,0.0011667414558423717,0.08788815140724182,0.02676144694466112,9.085990360990056e-05,0.0,0.44909363985061646,34236.86909556818,5.0,1.0
1,3768.0,0.8579521035945593,0.8579521035945593,0.0,0.6898089171974522,0.1,0.0,0.02,1180.0,2.1276709529718145,0.0022699912810325465,0.16925159096717834,0.02680887645010752,0.00010288320524847712,0.0,0.3292596936225891,6392.6629879354205,13.0,1.0
1,5482.0,1.1971424543142144,1.1971424543142144,0.0,0.5254834002188982,0.1,0.0,0.02,1720.0,2.761666089268797,0.002946394476555354,0.20556996762752533,0.026846049721968853,0.00011387293760272976,0.0,0.26609575748443604,2245.585979411012,12.0,1.0
1,2383.0,0.7801302279612621,0.7801302279612621,0.0,0.7772555602182123,0.1,0.0,0.02,750.0,1.3268413846081568,0.0014155940655047176,0.1032741591334343,0.026771913937009575,6.905449548897275e-05,0.0,0.18914343416690826,30419.822097605167,15.0,1.0
1,1469.0,0.8984151318659176,0.8984151318659176,0.0,0.672498298162015,0.1,0.0,0.02,460.0,1.3876540002296935,0.0014804744489328315,0.12719058990478516,0.026769697160906863,9.625345764452391e-05,0.0,0.32265013456344604,20444.849992964973,19.0,1.0
1,1988.0,1.1055525194471272,1.1055525194471272,0.0,0.4779175050301811,0.1,0.0,0.02,630.0,1.5754340149707606,0.0016808151057524448,0.1446797400712967,0.026778355330970335,8.812852718251947e-05,0.0,0.46546658873558044,17048.51719280287,2.0,1.0
