run_id,round,logical_round,physical_round,phase,client_id,num_examples,distance_m,train_loss,phase1_loss,phase2_loss,local_steps,local_precision_mean,local_precision_min,local_precision_max,local_precision_delta_l2,local_precision_delta_max_abs,local_precision_changed_fraction,local_precision_gradient_l2_mean,local_precision_gradient_max_abs,local_nu_l2,local_implied_mean_l2,sparse_enabled,sparse_selection,sparse_keep_ratio,sparse_kept_coordinates,sparse_total_coordinates,sparse_score_threshold,sparse_score_mean,sparse_selected_score_mean,sparse_dropped_score_mean
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,0,61,120.8947488997338,2.5590768282530743,2.5590768282530743,0.0,1,10000.000000000075,9999.999998646796,10000.000001357092,8.854861348601096e-06,1.3570916053140536e-06,0.9996412396430969,0.0001770972348987772,2.7141815796991815e-05,0.0,0.0,True,random,0.75,58532,78042,0.2514230420021296,0.09730980573836974,0.09693662114123916,0.09842939778548651
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,1,51,154.9212092751972,1.9003905651616115,1.9003905651616115,0.0,1,9999.99999999992,9999.999999129746,10000.000000698425,6.153030779217726e-06,8.702536433702335e-07,0.9995002746582031,0.00012306062380604667,1.7405087015488914e-05,0.0,0.0,True,random,0.75,58532,78042,0.25163257181195,0.09228341564049114,0.09220619098179646,0.09251509753299327
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,2,43,79.07464007719265,2.6878014143123186,2.6878014143123186,0.0,1,9999.999999999933,9999.999999253416,10000.000001436234,5.71963325204124e-06,1.4362340152729303e-06,0.9995899796485901,0.00011439265436490652,2.8724669905117976e-05,0.0,0.0,True,random,0.75,58532,78042,0.2521706648103621,0.09415061819397383,0.09402836065873385,0.09451740333250105
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,3,52,180.7906616075072,1.963428908128005,1.963428908128005,0.0,1,9999.999999999956,9999.999999058442,10000.000001102615,6.2089524692890335e-06,1.1026149877579883e-06,0.9996540546417236,0.00012417903809800119,2.2052287669645552e-05,0.0,0.0,True,random,0.75,58532,78042,0.2508397512110929,0.09002603152726146,0.08965332565763304,0.09114418734279661
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,4,59,184.30548742158038,1.8902832031249999,1.8902832031249999,0.0,1,9999.999999999995,9999.999999350328,10000.000000635077,5.75208900136493e-06,6.496720743598416e-07,0.9996668696403503,0.00011504178133162102,1.2993433630592777e-05,0.0,0.0,True,random,0.75,58532,78042,0.24744665721706305,0.09195851055210053,0.09240191543021399,0.09062825046364643
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,5,39,187.3668745111221,1.9415461613581733,1.9415461613581733,0.0,1,9999.999999999956,9999.99999949115,10000.000000361915,4.297342502299976e-06,5.088495527161285e-07,0.9995387196540833,8.594683474102594e-05,1.0176974407743905e-05,0.0,0.0,True,random,0.75,58532,78042,0.2502653530969261,0.09075023389430603,0.09037723985021426,0.0918692542627724
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,6,49,43.95736304887522,2.677124615104831,2.677124615104831,0.0,1,9999.99999999994,9999.99999944336,10000.00000157818,6.241266085000129e-06,1.5781806723680347e-06,0.9997053146362305,0.00012482532107405153,3.156360332006895e-05,0.0,0.0,True,random,0.75,58532,78042,0.25076503524524785,0.09579905759482377,0.09621950737386578,0.09453766515674647
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,7,54,55.11203897120465,2.1812601442690247,2.1812601442690247,0.0,1,10000.000000000011,9999.999999474097,10000.0000009668,6.189994061609799e-06,9.66800143942237e-07,0.9997565150260925,0.000123799894453984,1.9336020882063476e-05,0.0,0.0,True,random,0.75,58532,78042,0.24931053379289547,0.09157698467890024,0.09134480582478434,0.09227354504225808
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,8,63,172.99616225966753,1.815295579698351,1.815295579698351,0.0,1,10000.000000000162,9999.999997783145,10000.000000616923,6.789815824849549e-06,2.216855136794038e-06,0.9998974800109863,0.00013579629806275664,4.43370957543069e-05,0.0,0.0,True,random,0.75,58532,78042,0.25048763848033706,0.09301879385124577,0.09296322589923123,0.09318550340364538
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,9,59,184.10110972934027,1.8691168057716494,1.8691168057716494,0.0,1,10000.00000000023,9999.999999247068,10000.000001499988,6.2632354869845155e-06,1.499987774877809e-06,0.9997308850288391,0.0001252647045036543,2.9999741072068994e-05,0.0,0.0,True,random,0.75,58532,78042,0.25115737745465394,0.0954529415027214,0.09522072853043739,0.09614960422408116
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,10,44,71.27861696066212,2.6058006286621094,2.6058006286621094,0.0,1,9999.999999999834,9999.999998555624,10000.00000070612,5.441496915066868e-06,1.4443758118432015e-06,0.9995771646499634,0.00010882993909779608,2.8887503206179792e-05,0.0,0.0,True,random,0.75,58532,78042,0.2506512495896993,0.09723664092238711,0.09709372359299459,0.09766540756123906
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,11,42,178.35416296729804,1.9171658470517112,1.9171658470517112,0.0,1,9999.999999999965,9999.99999887126,10000.000000536813,4.811796504820257e-06,1.1287393135717139e-06,0.9994874596595764,9.623592637156304e-05,2.2574768455810674e-05,0.0,0.0,True,random,0.75,58532,78042,0.25056226000557114,0.09187565373124332,0.09178057963540721,0.09216088576494293
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,12,41,110.71825463045546,2.677583089688929,2.677583089688929,0.0,1,9999.999999999967,9999.999999132382,10000.00000083327,5.657058218478027e-06,8.676179277244955e-07,0.9997308850288391,0.00011314116461078116,1.735236424869282e-05,0.0,0.0,True,random,0.75,58532,78042,0.24946575763338608,0.09193315079405776,0.09198809345525091,0.09176831717822193
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,13,64,61.45858359362951,2.6546024322509765,2.6546024322509765,0.0,1,9999.99999999999,9999.9999991083,10000.000001236758,6.816982120646274e-06,1.236758180311881e-06,0.9997181296348572,0.0001363396506115942,2.473518074323321e-05,0.0,0.0,True,random,0.75,58532,78042,0.24896463756153386,0.09056335079204032,0.09078209406686401,0.08990709854386092
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,14,53,69.72970178183937,1.9449325849425119,1.9449325849425119,0.0,1,9999.99999999994,9999.999998668465,10000.00000068123,6.265162930233964e-06,1.3315348041942343e-06,0.9996668696403503,0.00012530327584093766,2.6630700122582187e-05,0.0,0.0,True,random,0.75,58532,78042,0.25135654438214383,0.0928193048015487,0.09301284134098434,0.0922386753435145
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,15,48,89.57793478043446,1.9860991795857743,1.9860991795857743,0.0,1,10000.000000000053,9999.999999074338,10000.000000830349,5.5068781748073626e-06,9.256618795916438e-07,0.9996412396430969,0.0001101375579036331,1.8513225322846336e-05,0.0,0.0,True,random,0.75,58532,78042,0.2503986664209704,0.09151688473478002,0.09181941385216956,0.09060926636988793
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,16,69,152.20108094132178,2.6576704826907833,2.6576704826907833,0.0,1,9999.999999999836,9999.999998374866,10000.000001648368,9.447190065145152e-06,1.6483681974932551e-06,0.9998077750205994,0.00018894380744883098,3.2967362556527706e-05,0.0,0.0,True,random,0.75,58532,78042,0.2514444623820391,0.09887760938950008,0.0988615379844936,0.09892582525202391
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,17,56,133.55484172069487,2.6394469124930247,2.6394469124930247,0.0,1,10000.000000000038,9999.999998884105,10000.000001572243,7.766840054127643e-06,1.572243490954861e-06,0.9997181296348572,0.00015533680110420736,3.144486398051443e-05,0.0,0.0,True,random,0.75,58532,78042,0.25258949434864053,0.09641358744458439,0.09590789654565456,0.09793071198052296
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,18,51,155.49213180957477,2.701863546932445,2.701863546932445,0.0,1,9999.999999999995,9999.99999889573,10000.00000115987,7.396709332269487e-06,1.1598694982239977e-06,0.9995899796485901,0.00014793418612269493,2.3197398349920604e-05,0.0,0.0,True,random,0.75,58532,78042,0.2508235408501218,0.0946691352153878,0.09476144710528357,0.09439219008266718
sparse_random_keep75_proposed_rep00_seed12026,1,1,1,precision,19,48,56.96497849004869,2.7278571128845215,2.7278571128845215,0.0,1,9999.99999999993,9999.999998551355,10000.000001054193,6.786235419967141e-06,1.4486449799733236e-06,0.9997437000274658,0.00013572470092069962,2.8972898372030507e-05,0.0,0.0,True,random,0.75,58532,78042,0.24888042566267943,0.09861668356061162,0.09871591517614545,0.09831897854162505
