run_id,experiment,condition,method,realization,seed,round,logical_round,physical_round,phase,num_clients,labels_per_client,mean_samples_per_client,power_dbm,noise_dbm,num_subchannels,path_loss_exponent,path_loss_reference_m,gamma_db,power_control_mode,deterministic_payload_mode,deterministic_reference_power_mode,sparse_enabled,sparse_selection,sparse_keep_ratio,sparse_kept_coordinates,accuracy,nll,ece,posterior_predictive_accuracy,posterior_predictive_nll,posterior_predictive_ece,posterior_mean_accuracy,posterior_mean_nll,posterior_mean_ece,train_loss,phase1_train_loss,phase2_train_loss,posterior_variance,posterior_precision_mean,posterior_precision_min,posterior_precision_max,posterior_precision_std,posterior_precision_offset_l2,posterior_precision_offset_max_abs,global_mean_update_l2,global_mean_update_max_abs,global_model_update_l2,ideal_model_update_l2,received_model_update_l2,global_precision_update_l2,global_precision_update_max_abs,channel_uses_round,channel_uses_cumulative,ofdm_symbols_round,ofdm_symbols_cumulative,aircomp_nmse,aircomp_distortion_nmse,aircomp_clipped_fraction,aircomp_average_symbol_power_watts,aircomp_maximum_symbol_power_watts,aircomp_noise_l2,aircomp_ideal_l2,aircomp_received_l2,aircomp_delta_bar,aircomp_retained_magnitude_ratio,aircomp_distorted_to_ideal_norm_ratio,precision_aircomp_nmse,precision_aircomp_distortion_nmse,precision_aircomp_clipped_fraction,precision_aircomp_average_symbol_power_watts,precision_aircomp_maximum_symbol_power_watts,precision_aircomp_noise_l2,precision_aircomp_ideal_l2,precision_aircomp_received_l2,precision_aircomp_delta_bar,precision_aircomp_retained_magnitude_ratio,precision_aircomp_distorted_to_ideal_norm_ratio,mean_aircomp_nmse,mean_aircomp_distortion_nmse,mean_aircomp_clipped_fraction,mean_aircomp_average_symbol_power_watts,mean_aircomp_maximum_symbol_power_watts,mean_aircomp_noise_l2,mean_aircomp_ideal_l2,mean_aircomp_received_l2,mean_aircomp_delta_bar,mean_aircomp_retained_magnitude_ratio,mean_aircomp_distorted_to_ideal_norm_ratio,wall_time_sec
sparse_random_keep75_proposed_rep00_seed12025,sparse,random_keep75,proposed,0,12025,0,0,0,model,40,1,50,23.0,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,True,random,0.75,58532,0.1,2.3708087632663397,0.08703089010149241,0.1,2.3708087632663397,0.08703089010149241,0.1,2.383307631720962,0.09506036027520895,nan,0.0,0.0,0.00010000000000000003,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.10596794495359
sparse_random_keep75_proposed_rep00_seed12025,sparse,random_keep75,proposed,0,12025,1,1,2,natural_mean,40,1,50,23.0,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,True,random,0.75,58532,0.1,2.373817032689328,0.10197203582227231,0.1,2.373817032689328,0.10197203582227231,0.1,2.3771492917754977,0.09931195626854897,4.727047991825387,2.3577120252203723,2.369335966605014,0.00010000000000000005,9999.999999999995,9999.999999901624,10000.000000067435,3.720324600074206e-09,1.0393106237529168e-06,9.837640391197056e-08,0.07757845097141201,0.007987864315509796,0.0,0.0,0.0,1.0393106237529168e-06,9.837640391197056e-08,117064,117064,116,116,0.006255191882478101,0.006255187834213374,0.032542347401599656,0.027298267644558668,0.19952623149688797,6.101899404826341e-07,0.07868735196466255,0.07757845303103979,1.1982650734536544e-06,0.9971788745103298,0.9860972400962505,0.007655783010390773,0.0076557761011301975,0.032164861535856855,0.02681637788218847,0.19952623064838726,9.237825249746599e-12,1.0537604454076591e-06,1.039310198330995e-06,5.486832188590075e-16,0.9969207538238938,0.9862869321036561,0.004854600754565429,0.004854599567296552,0.03291983326734246,0.027780157406928865,0.19952623149688797,6.101899404127072e-07,0.0786873519576067,0.07757845302407802,2.3965301463586254e-06,0.9974369951967658,0.985907548088845,53.85097125126049
sparse_random_keep75_proposed_rep00_seed12025,sparse,random_keep75,proposed,0,12025,2,2,4,natural_mean,40,1,50,23.0,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,True,random,0.75,58532,0.1037,2.380393332809521,0.0707976770353317,0.1037,2.380393332809521,0.0707976770353317,0.1025,2.4040954437903483,0.08609543703347443,4.498726560140554,2.2508916100068346,2.247834950133719,9.999999999999953e-05,10000.000000000045,9999.999999858985,10000.000000118825,5.1762869812627825e-09,1.4461070106130808e-06,1.4101533452048898e-07,0.05731715001154844,0.005507029592990875,0.0,0.0,0.0,9.949167683639949e-07,9.064751793630421e-08,117064,234128,116,232,0.009936310004990213,0.00993629862819241,0.03139340697919336,0.02500384485649386,0.19952623149688797,6.08892454349623e-07,0.058808540266065135,0.05731714943252278,1.202746362654136e-06,0.997204103831838,0.9752367971312932,0.00951324213064705,0.009513239082567786,0.027238405643099445,0.023858023708936263,0.1995262303737668,8.794312870192036e-12,1.0195568643968955e-06,9.94917906674683e-07,5.006341490415804e-16,0.9972367716042531,0.9758336341487093,0.010359377879333378,0.010359358173817033,0.035548408315287265,0.026149666004051452,0.19952623149688797,6.088924542861142e-07,0.05880854025722716,0.057317149423887825,2.405492724807638e-06,0.9971714360594228,0.9746399601138771,85.05294592818245
sparse_random_keep75_proposed_rep00_seed12025,sparse,random_keep75,proposed,0,12025,3,3,6,natural_mean,40,1,50,23.0,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,True,random,0.75,58532,0.1123,2.402436630212128,0.07260886683642861,0.1123,2.402436630212128,0.07260886683642861,0.1055,2.433680388205074,0.09381236465573312,4.40411267440656,2.1971637116565095,2.2069489627500514,9.999999999999926e-05,10000.000000000076,9999.999999828507,10000.000000122667,6.07909221582268e-09,1.6983823723775583e-06,1.714925019768998e-07,0.04711012466778366,0.005817897617816925,0.0,0.0,0.0,9.620266579113603e-07,9.246105037163943e-08,117064,351192,116,348,0.01743465672491495,0.01743466085408103,0.026147441305870656,0.024571693432613898,0.19952623149688797,6.08545772998494e-07,0.048991263804933044,0.04711012492104522,1.2067407771259297e-06,0.9972438835183968,0.9732713455423472,0.007673080121466112,0.007673086491827312,0.026142108209425956,0.024008730461486834,0.19952623005354475,8.498310201168189e-12,9.76736084796621e-07,9.620265401341632e-07,4.637034728947333e-16,0.9974877794157213,0.9849401025315454,0.02719623332836379,0.027196235216334744,0.02615277440231535,0.025134656403740963,0.19952623149688797,6.085457729391548e-07,0.04899126379519648,0.047110124911222545,2.413481553788156e-06,0.9969999876210723,0.961602588553149,114.84593085525557
sparse_random_keep75_proposed_rep00_seed12025,sparse,random_keep75,proposed,0,12025,4,4,8,natural_mean,40,1,50,23.0,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,True,random,0.75,58532,0.1022,2.4458863761181004,0.11119269942998886,0.1022,2.4458863761181004,0.11119269942998886,0.1,2.4562678381420153,0.12406305509656668,4.352765313242605,2.1843529174432144,2.16841239579939,9.999999999999891e-05,10000.000000000107,9999.999999857573,10000.000000156366,6.940000974888942e-09,1.9389925392398523e-06,1.5636578609701246e-07,0.04205086526499723,0.0042020417749881744,0.0,0.0,0.0,9.32671426771571e-07,1.071803126251325e-07,117064,468256,116,464,0.03913105460789317,0.03913105040910149,0.02543025247883664,0.02251146373478735,0.19952623149688797,6.080585503076454e-07,0.0442637689103381,0.042050867315900124,1.1993746834591455e-06,0.996223395763767,0.9584236171482954,0.026496436546675845,0.026496425109251577,0.025746825590296934,0.02181184817364298,0.1995262303982769,8.292742771090604e-12,9.64658319017536e-07,9.326708971411277e-07,4.4403724227946345e-16,0.9958756701936543,0.9668406981901333,0.051765672669110495,0.051765675708951395,0.025113679367376348,0.023211079295931723,0.19952623149688797,6.080585502510969e-07,0.0442637688998265,0.042050867305556995,2.398749366474254e-06,0.9965711213338795,0.9500065361064574,146.5539620560594
sparse_random_keep75_proposed_rep00_seed12025,sparse,random_keep75,proposed,0,12025,5,5,10,natural_mean,40,1,50,23.0,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,True,random,0.75,58532,0.1001,2.4489709906131005,0.11770038639098405,0.1001,2.4489709906131005,0.11770038639098405,0.1,2.471635005836066,0.13451826290935276,4.3444131779403925,2.163012391844213,2.1814007860961793,9.999999999999876e-05,10000.000000000124,9999.999999767859,10000.000000207918,7.759840064705075e-09,2.168066062887889e-06,2.3214124666992575e-07,0.03950253242655025,0.005699217319488525,0.0,0.0,0.0,9.059673134847851e-07,1.0332769306842238e-07,117064,585320,116,580,0.042010331713372706,0.042010323265147365,0.03027342335795767,0.024455488328690357,0.19952623149688797,6.109483421262739e-07,0.041140504810487505,0.03950253252134012,1.2076882854425204e-06,0.9966216816118258,0.970150377540994,0.01693055812613131,0.016930566451272788,0.028790421559362813,0.02354501072185471,0.19952623073844827,8.24427235946422e-12,9.24348280023397e-07,9.059674827578552e-07,4.354376873782306e-16,0.9965717350554225,0.9801148676359395,0.0670901053006141,0.06709008007902194,0.031756425156552526,0.025365965935526008,0.19952623149688797,6.10948342070649e-07,0.04114050480010334,0.0395025325109512,2.415376570449603e-06,0.9966716281682291,0.9601858874460485,177.71895681601018
sparse_random_keep75_proposed_rep00_seed12025,sparse,random_keep75,proposed,0,12025,6,6,12,natural_mean,40,1,50,23.0,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,True,random,0.75,58532,0.1002,2.443535810350879,0.11352575104415419,0.1002,2.443535810350879,0.11352575104415419,0.1,2.4806733784682535,0.14118422229886057,4.325928731318772,2.158054072010432,2.1678746593083393,9.999999999999873e-05,10000.000000000127,9999.999999800035,10000.000000258886,8.38636830729718e-09,2.343088622503216e-06,2.588858478702605e-07,0.037145078188339224,0.004393693059682846,0.0,0.0,0.0,8.975074294788057e-07,1.0128678695764393e-07,117064,702384,116,696,0.04231617290518587,0.04231618071689519,0.030007117923563517,0.023142814933291178,0.19952623149688797,6.117695640241268e-07,0.038306596354143234,0.037145077789737746,1.2062183123643412e-06,0.9961698128140611,0.9742757332169122,0.010029406223258812,0.010029415837591467,0.02994286310715702,0.022784346319501814,0.19952623091154928,8.094579871474622e-12,9.168776181889569e-07,8.975067757746668e-07,4.2356988863656956e-16,0.99639392707993,0.978873094092859,0.07460293958711292,0.07460294559619891,0.030071372739970015,0.023501283547080545,0.19952623149688797,6.117695639705754e-07,0.03830659634317039,0.03714507777889488,2.4124366243051125e-06,0.9959456985481923,0.9696783723409653,210.88417408335954
sparse_random_keep75_proposed_rep00_seed12025,sparse,random_keep75,proposed,0,12025,7,7,14,natural_mean,40,1,50,23.0,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,True,random,0.75,58532,0.1001,2.463324564534221,0.12300141455739734,0.1001,2.463324564534221,0.12300141455739734,0.1,2.4886300120980356,0.14294599242806436,4.310619391502466,2.1581751896187833,2.1524442018836827,9.999999999999865e-05,10000.000000000135,9999.99999979154,10000.00000025825,8.961013828583331e-09,2.50362966623943e-06,2.5824920157901943e-07,0.03840230813382272,0.005344294011592865,0.0,0.0,0.0,9.104256838539111e-07,1.36989910970442e-07,117064,819448,116,812,0.04685852365795057,0.04685852059588352,0.025140284541421525,0.022249149527119722,0.19952623149688797,6.088218903544185e-07,0.039388871577137094,0.038402307334369674,1.1933920909232265e-06,0.9963715809614881,0.9763913933641345,0.017606153707011726,0.017606163298720594,0.022633551213168613,0.02138311812862193,0.19952623059455893,8.067334220773095e-12,9.310668246929754e-07,9.104247227931309e-07,4.19363203315854e-16,0.996258973766643,0.9778296099963288,0.07611089360888941,0.07611087789304644,0.027647017869674433,0.023115180925617516,0.19952623149688797,6.088218903009694e-07,0.0393888715661329,0.0384023073235777,2.38678418142709e-06,0.9964841881563332,0.9749531767319402,243.0389812141657
sparse_random_keep75_proposed_rep00_seed12025,sparse,random_keep75,proposed,0,12025,8,8,16,natural_mean,40,1,50,23.0,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,True,random,0.75,58532,0.1003,2.457073618848263,0.12434736125141381,0.1003,2.457073618848263,0.12434736125141381,0.1001,2.496888108683772,0.1541025347456336,4.330159680743911,2.1579420010167976,2.172217679727114,9.999999999999857e-05,10000.000000000142,9999.999999789665,10000.000000254611,9.434898918305572e-09,2.63603398419688e-06,2.546112227719277e-07,0.03784350676213152,0.0056199729442596436,0.0,0.0,0.0,8.985742091007784e-07,1.1097472452092916e-07,117064,936512,116,928,0.049589420580936544,0.04958941293975297,0.02576279044822108,0.024097875271380326,0.19952623149688797,6.134042828478131e-07,0.03964837106525509,0.03784350401372095,1.204078252833179e-06,0.9956362710918416,0.9640758835001594,0.015448969620352247,0.015448965403010696,0.027167162893021755,0.023585701828829103,0.19952623087875299,8.16956269088522e-12,9.228702761363522e-07,8.985744318231289e-07,4.3016692734725923e-16,0.9955044130157618,0.9736736339657516,0.08372987154152084,0.08372986047649525,0.024358418003420403,0.024610048713931548,0.19952623149688797,6.134042827934104e-07,0.039648371054514554,0.03784350400305286,2.408156505236191e-06,0.9957681291679215,0.9544781330345672,275.30991976335645
sparse_random_keep75_proposed_rep00_seed12025,sparse,random_keep75,proposed,0,12025,9,9,18,natural_mean,40,1,50,23.0,-74,1024,4,1000.0,10,paper_reference_kkt,update,coordinated_aggregate,True,random,0.75,58532,0.1004,2.4748940681114195,0.13584020707279443,0.1004,2.4748940681114195,0.13584020707279443,0.1003,2.5031338782471564,0.16156003931909801,4.326534962387317,2.1596993517172294,2.166835610670088,9.999999999999843e-05,10000.000000000156,9999.999999811113,10000.00000025746,9.935898744881647e-09,2.7760381460415625e-06,2.574597601778805e-07,0.03702232102515629,0.0036601871252059937,0.0,0.0,0.0,8.944265589380067e-07,9.521136234980077e-08,117064,1053576,116,1044,0.043691565453523845,0.04369158258985297,0.03429979571073061,0.024147933818256098,0.19952623149688797,6.130792893370929e-07,0.03892098482348144,0.03702232173617238,1.2123330115160269e-06,0.9960569060686861,0.9636810533023318,0.011757447920143028,0.011757444823427965,0.03686593951009983,0.023983738478778903,0.19952622921883467,7.943543481733573e-12,9.16285482794046e-07,8.944271266182123e-07,4.0549305689096156e-16,0.9965357837357075,0.9761446058344053,0.07562568298690465,0.07562572035627797,0.031733651911361384,0.02431212915773329,0.19952623149688797,6.130792892856314e-07,0.03892098481269576,0.03702232172536809,2.424666022626561e-06,0.9955780284016649,0.9512175007702582,305.5330060943961
