round,parameter,kind,numel,mean_abs,sigma_mean,sigma_min,sigma_max,snr_mean
6,fc1.mu_bias,bbb,512,0.11782392859458923,0.04878070950508118,0.03452645614743233,0.06343492120504379,2.4274239540100098
6,fc2.mu_weight,bbb,5120,0.07970838248729706,0.04873685538768768,0.03465330973267555,0.07156996428966522,1.6513290405273438
6,fc2.mu_bias,bbb,10,0.1156502366065979,0.0490364208817482,0.043291158974170685,0.05404936149716377,2.2666685581207275
7,conv1.mu_kernel,bbb,2400,0.08149857819080353,0.048659685999155045,0.03252631053328514,0.0656263530254364,1.6918308734893799
7,conv1.mu_bias,bbb,32,0.2374572902917862,0.050259724259376526,0.040579065680503845,0.06987692415714264,4.75153923034668
7,conv2.mu_kernel,bbb,51200,0.08186183869838715,0.04882698878645897,0.0324222594499588,0.07458501309156418,1.6928373575210571
7,conv2.mu_bias,bbb,64,0.117889903485775,0.04964835196733475,0.03657304495573044,0.060372866690158844,2.395380973815918
7,fc1.mu_weight,bbb,819200,0.07974841445684433,0.04881516844034195,0.02952762506902218,0.07759173214435577,1.649314522743225
7,fc1.mu_bias,bbb,512,0.11970482021570206,0.04878018796443939,0.03452681005001068,0.06343190371990204,2.466346025466919
7,fc2.mu_weight,bbb,5120,0.0797654539346695,0.04873666912317276,0.0346539244055748,0.07156984508037567,1.6525932550430298
7,fc2.mu_bias,bbb,10,0.117129847407341,0.04902764782309532,0.04327873885631561,0.054038017988204956,2.2933154106140137
8,conv1.mu_kernel,bbb,2400,0.08126173913478851,0.048659417778253555,0.032526277005672455,0.06562677025794983,1.686578631401062
8,conv1.mu_bias,bbb,32,0.2434627115726471,0.050257451832294464,0.040579188615083694,0.06987528502941132,4.872921943664551
8,conv2.mu_kernel,bbb,51200,0.08187167346477509,0.048826977610588074,0.0324222594499588,0.07458501309156418,1.6930500268936157
8,conv2.mu_bias,bbb,64,0.12439724802970886,0.04964568465948105,0.03657253086566925,0.060372017323970795,2.525874614715576
