name,percentile,snr,snr_db_20log10
global,0,1.8584556116252315e-08,-154.61695614744733
global,1,0.0023001932818442583,-52.764713386522985
global,5,0.011511650774627924,-38.77724787857205
global,10,0.02319376040250063,-32.6925766704868
global,25,0.059026638977229595,-24.57903890281735
global,50,0.12578976899385452,-18.00709360869005
global,75,0.22058992460370064,-13.128286554957514
global,90,0.3453697741031647,-9.234313469396719
global,95,2.2653086662292132,7.102547727399089
global,98,4.895492172241214,13.795927209502244
global,99,6.7507306146621575,16.587015559565973
global,100,82.76992797851562,38.35745154603402
layer0.weight,0,1.8584556116252315e-08,-154.61695614744733
layer0.weight,1,0.00233586051966995,-52.63106187288129
layer0.weight,5,0.011646756576374175,-38.67590002871323
layer0.weight,10,0.0234317759051919,-32.60389589551426
layer0.weight,25,0.059644388034939766,-24.48860826048866
layer0.weight,50,0.12732293456792831,-17.901867204360833
layer0.weight,75,0.2237209938466549,-13.005865201041281
layer0.weight,90,0.3528745889663695,-9.047592294489416
layer0.weight,95,2.5316269874572526,8.06799432979936
layer0.weight,98,5.06266464233399,14.08758320153176
layer0.weight,99,6.942857990264892,16.830765645113026
layer0.weight,100,51.6365966796875,34.25915221180282
layer1.weight,0,6.487207571126419e-08,-143.7588441146109
layer1.weight,1,0.0022670984105207024,-52.89059255099094
layer1.weight,5,0.011392529681324958,-38.86759662525251
layer1.weight,10,0.02295628283172846,-32.78196866377583
layer1.weight,25,0.05839201435446739,-24.67293085193084
layer1.weight,50,0.12417851388454437,-18.11907083820282
layer1.weight,75,0.2169717513024807,-13.271936111237547
layer1.weight,90,0.33517122864723203,-9.494665372197352
layer1.weight,95,0.5389565378427507,-5.368925109480606
layer1.weight,98,4.4699961376190185,13.006142957441709
layer1.weight,99,5.678805608749391,15.085140051964837
layer1.weight,100,34.72734069824219,30.813430555764377
layer2.weight,0,5.275342846289277e-05,-85.55498620339948
layer2.weight,1,0.004637922258116305,-46.67353081833458
layer2.weight,5,0.02353777242824435,-32.56469281446765
layer2.weight,10,0.04787129350006581,-26.398497147481972
layer2.weight,25,0.1213131695985794,-18.321841034465944
layer2.weight,50,3.15773606300354,9.987516441094808
layer2.weight,75,11.585669994354248,21.278422916635417
layer2.weight,90,20.290986061096195,26.14606292564394
layer2.weight,95,26.502708435058587,28.46580514109987
layer2.weight,98,34.351185226440435,30.71883451957671
layer2.weight,99,40.04751541137702,32.05150903523737
layer2.weight,100,82.76992797851562,38.35745154603402
