round,accuracy,nll,brier,ece,mce,mean_confidence,predictive_entropy,expected_entropy,mutual_information,fola_mean_accuracy,fola_mean_nll,fola_mean_brier,fola_mean_ece,fola_mean_mce,fola_mean_mean_confidence,fola_mean_predictive_entropy,fola_mean_expected_entropy,fola_mean_mutual_information
0.0,0.1,3.451162364458949,1.1295735605302333,0.397390195542574,0.49893193654884577,0.4973901955425739,1.4500216708113471,1.4500216708113471,0.0,0.1,3.451162364458949,1.1295735605302333,0.397390195542574,0.49893193654884577,0.4973901955425739,1.4500216708113471,1.4500216708113471,0.0
1.0,0.1459,2.3469193575580634,0.9075995991669233,0.031297246292233454,0.045182865404297806,0.17280547177493571,2.211889254428426,2.211889254428426,0.0,0.1459,2.3469193575580634,0.9075995991669233,0.031297246292233454,0.045182865404297806,0.17280547177493571,2.211889254428426,2.211889254428426,0.0
2.0,0.1319,2.221005699263936,0.8901940804519316,0.12663827017992735,0.247474985397779,0.2521039205595851,2.136240156390539,2.136240156390539,0.0,0.1319,2.221005699263936,0.8901940804519316,0.12663827017992735,0.247474985397779,0.2521039205595851,2.136240156390539,2.136240156390539,0.0
3.0,0.2216,2.0330743773608697,0.8457286250182436,0.05183835607469084,0.37786367306342494,0.25174227546155453,2.0679711395909597,2.0679711395909597,0.0,0.2216,2.0330743773608697,0.8457286250182436,0.05183835607469084,0.37786367306342494,0.25174227546155453,2.0679711395909597,2.0679711395909597,0.0
4.0,0.2732,1.9103347227452376,0.8149163130680398,0.02267367064654828,0.3150370717048645,0.2607751899391413,2.00514101733935,2.00514101733935,0.0,0.2732,1.9103347227452376,0.8149163130680398,0.02267367064654828,0.3150370717048645,0.2607751899391413,2.00514101733935,2.00514101733935,0.0
5.0,0.2819,1.8259323573202642,0.7964047889373335,0.01574898261055351,0.19893188097260217,0.2902449375294149,1.9323813514847952,1.9323813514847952,0.0,0.2819,1.8259323573202642,0.7964047889373335,0.01574898261055351,0.19893188097260217,0.2902449375294149,1.9323813514847952,1.9323813514847952,0.0
6.0,0.3089,1.7824204861002075,0.7837278139072826,0.0373181973055005,0.1285560251243653,0.3032303828045726,1.8755119619075176,1.8755119619075176,0.0,0.3089,1.7824204861002075,0.7837278139072826,0.0373181973055005,0.1285560251243653,0.3032303828045726,1.8755119619075176,1.8755119619075176,0.0
7.0,0.3352,1.7245934069421895,0.7680867127274019,0.039930526795983315,0.11653285554427212,0.3263212112098932,1.8020045125639204,1.8020045125639204,0.0,0.3352,1.7245934069421895,0.7680867127274019,0.039930526795983315,0.11653285554427212,0.3263212112098932,1.8020045125639204,1.8020045125639204,0.0
8.0,0.3468,1.684751021622299,0.7579781228799282,0.03030849800109863,0.0940826485014481,0.345849637311697,1.7460309289378682,1.7460309289378682,0.0,0.3468,1.684751021622299,0.7579781228799282,0.03030849800109863,0.0940826485014481,0.345849637311697,1.7460309289378682,1.7460309289378682,0.0
9.0,0.3759,1.6256718945114805,0.7391553102824667,0.038739698251336815,0.12800484374165536,0.35932072096392514,1.707793289679306,1.707793289679306,0.0,0.3759,1.6256718945114805,0.7391553102824667,0.038739698251336815,0.12800484374165536,0.35932072096392514,1.707793289679306,1.707793289679306,0.0
10.0,0.3665,1.610033795399663,0.737579553697031,0.03339425960257651,0.11091652932839513,0.3935998687647283,1.6409584939287594,1.6409584939287594,0.0,0.3665,1.610033795399663,0.737579553697031,0.03339425960257651,0.11091652932839513,0.3935998687647283,1.6409584939287594,1.6409584939287594,0.0
11.0,0.3969,1.5491568251636265,0.713870663468839,0.01644468186870218,0.15591671104942048,0.4021669650815427,1.6085028291130734,1.6085028291130734,0.0,0.3969,1.5491568251636265,0.713870663468839,0.01644468186870218,0.15591671104942048,0.4021669650815427,1.6085028291130734,1.6085028291130734,0.0
12.0,0.4118,1.5251179277354143,0.7020835577006225,0.02617447974383831,0.13306301832199097,0.4150794461905956,1.5754166278739994,1.5754166278739994,0.0,0.4118,1.5251179277354143,0.7020835577006225,0.02617447974383831,0.13306301832199097,0.4150794461905956,1.5754166278739994,1.5754166278739994,0.0
13.0,0.429,1.4835582283501587,0.6882598983819617,0.01791551764905452,0.1204419314861298,0.429060086363554,1.5429301954138548,1.5429301954138548,0.0,0.429,1.4835582283501587,0.6882598983819617,0.01791551764905452,0.1204419314861298,0.429060086363554,1.5429301954138548,1.5429301954138548,0.0
14.0,0.436,1.4537759384776512,0.6799939501834911,0.01689561771750451,0.06636363738461537,0.44916962236166,1.4911125000594045,1.4911125000594045,0.0,0.436,1.4537759384776512,0.6799939501834911,0.01689561771750451,0.06636363738461537,0.44916962236166,1.4911125000594045,1.4911125000594045,0.0
15.0,0.4408,1.4290412440438685,0.6730508758672128,0.02166563840359448,0.5358212143182755,0.4603369746938348,1.4726242063919668,1.4726242063919668,0.0,0.4408,1.4290412440438685,0.6730508758672128,0.02166563840359448,0.5358212143182755,0.4603369746938348,1.4726242063919668,1.4726242063919668,0.0
16.0,0.454,1.4114681982475898,0.6642824605467302,0.030671227209269986,0.0959094353671992,0.47614909973293545,1.413142414792814,1.413142414792814,0.0,0.454,1.4114681982475898,0.6642824605467302,0.030671227209269986,0.0959094353671992,0.47614909973293545,1.413142414792814,1.413142414792814,0.0
17.0,0.4729,1.3772794172028557,0.6475432801219566,0.022495054610073555,0.08152008299217661,0.4836536359027028,1.3911314102067587,1.3911314102067587,0.0,0.4729,1.3772794172028557,0.6475432801219566,0.022495054610073555,0.08152008299217661,0.4836536359027028,1.3911314102067587,1.3911314102067587,0.0
