rank,run_label,status,method,lr,batch_size,local_epochs,ola_prior_lambda,precision_init,precision_floor,fisher_clip,posterior_sample_scale,client_fraction,num_rounds,final_round,final_global_accuracy,final_global_mean_accuracy,final_global_mc_accuracy,final_global_loss,final_global_mean_loss,final_global_mc_loss,final_global_ece,final_global_mean_ece,final_global_mc_ece,final_global_nll,final_local_accuracy_weighted,final_posterior_sigma_mean,final_posterior_snr_raw_p50,output_dir
22,ola_lr0p002_b32_e2_lam0p001_pinit0p01_fclip10p0,ok,ola,0.002,32,2,0.001,0.01,1e-8,10.0,0.001,0.05,60,60,0.8625,0.8625,0.8602,0.5293856622219085,0.5293856622219085,0.539390843296051,0.14400440832227468,0.14400440832227468,0.14881074736416344,0.5293856622219085,0.9734413066851046,9.921750205781589,0.0018144298455507,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b32_e2_lam0p001_pinit0p01_fclip10p0
23,ola_lr0p002_b32_e2_lam0p01_pinit0p01_fclip10p0,ok,ola,0.002,32,2,0.01,0.01,1e-8,10.0,0.001,0.05,60,60,0.8625,0.8625,0.8602,0.5293856634140015,0.5293856634140015,0.5393908462524414,0.14400440934598444,0.14400440934598444,0.1488107500731945,0.5293856634140015,0.9734413066851048,9.921750205840157,0.0018144298455507,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b32_e2_lam0p01_pinit0p01_fclip10p0
24,ola_lr0p002_b32_e2_lam0p05_pinit0p01_fclip10p0,ok,ola,0.002,32,2,0.05,0.01,1e-8,10.0,0.001,0.05,60,60,0.8625,0.8625,0.8602,0.5293858038902283,0.5293858038902283,0.539390992641449,0.14400442962795493,0.14400442962795493,0.14881078048348428,0.5293858038902283,0.9734413066851046,9.921750191411347,0.001814429729330105,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b32_e2_lam0p05_pinit0p01_fclip10p0
25,ola_lr0p005_b64_e1_lam0p001_pinit0p001_fclip10p0,ok,ola,0.005,64,1,0.001,0.001,1e-8,10.0,0.001,0.05,60,60,0.8517,0.8517,0.8346,0.6000870621204376,0.6000870621204376,0.6857448066234588,0.17999293476492162,0.17999293476492162,0.2150164856314659,0.6000870621204376,0.9647749609942042,29.711704219939655,0.0006038965837203247,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p005_b64_e1_lam0p001_pinit0p001_fclip10p0
26,ola_lr0p005_b64_e1_lam0p01_pinit0p001_fclip10p0,ok,ola,0.005,64,1,0.01,0.001,1e-8,10.0,0.001,0.05,60,60,0.8517,0.8517,0.8346,0.6000870621204376,0.6000870621204376,0.6857448066234588,0.17999293476492162,0.17999293476492162,0.2150164856314659,0.6000870621204376,0.9647749609942043,29.711704219939655,0.0006038965837203247,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p005_b64_e1_lam0p01_pinit0p001_fclip10p0
27,ola_lr0p005_b64_e1_lam0p05_pinit0p001_fclip10p0,ok,ola,0.005,64,1,0.05,0.001,1e-8,10.0,0.001,0.05,60,60,0.8517,0.8517,0.8346,0.6000870621204376,0.6000870621204376,0.6857448066234588,0.17999293476492162,0.17999293476492162,0.2150164856314659,0.6000870621204376,0.9647749609942042,29.711704219939655,0.0006038965837203247,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p005_b64_e1_lam0p05_pinit0p001_fclip10p0
28,ola_lr0p005_b64_e1_lam0p001_pinit0p01_fclip10p0,ok,ola,0.005,64,1,0.001,0.01,1e-8,10.0,0.001,0.05,60,60,0.8493,0.8493,0.8473,0.6116065279483796,0.6116065279483796,0.6245983965396881,0.18489795170873402,0.18489795170873402,0.1911297574445605,0.6116065279483796,0.9691081338396546,9.906721670100248,0.0018144790082116778,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p005_b64_e1_lam0p001_pinit0p01_fclip10p0
29,ola_lr0p005_b64_e1_lam0p01_pinit0p01_fclip10p0,ok,ola,0.005,64,1,0.01,0.01,1e-8,10.0,0.001,0.05,60,60,0.8493,0.8493,0.8473,0.6116065279483796,0.6116065279483796,0.6245983965396881,0.18489795170873402,0.18489795170873402,0.1911297574445605,0.6116065279483796,0.9691081338396544,9.906721670100248,0.0018144790082116778,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p005_b64_e1_lam0p01_pinit0p01_fclip10p0
30,ola_lr0p005_b64_e1_lam0p05_pinit0p01_fclip10p0,ok,ola,0.005,64,1,0.05,0.01,1e-8,10.0,0.001,0.05,60,60,0.8493,0.8493,0.8473,0.6116065279483796,0.6116065279483796,0.6245983965396881,0.18489795170873402,0.18489795170873402,0.1911297574445605,0.6116065279483796,0.9691081338396544,9.906721670100248,0.0018144790082116778,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p005_b64_e1_lam0p05_pinit0p01_fclip10p0
31,ola_lr0p002_b64_e2_lam0p05_pinit0p001_fclip10p0,ok,ola,0.002,64,2,0.05,0.001,1e-8,10.0,0.001,0.05,60,60,0.838,0.838,0.8208,0.6643295901298523,0.6643295901298523,0.7564562650680542,0.20575137793123724,0.20575137793123724,0.2411599762827158,0.6643295901298523,0.9558769335471563,29.597259788069472,0.000606114970598685,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b64_e2_lam0p05_pinit0p001_fclip10p0
32,ola_lr0p002_b64_e2_lam0p001_pinit0p001_fclip10p0,ok,ola,0.002,64,2,0.001,0.001,1e-8,10.0,0.001,0.05,60,60,0.838,0.838,0.8208,0.6643295928001404,0.6643295928001404,0.756456269454956,0.2057513803213835,0.2057513803213835,0.24115997828692196,0.6643295928001404,0.9558769335471563,29.59725978577595,0.000606114970598685,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b64_e2_lam0p001_pinit0p001_fclip10p0
33,ola_lr0p002_b64_e2_lam0p01_pinit0p001_fclip10p0,ok,ola,0.002,64,2,0.01,0.001,1e-8,10.0,0.001,0.05,60,60,0.838,0.838,0.8208,0.6643295928001404,0.6643295928001404,0.756456269454956,0.2057513803213835,0.2057513803213835,0.24115997828692196,0.6643295928001404,0.9558769335471563,29.59725978577595,0.000606114970598685,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b64_e2_lam0p01_pinit0p001_fclip10p0
34,ola_lr0p002_b32_e1_lam0p001_pinit0p001_fclip10p0,ok,ola,0.002,32,1,0.001,0.001,1e-8,10.0,0.001,0.05,60,60,0.8369,0.8369,0.8219,0.6762100766181945,0.6762100766181945,0.7651114652633667,0.21275001886934036,0.21275001886934036,0.2488293768450618,0.6762100766181945,0.9558769335471563,29.42008400702507,0.0006095381697965221,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b32_e1_lam0p001_pinit0p001_fclip10p0
