rank,run_label,status,method,lr,batch_size,local_epochs,ola_prior_lambda,precision_init,precision_floor,fisher_clip,posterior_sample_scale,client_fraction,num_rounds,final_round,final_global_accuracy,final_global_mean_accuracy,final_global_mc_accuracy,final_global_loss,final_global_mean_loss,final_global_mc_loss,final_global_ece,final_global_mean_ece,final_global_mc_ece,final_global_nll,final_local_accuracy_weighted,final_posterior_sigma_mean,final_posterior_snr_raw_p50,output_dir
45,ola_lr0p001_b32_e2_lam0p05_pinit0p001_fclip10p0,ok,ola,0.001,32,2,0.05,0.001,1e-8,10.0,0.001,0.05,60,60,0.8355,0.8355,0.8204,0.6787960826873779,0.6787960826873779,0.7676853683471679,0.21229557069242003,0.21229557069242003,0.24828303538858895,0.6787960826873779,0.9514956143367568,29.441203294873787,0.0006092690257072338,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p001_b32_e2_lam0p05_pinit0p001_fclip10p0
46,ola_lr0p001_b32_e2_lam0p01_pinit0p01_fclip10p0,ok,ola,0.001,32,2,0.01,0.01,1e-8,10.0,0.001,0.05,60,60,0.8342,0.8342,0.8331,0.6924109983444214,0.6924109983444214,0.7060445104598999,0.2191668613061309,0.2191668613061309,0.22645738195031886,0.6924109983444214,0.9514956143367567,9.893157522969107,0.001816407499588868,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p001_b32_e2_lam0p01_pinit0p01_fclip10p0
47,ola_lr0p001_b32_e2_lam0p001_pinit0p01_fclip10p0,ok,ola,0.001,32,2,0.001,0.01,1e-8,10.0,0.001,0.05,60,60,0.8342,0.8342,0.8331,0.6924110000610352,0.6924110000610352,0.7060445114135743,0.21916686305552718,0.21916686305552718,0.22645738457590348,0.6924110000610352,0.9514956143367568,9.893157522884769,0.001816407499588868,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p001_b32_e2_lam0p001_pinit0p01_fclip10p0
48,ola_lr0p001_b32_e2_lam0p05_pinit0p01_fclip10p0,ok,ola,0.001,32,2,0.05,0.01,1e-8,10.0,0.001,0.05,60,60,0.8342,0.8342,0.8331,0.6924110014915467,0.6924110014915467,0.7060445139884949,0.21916686350256204,0.21916686350256204,0.22645738417804243,0.6924110014915467,0.9514956143367568,9.89315752291991,0.0018164076861194166,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p001_b32_e2_lam0p05_pinit0p01_fclip10p0
49,ola_lr0p002_b64_e1_lam0p001_pinit0p001_fclip10p0,ok,ola,0.002,64,1,0.001,0.001,1e-8,10.0,0.001,0.05,60,60,0.7983,0.7983,0.7702,0.95256355342865,0.95256355342865,1.0670956695556642,0.32663706568330525,0.32663706568330525,0.3464345434755087,0.95256355342865,0.9207334322909304,29.151088840832372,0.0006143764584300331,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b64_e1_lam0p001_pinit0p001_fclip10p0
50,ola_lr0p002_b64_e1_lam0p01_pinit0p001_fclip10p0,ok,ola,0.002,64,1,0.01,0.001,1e-8,10.0,0.001,0.05,60,60,0.7983,0.7983,0.7702,0.95256355342865,0.95256355342865,1.0670956695556642,0.32663706568330525,0.32663706568330525,0.3464345434755087,0.95256355342865,0.9207334322909305,29.151088840832372,0.0006143764584300331,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b64_e1_lam0p01_pinit0p001_fclip10p0
51,ola_lr0p002_b64_e1_lam0p05_pinit0p001_fclip10p0,ok,ola,0.002,64,1,0.05,0.001,1e-8,10.0,0.001,0.05,60,60,0.7983,0.7983,0.7702,0.95256355342865,0.95256355342865,1.0670956695556642,0.32663706568330525,0.32663706568330525,0.3464345434755087,0.95256355342865,0.9207334322909304,29.151088840832372,0.0006143764584300331,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b64_e1_lam0p05_pinit0p001_fclip10p0
52,ola_lr0p001_b64_e2_lam0p001_pinit0p001_fclip10p0,ok,ola,0.001,64,2,0.001,0.001,1e-8,10.0,0.001,0.05,60,60,0.798,0.798,0.7715,0.953330910205841,0.953330910205841,1.0678405372619628,0.3268801245525479,0.3268801245525479,0.3483425361067057,0.953330910205841,0.9207334322909304,29.16867526905399,0.0006138448591863079,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p001_b64_e2_lam0p001_pinit0p001_fclip10p0
53,ola_lr0p001_b64_e2_lam0p01_pinit0p001_fclip10p0,ok,ola,0.001,64,2,0.01,0.001,1e-8,10.0,0.001,0.05,60,60,0.798,0.798,0.7715,0.953330910205841,0.953330910205841,1.0678405372619628,0.3268801245525479,0.3268801245525479,0.3483425361067057,0.953330910205841,0.9207334322909304,29.16867526905399,0.0006138448591863079,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p001_b64_e2_lam0p01_pinit0p001_fclip10p0
54,ola_lr0p001_b64_e2_lam0p05_pinit0p001_fclip10p0,ok,ola,0.001,64,2,0.05,0.001,1e-8,10.0,0.001,0.05,60,60,0.798,0.798,0.7715,0.953330910205841,0.953330910205841,1.0678405372619628,0.3268801245525479,0.3268801245525479,0.3483425361067057,0.953330910205841,0.9207334322909304,29.16867526905399,0.0006138448591863079,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p001_b64_e2_lam0p05_pinit0p001_fclip10p0
55,ola_lr0p001_b32_e1_lam0p001_pinit0p001_fclip10p0,ok,ola,0.001,32,1,0.001,0.001,1e-8,10.0,0.001,0.05,60,60,0.7953,0.7953,0.7705,0.9757574939727783,0.9757574939727783,1.0862110916137695,0.3355909214183688,0.3355909214183688,0.3564134550854563,0.9757574939727783,0.9207334322909304,29.014214733059962,0.000617088301431745,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p001_b32_e1_lam0p001_pinit0p001_fclip10p0
56,ola_lr0p001_b32_e1_lam0p01_pinit0p001_fclip10p0,ok,ola,0.001,32,1,0.01,0.001,1e-8,10.0,0.001,0.05,60,60,0.7953,0.7953,0.7705,0.9757574939727783,0.9757574939727783,1.0862110916137695,0.3355909214183688,0.3355909214183688,0.3564134550854563,0.9757574939727783,0.9207334322909304,29.014214733059962,0.000617088301431745,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p001_b32_e1_lam0p01_pinit0p001_fclip10p0
57,ola_lr0p001_b32_e1_lam0p05_pinit0p001_fclip10p0,ok,ola,0.001,32,1,0.05,0.001,1e-8,10.0,0.001,0.05,60,60,0.7953,0.7953,0.7705,0.9757574939727783,0.9757574939727783,1.0862110916137695,0.3355909214183688,0.3355909214183688,0.3564134550854563,0.9757574939727783,0.9207334322909304,29.014214733059962,0.000617088301431745,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p001_b32_e1_lam0p05_pinit0p001_fclip10p0
58,ola_lr0p002_b64_e1_lam0p05_pinit0p01_fclip10p0,ok,ola,0.002,64,1,0.05,0.01,1e-8,10.0,0.001,0.05,60,60,0.795,0.795,0.7923,0.9778752161026001,0.9778752161026001,0.998820555973053,0.33553950729966164,0.33553950729966164,0.34206056832373144,0.9778752161026001,0.9207334322909305,9.877681633366505,0.0018189668575546534,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b64_e1_lam0p05_pinit0p01_fclip10p0
59,ola_lr0p002_b64_e1_lam0p001_pinit0p01_fclip10p0,ok,ola,0.002,64,1,0.001,0.01,1e-8,10.0,0.001,0.05,60,60,0.795,0.795,0.7923,0.9778752168655396,0.9778752168655396,0.9988205586433411,0.3355395086094737,0.3355395086094737,0.34206057030558584,0.9778752168655396,0.9207334322909304,9.87768163331028,0.0018189667706159257,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b64_e1_lam0p001_pinit0p01_fclip10p0
60,ola_lr0p002_b64_e1_lam0p01_pinit0p01_fclip10p0,ok,ola,0.002,64,1,0.01,0.01,1e-8,10.0,0.001,0.05,60,60,0.795,0.795,0.7923,0.9778752168655396,0.9778752168655396,0.9988205586433411,0.3355395086094737,0.3355395086094737,0.34206057030558584,0.9778752168655396,0.9207334322909304,9.87768163331028,0.0018189667706159257,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b64_e1_lam0p01_pinit0p01_fclip10p0
61,ola_lr0p001_b64_e2_lam0p001_pinit0p01_fclip10p0,ok,ola,0.001,64,2,0.001,0.01,1e-8,10.0,0.001,0.05,60,60,0.7948,0.7948,0.7924,0.9784478892326355,0.9784478892326355,0.9992847334861755,0.33583047905862334,0.33583047905862334,0.34260526882112036,0.9784478892326355,0.9207334322909304,9.878649509237736,0.0018185027613977912,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p001_b64_e2_lam0p001_pinit0p01_fclip10p0
