run_id,scenario,condition_name,realization,method,round,channel_uses,num_devices,local_classes,mean_client_examples,power_dbm,accuracy,loss,ece,mce,train_loss_mean,aircomp_update_l2,aircomp_distortion_l2,aircomp_distortion_ratio,aircomp_avg_update_power,aircomp_clipped_fraction,aircomp_noise_l2,scaffold_control_distortion_ratio,round_time_sec,mc_accuracy,mc_loss,mc_ece,phase1_loss_mean,phase2_loss_mean,rho_mean,rho_p50,rho_p90,sigma_mean,sigma_p50,snr_raw_p50,snr_raw_p90,aircomp_rho_distortion_ratio,aircomp_mu_distortion_ratio,aircomp_rho_clipped_fraction,aircomp_mu_clipped_fraction
aircomp_bayesfl,default,default,0,fedavg,1,62464,8,1,10.0,23.0,0.0941,2.303789501953125,0.02026938647031784,0.02026938647031784,2.0140081258156357,0.26273560577311217,0.26273548044615563,0.9999995229921115,7.550852595035276e-06,1.0,9.693935872420728e-07,nan,3.6472628116607666,,,,,,,,,,,,,,,,
aircomp_bayesfl,default,default,0,fedavg,2,124928,8,1,10.0,23.0,0.0941,2.3037894775390626,0.020269371569156647,0.020269371569156647,2.0152553825233226,0.2611514091906792,0.26115126781798614,0.9999994586562122,7.51382173358482e-06,1.0,9.693802939077571e-07,nan,1.070751667022705,,,,,,,,,,,,,,,,
aircomp_bayesfl,default,default,0,fedavg,3,187392,8,1,10.0,23.0,0.0942,2.303789196777344,0.020169466733932495,0.020169466733932495,2.0148803577937473,0.2598789218820743,0.25987878915226736,0.9999994892628999,7.493572822833105e-06,1.0,9.63223220751669e-07,nan,1.0929827690124512,,,,,,,,,,,,,,,,
aircomp_bayesfl,default,default,0,fedavg,4,249856,8,1,10.0,23.0,0.0942,2.3037892761230467,0.020169436931610107,0.020169436931610107,2.0134340432914306,0.25716948461370787,0.2571693363893171,0.9999994236314974,7.33756721126598e-06,1.0,9.507402711038371e-07,nan,1.0297958850860596,,,,,,,,,,,,,,,,
aircomp_bayesfl,default,default,0,fedavg,5,312320,8,1,10.0,23.0,0.0942,2.3037890197753907,0.020169347524642944,0.020169347524642944,2.0147973857760335,0.2644223250535578,0.2644221786347686,0.9999994462691864,7.574241716082833e-06,1.0,9.67658708685213e-07,nan,1.0893328189849854,,,,,,,,,,,,,,,,
aircomp_bayesfl,default,default,0,fedprox,1,62464,8,1,10.0,23.0,0.0941,2.3037895141601563,0.020269252359867096,0.020269252359867096,2.0164868372420854,0.26312217675089,0.26312204346867474,0.99999949345883,7.573965061397619e-06,1.0,9.718320954664517e-07,nan,1.1612193584442139,,,,,,,,,,,,,,,,
aircomp_bayesfl,default,default,0,fedprox,2,124928,8,1,10.0,23.0,0.0941,2.3037893798828124,0.02026931196451187,0.02026931196451187,2.0151256318323503,0.2643718645402929,0.26437172681578913,0.9999994790500722,7.559935207085465e-06,1.0,9.702507812842997e-07,nan,0.8289761543273926,,,,,,,,,,,,,,,,
aircomp_bayesfl,default,default,0,fedprox,3,187392,8,1,10.0,23.0,0.0941,2.303789404296875,0.020269304513931274,0.020269304513931274,2.016468168487056,0.2636869324060484,0.2636867992561201,0.9999994950454044,7.618871682726775e-06,1.0,9.715959167953802e-07,nan,1.023282766342163,,,,,,,,,,,,,,,,
aircomp_bayesfl,default,default,0,fedprox,4,249856,8,1,10.0,23.0,0.0941,2.3037893005371095,0.02026936411857605,0.02026936411857605,2.017166242379552,0.26586171598948183,0.2658615888430417,0.9999995217572426,7.723885834298093e-06,1.0,9.784801989038652e-07,nan,1.0167360305786133,,,,,,,,,,,,,,,,
aircomp_bayesfl,default,default,0,fedprox,5,312320,8,1,10.0,23.0,0.0941,2.303789093017578,0.020269349217414856,0.020269349217414856,2.016734000462561,0.264754928931238,0.2647548081166566,0.9999995436739105,7.624121538047668e-06,1.0,9.742719041495666e-07,nan,0.9399816989898682,,,,,,,,,,,,,,,,
aircomp_bayesfl,default,default,0,proposed,1,124928,8,1,10.0,23.0,0.0941,2.303789453125,0.020269043743610382,0.020269043743610382,,,,,,,,,2.2486937046051025,0.0938,3.8678924682617186,0.3392825827617199,5.157824769616127,4.3307888968265615,100.0,100.0,100.0,0.1,0.1,0.17485299147490646,0.31613275408428676,0.9999993074057162,0.9999984585533747,0.9938524590163934,1.0
aircomp_bayesfl,default,default,0,proposed,2,249856,8,1,10.0,23.0,0.0941,2.3037891357421874,0.020269028842449188,0.020269028842449188,,,,,,,,,1.6379668712615967,0.1039,3.9585187255859373,0.33569297203570597,4.960118595510721,3.640990123094525,100.0,100.0,100.0,0.1,0.1,0.17485355026845123,0.3161329217223502,0.9999991602421914,0.9999984065781258,0.9959016393442623,1.0
aircomp_bayesfl,default,default,0,proposed,3,374784,8,1,10.0,23.0,0.0941,2.3037889892578125,0.020268812775611877,0.020268812775611877,,,,,,,,,1.8081762790679932,0.0991,3.8690095092773436,0.3320734225302934,4.375089034438133,3.0412109599565156,100.0,100.0,100.0,0.1,0.1,0.17485328949813034,0.31613226979654796,0.9999991526150406,0.9999981990715837,0.9938524590163934,1.0
