round,num_clients,num_examples,client_id,local_steps,lr,server_round,train_accuracy,train_loss,update_l2,update_max_abs,update_rms
1,100,10.0,49.5,10.0,0.009999999999999981,1.0,0.8846,1.4853550372123718,0.40618000281175487,0.0732366419583559,0.0005497912125449877
2,100,10.0,49.5,10.0,0.009999999999999981,2.0,0.9102999999999998,1.2157109103947878,0.42555462283469825,0.06541317195165902,0.0005760160285410354
3,100,10.0,49.5,10.0,0.009999999999999981,3.0,0.9239999999999996,0.9719926249459386,0.4229455244385568,0.058005250150454234,0.0005724844431332513
4,100,10.0,49.5,10.0,0.009999999999999981,4.0,0.9363999999999998,0.7831431539319456,0.40836135118565425,0.05359412976540625,0.0005527438103074755
5,100,10.0,49.5,10.0,0.009999999999999981,5.0,0.9445000000000002,0.6463869181387126,0.39008084424930267,0.05147058059927076,0.0005279999479683645
6,100,10.0,49.5,10.0,0.009999999999999981,6.0,0.9552000000000002,0.551268275424838,0.3717937527498174,0.04971718610264361,0.0005032471729921854
7,100,10.0,49.5,10.0,0.009999999999999981,7.0,0.9637000000000001,0.48629018291085957,0.3548358491628727,0.047988818516023456,0.0004802935408321889
8,100,10.0,49.5,10.0,0.009999999999999981,8.0,0.9674,0.4396873470023274,0.3397142516346439,0.04638911169953644,0.0004598254690829373
9,100,10.0,49.5,10.0,0.009999999999999981,9.0,0.969,0.40423318224027754,0.3264082125126201,0.044949631867930294,0.0004418148744391164
10,100,10.0,49.5,10.0,0.009999999999999981,10.0,0.9706999999999997,0.3759070106577128,0.3147011540113967,0.043656737618148325,0.0004259686046962269
11,100,10.0,49.5,10.0,0.009999999999999981,11.0,0.9715,0.3527307259403169,0.3043329094883455,0.04248808522708714,0.00041193450727924246
12,100,10.0,49.5,10.0,0.009999999999999981,12.0,0.9719999999999999,0.33338157116249206,0.2950702450829287,0.041422902019694445,0.00039939688489606565
13,100,10.0,49.5,10.0,0.009999999999999981,13.0,0.9725999999999999,0.3169732673633844,0.2867310747079591,0.04044515920802951,0.00038810927211272876
14,100,10.0,49.5,10.0,0.009999999999999981,14.0,0.9726999999999999,0.3028072771225125,0.27917942221149156,0.03954692606348544,0.000377887616309857
15,100,10.0,49.5,10.0,0.009999999999999981,15.0,0.9729000000000001,0.2904233592115343,0.2723022425442648,0.03871892335359007,0.0003685789036160747
16,100,10.0,49.5,10.0,0.009999999999999981,16.0,0.9731999999999997,0.2794709919318557,0.2659985478542256,0.03795120423194021,0.00036004644036540044
17,100,10.0,49.5,10.0,0.009999999999999981,17.0,0.9735999999999997,0.2696908057732508,0.26019530088902687,0.03723615201190114,0.00035219136585752696
18,100,10.0,49.5,10.0,0.009999999999999981,18.0,0.9739,0.2608850814048201,0.25482864872737737,0.036569323744624856,0.000344927250985215
19,100,10.0,49.5,10.0,0.009999999999999981,19.0,0.9737999999999999,0.2529125206787139,0.24984428022853916,0.035946385031566025,0.0003381805820655799
20,100,10.0,49.5,10.0,0.009999999999999981,20.0,0.9742999999999998,0.24564606687426568,0.24519975310506406,0.03536112654954195,0.00033189391068531306
21,100,10.0,49.5,10.0,0.009999999999999981,21.0,0.9744,0.2389817575365305,0.24085977547532006,0.03480958078056574,0.0003260194669732701
22,100,10.0,49.5,10.0,0.009999999999999981,22.0,0.9745999999999999,0.23284382369741796,0.23678973209787677,0.034288934054784476,0.0003205103969350973
23,100,10.0,49.5,10.0,0.009999999999999981,23.0,0.9745999999999998,0.22716447395365685,0.23296439533843422,0.03379697066033259,0.00031533255331697707
24,100,10.0,49.5,10.0,0.009999999999999981,24.0,0.9748999999999997,0.22188945079315453,0.2293616579509501,0.033330604878719895,0.0003104560125147851
25,100,10.0,49.5,10.0,0.009999999999999981,25.0,0.9751999999999996,0.21697160089109094,0.22596083549150267,0.0328885287209414,0.0003058527767801683
26,100,10.0,49.5,10.0,0.009999999999999981,26.0,0.9752999999999996,0.21237098987866193,0.2227437332502684,0.032467223880812524,0.00030149821838279425
27,100,10.0,49.5,10.0,0.009999999999999981,27.0,0.9753999999999994,0.20805445545725523,0.21969471772199692,0.03206643876153976,0.00029737117635031445
28,100,10.0,49.5,10.0,0.009999999999999981,28.0,0.9753999999999995,0.2039938685791567,0.21679977382223642,0.031683701073052364,0.0002934526803488343
29,100,10.0,49.5,10.0,0.009999999999999981,29.0,0.9754999999999997,0.20016332899872213,0.2140489288193176,0.031317755571799354,0.00028972923163346487
30,100,10.0,49.5,10.0,0.009999999999999981,30.0,0.9757999999999998,0.19654326591920107,0.21142853786664,0.030968654779717327,0.0002861823610114709
31,100,10.0,49.5,10.0,0.009999999999999981,31.0,0.9760999999999995,0.19311338071990758,0.20892885165786626,0.030633938226965255,0.0002827988721587698
32,100,10.0,49.5,10.0,0.009999999999999981,32.0,0.9762999999999996,0.18985630538035184,0.2065430908472254,0.030313060989719816,0.00027956958878724814
33,100,10.0,49.5,10.0,0.009999999999999981,33.0,0.9762999999999995,0.1867582954056561,0.20426118086754647,0.03000547657313291,0.00027648087431100246
34,100,10.0,49.5,10.0,0.009999999999999981,34.0,0.9761999999999996,0.18380818547029049,0.20207716057711306,0.029710456376396906,0.00027352465993464706
35,100,10.0,49.5,10.0,0.009999999999999981,35.0,0.9762999999999997,0.1809925448698923,0.19998430448934115,0.029426373782625886,0.0002706918422720023
36,100,10.0,49.5,10.0,0.009999999999999981,36.0,0.9762999999999997,0.17830133723653854,0.19797622824593486,0.02915307581948582,0.0002679737796763484
37,100,10.0,49.5,10.0,0.009999999999999981,37.0,0.9762999999999995,0.1757256796536967,0.19604870459253684,0.028890095598180777,0.00026536475028229926
38,100,10.0,49.5,10.0,0.009999999999999981,38.0,0.9764999999999996,0.17325745151890443,0.19419660851268947,0.028636360300261003,0.00026285781704471923
39,100,10.0,49.5,10.0,0.009999999999999981,39.0,0.9767999999999998,0.17089033815730365,0.19241534405561728,0.02839209411063166,0.0002604467590434942
40,100,10.0,49.5,10.0,0.009999999999999981,40.0,0.9767999999999998,0.16861750616971402,0.19070089548180735,0.02815631675708573,0.00025812614071241927
41,100,10.0,49.5,10.0,0.009999999999999981,41.0,0.9768999999999998,0.16643213807977736,0.1890498137482898,0.027928939234407153,0.00025589129354614383
42,100,10.0,49.5,10.0,0.009999999999999981,42.0,0.9769999999999994,0.16432831611018628,0.18745651577773867,0.027708803015993908,0.0002537346604841742
43,100,10.0,49.5,10.0,0.009999999999999981,43.0,0.9768999999999995,0.16230082412436606,0.18591904340702065,0.027495731073067874,0.000251653591024575
44,100,10.0,49.5,10.0,0.009999999999999981,44.0,0.9771999999999997,0.16034469865635037,0.18443432712023486,0.02728990205709124,0.00024964393037671796
45,100,10.0,49.5,10.0,0.009999999999999981,45.0,0.9773999999999993,0.15845907384110614,0.18299740674512946,0.02709009799960768,0.00024769896462288713
46,100,10.0,49.5,10.0,0.009999999999999981,46.0,0.9774999999999995,0.15663769635139033,0.18160773995651197,0.026896128479856996,0.0002458179596904468
47,100,10.0,49.5,10.0,0.009999999999999981,47.0,0.9775999999999995,0.15487643904425205,0.18026296771435862,0.026708181835711,0.00024399772246435925
48,100,10.0,49.5,10.0,0.009999999999999981,48.0,0.9777999999999998,0.15317208121763543,0.17896084940215845,0.02652581574744545,0.0002422352201235599
49,100,10.0,49.5,10.0,0.009999999999999981,49.0,0.9775999999999997,0.15152122606663032,0.17769924531547435,0.026348635833710433,0.00024052755643807992
50,100,10.0,49.5,10.0,0.009999999999999981,50.0,0.9776999999999995,0.14992189353937282,0.17647613121437492,0.02617637234739959,0.00023887199146671435
51,100,10.0,49.5,10.0,0.009999999999999981,51.0,0.9776999999999997,0.14837332327337935,0.17528803527980283,0.026009081488009542,0.00023726382587518758
52,100,10.0,49.5,10.0,0.009999999999999981,52.0,0.9778999999999998,0.14687436315091326,0.1741324807851288,0.025845985672785902,0.0002356997072519399
53,100,10.0,49.5,10.0,0.009999999999999981,53.0,0.9778999999999994,0.14541925471648573,0.1730103534868092,0.025687281112768686,0.00023418083452629538
54,100,10.0,49.5,10.0,0.009999999999999981,54.0,0.9778999999999998,0.14400581364473328,0.17192017059109688,0.025532674213463905,0.00023270520063988957
55,100,10.0,49.5,10.0,0.009999999999999981,55.0,0.9778999999999992,0.14263426697300746,0.17085762176021133,0.025382088760961777,0.00023126697126848555
56,100,10.0,49.5,10.0,0.009999999999999981,56.0,0.9779999999999998,0.14129976735403763,0.16982419263283277,0.02523522117488028,0.00022986815732125118
57,100,10.0,49.5,10.0,0.009999999999999981,57.0,0.9780999999999994,0.14000088214082643,0.16881853883164577,0.025091889770774287,0.00022850693909551962
58,100,10.0,49.5,10.0,0.009999999999999981,58.0,0.9780999999999995,0.13873800099082292,0.1678381857052239,0.02495200992489117,0.00022717996698865407
59,100,10.0,49.5,10.0,0.009999999999999981,59.0,0.9781999999999997,0.1375076920625288,0.16688383533881446,0.02481576252364903,0.00022588819131897847
60,100,10.0,49.5,10.0,0.009999999999999981,60.0,0.9781999999999996,0.13630881100799888,0.16595377183200472,0.02468261649919441,0.00022462928950300263
61,100,10.0,49.5,10.0,0.009999999999999981,61.0,0.9781999999999996,0.13514149625040592,0.16504575232601296,0.024552483569132165,0.00022340022568460228
62,100,10.0,49.5,10.0,0.009999999999999981,62.0,0.9782999999999993,0.13400348022952677,0.16415979981733786,0.024425245477468705,0.00022220103099104295
63,100,10.0,49.5,10.0,0.009999999999999981,63.0,0.9782999999999997,0.13289332968369127,0.16329608765745504,0.02430112591770012,0.00022103194006489044
64,100,10.0,49.5,10.0,0.009999999999999981,64.0,0.9782999999999997,0.13180924158776178,0.16245314870248478,0.024179800628335215,0.0002198909670308998
65,100,10.0,49.5,10.0,0.009999999999999981,65.0,0.9784999999999996,0.13075102352490647,0.1616306194643125,0.024061332257697358,0.00021877761988412233
66,100,10.0,49.5,10.0,0.009999999999999981,66.0,0.9784999999999995,0.1297166305370629,0.16082771888123037,0.0239454420277616,0.00021769084140642762
67,100,10.0,49.5,10.0,0.009999999999999981,67.0,0.9784999999999995,0.12870567225944252,0.16004306695486084,0.023832028827746397,0.00021662876367971014
68,100,10.0,49.5,10.0,0.009999999999999981,68.0,0.9784999999999996,0.1277192646281328,0.15927325796742461,0.02372079221822787,0.0002155867768420992
69,100,10.0,49.5,10.0,0.009999999999999981,69.0,0.9785999999999994,0.12675631491537206,0.15851666319345273,0.023611097309621982,0.0002145626763070959
70,100,10.0,49.5,10.0,0.009999999999999981,70.0,0.9785999999999992,0.12581562894722448,0.15776990246990957,0.02350274844560772,0.00021355188680284717
71,100,10.0,49.5,10.0,0.009999999999999981,71.0,0.9786999999999997,0.12489487081021071,0.15703779638639076,0.0233963599310664,0.00021256093331281075
72,100,10.0,49.5,10.0,0.009999999999999981,72.0,0.9787999999999993,0.12399265735805966,0.15632117825379363,0.0232922714977758,0.00021159094377781393
73,100,10.0,49.5,10.0,0.009999999999999981,73.0,0.9787999999999996,0.12310852673463524,0.15562004170309832,0.023190223156930756,0.00021064190957697222
74,100,10.0,49.5,10.0,0.009999999999999981,74.0,0.9789999999999993,0.12224290864588692,0.1549294880305719,0.02308956502674846,0.00020970719999423176
75,100,10.0,49.5,10.0,0.009999999999999981,75.0,0.9788999999999991,0.12139410327980295,0.1542518911838518,0.02299053932656534,0.0002087900283230613
76,100,10.0,49.5,10.0,0.009999999999999981,76.0,0.9789999999999992,0.12056156601500698,0.15358819382462577,0.02289353648229735,0.0002078916705177391
77,100,10.0,49.5,10.0,0.009999999999999981,77.0,0.9791999999999997,0.11974476364301517,0.15293805552058795,0.022798335971892812,0.00020701166578086233
78,100,10.0,49.5,10.0,0.009999999999999981,78.0,0.9793999999999995,0.11894370633596554,0.15229833731743608,0.022704509727482218,0.00020614576533238313
79,100,10.0,49.5,10.0,0.009999999999999981,79.0,0.9794999999999996,0.11815869751875288,0.1516670488464531,0.022611848779488356,0.00020529127507800134
80,100,10.0,49.5,10.0,0.009999999999999981,80.0,0.9796999999999995,0.11738806389505044,0.15104794880536743,0.02252074976277072,0.00020445328266104607
81,100,10.0,49.5,10.0,0.009999999999999981,81.0,0.9796999999999995,0.11663235045457258,0.150439088484536,0.022431082169059664,0.00020362915037549977
82,100,10.0,49.5,10.0,0.009999999999999981,82.0,0.9797999999999999,0.11588982251822016,0.14984207403259017,0.02234314914094284,0.00020282105224863484
83,100,10.0,49.5,10.0,0.009999999999999981,83.0,0.9799999999999996,0.11516045091394335,0.1492564338560974,0.02225685802055523,0.00020202834994788107
84,100,10.0,49.5,10.0,0.009999999999999981,84.0,0.9800999999999995,0.11444415772031061,0.14868162206560306,0.022172207515104674,0.00020125030457614118
85,100,10.0,49.5,10.0,0.009999999999999981,85.0,0.9800999999999994,0.11374045450182166,0.14811772357644726,0.02208885201078374,0.0002004870310718841
86,100,10.0,49.5,10.0,0.009999999999999981,86.0,0.9800999999999992,0.11304896342055872,0.1475639925225509,0.022007063793716954,0.00019973751985656566
87,100,10.0,49.5,10.0,0.009999999999999981,87.0,0.9800999999999994,0.11236912666098214,0.14702014748134318,0.02192656978208106,0.000199001390006321
88,100,10.0,49.5,10.0,0.009999999999999981,88.0,0.9800999999999994,0.11170102732838132,0.14648601787159848,0.021847660580824595,0.0001982784106282993
89,100,10.0,49.5,10.0,0.009999999999999981,89.0,0.9800999999999992,0.11104413774365093,0.14596164963022312,0.021770016733789817,0.00019756864390110896
90,100,10.0,49.5,10.0,0.009999999999999981,90.0,0.9800999999999994,0.11039821172796656,0.14544674787024678,0.02169355774705764,0.00019687169067593975
91,100,10.0,49.5,10.0,0.009999999999999981,91.0,0.9800999999999994,0.10976292636489961,0.14494062279848882,0.02161847326773568,0.00019618661727258425
92,100,10.0,49.5,10.0,0.009999999999999981,92.0,0.9801999999999996,0.10913799136062152,0.14444320775738742,0.02154454225645168,0.00019551333346567052
