name,percentile,snr,snr_db_20log10
global,0,3.387325264725405e-08,-149.40286197267
global,1,0.0023226895765401426,-52.68017658069056
global,5,0.011637329729273916,-38.682933206234694
global,10,0.02329537197947502,-32.65460700730468
global,25,0.05908923130482435,-24.56983319490473
global,50,0.12665069103240967,-17.947848725325972
global,75,0.22332796826958656,-13.021137701173801
global,90,0.36047380268573764,-8.862525840108868
global,95,3.769215834140774,11.525020137644331
global,98,6.261905784606934,15.934130580427395
global,99,8.716195230484006,18.806538985344613
global,100,93.29478454589844,39.39714732160802
layer0.weight,0,1.3953177813164075e-07,-137.106537425512
layer0.weight,1,0.0023472122102975845,-52.588952885824476
layer0.weight,5,0.011760767176747322,-38.59128694996117
layer0.weight,10,0.023462311923503877,-32.59258391419248
layer0.weight,25,0.059588002040982246,-24.49682352061649
layer0.weight,50,0.1277148425579071,-17.875172553340388
layer0.weight,75,0.22549263760447502,-12.937352667741418
layer0.weight,90,0.3693783044815063,-8.650572330632063
layer0.weight,95,3.9880100846290425,12.015124956453478
layer0.weight,98,6.718551168441773,16.54551258193361
layer0.weight,99,9.186609296798713,19.263104927287806
layer0.weight,100,54.997493743896484,34.80685797970443
layer1.weight,0,3.387325264725405e-08,-149.40286197267
layer1.weight,1,0.00229683852288872,-52.777390728143764
layer1.weight,5,0.011505571519955992,-38.781836072203596
layer1.weight,10,0.023067821934819217,-32.7398681932299
layer1.weight,25,0.05848115123808384,-24.659681732222516
layer1.weight,50,0.12529117614030838,-18.0415902782321
layer1.weight,75,0.2201359011232853,-13.146182484846829
layer1.weight,90,0.3473653316497805,-9.184270558587881
layer1.weight,95,3.319366753101349,10.421104795376284
layer1.weight,98,5.409269800186158,14.662772869026641
layer1.weight,99,7.15535439014435,17.09262296698353
layer1.weight,100,33.11556625366211,30.400643711733792
layer2.weight,0,3.932579784304835e-05,-88.10644915269826
layer2.weight,1,0.005605036444030702,-45.02843131381102
layer2.weight,5,0.02781440382823348,-31.114604903663164
layer2.weight,10,0.0533283930271864,-25.460831479297667
layer2.weight,25,0.14689674600958824,-16.659759598556676
layer2.weight,50,6.359026193618774,16.067812182413647
layer2.weight,75,14.77146577835083,23.38847185121227
layer2.weight,90,25.224240112304688,28.03636183607985
layer2.weight,95,32.92219734191894,30.349776271727972
layer2.weight,98,41.26704444885255,32.31206727752359
layer2.weight,99,47.995279426574704,33.623970489012414
layer2.weight,100,93.29478454589844,39.39714732160802
