target_removed_percent,snr_threshold,name,total,pruned,pruned_percent
50,0.12665069103240967,layer0.weight,940800,467140,49.653486394557824
50,0.12665069103240967,layer1.weight,1440000,726584,50.45722222222222
50,0.12665069103240967,layer2.weight,12000,2677,22.308333333333334
75,0.22332796454429626,layer0.weight,940800,701905,74.60724914965986
75,0.22332796454429626,layer1.weight,1440000,1088733,75.60645833333334
75,0.22332796454429626,layer2.weight,12000,3962,33.016666666666666
95,3.7692148685455322,layer0.weight,940800,890284,94.63052721088435
95,3.7692148685455322,layer1.weight,1440000,1377796,95.68027777777777
95,3.7692148685455322,layer2.weight,12000,5079,42.325
98,6.261905670166016,layer0.weight,940800,919205,97.7046130952381
98,6.261905670166016,layer1.weight,1440000,1419774,98.59541666666667
98,6.261905670166016,layer2.weight,12000,5965,49.708333333333336
