label,final_round,final_global_accuracy,best_global_accuracy,best_accuracy_round,accuracy_drop_best_to_final,final_global_loss,final_global_ece,best_global_ece,best_ece_round
fedavg,200,0.9057,0.9211,183,0.01540000000000008,0.32011946373581884,0.03299371585249905,0.005622001644968987,129
ola,200,0.89,0.9114,188,0.021399999999999975,0.37354011363983153,0.041449152930080856,0.011356214816868309,129
dense_vi,200,0.7653,0.8877,106,0.12240000000000006,0.7864486145019531,0.0781734862565994,0.013543434122204816,42
sparse_vi_keep010,200,0.881,0.9187,185,0.037699999999999956,0.47098305566310883,0.05075387939661744,0.014937055878341172,52
sparse_vi_keep010_decay,200,0.9153,0.9277,188,0.012399999999999967,0.28306732136011126,0.014670744201540976,0.007212503921985639,125
