schema_version,run_id,round,method,eval_scope,physical_client_id,virtual_client_id,bin_id,bin_left,bin_right,bin_count,bin_accuracy,bin_confidence,bin_gap,ece_contribution,nll_mean,brier_mean
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global_test,,,0,0.0,0.06666666666666667,0,,,,,,
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global_test,,,1,0.06666666666666667,0.13333333333333333,0,,,,,,
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global_test,,,2,0.13333333333333333,0.2,0,,,,,,
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global_test,,,3,0.2,0.26666666666666666,0,,,,,,
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global_test,,,4,0.26666666666666666,0.3333333333333333,18,0.16666666666666666,0.328773675693406,0.16210700902673933,0.0002917926162481308,13.234649969471825,1.0305613080660503
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global_test,,,5,0.3333333333333333,0.4,7029,0.10769668516147389,0.3338682468355694,0.22617156167409552,0.15897599070072174,18.559363686049675,1.1230716492309223
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global_test,,,6,0.4,0.4666666666666667,49,0.14285714285714285,0.4291729197210195,0.28631577686387666,0.0014029473066329956,16.89312622376851,1.1067613928901905
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global_test,,,7,0.4666666666666667,0.5333333333333333,43,0.13953488372093023,0.49898941364399224,0.35945452992306204,0.0015456544786691668,19.28822021151698,1.1959713635056517
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global_test,,,8,0.5333333333333333,0.6,41,0.04878048780487805,0.5677522188279687,0.5189717310230906,0.0021277840971946713,21.434552692785495,1.3164509549373533
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global_test,,,9,0.6,0.6666666666666666,738,0.09620596205962059,0.6615136617082891,0.5653076996486684,0.04171970823407173,20.27021199081164,1.356763362924904
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global_test,,,10,0.6666666666666666,0.7333333333333333,1975,0.09316455696202532,0.66681853541845,0.5736539784564247,0.11329666074514388,21.98086824924131,1.3622096230712117
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global_test,,,11,0.7333333333333333,0.8,2,0.0,0.7843151688575745,0.7843151688575745,0.0001568630337715149,14.604406535625458,1.4554110765457153
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global_test,,,12,0.8,0.8666666666666667,2,0.0,0.8150582611560822,0.8150582611560822,0.00016301165223121643,19.262282848358154,1.698723316192627
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global_test,,,13,0.8666666666666667,0.9333333333333333,3,0.0,0.9065795540809631,0.9065795540809631,0.0002719738662242889,27.63102149963379,1.8305260340372722
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global_test,,,14,0.9333333333333333,1.0,100,0.1,0.9981643933057786,0.8981643933057786,0.008981643933057785,23.93158730864525,1.796794664859772
bayesfl_observability_v1,smoke_ola_mnist,1,ola,global_test,,,0,0.0,0.06666666666666667,0,,,,,,
bayesfl_observability_v1,smoke_ola_mnist,1,ola,global_test,,,1,0.06666666666666667,0.13333333333333333,0,,,,,,
bayesfl_observability_v1,smoke_ola_mnist,1,ola,global_test,,,2,0.13333333333333333,0.2,0,,,,,,
bayesfl_observability_v1,smoke_ola_mnist,1,ola,global_test,,,3,0.2,0.26666666666666666,0,,,,,,
