schema_version,run_id,round,method,scope,physical_client_id,virtual_client_id,layer_name,value_space,bin_id,bin_left,bin_right,bin_center,count,density,cdf,total_count
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,0,3.0228071068419707e-07,0.0015590614772373397,0.000779681878974012,2190,27.6078530839355,0.04303399489094124,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,1,0.0015590614772373397,0.003117820673763995,0.0023384410755006675,2180,27.481789827844477,0.08587148752210651,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,2,0.003117820673763995,0.0046765798702906505,0.0038972002720273225,2193,27.64567206076281,0.12896443309098055,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,3,0.0046765798702906505,0.006235339066817306,0.005455959468553978,2164,27.280088618098812,0.17148752210650423,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,4,0.006235339066817306,0.007794098263343962,0.007014718665080634,2172,27.380939222971637,0.21416781292984868,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,5,0.007794098263343962,0.009352857459870616,0.008573477861607288,2195,27.670884711981035,0.2573000589506779,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,6,0.009352857459870616,0.010911616656397272,0.010132237058133944,2237,28.20035038756333,0.3012576144625663,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,7,0.010911616656397272,0.012470375852923928,0.0116909962546606,2212,27.885192247335755,0.34472391432501476,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,8,0.012470375852923928,0.014029135049450584,0.013249755451187256,2205,27.796947968072036,0.38805266260562,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,9,0.014029135049450584,0.01558789424597724,0.014808514647713912,2287,28.830666668018477,0.4329927294163883,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,10,0.01558789424597724,0.017146653442503896,0.016367273844240568,2206,27.80955429368114,0.4763411279229711,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,11,0.017146653442503896,0.01870541263903055,0.017926033040767224,2251,28.37683894609084,0.5205737865985459,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,12,0.01870541263903055,0.020264171835557204,0.019484792237293876,2203,27.771735316853828,0.5638632344271959,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,13,0.020264171835557204,0.02182293103208386,0.021043551433820532,2117,26.687591314470975,0.6054627628217725,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,14,0.02182293103208386,0.023381690228610516,0.022602310630347188,2149,27.090993733962268,0.6476910984476322,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,15,0.023381690228610516,0.024940449425137172,0.024161069826873844,2230,28.11210610829961,0.6915111023776773,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,16,0.024940449425137172,0.026499208621663828,0.0257198290234005,2164,27.280088618098812,0.734034191393201,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,17,0.026499208621663828,0.028057967818190484,0.027278588219927156,2223,28.023861829035887,0.777716643741403,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,18,0.028057967818190484,0.02961672701471714,0.02883734741645381,2191,27.620459409544594,0.8207702888583218,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,19,0.02961672701471714,0.031175486211243796,0.030396106612980468,2195,27.670884711981007,0.8639025348791511,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,20,0.031175486211243796,0.03273424540777045,0.03195486580950713,2200,27.73391634002652,0.9071330320298684,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,21,0.03273424540777045,0.03429300460429711,0.033513625006033776,2191,27.620459409544594,0.9501866771467872,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,22,0.03429300460429711,0.03585176380082376,0.03507238420256044,2074,26.145519313279546,0.990941245824327,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,23,0.03585176380082376,0.03741052299735041,0.03663114339908709,14,0.17648855852744227,0.9912163489880134,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,24,0.03741052299735041,0.03896928219387707,0.03818990259561374,10,0.12606325609102964,0.9914128512477893,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,25,0.03896928219387707,0.040528041390403724,0.0397486617921404,6,0.07563795365461778,0.991530752603655,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,26,0.040528041390403724,0.04208680058693038,0.04130742098866705,6,0.07563795365461778,0.9916486539595205,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,27,0.04208680058693038,0.043645559783457036,0.04286618018519371,7,0.08824427926372075,0.9917862055413638,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,28,0.043645559783457036,0.04520431897998369,0.04442493938172036,12,0.15127590730923557,0.992022008253095,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,29,0.04520431897998369,0.04676307817651035,0.04598369857824702,9,0.11345693048192668,0.9921988602868933,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,30,0.04676307817651035,0.048321837373037003,0.04754245777477367,11,0.1386695817001326,0.9924150127726469,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,31,0.048321837373037003,0.04988059656956366,0.049101216971300335,5,0.06303162804551482,0.9925132639025349,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,32,0.04988059656956366,0.051439355766090315,0.050659976167826984,4,0.050425302436411856,0.9925918648064452,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,33,0.051439355766090315,0.05299811496261697,0.05221873536435365,12,0.15127590730923557,0.9928276675181764,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,34,0.05299811496261697,0.05455687415914363,0.053777494560880296,6,0.07563795365461778,0.9929455688740421,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,35,0.05455687415914363,0.05611563335567028,0.05533625375740696,11,0.1386695817001326,0.9931617213597956,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,36,0.05611563335567028,0.05767439255219694,0.05689501295393361,4,0.050425302436411856,0.9932403222637061,50890
bayesfl_observability_v1,smoke_ola_mnist,0,ola,global,,,all,raw,37,0.05767439255219694,0.059233151748723595,0.05845377215046027,7,0.08824427926372075,0.9933778738455492,50890
