schema_version,run_id,round,method,dataset,model,iid,balanced,noniid_alpha,unbalanced_alpha,num_devices,num_virtual_clients,client_fraction,selected_count,selected_examples,total_examples,local_epochs,batch_size,lr,seed,eval_every,heavy_eval_every,eval_mc_samples,round_time_sec,fit_time_sec,aggregate_time_sec,eval_time_sec,num_fit_failures,active_physical_devices,active_virtual_clients,accuracy,loss,train_loss,global_accuracy,global_error_rate,global_loss,global_nll,global_brier,global_ece,global_mce,global_mean_confidence,global_mean_entropy,global_num_eval_examples,global_mc_samples,global_predictive_entropy,global_expected_entropy,global_mutual_information,global_aleatoric_uncertainty,global_epistemic_uncertainty,global_predictive_variance_mean,global_predictive_variance_std,local_eval_count,local_accuracy_weighted,local_accuracy_mean,local_accuracy_std,local_accuracy_min,local_accuracy_p10,local_accuracy_p25,local_accuracy_p50,local_accuracy_p75,local_accuracy_p90,local_accuracy_max,local_loss_weighted,local_loss_mean,local_loss_std,local_loss_min,local_loss_p50,local_loss_max,local_ece_mean,local_ece_std,local_nll_mean,local_brier_mean,local_forgetting_proxy_mean,local_forgetting_proxy_std,local_forgetting_proxy_weighted,local_global_loss_gap_mean,local_global_acc_gap_mean,client_drift_from_global_l2_mean,client_drift_from_global_l2_std,client_drift_from_global_cosine_mean,client_update_l2_mean,client_update_l2_std,client_update_l2_min,client_update_l2_max,client_update_cosine_mean,train_loss_mean,train_loss_std,task_loss_mean,task_loss_std,prior_loss_mean,prior_loss_std,regularization_loss_mean,regularization_loss_std,vi_elbo_loss_mean,vi_elbo_loss_std,vi_kl_loss_mean,vi_kl_loss_std,vi_likelihood_loss_mean,vi_likelihood_loss_std,vi_complexity_cost_mean,vi_scale_mean,vi_scale_std,vi_scale_p50,vi_scale_p90,vi_scale_max,vi_prior_scale,vi_min_scale,vi_particles,vi_aggregation_mode,ola_prior_lambda,ola_prior_loss_mean,ola_prior_loss_std,ola_task_loss_mean,ola_task_loss_std,ola_fisher_mean,ola_fisher_std,ola_fisher_min,ola_fisher_p10,ola_fisher_p50,ola_fisher_p90,ola_fisher_max,ola_precision_mean,ola_precision_std,ola_precision_min,ola_precision_p10,ola_precision_p50,ola_precision_p90,ola_precision_max,ola_sigma_mean,ola_sigma_std,ola_sigma_p50,ola_sigma_p90,ola_sigma_max,ola_gamma,ola_online_weight_fisher,ola_online_weight_prior,posterior_available,posterior_num_params,posterior_mu_l2,posterior_mu_abs_mean,posterior_mu_abs_std,posterior_mu_abs_p50,posterior_mu_abs_p90,posterior_sigma_mean,posterior_sigma_std,posterior_sigma_min,posterior_sigma_p10,posterior_sigma_p25,posterior_sigma_p50,posterior_sigma_p75,posterior_sigma_p90,posterior_sigma_p95,posterior_sigma_max,posterior_precision_mean,posterior_precision_std,posterior_precision_min,posterior_precision_p50,posterior_precision_p90,posterior_precision_max,posterior_var_trace,posterior_logdet_diag,posterior_entropy_diag_gaussian,posterior_snr_raw_mean,posterior_snr_raw_std,posterior_snr_raw_min,posterior_snr_raw_p10,posterior_snr_raw_p25,posterior_snr_raw_p50,posterior_snr_raw_p75,posterior_snr_raw_p90,posterior_snr_raw_p95,posterior_snr_raw_max,posterior_snr_db_mean,posterior_snr_db_std,posterior_snr_db_p10,posterior_snr_db_p50,posterior_snr_db_p90,posterior_snr_frac_lt_0_5,posterior_snr_frac_lt_1,posterior_snr_frac_lt_2,posterior_snr_frac_lt_5,posterior_snr_frac_gt_1,posterior_snr_frac_gt_2,posterior_snr_frac_gt_5,effective_params_snr_gt_1,effective_params_snr_gt_2,effective_params_snr_gt_5,aggregation_delta_l2,aggregation_delta_linf,aggregation_delta_cosine_to_mean_client_update,aggregation_weight_entropy,aggregation_weight_max,aggregation_weight_min,aggregation_error_proxy,aggregation_energy_before,aggregation_energy_after,posterior_product_precision_mean,posterior_product_precision_std,posterior_product_mu_norm,posterior_product_sigma_mean,selected_label_entropy_mean,selected_label_entropy_std,selected_label_entropy_min,selected_label_entropy_max,selected_kl_to_global_label_mean,selected_kl_to_global_label_std,selected_num_examples_mean,selected_num_examples_std,selected_num_examples_min,selected_num_examples_max,wireless_policy,wireless_selected_channel_snr_db_mean,wireless_selected_channel_snr_db_std,wireless_selected_pathloss_db_mean,wireless_selected_rate_mbps_mean,wireless_selected_delay_ms_mean,wireless_selected_energy_j_mean,wireless_outage_count,ota_noise_power,ota_distortion,ota_mse,digital_packet_error_rate,posterior_snapshot_path,prediction_snapshot_path,snr_histogram_path,calibration_bins_path,posterior_precision_p10,posterior_precision_p25,posterior_precision_p75,posterior_precision_p95,posterior_snr_db_min,posterior_snr_db_p25,posterior_snr_db_p75,posterior_snr_db_p95,posterior_snr_db_max,train_loss_min,train_loss_p10,train_loss_p50,train_loss_p90,train_loss_max,task_loss_min,task_loss_p10,task_loss_p50,task_loss_p90,task_loss_max,prior_loss_min,prior_loss_p10,prior_loss_p50,prior_loss_p90,prior_loss_max,regularization_loss_min,regularization_loss_p10,regularization_loss_p50,regularization_loss_p90,regularization_loss_max,client_update_l2_p10,client_update_l2_p50,client_update_l2_p90,client_update_cosine_std,client_update_cosine_min,client_update_cosine_p10,client_update_cosine_p50,client_update_cosine_p90,client_update_cosine_max,ola_prior_loss_min,ola_prior_loss_p10,ola_prior_loss_p50,ola_prior_loss_p90,ola_prior_loss_max,ola_task_loss_min,ola_task_loss_p10,ola_task_loss_p50,ola_task_loss_p90,ola_task_loss_max,ola_sigma_min,ola_sigma_p10,local_nll_std,aggregation_mode,aggregation_delta_cosine
bayesfl_observability_v1,smoke_ola_mnist,0,ola,mnist,mlp,0,0,0.3,0.5,30,6,0.2,0,,,1,32,0.02,42,1,1,3,3.6047825030982494,,,3.604785080999136,,,,0.104,19.414338220214844,0.0,0.104,0.896,19.414338220214844,19.414338220214844,1.1955387914657594,0.32893403066396704,0.9065795540809631,0.43293403849601747,0.9725015968322754,10000,3,0.9725015968322754,0.016710011991951615,0.9557915848403238,0.016710011991951615,0.9557915848403238,0.05910698674917221,0.011751719931201969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.0001,1,product,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1,50890,4.973316948267506,0.018442607387771072,0.012078766198929253,0.017951239831745625,0.032475332543253896,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50890.0,5.0894524150609864e-08,72209.7819547873,0.01844260738775263,0.012078766198917174,3.0228071068419707e-07,0.0036305330460854822,0.00909473118371352,0.017951239831727674,0.02706905873489653,0.032475332543221415,0.03428500425067094,0.12470103800284313,-37.467690723881425,8.758344127361882,-48.80059211447714,-34.91811102029722,-29.768927862067915,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,,,,snr_histograms.csv,calibration_bins.csv,1.0,1.0,1.0,1.0,-130.3917625734279,-40.824202660170556,-31.35053691112638,-29.297915850889108,-18.08259862931206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bayesfl_observability_v1,smoke_ola_mnist,1,ola,mnist,mlp,0,0,0.3,0.5,30,6,0.2,6,6848,6848,1,32,0.02,42,1,1,3,7.5206083208322525,4.623544368892908,0.007272113114595413,2.8968047238886356,0,6,4,0.1031,19.495334979248046,0.6403741074451811,0.1031,0.8969,19.495334979248046,19.495334979248046,1.1965443943023681,0.32832645888030526,0.9293111798786882,0.43142646913528443,0.9747257579803467,10000,3,0.9747257579803467,0.016859215655177832,0.9578665423251689,0.016859215655177832,0.9578665423251689,0.05919676017165184,0.011755045876897605,5,0.924772814276727,0.8125041059904049,0.12195880282000077,0.631578947368421,0.6856140350877193,0.7666666666666667,0.7666666666666667,0.937007874015748,0.9511633747470122,0.9606003752345216,0.29521287240058713,0.6495580632416792,0.3364176810174011,0.16188480930077873,0.8013299942016602,1.0955294809843366,,,0.6495580632416792,,,,,,,,,,0.6653611477507249,0.45780610771690183,0.08912487680420171,1.5062586532087996,0.9878049663338705,1.3624255973018171,0.6079922286365224,1.3624221933230511,0.6079961822856832,3.401231751298045e-06,4.749720082736514e-06,3.401231751298045e-06,4.749720082736514e-06,,,,,,,,,,,,,0.05,0.0001,1,product,1.0,3.401231751298045e-06,4.749720082736514e-06,1.3624221933230511,0.6079961822856832,0.0001903824504404395,0.00010704576279582274,5.3118494818309504e-05,7.60627619411564e-05,0.00018952277717393547,0.00030556181220622674,0.00039021631563089363,1.0001903820324407,0.00010704509279194485,1.0000531195844642,1.000076062387885,1.0001895226741686,1.0003055610352685,1.0003902138181369,0.9999054028690858,5.318695846111699e-05,0.9999060669888633,0.9999620277788157,0.9999734765304098,1.0,,,1,50890,5.19263476290252,0.0188527078108301,0.013206566829846994,0.018039971590042114,0.03312905505299568,0.9999601746172351,0.00017392791259484235,0.9879828095436096,0.9999074935913086,0.9999659061431885,0.9999874830245972,0.9999943971633911,0.9999971985816956,0.9999983310699463,0.9999999403953552,1.0000797433008917,0.00035093792519286617,1.0000001192092896,1.0000250339508057,1.0001850128173828,1.0244747400283813,50885.94819272609,-4.055053657219685,72207.75442793322,0.018854180221887028,0.013214500021879266,4.1044148305899526e-07,0.003705057994594835,0.009101978068984086,0.018040615686129538,0.02717667733397715,0.03313155797289915,0.03575535546617579,0.23757570310647766,-37.38289417872263,8.889600515946226,-48.62409987545684,-34.87497290400061,-29.595162828668833,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1.1761741566749906,0.1197604238986969,,0.8546542150812425,0.7018107476635514,0.040595794392523366,,,,1.0000797510147095,0.0003509379457682371,5.19263476290252,0.9999602437019348,1.2209098244608934,0.22213069677691905,,,1.1112815269660592,,1141.3333333333333,1676.9936062953716,4.0,4806.0,random,,,,,,,,,,,,outputs/smoke_ola_mnist/posterior_snapshots/round_0001.pt,,snr_histograms.csv,calibration_bins.csv,1.0000056028366089,1.0000112056732178,1.000068187713623,1.0002844989299775,-127.73495387394739,-40.81728434800734,-31.31607283979374,-28.933178000466008,-12.483959535257021,0.39933617190735765,0.6961457801008418,1.3795297171142042,2.011601294690405,2.3775992393493652,0.39932266481707507,0.6961367661323317,1.3795289318475827,2.0116008819892395,2.3775992393493652,0.0,3.786260465319544e-07,8.119382207259419e-07,9.013130986636237e-06,1.3507803230405057e-05,0.0,3.786260465319544e-07,8.119382207259419e-07,9.013130986636237e-06,1.3507803230405057e-05,0.27236683291333863,0.47714412577370247,1.2465724845651336,0.014157797594337674,0.9589382477029801,0.9701097707297253,0.9954600969804369,0.9978450312914495,0.9998394320939603,0.0,3.786260465319544e-07,8.119382207259419e-07,9.013130986636237e-06,1.3507803230405057e-05,0.39932266481707507,0.6961367661323317,1.3795289318475827,2.0116008819892395,2.3775992393493652,0.9998058207682997,0.9998481138395781,0.3364176810174011,ola,0.9741470460747473
bayesfl_observability_v1,smoke_ola_mnist,2,ola,mnist,mlp,0,0,0.3,0.5,30,6,0.2,6,11317,11317,1,32,0.02,42,1,1,3,4.340344425290823,1.1870367340743542,0.002875879406929016,3.152945175766945,0,6,5,0.0991,19.695975927734374,0.38841730838328314,0.0991,0.9009,19.695975927734374,19.695975927734374,1.2011884195327758,0.3312157629907131,0.9383977871565592,0.4302827956676483,0.9761127096176148,10000,3,0.9761127096176148,0.01603606391460635,0.9600766457030084,0.01603606391460635,0.9600766457030084,0.05935646085739136,0.011449524364665556,6,0.9424845855343699,0.8924961044698714,0.09457697060172639,0.6923076923076923,0.7905982905982906,0.8904761904761904,0.9233472029588534,0.9599137671108967,0.9635428198524699,0.9643527204502814,0.22635674387457344,0.4071786911646798,0.2917964695556808,0.13556263482593015,0.33041549099852957,0.9818767400888296,,,0.4071786911646798,,,,,,,,,,0.684828643411211,0.18644875108551998,0.5547821794857813,1.0897704742766054,0.991071779203872,0.674558088437935,0.43143471524246985,0.6745550235148802,0.43143510823105735,3.0646962627972006e-06,2.3139497394060787e-06,3.0646962627972006e-06,2.3139497394060787e-06,,,,,,,,,,,,,0.05,0.0001,1,product,1.0,3.0646962627972006e-06,2.3139497394060787e-06,0.6745550235148802,0.43143510823105735,0.00018126298633287701,0.00016407645020442222,3.0267488254662016e-05,4.55406216539803e-05,9.19923359212888e-05,0.000406256001423362,0.0004655695219410892,1.0001305039375465,8.203888749165275e-05,1.0000550049675732,1.0000626429578694,1.000085867942258,1.0002430009125116,1.0002726604718781,0.9999354298777936,4.0036272065958786e-05,0.9999571256856361,0.9999687098782151,0.999972520753709,1.0,,,1,50890,5.3015763670643254,0.01904899739251761,0.013763681925702244,0.018087229691445827,0.033509258180856705,0.9999595900384446,0.00017940805579259872,0.9902929663658142,0.9999088048934937,0.9999663233757019,0.9999873638153076,0.9999933242797852,0.9999973773956299,0.9999986290931702,1.0,1.0000809180195427,0.00036143152910257366,1.0,1.0000252723693848,1.0001823902130127,1.019700527191162,50885.888795223655,-4.114652273610098,72207.72462862502,0.019050605682065565,0.013772529387802861,2.3533712328356067e-07,0.003637091920707092,0.009089416888002423,0.018087418353067063,0.027297573255867413,0.03351005582347792,0.03669580927989697,0.25123960076108587,-37.32689801909401,8.863549824683574,-48.78491447076,-34.852468330092584,-29.496496973792237,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.46733774138570916,0.04754267632961273,,1.2630671231822301,0.42467084916497305,0.029159671290978174,,,,1.000080943107605,0.00036143153556622565,5.3015763670643254,0.9999596476554871,1.314166387075614,0.22386988835272323,,,0.9824226298607491,,1886.1666666666667,1573.4966811390343,330.0,4806.0,random,,,,,,,,,,,,outputs/smoke_ola_mnist/posterior_snapshots/round_0002.pt,,snr_histograms.csv,calibration_bins.csv,1.0000052452087402,1.0000133514404297,1.0000673532485962,1.0002683401107788,-132.5661542834607,-40.82927954755091,-31.27751919750628,-28.707670603874444,-11.998238107855776,0.17441870610892798,0.26930384178131384,0.5166290512049609,1.2377413723275303,1.4345080933328402,0.17441733226744374,0.2693017237172175,0.5166241695335425,1.2377391772938804,1.4345057576389637,1.3740172252486497e-06,1.5055892429638517e-06,2.193665214408177e-06,5.494834331019573e-06,8.127441554528144e-06,1.3740172252486497e-06,1.5055892429638517e-06,2.193665214408177e-06,5.494834331019573e-06,8.127441554528144e-06,0.559022484305339,0.6100662754705805,0.8853971704577136,0.005431188738011469,0.9791782806033773,0.9854654530109475,0.9930901341644853,0.9946597504361832,0.995046621769628,1.3740172252486497e-06,1.5055892429638517e-06,2.193665214408177e-06,5.494834331019573e-06,8.127441554528144e-06,0.17441733226744374,0.2693017237172175,0.5166241695335425,1.2377391772938804,1.4345057576389637,0.9998665412017184,0.9998804540695294,0.2917964695556808,ola,0.9962487709692587
bayesfl_observability_v1,smoke_ola_mnist,3,ola,mnist,mlp,0,0,0.3,0.5,30,6,0.2,6,4072,4072,1,32,0.02,42,1,1,3,3.962164342403412,1.0560915544629097,0.004671994596719742,2.9057486578822136,0,6,4,0.1021,19.525918643188476,0.4175172010564734,0.1021,0.8979,19.525918643188476,19.525918643188476,1.1968077939987183,0.32842963581085205,0.9065782853535244,0.4305296443939209,0.9767115087509155,10000,3,0.9767115087509155,0.01704491258612834,0.9596665961647871,0.01704491258612834,0.9596665961647871,0.05931112728714943,0.011359090924740786,5,0.9467343118629594,0.9053111741485551,0.05688053484234659,0.8,0.8412903225806452,0.9032258064516129,0.9210526315789473,0.9333333333333333,0.9546997929606625,0.968944099378882,0.19395900857757734,0.3098410700750027,0.10879914355945221,0.12804336302121233,0.32126245498657224,0.4284823735555013,,,0.3098410700750027,,,,,,,,,,0.39209841363088094,0.2040977407788826,0.16902132102600623,0.7969165416878107,0.9966487082317593,0.9457216972686372,0.7585606425496626,0.9457206352640825,0.7585613025964755,1.0645101506429384e-06,1.4045294355152385e-06,1.0645101506429384e-06,1.4045294355152385e-06,,,,,,,,,,,,,0.05,0.0001,1,product,1.0,1.0645101506429384e-06,1.4045294355152385e-06,0.9457206352640825,0.7585613025964755,0.00038541358789667164,0.0004745688906321758,6.312174536400434e-05,8.735037068923206e-05,0.0001321499435868792,0.0009367404494139037,0.001403429381483817,1.0001824476723276,0.00015819144201725742,1.0000750159322453,1.000083092531443,1.0000980257402354,1.0003662247453042,1.0005217906252344,0.9999098881574513,7.719551701110576e-05,0.9999511196538821,0.9999585092495222,0.9999625350302717,1.0,,,1,50890,5.402151872421407,0.01924012911350359,0.01425744674936514,0.018079076893627644,0.033947382122278214,0.999955517976545,0.00021205188008462496,0.9902113676071167,0.9999042093753815,0.9999653100967407,0.9999865889549255,0.9999927282333374,0.9999975562095642,0.9999985098838806,1.0,1.000089101768894,0.00042747745404502017,1.0,1.000026822090149,1.000191581249237,1.0198684930801392,50885.475008666,-4.529777430334806,72207.51706604665,0.019242061496004055,0.014268418953976262,2.0729903207875923e-07,0.003599272143025562,0.009099871022663662,0.018079252165360087,0.02745856663107866,0.03394750798176413,0.03760177949040103,0.23442199910787992,-37.29777530790611,8.930607102585933,-48.87570631326907,-34.85639075511659,-29.383842018187924,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.6094148846491166,0.07686558365821838,,0.7301650381010272,0.7959233791748527,0.06630648330058939,,,,1.000089168548584,0.00042747746920213103,5.402151872421407,0.9999554753303528,1.1192878017658399,0.2482811359953555,,,1.2163955809728473,,678.6666666666666,998.8089017535949,4.0,2899.0,random,,,,,,,,,,,,outputs/smoke_ola_mnist/posterior_snapshots/final.pt,,snr_histograms.csv,calibration_bins.csv,1.0000048875808716,1.0000145435333252,1.0000693798065186,1.000276392698288,-133.66801261401983,-40.81929526382631,-31.226442746793154,-28.49583203535478,-12.600032695802316,0.3073548376560211,0.42762836822640826,0.6754949584648163,1.7340417651146867,2.599027395248413,0.307350786452295,0.4276261223313552,0.6754947041259232,1.7340410793349692,2.599027395248413,0.0,1.2649440663978938e-07,3.5452559076408865e-07,2.712510454524937e-06,4.051766769651002e-06,0.0,1.2649440663978938e-07,3.5452559076408865e-07,2.712510454524937e-06,4.051766769651002e-06,0.21821629425729427,0.31588571822453815,0.6421932284108103,0.0034249862980989744,0.9894228760496653,0.9926043100564687,0.9982313626966512,0.999110451942158,0.99949310583805,0.0,1.2649440663978938e-07,3.5452559076408865e-07,2.712510454524937e-06,4.051766769651002e-06,0.307350786452295,0.4276261223313552,0.6754947041259232,1.7340410793349692,2.599027395248413,0.9997444363749783,0.9998200355689496,0.10879914355945221,ola,0.9936928758783588
