round,Nt,accuracy,loss,distortion,rho_ref,m0
0.0,0.0,0.0716,2.3026980838775635,nan,0.0,160.0
1.0,301.0,0.0729,2.302692391204834,0.00010710855439526203,4.972965195147102e-11,160.0
2.0,602.0,0.0742,2.30268635635376,0.00010946696593606129,4.9160193626502767e-11,160.0
3.0,903.0,0.0751,2.3026810565948486,0.00010735070211747716,4.9900723100935384e-11,160.0
4.0,1204.0,0.0772,2.302675231933594,0.00010683663336713267,5.085146801900472e-11,160.0
5.0,1505.0,0.0774,2.3026697792053223,0.0001119469695545737,5.019079253720221e-11,160.0
6.0,1806.0,0.0785,2.3026642948150635,0.00011069389769493872,5.065131568068321e-11,160.0
7.0,2107.0,0.0801,2.30265878944397,0.00010835471473459849,5.141858108431319e-11,160.0
8.0,2408.0,0.081,2.302653686141968,0.0001076130139720355,5.1384045169005565e-11,160.0
9.0,2709.0,0.0811,2.302649011993408,0.00011774264729349616,5.25102199376731e-11,160.0
10.0,3010.0,0.0819,2.3026437332153322,0.00011901458400491413,5.2634859903218315e-11,160.0
11.0,3311.0,0.0831,2.3026382804870607,0.000124632213220597,5.1359143962406536e-11,160.0
12.0,3612.0,0.0848,2.302632569885254,0.00012218253623696946,5.114875298105239e-11,160.0
13.0,3913.0,0.0865,2.3026268619537356,0.000129636233076905,5.2753155033723835e-11,160.0
14.0,4214.0,0.0886,2.3026220569610594,0.0001259541776496948,5.242677711290653e-11,160.0
15.0,4515.0,0.0893,2.3026162143707274,0.00013953032973684697,5.3325393846876553e-11,160.0
16.0,4816.0,0.0899,2.3026104263305665,0.00012648765222214586,5.3430384134871474e-11,160.0
17.0,5117.0,0.0907,2.302605326461792,0.0001319756031585919,5.5379075452830025e-11,160.0
18.0,5418.0,0.0917,2.302600936126709,0.00013451707585239358,5.5759181615304886e-11,160.0
19.0,5719.0,0.0935,2.302594969177246,0.00013601890056992417,5.54600833267424e-11,160.0
20.0,6020.0,0.0942,2.3025902603149415,0.00014235284394686185,5.6167262072758103e-11,160.0
21.0,6321.0,0.0953,2.3025848373413087,0.0001382251995706331,5.564468643837829e-11,160.0
22.0,6622.0,0.0957,2.3025791313171386,0.0001440155245536166,5.76933354818714e-11,160.0
23.0,6923.0,0.0966,2.3025736507415773,0.00014321476105604117,5.950317042005039e-11,160.0
24.0,7224.0,0.0983,2.30256861038208,0.00015488968420688577,6.019183990574232e-11,160.0
25.0,7525.0,0.099,2.302563919067383,0.00015994416035095948,6.166415964730463e-11,160.0
26.0,7826.0,0.0995,2.3025585792541503,0.00015263581597274126,6.239090963284724e-11,160.0
27.0,8127.0,0.0996,2.302553318405151,0.00015863534708756546,6.361919181736277e-11,160.0
28.0,8428.0,0.099,2.3025486804962156,0.0001680258430786081,6.559254661515622e-11,160.0
29.0,8729.0,0.0992,2.3025438285827637,0.0001622047995483323,6.794714803106117e-11,160.0
30.0,9030.0,0.0998,2.302539228439331,0.00017661245593478101,6.918519099327172e-11,160.0
31.0,9331.0,0.0998,2.3025353496551513,0.00018052926577148088,7.027113587693632e-11,160.0
32.0,9632.0,0.0985,2.302530195617676,0.0001788280427367407,7.212125003885009e-11,160.0
33.0,9933.0,0.0984,2.3025235076904296,0.00019323372190752436,7.432765885924218e-11,160.0
34.0,10234.0,0.0982,2.3025194000244142,0.00019467889537900897,7.819864650000233e-11,160.0
35.0,10535.0,0.0988,2.3025158462524415,0.00020781345108458927,8.123809746985506e-11,160.0
36.0,10836.0,0.0991,2.3025107570648196,0.0002238320165942405,8.072646317984259e-11,160.0
37.0,11137.0,0.0995,2.3025061447143553,0.00023520636750292315,8.62304951665384e-11,160.0
38.0,11438.0,0.0989,2.302502585983276,0.000232201749942918,8.621306222870612e-11,160.0
39.0,11739.0,0.0985,2.302498511123657,0.0002377385151072768,8.93441104212711e-11,160.0
40.0,12040.0,0.0989,2.302493437576294,0.0002570653865652011,9.292970154370469e-11,160.0
