entity,num_examples,class_counts_0_to_9
client_80,158,"[0, 0, 0, 0, 53, 52, 53, 0, 0, 0]"
client_81,151,"[0, 0, 0, 0, 50, 0, 51, 0, 50, 0]"
client_82,181,"[60, 0, 0, 0, 60, 0, 0, 0, 0, 61]"
client_83,160,"[0, 54, 0, 0, 0, 0, 0, 53, 53, 0]"
client_84,159,"[0, 0, 53, 0, 0, 0, 53, 0, 0, 53]"
client_85,159,"[0, 0, 0, 0, 53, 0, 53, 0, 0, 53]"
client_86,145,"[48, 0, 0, 49, 0, 0, 0, 0, 0, 48]"
client_87,139,"[0, 0, 0, 0, 0, 47, 46, 0, 0, 46]"
client_88,150,"[0, 0, 0, 50, 0, 0, 50, 50, 0, 0]"
client_89,152,"[0, 50, 0, 51, 0, 0, 51, 0, 0, 0]"
client_90,166,"[0, 0, 0, 55, 0, 55, 56, 0, 0, 0]"
client_91,152,"[0, 0, 0, 0, 0, 0, 50, 51, 0, 51]"
client_92,164,"[0, 0, 0, 54, 0, 0, 0, 0, 55, 55]"
client_93,146,"[0, 0, 48, 49, 49, 0, 0, 0, 0, 0]"
client_94,167,"[56, 0, 0, 0, 0, 0, 56, 55, 0, 0]"
client_95,154,"[51, 0, 0, 0, 52, 0, 0, 0, 51, 0]"
client_96,151,"[0, 51, 50, 0, 0, 50, 0, 0, 0, 0]"
client_97,192,"[64, 0, 0, 0, 0, 64, 0, 0, 0, 64]"
client_98,165,"[0, 55, 55, 0, 0, 0, 0, 0, 0, 55]"
client_99,150,"[0, 0, 0, 0, 0, 50, 0, 50, 50, 0]"
client_100,144,"[0, 48, 0, 0, 48, 0, 0, 48, 0, 0]"
client_101,173,"[0, 0, 58, 58, 0, 0, 0, 57, 0, 0]"
client_102,149,"[50, 0, 50, 0, 49, 0, 0, 0, 0, 0]"
client_103,141,"[47, 0, 0, 0, 0, 0, 47, 0, 0, 47]"
client_104,144,"[0, 0, 48, 0, 0, 0, 0, 48, 48, 0]"
client_105,185,"[0, 0, 0, 0, 0, 62, 0, 61, 62, 0]"
client_106,156,"[0, 0, 52, 0, 0, 0, 0, 52, 52, 0]"
client_107,156,"[0, 0, 0, 0, 0, 0, 52, 0, 52, 52]"
client_108,161,"[0, 0, 0, 54, 53, 0, 54, 0, 0, 0]"
client_109,161,"[54, 0, 54, 0, 0, 0, 0, 0, 53, 0]"
client_110,158,"[53, 0, 53, 0, 52, 0, 0, 0, 0, 0]"
client_111,164,"[55, 0, 0, 0, 0, 0, 54, 55, 0, 0]"
client_112,162,"[0, 0, 0, 0, 0, 54, 0, 54, 0, 54]"
client_113,143,"[0, 0, 47, 0, 48, 0, 48, 0, 0, 0]"
client_114,154,"[0, 0, 51, 0, 0, 0, 51, 52, 0, 0]"
client_115,167,"[55, 0, 0, 0, 56, 56, 0, 0, 0, 0]"
client_116,182,"[0, 0, 61, 61, 0, 60, 0, 0, 0, 0]"
client_117,182,"[0, 0, 61, 0, 61, 0, 0, 0, 0, 60]"
client_118,155,"[0, 51, 0, 0, 0, 52, 0, 52, 0, 0]"
client_119,153,"[0, 51, 0, 0, 0, 0, 51, 0, 0, 51]"
client_120,166,"[55, 0, 55, 56, 0, 0, 0, 0, 0, 0]"
client_121,151,"[50, 0, 0, 0, 0, 0, 0, 50, 0, 51]"
client_122,186,"[0, 62, 62, 0, 0, 0, 0, 0, 62, 0]"
client_123,173,"[0, 0, 58, 57, 0, 0, 0, 0, 0, 58]"
client_124,157,"[0, 0, 0, 52, 0, 52, 0, 0, 0, 53]"
client_125,172,"[57, 0, 0, 0, 0, 58, 0, 0, 0, 57]"
client_126,185,"[0, 61, 0, 0, 62, 0, 0, 0, 0, 62]"
client_127,149,"[50, 0, 0, 0, 0, 50, 49, 0, 0, 0]"
client_128,172,"[58, 0, 0, 0, 0, 0, 57, 0, 0, 57]"
client_129,159,"[53, 53, 0, 0, 0, 0, 0, 53, 0, 0]"
client_130,168,"[0, 0, 0, 56, 0, 56, 56, 0, 0, 0]"
client_131,160,"[54, 0, 0, 0, 0, 0, 53, 0, 0, 53]"
client_132,160,"[0, 53, 0, 0, 53, 0, 0, 54, 0, 0]"
client_133,151,"[50, 0, 51, 0, 0, 0, 50, 0, 0, 0]"
client_134,178,"[0, 0, 59, 0, 60, 59, 0, 0, 0, 0]"
client_135,170,"[0, 0, 0, 57, 0, 56, 0, 0, 0, 57]"
client_136,157,"[0, 0, 0, 0, 0, 0, 52, 0, 52, 53]"
client_137,144,"[48, 0, 0, 48, 0, 0, 48, 0, 0, 0]"
client_138,157,"[0, 0, 0, 52, 0, 53, 52, 0, 0, 0]"
client_139,174,"[0, 0, 58, 0, 0, 0, 58, 0, 58, 0]"
client_140,187,"[0, 62, 0, 0, 0, 0, 62, 63, 0, 0]"
client_141,164,"[0, 0, 55, 0, 54, 0, 0, 0, 0, 55]"
client_142,166,"[0, 0, 56, 0, 55, 55, 0, 0, 0, 0]"
client_143,149,"[0, 49, 0, 0, 50, 0, 0, 0, 50, 0]"
client_144,146,"[0, 0, 0, 0, 0, 49, 49, 48, 0, 0]"
client_145,166,"[0, 0, 0, 0, 56, 0, 55, 0, 55, 0]"
client_146,161,"[54, 0, 53, 0, 0, 54, 0, 0, 0, 0]"
client_147,160,"[0, 54, 0, 0, 0, 53, 53, 0, 0, 0]"
client_148,185,"[0, 0, 0, 62, 0, 62, 0, 0, 0, 61]"
client_149,148,"[0, 50, 49, 0, 0, 0, 0, 49, 0, 0]"
client_150,166,"[0, 0, 55, 56, 0, 0, 0, 0, 55, 0]"
client_151,146,"[49, 0, 0, 48, 0, 0, 0, 49, 0, 0]"
