schema_version,run_id,round,method,physical_client_id,virtual_client_id,num_examples,num_batches,local_epochs,batch_size,train_loss,task_loss,prior_loss,regularization_loss,accuracy_local_train_estimate,loss_local_train_estimate,update_l2_norm,update_linf_norm,update_cosine_to_global,drift_from_global_before_l2,drift_from_global_after_l2,label_entropy,kl_to_global_label_distribution,vi_elbo_loss,vi_kl_loss,vi_likelihood_loss,vi_complexity_cost,vi_loc_l2,vi_scale_mean,vi_scale_p50,vi_scale_p90,vi_scale_max,vi_snr_raw_mean,vi_snr_raw_p50,vi_snr_raw_p90,ola_task_loss,ola_prior_loss,ola_fisher_mean,ola_fisher_p50,ola_fisher_p90,ola_fisher_max,ola_precision_mean,ola_precision_p50,ola_precision_p90,ola_sigma_mean,ola_sigma_p50,ola_sigma_p90,ola_snr_raw_mean,ola_snr_raw_p50,ola_snr_raw_p90,channel_snr_db,pathloss_db,rate_mbps,delay_ms,energy_j,ota_contribution_norm,digital_payload_bytes,communication_success,vi_kl_per_param,vi_scale_std,num_examples_train
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,1,vi,30,2,2,,10,256,271.93071093559263,,555.976887676772,555.976887676772,,,3.2834193378362757,0.029217200353741646,0.9006337232526157,3.2834193378362757,,0.6931471805599453,1.6262933525338354,271.93071093559263,555.976887676772,,555.976887676772,7.555290599346631,0.10058812993770148,0.1005658507347107,0.10219749286770821,0.10291798412799835,0.19618462009162668,0.18141048226244982,0.37473631111801703,,,,,,,,,,,,,,,,,,,,,,,,0.0054630724936304605,0.001151734228865158,2
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,1,vi,180,14,9,,10,256,289.06538834571836,,559.9128081173359,559.9128081173359,,,3.295138436937409,0.028390608727931976,0.8994675660041002,3.295138436937409,,-0.0,2.3096097079310103,289.06538834571836,559.9128081173359,,559.9128081173359,7.540571825555605,0.10059464298802918,0.10058137401938438,0.10219781547784805,0.10292467474937439,0.19568492504168997,0.18017750500727078,0.3743445976434253,,,,,,,,,,,,,,,,,,,,,,,,0.005501747156503251,0.0011518831735578652,9
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,1,vi,183,14,18,,10,256,323.86882610321044,,560.7354562213067,560.7354562213067,,,3.2978135681775043,0.028885003179311752,0.8994527742718957,3.2978135681775043,,1.3727655308924485,0.9483462981176023,323.86882610321044,560.7354562213067,,560.7354562213067,7.546173603455692,0.10059108243140746,0.10057226195931435,0.10219713822007179,0.1029195487499237,0.19561814291405255,0.17982404302192034,0.3743800329413897,,,,,,,,,,,,,,,,,,,,,,,,0.005509830561278438,0.001151172294794589,18
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,1,vi,233,18,351,,10,256,633.1663251578808,,893.9517004634437,893.9517004634437,,,4.148904296843993,0.04808359593153,0.8529404188244661,4.148904296843993,,-0.0,2.3277319754160017,633.1663251578808,893.9517004634437,,893.9517004634437,7.947953439596271,0.10078572695343659,0.10067645460367203,0.10304147824645042,0.1058414876461029,0.20353677450260893,0.1835905047681819,0.39714216544107284,,,,,,,,,,,,,,,,,,,,,,,,0.00878403950538905,0.0016366226616646245,351
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,1,vi,151,12,210,,10,256,642.4885697364807,,605.7167858638899,605.7167858638899,,,3.432225984614074,0.02919040247797966,0.8925951514807949,3.432225984614074,,0.14950144571405588,2.251522034186354,642.4885697364807,605.7167858638899,,605.7167858638899,7.612613657084415,0.10056881041383069,0.10055548325181007,0.10216773077845573,0.10292568057775497,0.19717286230135017,0.18078381625708323,0.3791935445564048,,,,,,,,,,,,,,,,,,,,,,,,0.005951820633427237,0.0011516112598179153,210
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,1,vi,24,1,27,,10,256,364.0219141960144,,560.1835802310642,560.1835802310642,,,3.2961359088088256,0.02958863228559494,0.8990625144533526,3.2961359088088256,,1.3110298871791874,1.0210991742953581,364.0219141960144,560.1835802310642,,560.1835802310642,7.5283994968130425,0.10058844642045808,0.10056836158037186,0.10219415426254272,0.1029205471277237,0.19513145638688748,0.18018026325585723,0.3738674466526775,,,,,,,,,,,,,,,,,,,,,,,,0.0055044077845245575,0.0011525655365580256,27
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,1,vi,189,15,1,,10,256,276.0440155029297,,555.459821664422,555.459821664422,,,3.2813973946731188,0.029293905943632126,0.9000454960765676,3.2813973946731188,,-0.0,2.3292713582565514,276.0440155029297,555.459821664422,,555.459821664422,7.5296323605972235,0.10059437028762809,0.10057765245437622,0.10220587253570557,0.10292431712150574,0.19525692664418753,0.17994355713222598,0.37462808000059084,,,,,,,,,,,,,,,,,,,,,,,,0.005457991762448875,0.0011548294889843,1
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,1,vi,237,19,36,,10,256,399.17965030670166,,564.7608348734308,564.7608348734308,,,3.310125611113792,0.02890906296670437,0.8982551323894495,3.310125611113792,,1.3898628753106193,0.9179151593699346,399.17965030670166,564.7608348734308,,564.7608348734308,7.531857385944267,0.10058800133915761,0.10056591033935547,0.1021910235285759,0.10292208194732666,0.19551801509500785,0.1800467356738472,0.37370702994668675,,,,,,,,,,,,,,,,,,,,,,,,0.005549384247552626,0.001150922729962438,36
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,1,vi,117,9,8,,10,256,298.4324122428894,,555.4246128278108,555.4246128278108,,,3.2813611296347367,0.029040168970823288,0.9005789238094879,3.2813611296347367,,0.5623351446188083,1.7518051301834499,298.4324122428894,555.4246128278108,,555.4246128278108,7.5486480208291935,0.10059457896655255,0.10057887807488441,0.10220457836985589,0.10290546715259552,0.19605777556477427,0.18082590509211,0.3740023552394952,,,,,,,,,,,,,,,,,,,,,,,,0.0054576457976595345,0.0011537190244504522,8
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,1,vi,252,20,369,,10,256,814.8715272665024,,892.3341372296215,892.3341372296215,,,4.144503714134351,0.048196617513895035,0.8532683087659139,4.144503714134351,,1.0683684981935357,1.1688247118610566,814.8715272665024,892.3341372296215,,892.3341372296215,7.947693101531084,0.10079319159576897,0.10067735239863396,0.10307213589549065,0.10573431104421616,0.20348499929695096,0.18396196485303384,0.39587878533743265,,,,,,,,,,,,,,,,,,,,,,,,0.008768145202216976,0.0016394188160937348,369
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,1,vi,50,4,13,,10,256,327.15245668888093,,555.2149940371046,555.2149940371046,,,3.2806928518286824,0.02937087044119835,0.900721644865376,3.2806928518286824,,0.8953326659680909,1.3255516450199865,327.15245668888093,555.2149940371046,,555.2149940371046,7.55220892322514,0.10059245169115896,0.10056663677096367,0.10220513269305229,0.1029236912727356,0.19590558636417404,0.18024702458271974,0.3748612154255054,,,,,,,,,,,,,,,,,,,,,,,,0.005455586066985404,0.0011552320109191035,13
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,1,vi,263,21,214,,10,256,769.8606585502624,,596.573965876387,596.573965876387,,,3.405033290276087,0.029183728620409966,0.8936703101367529,3.405033290276087,,0.7768433258123565,1.5365177254738465,769.8606585502624,596.573965876387,,596.573965876387,7.588245720265964,0.10057485454722286,0.10056622326374054,0.10217134580016136,0.10290800780057907,0.19627507634440633,0.17924155069741465,0.3781594600331385,,,,,,,,,,,,,,,,,,,,,,,,0.0058619825673222655,0.0011551814652687503,214
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,1,vi,267,21,306,,10,256,796.2064876317978,,895.9548568093261,895.9548568093261,,,4.153421630346853,0.045680128037929535,0.8526844139586881,4.153421630346853,,0.49629795412582844,1.8891532045272958,796.2064876317978,895.9548568093261,,895.9548568093261,7.9502396430408355,0.10078669030003713,0.10067876428365707,0.10305389240384102,0.10574757307767868,0.20378529924666242,0.1839336327525823,0.39550329146602986,,,,,,,,,,,,,,,,,,,,,,,,0.008803722676715399,0.0016400956838698454,306
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,1,vi,163,13,151,,10,256,663.4828457832336,,601.5159265784847,601.5159265784847,,,3.4196301822017827,0.02894771657884121,0.892978929504275,3.4196301822017827,,0.7494436652757661,1.488660305959026,663.4828457832336,601.5159265784847,,601.5159265784847,7.597514086656034,0.10057070295127737,0.10054932907223701,0.10218230783939361,0.1029035672545433,0.1968408042128075,0.18017565406680447,0.378222076041673,,,,,,,,,,,,,,,,,,,,,,,,0.005910542660690623,0.0011556120951679673,151
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,1,vi,171,13,648,,10,256,1030.2572127501169,,974.4866772591895,974.4866772591895,,,4.3098565642741145,0.058960769325494766,0.8441711353451116,4.3098565642741145,,0.8947993234419066,1.3755222828587679,1030.2572127501169,974.4866772591895,,974.4866772591895,8.039670554615308,0.10089292507371582,0.10072621330618858,0.10353781282901764,0.10820601880550385,0.20550918845514515,0.18497106798815383,0.3993194733805725,,,,,,,,,,,,,,,,,,,,,,,,0.009575382502301165,0.0019341699785803818,648
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,2,vi,128,10,63,,10,256,413.65839793682096,,563.8092359714565,563.8092359714565,,,3.3306107323704404,0.029455633834004402,0.9031432354010134,3.3306107323704404,,0.9152182792868668,1.361330606993555,413.65839793682096,563.8092359714565,,563.8092359714565,7.757480339111276,0.10131505039630652,0.10130175948143005,0.10310212671756744,0.10596112906932831,0.19883924913907575,0.18106388826163541,0.3839758745992034,,,,,,,,,,,,,,,,,,,,,,,,0.005540033762124953,0.0013501851691369437,63
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,2,vi,83,6,165,,10,256,474.1338272571564,,577.3828810829928,577.3828810829928,,,3.3717824194099175,0.02931966260075569,0.9012396025941221,3.3717824194099175,,0.7163703465940834,1.5113752911057265,474.1338272571564,577.3828810829928,,577.3828810829928,7.781147398483034,0.10131283182600656,0.10130183771252632,0.10310258641839028,0.10587076097726822,0.19907910077102592,0.18156865411867332,0.3837011080692327,,,,,,,,,,,,,,,,,,,,,,,,0.005673409463329004,0.0013533197979687184,165
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,2,vi,238,19,18,,10,256,350.04546942710874,,553.6311570126185,553.6311570126185,,,3.29962208815298,0.029591044411063194,0.90443756165958,3.29962208815298,,0.9404479886553264,1.3716040057455146,350.04546942710874,553.6311570126185,,553.6311570126185,7.734588530367017,0.10131833505259172,0.10130848735570908,0.10310919135808945,0.10599306970834732,0.19824721834818282,0.1806749387870178,0.38335924812100597,,,,,,,,,,,,,,,,,,,,,,,,0.005440023160190807,0.0013506551078120456,18
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,2,vi,277,22,896,,10,256,1065.2042018175125,,978.1110233909584,978.1110233909584,,,4.327248250098782,0.06438715755939484,0.8519308459564214,4.327248250098782,,1.0079628307563315,1.347582353346925,1065.2042018175125,978.1110233909584,,978.1110233909584,8.263117333886377,0.10169560553470693,0.10151103138923645,0.10472536534070968,0.111418217420578,0.20829983793559956,0.1859043645097262,0.40815584456367865,,,,,,,,,,,,,,,,,,,,,,,,0.009610995611584537,0.0022538426980527543,896
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,2,vi,278,22,61,,10,256,345.82637856006625,,562.7545423944757,562.7545423944757,,,3.327761305587564,0.0296611450612545,0.9030490177818153,3.327761305587564,,0.3945326819623348,1.9802377464173406,345.82637856006625,562.7545423944757,,562.7545423944757,7.747311865982416,0.10131553050031405,0.10130027681589127,0.10310112982988358,0.10602790862321854,0.19850226550876773,0.18081164705397063,0.38230017051193776,,,,,,,,,,,,,,,,,,,,,,,,0.005529670260336796,0.0013491830542011237,61
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,2,vi,173,13,119,,10,256,694.0072580814361,,581.4671717215399,581.4671717215399,,,3.3845081535459176,0.02886045351624489,0.8997137272863855,3.3845081535459176,,0.7679964346078391,1.5533998077393687,694.0072580814361,581.4671717215399,,581.4671717215399,7.753972251760129,0.10131036845197187,0.10129999741911888,0.10309048444032669,0.10600819438695908,0.19857588169532941,0.18107434828298785,0.3833372755203492,,,,,,,,,,,,,,,,,,,,,,,,0.005713542023401198,0.0013469547112677574,119
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,2,vi,41,3,4,,10,256,274.5145464897156,,550.763480479814,550.763480479814,,,3.290621015817688,0.029380956664681435,0.9050617140292435,3.290621015817688,,0.5623351446188083,1.756608808640784,274.5145464897156,550.763480479814,,550.763480479814,7.737512198653128,0.10132534413551715,0.10131514072418213,0.10311448574066162,0.1057954803109169,0.19829158756706852,0.1813969645008976,0.3839987221254796,,,,,,,,,,,,,,,,,,,,,,,,0.005411845145718915,0.001351378777181802,4
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,2,vi,30,2,2,,10,256,258.96749114990234,,554.0714719673837,554.0714719673837,,,3.3008650951335667,0.02876421809196472,0.9048329827434517,3.3008650951335667,,0.6931471805599453,1.6262933525338354,258.96749114990234,554.0714719673837,,554.0714719673837,7.752613981067626,0.10132580040352358,0.1013074591755867,0.10311876088380814,0.10589431971311569,0.19858167370021038,0.18089456380358127,0.3839520483442147,,,,,,,,,,,,,,,,,,,,,,,,0.005444349729462353,0.0013513092757258675,2
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,2,vi,11,0,2,,10,256,265.9459596037865,,551.7124263810264,551.7124263810264,,,3.293625835172099,0.029030080884695053,0.9046471989183246,3.293625835172099,,0.6931471805599453,1.5913406603425941,265.9459596037865,551.7124263810264,,551.7124263810264,7.728586174252836,0.10131960374341506,0.10130755603313446,0.10310736522078515,0.10618387907743454,0.1979149809591721,0.1797843314896927,0.3831026876403869,,,,,,,,,,,,,,,,,,,,,,,,0.005421169562553074,0.0013517416551367162,2
bayesfl_observability_v1,vi_lr0p003_b256_e10_prior0p10,2,vi,73,5,163,,10,256,670.9931617736817,,584.0406730874552,584.0406730874552,,,3.392492360484105,0.02895781397819519,0.8996737145887539,3.392492360484105,,0.5806591790624623,1.7081390410628632,670.9931617736817,584.0406730874552,,584.0406730874552,7.770907915128862,0.10130253807112898,0.10129192098975182,0.10309124290943146,0.10585511475801468,0.19894329534852728,0.1809178193187582,0.3845294607052731,,,,,,,,,,,,,,,,,,,,,,,,0.005738829449616342,0.0013511717526027234,163
