keep_ratio,label,prune_fraction,round,sparse_compression_ratio_mean,sparse_dropped_update_l2_mean,sparse_num_params_sent_mean,sparse_num_params_total_mean,sparse_score_mean_mean,sparse_score_p50_mean,sparse_score_p90_mean,sparse_sent_update_fraction_l2_mean,sparse_sent_update_l2_mean,sparse_threshold_mean
0.5,drop050_keep050,0.5,21,0.5,1.2163963133943083,50885.0,101770.0,0.17395822320860568,0.15788833661458487,0.3415441797571664,0.9522973611574584,3.821924164628618,0.15789086921024234
0.5,drop050_keep050,0.5,22,0.5,1.199155289743616,50885.0,101770.0,0.16612025298829652,0.15387382701645969,0.32069588774040186,0.9492265501732317,3.6252388621347555,0.1538756899627439
0.5,drop050_keep050,0.5,23,0.5,1.2129487803667518,50885.0,101770.0,0.1674623367583919,0.154514688023082,0.32399666248473535,0.9495580036813831,3.686517645539718,0.15451640858182472
0.5,drop050_keep050,0.5,24,0.5,1.2091155286773663,50885.0,101770.0,0.1686506884523534,0.1532105044104636,0.3303397303781254,0.9519340755524289,3.787710799737933,0.15321298292248203
0.5,drop050_keep050,0.5,25,0.5,1.2240068435770763,50885.0,101770.0,0.1673675730291037,0.1534080727392281,0.3258271015383705,0.95051506545601,3.7674301764231695,0.15340920041537986
0.5,drop050_keep050,0.5,26,0.5,1.2165681997836013,50885.0,101770.0,0.16382475904901603,0.1512121642275154,0.3174182403574023,0.9495004341123058,3.694912397650879,0.1512140346965581
0.5,drop050_keep050,0.5,27,0.5,1.2303481821429425,50885.0,101770.0,0.1667488124456148,0.15208993545109326,0.3259429510150059,0.9512556189198679,3.8226718863918285,0.1520911974874098
0.5,drop050_keep050,0.5,28,0.5,1.2196298043296177,50885.0,101770.0,0.16212538617576608,0.14909600459621816,0.314267496729391,0.9497554633482964,3.722390670130044,0.14909723357738153
0.5,drop050_keep050,0.5,29,0.5,1.2290603930403647,50885.0,101770.0,0.16340428577932453,0.14926557593081038,0.3190027407946278,0.9510724112560067,3.807293852019344,0.14926701901329167
0.5,drop050_keep050,0.5,30,0.5,1.2230847260851425,50885.0,101770.0,0.159339504961967,0.14686060431543452,0.3084116160900088,0.9494174126694629,3.7171580023088735,0.14686259936961613
0.5,drop050_keep050,0.5,31,0.5,1.245387578078765,50885.0,101770.0,0.16256519664260907,0.14848798174058742,0.3169309238478379,0.9507478175799553,3.8480433851081783,0.1484905643102355
0.5,drop050_keep050,0.5,32,0.5,1.2499991863652091,50885.0,101770.0,0.1633645871874947,0.14804849466378375,0.32071429824853853,0.9519949152081271,3.9270369863052093,0.14805039761976913
0.5,drop050_keep050,0.5,33,0.5,1.2423459312905603,50885.0,101770.0,0.15943464585631575,0.14550892357660059,0.31094622954910656,0.9508765263407714,3.848210691640601,0.14551036430383196
0.5,drop050_keep050,0.5,34,0.5,1.246556515418029,50885.0,101770.0,0.1609287761285678,0.14490762955981126,0.3174124575316114,0.9530162440011302,3.966375109552968,0.14490965639222855
0.5,drop050_keep050,0.5,35,0.5,1.2446064330433555,50885.0,101770.0,0.15540460445269774,0.14268316396638003,0.3015362527522259,0.9497846959893917,3.802034213383605,0.14268468908070206
0.5,drop050_keep050,0.5,36,0.5,1.2418074856916965,50885.0,101770.0,0.15245015683260735,0.14105105510699278,0.2941896807428653,0.948605998602288,3.7377378692274976,0.1410532462564646
0.5,drop050_keep050,0.5,37,0.5,1.280961910958356,50885.0,101770.0,0.16159794617574572,0.14490151509442512,0.3198130885970732,0.9533206227023501,4.0920430182250325,0.14490296868946384
0.5,drop050_keep050,0.5,38,0.5,1.2606023891428626,50885.0,101770.0,0.15466576969661708,0.14085214430933818,0.3018372939426094,0.9507161234371309,3.905747519146051,0.14085350467088953
0.5,drop050_keep050,0.5,39,0.5,1.2698502510063998,50885.0,101770.0,0.15507131023192677,0.1406178508993555,0.3038059536999261,0.9513835284556177,3.9626159803722425,0.14061911686619152
