round,num_examples,train_loss,train_accuracy,lr,local_steps,update_l2,update_rms,update_max_abs,client_id,server_round
1,422.0,0.850543061167143,0.7028436018957346,0.02,140.0,0.7104690404243071,0.0007680957345684512,0.09509160881862044,2.0,1.0
1,170.0,1.2004722481615404,0.601764705882353,0.02,60.0,0.7430372798956122,0.0008033056091681572,0.10141266882419586,11.0,1.0
1,384.0,0.5900932214533289,0.8846354166666667,0.02,120.0,0.5767220822255567,0.00062350045699997,0.06018125265836716,7.0,1.0
1,26.0,2.0713633418083193,0.4461538461538462,0.02,10.0,0.4312158960735615,0.00046619215139115204,0.059580761939287186,5.0,1.0
1,546.0,1.3938296696532777,0.47710622710622713,0.02,180.0,1.0428467644356945,0.001127432873208929,0.16091152280569077,19.0,1.0
1,393.0,1.5701950365350446,0.39516539440203563,0.02,130.0,0.8299386897191466,0.0008972556596497067,0.09943923726677895,16.0,1.0
1,99.0,1.0944220377941325,0.6919191919191919,0.02,40.0,0.5987028121238965,0.0006472640609249673,0.1186782531440258,12.0,1.0
1,197.0,0.3767455839348702,0.9040609137055837,0.02,70.0,0.4381610604379288,0.00047370064341630973,0.06539187580347061,4.0,1.0
1,14.0,2.702144706249237,0.35,0.02,10.0,0.45420827217569915,0.0004910494569270814,0.0739473378052935,0.0,1.0
1,109.0,1.2668043280686807,0.6174311926605505,0.02,40.0,0.5958629471364656,0.0006441938522888623,0.08887846395373344,6.0,1.0
1,66.0,1.4051766350103372,0.6181818181818182,0.02,30.0,0.5377454599675515,0.0005813624107222884,0.06577492505311966,10.0,1.0
1,12.0,2.0225648403167726,0.43333333333333335,0.02,10.0,0.4146172456376916,0.0004482471715623755,0.052021171897649765,1.0,1.0
1,27.0,2.7742424607276917,0.2814814814814815,0.02,10.0,0.45158352616606806,0.00048821181573568034,0.05751980165950954,18.0,1.0
1,356.0,0.9198035443766733,0.7328651685393258,0.02,120.0,0.7946812569933467,0.000859138469247789,0.10471929609775543,17.0,1.0
1,250.0,1.2307716897964478,0.6712,0.02,80.0,0.6889183896863261,0.0007447970938576162,0.07703042984940112,3.0,1.0
1,121.0,1.3011074277487669,0.6479338842975206,0.02,40.0,0.6283956489493582,0.000679365306743157,0.1079202750697732,9.0,1.0
1,1175.0,1.4096738537220244,0.4513191489361702,0.02,370.0,1.24935192380709,0.0013506878260001421,0.13258805871009827,14.0,1.0
1,8.0,0.32975211900193246,0.9,0.02,10.0,0.22634703267729028,0.0002447062158089562,0.028463080525398254,13.0,1.0
1,1102.0,1.1166914054032029,0.4922867513611615,0.02,350.0,0.9696028546250431,0.0010482480931443693,0.13098812103271484,15.0,1.0
1,756.0,1.0386937284280384,0.6358465608465609,0.02,240.0,0.8819390451393189,0.0009534738041735328,0.11949150077998638,8.0,1.0
2,14.0,1.6254292488098145,0.35714285714285715,0.02,10.0,0.3438501585361819,0.00037174011121525447,0.042355453595519066,0.0,2.0
2,99.0,0.8579618796179391,0.7616161616161616,0.02,40.0,0.4121260543676545,0.00044555391783893827,0.05598356947302818,12.0,2.0
2,8.0,0.21338643594644963,0.9875,0.02,10.0,0.2750282679879033,0.0002973360238203985,0.03407260775566101,13.0,2.0
2,356.0,0.777696220459563,0.7671348314606742,0.02,120.0,0.5505007682763847,0.0005951523119673435,0.08476480096578598,17.0,2.0
2,66.0,1.1255664119214723,0.6136363636363636,0.02,30.0,0.4585683500320157,0.0004957631840753087,0.05723365396261215,10.0,2.0
2,250.0,1.0754250447034837,0.728,0.02,80.0,0.46469518605911797,0.0005023869725179509,0.07371260598301888,3.0,2.0
2,384.0,0.5021011913816135,0.8984375,0.02,120.0,0.42846295446907806,0.0004632159165609096,0.03902880195528269,7.0,2.0
2,756.0,0.9574236581092158,0.6630952380952381,0.02,240.0,0.813366367639614,0.0008793391436906419,0.08265188988298178,8.0,2.0
2,1102.0,1.0678881937708915,0.5165154264972777,0.02,350.0,0.8655766872651621,0.0009357842827791642,0.09987325221300125,15.0,2.0
2,197.0,0.3168526337978425,0.932994923857868,0.02,70.0,0.42532562592715156,0.0004598241168710112,0.05851761228404939,4.0,2.0
2,170.0,0.9217677171791301,0.6505882352941177,0.02,60.0,0.49320196199013705,0.0005332059551239173,0.06864158064126968,11.0,2.0
2,121.0,0.9529219186010439,0.6942148760330579,0.02,40.0,0.429189600634025,0.0004640015015591003,0.05898390617221594,9.0,2.0
2,12.0,1.2537870764732362,0.5166666666666667,0.02,10.0,0.3304455386284147,0.0003572482322045683,0.036209207493811846,1.0,2.0
2,27.0,1.7260870933532715,0.42962962962962964,0.02,10.0,0.3159207500722472,0.0003415453267988126,0.03371671587228775,18.0,2.0
2,109.0,0.9434030400503666,0.6798165137614679,0.02,40.0,0.41658710013584405,0.00045037680248457266,0.05825547128915787,6.0,2.0
