schema_version,run_id,round,method,physical_client_id,virtual_client_id,num_examples,num_batches,local_epochs,batch_size,train_loss,task_loss,prior_loss,regularization_loss,accuracy_local_train_estimate,loss_local_train_estimate,update_l2_norm,update_linf_norm,update_cosine_to_global,drift_from_global_before_l2,drift_from_global_after_l2,label_entropy,kl_to_global_label_distribution,vi_elbo_loss,vi_kl_loss,vi_likelihood_loss,vi_complexity_cost,vi_loc_l2,vi_scale_mean,vi_scale_p50,vi_scale_p90,vi_scale_max,vi_snr_raw_mean,vi_snr_raw_p50,vi_snr_raw_p90,ola_task_loss,ola_prior_loss,ola_fisher_mean,ola_fisher_p50,ola_fisher_p90,ola_fisher_max,ola_precision_mean,ola_precision_p50,ola_precision_p90,ola_sigma_mean,ola_sigma_p50,ola_sigma_p90,ola_snr_raw_mean,ola_snr_raw_p50,ola_snr_raw_p90,channel_snr_db,pathloss_db,rate_mbps,delay_ms,energy_j,ota_contribution_norm,digital_payload_bytes,communication_success,num_examples_seen,ola_fisher_std,ola_precision_std,ola_precision_min,ola_precision_p10,ola_precision_p25,ola_precision_p75,ola_precision_p95,ola_precision_max,ola_sigma_std,ola_sigma_min,ola_sigma_p10,ola_sigma_p25,ola_sigma_p75,ola_sigma_p95,ola_sigma_max,ola_snr_raw_std,ola_snr_raw_min,ola_snr_raw_p10,ola_snr_raw_p25,ola_snr_raw_p75,ola_snr_raw_p95,ola_snr_raw_max,num_examples_train
bayesfl_observability_v1,ola_lr0p002_b64_e2_lam0p05_pinit0p001_fclip10p0,1,ola,24,1,27,2,2,64,2.171409010887146,2.171409010887146,1.779167091431333e-13,8.895835457156665e-15,0.25925925925925924,2.171409010887146,0.01687597329304559,0.0015672892332077026,0.9999969084866553,0.01687597329304559,,1.3110298871791874,1.0210991742953581,,,,,,,,,,,,,2.171409010887146,1.779167091431333e-13,0.00017512612418184564,2.091823989758268e-05,0.0003203011030564087,0.1535385251045227,0.001175126176288757,0.001020918251015246,0.0013203011010773482,30.19174412336075,31.297130584716797,31.61662483215332,0.0006172996885577085,0.0005942064883663556,0.0010714558349489013,,,,,,,,,54.0,0.0013588953510861096,0.001358895360095411,0.0010000000474974513,0.001000389107502997,0.001003117096843198,0.001078082830645144,0.0017619647667743237,0.15453852713108063,2.8866726839581838,2.5437920093536377,27.52095603942871,30.456075191497803,31.57360601425171,31.620600128173827,31.62277603149414,0.00046775699496390635,1.0207532954737719e-08,0.00012034784304350419,0.0002997788319851237,0.0008938951093725361,0.001131507287869426,0.02994285218609702,27
bayesfl_observability_v1,ola_lr0p002_b64_e2_lam0p05_pinit0p001_fclip10p0,1,ola,163,13,151,6,2,64,2.1620380831080555,2.1620380831080555,3.662292714307474e-12,1.831146357153737e-13,0.24503311258278146,2.1620380831080555,0.057351188872538976,0.005815859884023666,0.999964299457085,0.057351188872538976,,0.7494436652757661,1.488660305959026,,,,,,,,,,,,,2.1620380831080555,3.662292714307474e-12,0.00024211228980686205,3.838457996607758e-05,0.0004191361949779093,0.23656758666038513,0.0012421123373499814,0.00103838462382555,0.0014191363006830215,29.79853223937427,31.032793045043945,31.603866577148438,0.000631033727761264,0.0006019418800682983,0.0010857178093821506,,,,,,,,,302.0,0.001829790023434219,0.0018297900350520437,0.0010000021429732442,0.0010011970298364758,0.0010067591210827231,0.0011273182462900877,0.0019493345404043788,0.23756758868694305,3.234959537366093,2.0516648292541504,26.545318603515625,29.7835693359375,31.516443252563477,31.614347457885742,31.622743606567383,0.0005272803509469485,3.0931487571608445e-09,0.00012122797368589146,0.0003033002987236367,0.0009059933094715451,0.0011580410099671704,0.031071972411526184,151
bayesfl_observability_v1,ola_lr0p002_b64_e2_lam0p05_pinit0p001_fclip10p0,1,ola,171,13,648,22,2,64,1.7492634838010057,1.7492634838010057,4.950367080635914e-11,2.475183540317957e-12,0.6165123456790124,1.7492634838010057,0.182654620132835,0.022603588178753853,0.9996385692154025,0.182654620132835,,0.8947993234419066,1.3755222828587679,,,,,,,,,,,,,1.7492634838010057,4.950367080635914e-11,0.0001923939599815967,2.9624015041918028e-05,0.00034521489869803216,0.27115005254745483,0.0011923940070070014,0.0010296240216121078,0.0013452149461954835,30.099238783915876,31.164535522460938,31.58966064453125,0.0006220674968128588,0.0005963672535604052,0.0010746898925582068,,,,,,,,,1296.0,0.001721324380408057,0.0017213243673841528,0.001000062096863985,0.0010020977351814508,0.0010070833668578416,0.0010948740819003433,0.0016634165833238502,0.27215003967285156,2.842126588575537,1.9168838262557983,27.264915657043456,30.22163152694702,31.511369705200195,31.608139038085938,31.621795654296875,0.0005113232226233047,1.2402051232251093e-08,0.00012045877901152754,0.0003000741123686042,0.0008969187045319817,0.0011356307539185763,0.02494738790790083,648
bayesfl_observability_v1,ola_lr0p002_b64_e2_lam0p05_pinit0p001_fclip10p0,1,ola,117,9,8,2,2,64,2.275713086128235,2.275713086128235,4.1901779355285607e-13,2.0950889677642804e-14,0.3125,2.275713086128235,0.025668713982630455,0.0026170574128627777,0.9999928473774782,0.025668713982630455,,0.5623351446188083,1.7518051301834499,,,,,,,,,,,,,2.275713086128235,4.1901779355285607e-13,0.000405889651499725,4.655840166378766e-05,0.0006588291551452133,0.42807868123054504,0.0014058897011296383,0.0010465584928169847,0.0016588291968218985,29.274483780032984,30.91136932373047,31.618070602416992,0.0006536361463700713,0.0006133491142053741,0.00110559833456921,,,,,,,,,16.0,0.00373170677228518,0.0037317067327019135,0.0010000000474974513,0.0010002977214753628,0.0010037048778031021,0.0011850644368678331,0.0025919866748154163,0.4290786683559418,4.082433827785845,1.5266220569610596,24.552694892883302,29.04885482788086,31.564359664916992,31.622663497924805,31.62277603149414,0.0005772420771589055,3.0186332742658087e-09,0.00012406749796451896,0.0003090023513127384,0.0009218454125803669,0.0012284292189316485,0.03763005713031492,8
bayesfl_observability_v1,ola_lr0p002_b64_e2_lam0p05_pinit0p001_fclip10p0,1,ola,50,4,13,2,2,64,2.3547401428222656,2.3547401428222656,2.9461451182301313e-13,1.4730725591150656e-14,0.0,2.3547401428222656,0.02165457486249429,0.002384539693593979,0.9999949095094207,0.02165457486249429,,0.8953326659680909,1.3255516450199865,,,,,,,,,,,,,2.3547401428222656,2.9461451182301313e-13,0.00028867353350357214,3.791464405367151e-05,0.0004393625655211524,0.3553852438926697,0.0012886735789891096,0.0010379146551713347,0.0014393625548109429,29.707088472231252,31.039817810058594,31.621347427368164,0.0006354702297839555,0.0006039182203336104,0.0010896924414837443,,,,,,,,,26.0,0.002392288968305002,0.0023922889463584983,0.0010000000474974513,0.001000090385787189,0.0010039465269073844,0.0011493104975670576,0.001910276710987091,0.3563852310180664,3.418275704347369,1.6750977039337158,26.358148384094243,29.497236251831055,31.56056022644043,31.62277603149414,31.62277603149414,0.0005352075760233143,1.4092789186834158e-08,0.00012144222890551877,0.0003038978444124441,0.000908862160210888,0.001169986003714478,0.037141442803568646,13
bayesfl_observability_v1,ola_lr0p002_b64_e2_lam0p05_pinit0p001_fclip10p0,1,ola,252,20,369,12,2,64,2.157024842775288,2.157024842775288,1.1400221435150115e-11,5.700110717575058e-13,0.3089430894308943,2.157024842775288,0.0890060657990454,0.008109889924526215,0.9999140260232648,0.0890060657990454,,1.0683684981935357,1.1688247118610566,,,,,,,,,,,,,2.157024842775288,1.1400221435150115e-11,0.00014878209048943848,2.7927771952818148e-05,0.00024663650838192575,0.11737748235464096,0.0011487821374628266,0.0010279278503730893,0.00124663655878976,30.282588700085242,31.190237045288086,31.58032684326172,0.0006136341925633237,0.0005928274635405011,0.0010688852644115863,,,,,,,,,738.0,0.0010959189802825628,0.0010959189859465496,0.0010001230984926224,0.0010026901261880993,0.0010087088157888502,0.0010947012924589217,0.0014652044163085513,0.11837748438119888,2.4667439872758865,2.9064674377441406,28.322400856018067,30.22401762008667,31.48597002029419,31.596189498901367,31.620830535888672,0.00045441744942385933,3.401089661504454e-10,0.00011947385373281761,0.0002983697928390595,0.0008909635079709607,0.0011281658384236632,0.02302178173936115,369
bayesfl_observability_v1,ola_lr0p002_b64_e2_lam0p05_pinit0p001_fclip10p0,1,ola,180,14,9,2,2,64,2.172633409500122,2.172633409500122,5.419891423684431e-13,2.7099457118422154e-14,0.1111111111111111,2.172633409500122,0.029338034514725938,0.003541860729455948,0.9999906568255158,0.029338034514725938,,-0.0,2.3096097079310103,,,,,,,,,,,,,2.172633409500122,5.419891423684431e-13,0.0005301622662077894,4.7067467676242813e-05,0.0008552472572773695,0.7840856909751892,0.0015301623150731092,0.001047067460604012,0.0018552473047748208,29.07027565621903,30.90385627746582,31.618579864501953,0.000666222709968779,0.0006181196195111734,0.0011131122925596983,,,,,,,,,18.0,0.006488274733471412,0.006488274605459548,0.0010000000474974513,0.0010002654744312167,0.0010039099433925003,0.0012002590810880065,0.0026142424903810024,0.7850856781005859,4.383577903963485,1.1286036968231201,23.216625213623047,28.864397048950195,31.561135292053223,31.622650146484375,31.62277603149414,0.0007023576067093994,2.2739469462857686e-08,0.0001249195146844262,0.0003105960300514776,0.0009282264737859663,0.0012798856482309615,0.06123150213101633,9
bayesfl_observability_v1,ola_lr0p002_b64_e2_lam0p05_pinit0p001_fclip10p0,1,ola,183,14,18,2,2,64,2.2861087322235107,2.2861087322235107,1.9427000156127527e-13,9.713500078063764e-15,0.05555555555555555,2.2861087322235107,0.017584760126134854,0.0017383657395839691,0.9999966431576953,0.017584760126134854,,1.3727655308924485,0.9483462981176023,,,,,,,,,,,,,2.2861087322235107,1.9427000156127527e-13,0.00019021473345931004,2.4130757083185017e-05,0.00031271658663172355,0.1888837218284607,0.0011902147842576356,0.001024130848236382,0.0013127166312187919,30.134528232119788,31.248003005981445,31.618059730529787,0.0006196222523632129,0.0005954389859706797,0.0010741214137908591,,,,,,,,,36.0,0.0015148030844930266,0.0015148030992325834,0.0010000000474974513,0.001000298385042697,0.0010033517610281706,0.0011000627418980002,0.0017480346374213673,0.18988372385501862,2.938025813509158,2.2948596477508545,27.600344467163087,30.1502742767334,31.569913864135742,31.622331619262695,31.62277603149414,0.000475000444384403,9.590363017643457e-10,0.00012035745434511458,0.0003004276852455727,0.0008952888921519844,0.0011352317521558717,0.025824716231432475,18
bayesfl_observability_v1,ola_lr0p002_b64_e2_lam0p05_pinit0p001_fclip10p0,1,ola,263,21,214,8,2,64,2.0815288368786606,2.0815288368786606,7.1004660910171765e-12,3.5502330455085887e-13,0.40654205607476634,2.0815288368786606,0.07672181355378034,0.011779380962252617,0.9999361221935711,0.07672181355378034,,0.7768433258123565,1.5365177254738465,,,,,,,,,,,,,2.0815288368786606,7.1004660910171765e-12,0.00024182961909105624,3.329566243337467e-05,0.00036059572885278624,0.5465744137763977,0.0012418296673212326,0.0010332957026548684,0.0013605957734398545,29.9051783651011,31.10911750793457,31.59861946105957,0.0006282299071616393,0.000600097141162986,0.0010825647715335814,,,,,,,,,428.0,0.002920080782527233,0.0029200807363208977,0.0010000680340453982,0.0010015296284109354,0.0010061949724331498,0.0011260278697591275,0.0019349597510881721,0.5475744009017944,3.200207612832986,1.3513829708099365,27.110370635986328,29.800628185272217,31.525278091430664,31.610000991821288,31.621700286865234,0.000534139624285829,2.72901390175678e-09,0.00012093622986773635,0.0003018327564249972,0.0009028009080295743,0.001149498762630261,0.03776146270882804,214
bayesfl_observability_v1,ola_lr0p002_b64_e2_lam0p05_pinit0p001_fclip10p0,1,ola,267,21,306,10,2,64,2.069569990136265,2.069569990136265,1.1846376554233144e-11,5.923188277116573e-13,0.48366013071895425,2.069569990136265,0.09273124317713705,0.013275906443595886,0.9999066786736969,0.09273124317713705,,0.49629795412582844,1.8891532045272958,,,,,,,,,,,,,2.069569990136265,1.1846376554233144e-11,0.0002259718182711746,3.399901106604375e-05,0.0003836823307210581,0.44408464431762695,0.001225971866497563,0.0010339990840293467,0.0013836823985911907,29.945790910262822,31.09853458404541,31.58637638092041,0.0006269877284470274,0.000598495806835302,0.0010810007715758004,,,,,,,,,612.0,0.002526367248336311,0.002526367227222921,0.0010000234469771385,0.001002306106965989,0.0010080378269776702,0.0011160605354234576,0.0017491123871877774,0.4450846314430237,3.00605033196565,1.4989207983016968,26.883251953125,29.93340492248535,31.496448516845703,31.606258964538576,31.622406005859375,0.0005776987533209686,1.981058667672194e-08,0.00012128131251863095,0.0003021497959221495,0.0009029214566888242,0.0011453840891251187,0.06561929396531721,306
