round,num_clients,num_examples,bayesian_dimension,client_id,complexity_per_weight,effective_kl_weight,local_steps,lr,posterior_mu_abs_mean,posterior_sigma_max,posterior_sigma_mean,posterior_sigma_min,posterior_snr_mean,resolved_kl_weight,rho_grad_l2_mean,rho_grad_nonzero_fraction,rho_update_l2,server_round,task_loss,train_accuracy,train_loss,update_l2,update_max_abs,update_rms,variance_floor_fraction
1,20,3855.5824989987987,851514.0,9.575570684821786,2.5306879842807763,1.813341768523757e-06,305.23127753303964,0.01,0.079766920142879,0.07758841160032556,0.04881527001568881,0.030997550348261668,1.6496075399183618,1.1743788123272194e-06,0.13805948676695223,1.0,0.035197631355225176,1.0,1.1010174418053766,0.6268482178614337,1.228264739529092,4.5824322928826975,0.5001831034228987,0.003507257020875285,0.0
2,20,3855.5824989987987,851514.0,9.575570684821786,2.53068317781729,1.813341768523757e-06,305.23127753303964,0.009999846564125248,0.07974263341403938,0.07758828276706052,0.048815262817101024,0.030997552440281205,1.649104581112956,1.1743788123272196e-06,0.05855629096668559,1.0,0.014153182844284025,2.0,0.9351031485417877,0.6461133360032038,1.062350258109304,2.3342105176190735,0.2702879275509906,0.0017865351199701821,0.0
3,20,3855.5824989987987,851514.0,9.575570684821786,2.5306709884895295,1.813341768523757e-06,305.23127753303964,0.009999386266013143,0.07974618850451363,0.07758830384206075,0.04881525761078778,0.03099755244028121,1.649179102556975,1.1743788123272198e-06,0.03863046959563949,1.0,0.00928093571445556,3.0,0.8976688240782237,0.6532659191029235,1.0249152991571306,1.8888654282379111,0.22822951073025405,0.0014456812695225994,0.0
4,20,3855.5824989987987,851514.0,9.575570684821786,2.5306761869796106,1.8133417685237569e-06,305.23127753303964,0.009998619134199537,0.07975205641378447,0.07758831759975804,0.048815253621611925,0.030997552440281205,1.6493005276943402,1.1743788123272194e-06,0.03163540641969063,1.0,0.007622060491111361,4.0,0.8947052116193802,0.654217060472567,1.021951905339389,1.8673538017066782,0.250872452213389,0.0014292169120896931,0.0
5,20,3855.5824989987987,851514.0,9.575570684821786,2.530687497704284,1.8133417685237575e-06,305.23127753303964,0.009997545216242227,0.07975695240874506,0.07758831963734934,0.048815250377596875,0.030997552440281198,1.6494014823205336,1.1743788123272196e-06,0.028314253394392565,1.0,0.007021730824257227,5.0,0.8959814291589719,0.6565818982779335,1.0232287375006228,1.8951361988947117,0.2822493029953214,0.0014504807303780322,0.0
6,20,3855.5824989987987,851514.0,9.575570684821786,2.5306813661049468,1.813341768523757e-06,305.23127753303964,0.009996164578717992,0.07976116035680772,0.07758830681411075,0.04881524718998019,0.03099755244028121,1.64948848847971,1.1743788123272196e-06,0.02677177419346347,1.0,0.006772116250363059,6.0,0.8965226502231828,0.6574929915899077,1.0237696739706605,1.9259705089120291,0.314458495224399,0.0014740803917325596,0.0
7,20,3855.5824989987987,851514.0,9.575570684821786,2.5306790459631294,1.8133417685237575e-06,305.23127753303964,0.009994477307218492,0.0797644419696694,0.07758830647374147,0.04881524431849659,0.030997552440281205,1.6495566183482302,1.1743788123272196e-06,0.025511755337305833,1.0,0.006413541729861816,7.0,0.8976405472571154,0.657615138165799,1.024887407121029,1.929581246536237,0.33403845090332523,0.0014768439426316555,0.0
8,20,3855.5824989987987,851514.0,9.575570684821786,2.5306681869548697,1.813341768523757e-06,305.23127753303964,0.009992483506344916,0.07976792750566637,0.07758831478412705,0.04881524183727487,0.030997552440281212,1.6496295334485218,1.1743788123272196e-06,0.024745614304823835,1.0,0.006156389790642665,8.0,0.8986059254325514,0.6578574289146977,1.0258522290858176,1.9393181487544984,0.35001992393881054,0.0014842962772181627,0.0
9,20,3855.5824989987987,851514.0,9.575570684821786,2.5306880001277143,1.8133417685237575e-06,305.23127753303964,0.009990183299701546,0.079771866185447,0.07758832569025371,0.04881523927948894,0.03099755244028121,1.6497107843851788,1.1743788123272196e-06,0.024660321991202456,1.0,0.006329750140677661,9.0,0.8993832645426929,0.6564437324789747,1.0266307007686395,1.9617592068630356,0.3535872530083834,0.0015014719938630716,0.0
10,20,3855.5824989987987,851514.0,9.575570684821786,2.5306920734400506,1.813341768523757e-06,305.23127753303964,0.009987576829888068,0.07977476938386248,0.07758831208753728,0.048815236802955936,0.03099755244028121,1.6497704027395437,1.1743788123272196e-06,0.024194297256699686,1.0,0.006263817283755907,10.0,0.8998576141135775,0.658185822987585,1.027105202401429,1.9405670598305103,0.36825582614695074,0.0014852521565110416,0.0
11,20,3855.5824989987987,851514.0,9.575570684821786,2.5306925732134635,1.8133417685237575e-06,305.23127753303964,0.00998466425849073,0.07977789503430487,0.07758831602906284,0.04881523445760157,0.03099755244028121,1.6498354025706907,1.1743788123272196e-06,0.023752575701743498,1.0,0.005971850726053373,11.0,0.8993585034647685,0.6596195434521426,1.0266061231105457,1.9327817438952588,0.37119355222209727,0.001479293507865856,0.0
12,20,3855.5824989987987,851514.0,9.575570684821786,2.5306822945782668,1.813341768523757e-06,305.23127753303964,0.009981445766072336,0.07978121416730541,0.07758831296893631,0.0488152321712171,0.030997552440281205,1.6499041876241145,1.1743788123272196e-06,0.02331803541990457,1.0,0.005858813285873112,12.0,0.8986883798894174,0.6591810172206648,1.025935486593561,1.931803051775261,0.3777950184468611,0.0014785444461035099,0.0
13,20,3855.5824989987987,851514.0,9.575570684821786,2.5306836018429504,1.813341768523757e-06,305.23127753303964,0.009977921552161054,0.07978423405670139,0.07758832074720691,0.048815229771821414,0.03099755244028121,1.6499670825881625,1.1743788123272196e-06,0.02307720772592161,1.0,0.006086370458567873,13.0,0.8987780137695304,0.658642370845014,1.0260250702135423,1.9180452105232992,0.373699315126484,0.0014680146046920015,0.0
14,20,3855.5824989987987,851514.0,9.575570684821786,2.530683232167011,1.8133417685237575e-06,305.23127753303964,0.009974091835238029,0.07978744477240728,0.07758831602906284,0.048815227479952934,0.03099755244028121,1.6500336769644306,1.1743788123272196e-06,0.023218583881062405,1.0,0.00598888772701179,14.0,0.8978410780003077,0.6595614737685223,1.0250881361043542,1.9076646177648708,0.37886237196619055,0.001460069608562022,0.0
15,20,3855.5824989987987,851514.0,9.575570684821786,2.5306726740093843,1.813341768523757e-06,305.23127753303964,0.00996995685272385,0.07979098935198822,0.0775883360671627,0.04881522513150947,0.03099755244028121,1.6501072345274925,1.1743788123272196e-06,0.02314759815734423,1.0,0.006156179382499489,15.0,0.8988955478804634,0.6578013616339609,1.0261421026958732,1.9220966338481587,0.39619385812983204,0.0014711154432843617,0.0
16,20,3855.5824989987987,851514.0,9.575570684821786,2.5306815978363546,1.813341768523757e-06,305.23127753303964,0.009965516860963839,0.079794334031727,0.07758837559224081,0.04881522278789564,0.030997552440281205,1.6501760459435473,1.1743788123272196e-06,0.022880907658818294,1.0,0.006320159130077473,16.0,0.8980245419285229,0.6587725270324389,1.0252715564876929,1.9077870426848473,0.3913580796625957,0.0014601633089448482,0.0
17,20,3855.5824989987987,851514.0,9.575570684821786,2.530671633140141,1.813341768523757e-06,305.23127753303964,0.009960772135212143,0.07979793422577582,0.07758834541465758,0.048815220427281716,0.03099755244028121,1.6502506222798101,1.1743788123272198e-06,0.02271787635474035,1.0,0.006217917914051353,17.0,0.8986828068002142,0.6590288346015217,1.0259293980044295,1.9017886272434907,0.398850154438275,0.00145557230064921,0.0
18,20,3855.5824989987987,851514.0,9.575570684821786,2.5306788229750916,1.8133417685237575e-06,305.23127753303964,0.009955722969614682,0.07980086736645564,0.0775883329752478,0.04881521820013946,0.03099755244028121,1.650311507637946,1.1743788123272194e-06,0.022490854140045893,1.0,0.006173630996061538,18.0,0.8969020221368285,0.6581557869443333,1.0241489780765858,1.8955587344082816,0.4067407905956565,0.0014508041264593749,0.0
