round,num_examples,train_loss,task_loss,train_accuracy,complexity_per_weight,resolved_kl_weight,effective_kl_weight,variance_floor_fraction,bayesian_dimension,lr,local_steps,rho_grad_l2_mean,rho_grad_nonzero_fraction,rho_update_l2,update_l2,update_rms,update_max_abs,posterior_mu_abs_mean,posterior_sigma_mean,posterior_sigma_min,posterior_sigma_max,posterior_snr_mean,client_id,server_round
1,4106.0,0.31335064747960056,0.1872479178782148,0.9799074525085241,2.530678933836281,1.1743788123272196e-06,1.9311171018884915e-06,0.0,851514.0,0.01,330.0,0.033786302151098214,1.0,0.01843421073027063,2.76085364623843,0.0021130750473756605,0.5385553613305092,0.07971659224537422,0.04881527573723028,0.03099750877816291,0.07758778205879044,1.6485685926033415,8.0,1.0
1,3768.0,1.3738797174390966,1.246582752731955,0.6002388535031847,2.5307390532236296,1.1743788123272196e-06,1.7721503263311826e-06,0.0,851514.0,0.01,300.0,0.14095031258226082,1.0,0.03983886124221202,5.258099757641427,0.004024392748823227,0.5413215458393097,0.07979125957139065,0.04881526834068541,0.030997559717306812,0.07759169792285951,1.650110804746873,13.0,1.0
1,877.0,1.5416097602727339,1.4146364703757461,0.7021664766248574,2.5306371315428415,1.1743788123272196e-06,4.124670478217747e-07,0.0,851514.0,0.01,70.0,0.25236478236852333,1.0,0.02765674072647333,3.90869272184736,0.0029915968452900827,0.7116496711969376,0.07974162967027229,0.04881527790914703,0.030997559717306812,0.07758731928741307,1.6490888654538824,0.0,1.0
1,2926.0,1.224721182223794,1.095785890534897,0.6098427887901572,2.5307179649118092,1.1743788123272196e-06,1.3761443351499577e-06,0.0,851514.0,0.01,230.0,0.17596613594562557,1.0,0.04136737433432911,4.640593931822123,0.003551772204838339,0.45959389209747314,0.07977618546675938,0.04881527267018285,0.030997559717306812,0.07758762186839788,1.6498009827712823,14.0,1.0
1,5362.0,1.2565776512165738,1.127186842577887,0.5795598657217457,2.5307225836792435,1.1743788123272196e-06,2.521833877332219e-06,0.0,851514.0,0.01,420.0,0.11651002399438519,1.0,0.04080931342712125,5.29981222251141,0.004056318225496497,0.4842493534088135,0.07978616711525262,0.04881526825315923,0.030997588825426046,0.07758988236225003,1.6499988606301044,7.0,1.0
1,337.0,2.194867710791285,2.0810299553220277,0.4664688427299703,2.530428977092567,1.1743788123272196e-06,1.5849645965329316e-07,0.0,851514.0,0.01,30.0,0.5546075645373028,1.0,0.02404707097623424,2.8392001219000758,0.0021730391034189816,0.29943782091140747,0.07972298800321605,0.04881527809964501,0.030997574271363067,0.07758580639951153,1.6487048394010255,6.0,1.0
1,3511.0,1.2674610420021704,1.140379555292939,0.6276844203930504,2.530633812874144,1.1743788123272196e-06,1.6512791389991462e-06,0.0,851514.0,0.01,280.0,0.14723540361736176,1.0,0.03808413078761855,4.125230073786248,0.003157328076943842,0.28968922048807144,0.07975268419601393,0.04881526911756122,0.030997588825426046,0.07759059434193338,1.6493276071272664,10.0,1.0
1,2383.0,1.3084027712404154,1.1812880987386667,0.7352496852706673,2.5307195477702056,1.1743788123272196e-06,1.1207627992694289e-06,0.0,851514.0,0.01,190.0,0.14735159350581442,1.0,0.03384440411490502,5.19988751545134,0.003979838834641194,0.680278442800045,0.07978220103303367,0.04881527056770216,0.030997552440281205,0.07758810244052979,1.6499228254494416,15.0,1.0
1,1781.0,1.2622666755865826,1.133333151374621,0.7718135878719821,2.530745042275958,1.1743788123272196e-06,8.376326250519735e-07,0.0,851514.0,0.01,140.0,0.16358172617447847,1.0,0.029984697907719893,3.9201151984673226,0.0030003392682568923,0.5546099543571472,0.07973970200487045,0.04881527419537094,0.030997559717306812,0.07758374179827046,1.6490423287010707,4.0,1.0
1,2909.0,0.9137442602677704,0.7855594899040516,0.8165692677896185,2.5306905406135423,1.1743788123272196e-06,1.3681489647816907e-06,0.0,851514.0,0.01,230.0,0.12421099748685586,1.0,0.0318694341188871,4.172581256909551,0.0031935692604118204,0.6596478223800659,0.07975122609844987,0.04881527863459473,0.030997559717306812,0.07759228531886282,1.6492718538987936,16.0,1.0
